ola	era	conducta	reactivo_o_precodigo	denominador	unidad	manifest_id	estado_pre_dato
2012T1	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2012_1t_csv_microdatos	PRE-REGISTRADA
2012T1	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2012_1t_csv_microdatos	PRE-REGISTRADA
2012T1	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2012_1t_csv_microdatos	PRE-REGISTRADA
2012T1	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2012_1t_csv_microdatos	PRE-REGISTRADA
2012T1	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2012_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2014T1	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2014_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T1	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2016_1t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T2	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2016_2t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T3	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2016_3t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2016T4	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2016_4t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T1	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2017_1t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T2	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2017_2t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T3	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2017_3t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2017T4	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2017_4t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T1	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2018_1t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	jornada_mas_50_horas	hrsocup / hrsocup>50	ocupados_horas	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	desocupacion	clase2 / clase2=2	pea	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	desaliento_desistio	pnea_est / pnea_est=1	pnea	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	desaliento_sin_posibilidades	pnea_est / pnea_est=2	pnea	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	no_participacion_obligaciones	pnea_est / pnea_est=4	pnea	proporcion	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	horas_ocupado	hrsocup / hrsocup	ocupados_horas	horas_por_semana	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T2	clasica	ingreso_ocupado_nominal	ingocup / ingocup	ocupados_ingreso	pesos_por_mes	enoe_2018_2t_csv_microdatos	PRE-REGISTRADA
2018T3	clasica	empleo_informal	emp_ppal / emp_ppal=1	ocupados_emp	proporcion	enoe_2018_3t_csv_microdatos	PRE-REGISTRADA
2018T3	clasica	sector_informal	tue_ppal / tue_ppal=1	ocupados	proporcion	enoe_2018_3t_csv_microdatos	PRE-REGISTRADA
2018T3	clasica	subocupacion	sub_o / sub_o=1	ocupados	proporcion	enoe_2018_3t_csv_microdatos	PRE-REGISTRADA
2018T3	clasica	busca_otro_trabajo	busqueda / busqueda=1	ocupados_busqueda	proporcion	enoe_2018_3t_csv_microdatos	PRE-REGISTRADA
2018T3	clasica	pluriempleo	t_tra / t_tra=2	ocupados_ttra	proporcion	enoe_2018_3t_csv_microdatos	PRE-REGISTRADA
2018T3	clasica	sin_contrato_escrito	tip_con / tip_con=5	subordinados_contrato	proporcion	enoe_2018_3t_csv_microdatos	PRE-REGISTRADA
