ola	era	manifest_id	archivo	sha256	reserva
2020T1	clasica	enoe_2020_1t_microdatos	enoe_microdatos_post2019/2020trim1_csv.zip	8f24f571dee610e9ab147c7f2a01ac2770fef016cd13d8428160550b833b176b	LIBRE-SUJETA-A-CONSULTA
2020T3	enoen	enoe_n_2020_3t_microdatos	enoe_microdatos_post2019/enoe_n_2020_trim3_csv.zip	924e18a5fc1f4794cf5d04ac3b89fd3ab16d555626f91fe88e22ca097d04dad3	LIBRE-SUJETA-A-CONSULTA
2020T4	enoen	enoe_n_2020_4t_microdatos	enoe_microdatos_post2019/enoe_n_2020_trim4_csv.zip	5d6ce8a6dcc2cace4a1e6e5cbaf9d9c61ad7bbbfa3217ecc9cd2184e2093f6f3	LIBRE-SUJETA-A-CONSULTA
2021T1	enoen	enoe_n_2021_1t_microdatos	enoe_microdatos_post2019/enoe_n_2021_trim1_csv.zip	208c114079eb368201c281e1e84ce34ad1c885a738f63da4dad04e85bd2c0a52	LIBRE-SUJETA-A-CONSULTA
2021T2	enoen	enoe_n_2021_2t_microdatos	enoe_microdatos_post2019/enoe_n_2021_trim2_csv.zip	a9bfb1f1291217714fd27a0dc5d30ee39064ad99f637867808d445294a25b96b	LIBRE-SUJETA-A-CONSULTA
2021T3	enoen	enoe_n_2021_3t_microdatos	enoe_microdatos_post2019/enoe_n_2021_trim3_csv.zip	853512291ddb62ea3e19caff5b008e39bddbc65f8cddd98fe8b5d36e75dec00d	LIBRE-SUJETA-A-CONSULTA
2021T4	enoen	enoe_n_2021_4t_microdatos	enoe_microdatos_post2019/enoe_n_2021_trim4_csv.zip	1baabe0098ce5b1bdeeb4bba8eebe2d4b51eedae3745bc48dad1cd199b736a9b	LIBRE-SUJETA-A-CONSULTA
2022T1	enoen	enoe_n_2022_1t_microdatos	enoe_microdatos_post2019/enoe_n_2022_trim1_csv.zip	5d2792afcac72a3e2c049701bcfeb8111a565d80aed099df5a9b4b5a495fb7d6	LIBRE-SUJETA-A-CONSULTA
2022T2	enoen	enoe_n_2022_2t_microdatos	enoe_microdatos_post2019/enoe_n_2022_trim2_csv.zip	19e194fbdcc70549db19b718c6581ec2fadce883e9683369424bf758f76b705a	LIBRE-SUJETA-A-CONSULTA
2022T3	enoen	enoe_n_2022_3t_microdatos	enoe_microdatos_post2019/enoe_n_2022_trim3_csv.zip	fc47029e5b11943d3006929252e2d378c5f555bbaabe67d704a89c81878596e5	LIBRE-SUJETA-A-CONSULTA
2022T4	enoen	enoe_n_2022_4t_microdatos	enoe_microdatos_post2019/enoe_n_2022_trim4_csv.zip	1c22244fcd4a9f11625fa3cdb68d8c10f5143ba84c076b4e99a61ba822687e5d	LIBRE-SUJETA-A-CONSULTA
2023T1	pos2023	enoe_2023_1t_microdatos	enoe_microdatos_post2019/enoe_2023_trim1_csv.zip	ae627ebd3b749f15b5faf27fdc59dadb69a696a5f359d1faa7aae5eae856041c	LIBRE-SUJETA-A-CONSULTA
2023T2	pos2023	enoe_2023_2t_microdatos	enoe_microdatos_post2019/enoe_2023_trim2_csv.zip	e2035d3a3e3d0789ee10fac875c792c5833fc90f7e1ccb9345e0690dd8c40eb5	LIBRE-SUJETA-A-CONSULTA
2023T3	pos2023	enoe_2023_3t_microdatos	enoe_microdatos_post2019/enoe_2023_trim3_csv.zip	cb91900ad406e1d7435cc51ed418866cbdd08808892d2dd60644516e82be9752	LIBRE-SUJETA-A-CONSULTA
2023T4	pos2023	enoe_2023_4t_microdatos	enoe_microdatos_post2019/enoe_2023_trim4_csv.zip	24f15e1ab8ad942b479b32f491b9e2d8b640ac3c8e79dbea02e74baa78ae9d2e	LIBRE-SUJETA-A-CONSULTA
2024T1	pos2023	enoe_2024_1t_microdatos	enoe_microdatos_post2019/enoe_2024_trim1_csv.zip	5ef594c06487cd277de1ae9f9b0846f9ba64dbd8d743c983002dcf431974d02b	LIBRE-SUJETA-A-CONSULTA
2024T2	pos2023	enoe_2024_2t_microdatos	enoe_microdatos_post2019/enoe_2024_trim2_csv.zip	13922f8902f587939145e0302ec8e6e5fa9fb0df4207229f7447deaaab96e285	LIBRE-SUJETA-A-CONSULTA
2024T3	pos2023	enoe_2024_3t_microdatos	enoe_microdatos_post2019/enoe_2024_trim3_csv.zip	6594158c1a3f9732d9844061e46f95c0abe7ef9f8fe4f7605b72be31c3628ef3	LIBRE-SUJETA-A-CONSULTA
2024T4	pos2023	enoe_2024_4t_microdatos	enoe_microdatos_post2019/enoe_2024_trim4_csv.zip	817f28d20a43fa4fed08195e62df58bf320b31c323a3049fe09b5194a1677305	LIBRE-SUJETA-A-CONSULTA
2025T1	pos2023	enoe_2025_1t_microdatos	enoe_microdatos_post2019/enoe_2025_trim1_csv.zip	dddbb698e7f18f63bc256ece61ac0038a5ad062d42aca13390d88828fb27796e	LIBRE-SUJETA-A-CONSULTA
2025T2	pos2023	enoe_2025_2t_microdatos	enoe_microdatos_post2019/enoe_2025_trim2_csv.zip	291db61afcc472a0933d2bebf46720cfd024df8912dc899d541d8109bd406722	LIBRE-SUJETA-A-CONSULTA
2025T3	pos2023	enoe_2025_3t_microdatos	enoe_microdatos_post2019/enoe_2025_trim3_csv.zip	d2817a14201694e119a3fd6fcb8b8ed7619ea7e26cf8b353761a1ac1f23d6022	LIBRE-SUJETA-A-CONSULTA
2025T4	pos2023	enoe_2025_4t_microdatos	enoe_microdatos_post2019/enoe_2025_trim4_csv.zip	e675b41bde4fb3c183a0abd067738109c6aaf30ed314bc9fc548669fb8a1565d	LIBRE-SUJETA-A-CONSULTA
