# data/cruce-relaciones-noencontrado-v1_0.tsv -- ACTO MAESTRA38-LOTE-CRUCE, pieza (d) (6/sep/2026).
# Las 29 relaciones NO-ENCONTRADO, una fila cada una. NO se edita data/curacion-registro/relaciones.tsv.
# El veredicto es del CONSTRUCTO (necesidad), no de la fuente: relaciones de la misma necesidad comparten veredicto y paralela.
# Medicion: cero. Ningun veredicto de regla.
relacion_id	necesidad_id	fuente_NO_ENCONTRADO	constructo_pedido	veredicto	fuente_paralela	item	texto_reactivo_verbatim	nota	universo_de_busqueda
REL-24f384a417a2151e1245fc59	N14	ENFIH	G5.radio_confianza	PARALELA-CUBRE	LAPOP 2006 + Tercera Encuesta Nacional de Cultura Constitucional	LAPOP06 MEX23 || CultConst P13_1..P13_19 y P12_1..P12_5	MEX23. Ahora le voy a preguntar sobre grupos de personas. Para cada uno ¿podria decirme cuanta confianza tiene en ellos? || P13_2. En una escala de 0 a 10, ¿que tanta confianza tiene usted en la familia? · P13_3 ... en los maestros? · P13_1 ... en la policia? · P12_1. La mayoria de la gente es honrada y se puede confiar en ella	el radio de confianza necesita la MISMA escala aplicada a blancos a distintas distancias sociales; MEX23 (por grupos de personas) y P13 (19 blancos en 0-10, de la familia al INEGI) lo dan, y P12_1 ancla el extremo generalizado. Cubre	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-50e6d069fd121a8a7cd64fc5	N14	ENFIH	G5.radio_confianza	PARALELA-CUBRE	LAPOP 2006 + Tercera Encuesta Nacional de Cultura Constitucional	LAPOP06 MEX23 || CultConst P13_1..P13_19 y P12_1..P12_5	MEX23. Ahora le voy a preguntar sobre grupos de personas. Para cada uno ¿podria decirme cuanta confianza tiene en ellos? || P13_2. En una escala de 0 a 10, ¿que tanta confianza tiene usted en la familia? · P13_3 ... en los maestros? · P13_1 ... en la policia? · P12_1. La mayoria de la gente es honrada y se puede confiar en ella	el radio de confianza necesita la MISMA escala aplicada a blancos a distintas distancias sociales; MEX23 (por grupos de personas) y P13 (19 blancos en 0-10, de la familia al INEGI) lo dan, y P12_1 ancla el extremo generalizado. Cubre	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-1d9d402e2e1aa77c9c01cb5f	N17	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	tramite.gobierno_digital.coercitivo	NINGUNA-EN-CORPUS				misma busqueda y mismo resultado que la pieza (e): 0 aciertos con texto de 'firma electr|e.firma|certificado digital|firma digital' sobre 350 832 filas, con control positivo 'tramite' -> 26. Las tres relaciones de esta necesidad (MMAD bajo sus dos nombres, y CSES) no tienen paralela porque el corpus entero no tiene el reactivo. Coincide con ya_medido.py: NUNCA-MEDIDA	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-48285fd8e0a22a38147245ed	N17	CSES	tramite.gobierno_digital.coercitivo	NINGUNA-EN-CORPUS				misma busqueda y mismo resultado que la pieza (e): 0 aciertos con texto de 'firma electr|e.firma|certificado digital|firma digital' sobre 350 832 filas, con control positivo 'tramite' -> 26. Las tres relaciones de esta necesidad (MMAD bajo sus dos nombres, y CSES) no tienen paralela porque el corpus entero no tiene el reactivo. Coincide con ya_medido.py: NUNCA-MEDIDA	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-e247f2d5250d822fb74a0638	N17	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	tramite.gobierno_digital.coercitivo	NINGUNA-EN-CORPUS				misma busqueda y mismo resultado que la pieza (e): 0 aciertos con texto de 'firma electr|e.firma|certificado digital|firma digital' sobre 350 832 filas, con control positivo 'tramite' -> 26. Las tres relaciones de esta necesidad (MMAD bajo sus dos nombres, y CSES) no tienen paralela porque el corpus entero no tiene el reactivo. Coincide con ya_medido.py: NUNCA-MEDIDA	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-943ed2bde102c6e791588b3b	N19	CANAL_DE_ADQUISICION_REFERIDOS_FINTECH	dinero.ahorro.con_puente_y_respaldo	PARALELA-PARCIAL	MEX 2011 LFEPIE	q16 y q17	q16 Participate in caja de ahorro · q17 What kind of caja de ahorro	cubre el PUENTE (participacion en ahorro informal colectivo y su tipo), que es la mitad del constructo. No cubre el RESPALDO (que garantiza el ahorro, quien responde si se pierde), que es la otra mitad y la que hace la regla. Ademas el texto esta en ingles y sin desagregacion, asi que el ajuste al constructo es de forma, no solo de contenido	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-5b73940bf28cdfa8c4caa7d5	N20	DENUNCIA_VINCULADA_CON_TENENCIA_DE_SEGURO	civico.denuncia.con_seguro	PARALELA-CUBRE	Encuesta Nacional de Movilidad y Transporte (UNAM-IIJ, losmexicanos) -- dos archivos del mismo estudio	principal p25_7_1..p25_7_6 || archivo Automoviles p8h	25.7 ¿Denuncio? [p25_7_1] Robo a transeunte / [p25_7_4] Robo de vehiculo / [p25_7_6] Delito sexual || 8h. ¿Su automovil esta asegurado?	las dos mitades del constructo (denuncia del delito x tenencia de seguro) existen en el mismo estudio, con el tipo de delito desagregado y el seguro preguntado sobre el bien exacto del robo de vehiculo. RESERVA declarada: viven en dos archivos distintos (principal y Automoviles) y este acto NO verifico que exista llave de union a nivel individuo -- si no la hay, baja a PARCIAL. Se dice antes de que otro acto lo suponga	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-ee1e829631a8bb7de93bcfd3	N26	CSES	R7.3 (civico.voto.agencia_con_secreto)	PARALELA-CUBRE	CIDE-CSES 2015 (estatal preelectoral) -- ver pieza (b)	p14, pvoto1, pvoto2, pvoto3	p14. La ley dice que el voto es secreto ... ¿Usted cree que es cierto o es falso que nadie puede saber por quien voto usted? (pvoto1/pvoto2/pvoto3: la misma pregunta con tres preambulos distintos = experimento de encuadre)	la relacion NO-ENCONTRADO era contra CSES5 (modulo internacional, 0 filas con texto en el corpus). La paralela es CIDE-CSES 2015, que es el estudio mexicano de la misma familia y SI trae el reactivo, con experimento de encuadre encima. Inventariada por este acto	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-2d35060cfdd2db498089f7c9	N3	ENASIC	G2.sens_estatus	PARALELA-PARCIAL	Tercera Encuesta Nacional de Cultura Constitucional (UNAM-IIJ) + LAPOP 2006	CultConst P91_1..P91_15 || LAPOP06 DIS2	P91_11. En lo personal, ¿alguna vez ha sentido que sus derechos no han sido respetados debido a Por su educacion? · P91_10 ... Su acento al hablar · P91_12 ... Por su forma de vestir · P91_14 ... Trabajar en el campo || DIS2. ¿Alguna vez se ha sentido discriminado o tratado de manera injusta por su apariencia fisica o su forma de hablar?	la bateria P91 mide DISCRIMINACION PERCIBIDA por marcador de estatus (educacion, acento, vestido, trabajo en el campo), que es el brazo receptor del constructo. Lo que no mide es la SENSIBILIDAD -- cuanto le importa al respondente como lo ven, que es el driver que G2.sens_estatus nombra. Un brazo de dos, por eso PARCIAL	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-3b746c49c7c051083df6ee81	N3	ENFIH	G2.sens_estatus	PARALELA-PARCIAL	Tercera Encuesta Nacional de Cultura Constitucional (UNAM-IIJ) + LAPOP 2006	CultConst P91_1..P91_15 || LAPOP06 DIS2	P91_11. En lo personal, ¿alguna vez ha sentido que sus derechos no han sido respetados debido a Por su educacion? · P91_10 ... Su acento al hablar · P91_12 ... Por su forma de vestir · P91_14 ... Trabajar en el campo || DIS2. ¿Alguna vez se ha sentido discriminado o tratado de manera injusta por su apariencia fisica o su forma de hablar?	la bateria P91 mide DISCRIMINACION PERCIBIDA por marcador de estatus (educacion, acento, vestido, trabajo en el campo), que es el brazo receptor del constructo. Lo que no mide es la SENSIBILIDAD -- cuanto le importa al respondente como lo ven, que es el driver que G2.sens_estatus nombra. Un brazo de dos, por eso PARCIAL	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-6c97fe0c5cb528557054a838	N3	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	G2.sens_estatus	PARALELA-PARCIAL	Tercera Encuesta Nacional de Cultura Constitucional (UNAM-IIJ) + LAPOP 2006	CultConst P91_1..P91_15 || LAPOP06 DIS2	P91_11. En lo personal, ¿alguna vez ha sentido que sus derechos no han sido respetados debido a Por su educacion? · P91_10 ... Su acento al hablar · P91_12 ... Por su forma de vestir · P91_14 ... Trabajar en el campo || DIS2. ¿Alguna vez se ha sentido discriminado o tratado de manera injusta por su apariencia fisica o su forma de hablar?	la bateria P91 mide DISCRIMINACION PERCIBIDA por marcador de estatus (educacion, acento, vestido, trabajo en el campo), que es el brazo receptor del constructo. Lo que no mide es la SENSIBILIDAD -- cuanto le importa al respondente como lo ven, que es el driver que G2.sens_estatus nombra. Un brazo de dos, por eso PARCIAL	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-796c0458c0c71745f0a6b2a4	N3	ISSP	G2.sens_estatus	PARALELA-PARCIAL	Tercera Encuesta Nacional de Cultura Constitucional (UNAM-IIJ) + LAPOP 2006	CultConst P91_1..P91_15 || LAPOP06 DIS2	P91_11. En lo personal, ¿alguna vez ha sentido que sus derechos no han sido respetados debido a Por su educacion? · P91_10 ... Su acento al hablar · P91_12 ... Por su forma de vestir · P91_14 ... Trabajar en el campo || DIS2. ¿Alguna vez se ha sentido discriminado o tratado de manera injusta por su apariencia fisica o su forma de hablar?	la bateria P91 mide DISCRIMINACION PERCIBIDA por marcador de estatus (educacion, acento, vestido, trabajo en el campo), que es el brazo receptor del constructo. Lo que no mide es la SENSIBILIDAD -- cuanto le importa al respondente como lo ven, que es el driver que G2.sens_estatus nombra. Un brazo de dos, por eso PARCIAL	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-c9a73bd2a8258784f9f08ea8	N3	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	G2.sens_estatus	PARALELA-PARCIAL	Tercera Encuesta Nacional de Cultura Constitucional (UNAM-IIJ) + LAPOP 2006	CultConst P91_1..P91_15 || LAPOP06 DIS2	P91_11. En lo personal, ¿alguna vez ha sentido que sus derechos no han sido respetados debido a Por su educacion? · P91_10 ... Su acento al hablar · P91_12 ... Por su forma de vestir · P91_14 ... Trabajar en el campo || DIS2. ¿Alguna vez se ha sentido discriminado o tratado de manera injusta por su apariencia fisica o su forma de hablar?	la bateria P91 mide DISCRIMINACION PERCIBIDA por marcador de estatus (educacion, acento, vestido, trabajo en el campo), que es el brazo receptor del constructo. Lo que no mide es la SENSIBILIDAD -- cuanto le importa al respondente como lo ven, que es el driver que G2.sens_estatus nombra. Un brazo de dos, por eso PARCIAL	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
