seccion	item	url	tipo	formato	frecuencia_o_ventana	que_mide_o_contiene	clasificacion_a4	universo_busqueda	receta_manual	notas
P1	Datos_Abiertos_datosgobmx_enaproce	https://datos.gob.mx/dataset/?organization=inegi&q=enaproce	catalogo CKAN federal	HTML + API CKAN	n/a	no confirmado si existe dataset ENAPROCE/ENESTYC en este portal	NO-ENCONTRADO (no confirmado presente ni ausente en el universo de busqueda de esta sesion -- requiere abrir para saber)	WebSearch: 'datos.gob.mx ENAPROCE OR ENESTYC INEGI catalogo'; 'datos.gob.mx organization inegi dataset enaproce OR enestyc'	GET https://datos.gob.mx/api/3/action/package_search?q=enaproce&fq=organization:inegi (API CKAN publica, sin token)	Portal generico confirmado vivo con organizacion INEGI (datos.gob.mx/dataset/?organization=inegi); dataset especifico ENAPROCE/ENESTYC ni confirmado ni descartado en esta sesion
P2	Datos_Abiertos_INEGI	https://www.inegi.org.mx/servicios/datosabiertos.html	landing + norma tecnica	CSV/KML/Zip/GeoJSON/GeoTIFF/PNG segun snippet; enlaces a WMS/WFS	n/a	microdato (via Descarga Masiva)/tabulado/serie/geo -- puerta paraguas que enlaza a Descarga Masiva, Banco de Indicadores, BIE y Microdatos	EXISTE-NO-SATISFACE (landing confirmada por busqueda; contenido real ya cubierto por Descarga Masiva, que DESC-1 ya indexo)	WebSearch: 'INEGI datos abiertos inegi.org.mx catalogo formatos csv api propio'	abrir landing, navegar a cada sub-sistema enlazado	Direccionamiento: URL persistente por sistema, no por recurso individual dentro de cada sistema (excepto Descarga Masiva via XML de canasta, ya usado por DESC-1). Automatizable: si, via XML de canasta (ya probado) o via CKAN federal (datos.gob.mx). Sonda de vida: curl -s -o /dev/null -w '%{http_code}' bloqueada por proxy de este entorno, ver forense/notas -- NO OBTENIDO POR ESTE AGENTE
P2	BIE_Banco_Informacion_Economica	https://www.inegi.org.mx/sistemas/bie/	arbol tematico interactivo (JS)	visualizacion + exportacion declarada en snippet (no confirmado formato exacto)	series originales/desestacionalizadas/tendencia, quincenal/mensual/trimestral/anual segun indicador	series de coyuntura economica: empleo, comercio exterior, precios, etc. (Sistema de Cuentas Nacionales incluido)	EXISTE-NO-SATISFACE (existencia confirmada; NO confirmado si expone endpoint JSON publico sin token o si exige exportacion manual desde la interfaz)	WebSearch: 'INEGI Banco de Informacion Economica BIE inegi.org.mx acceso series'	abrir arbol tematico, expandir hasta la serie deseada, exportar via boton de la interfaz	Direccionamiento: URL con parametro idserPadre visto en un resultado (?idserPadre=1000021500500050) -- sugiere que series individuales SI tienen URL/parametro persistente, no confirmado que sea suficiente para automatizar sin JS. Sonda de vida bloqueada por proxy, NO OBTENIDO POR ESTE AGENTE
P2	Banco_de_Indicadores_y_su_API	https://www.inegi.org.mx/app/indicadores/ ; doc API https://www.inegi.org.mx/servicios/api_indicadores.html	API REST + interfaz de consulta	JSON/JSONP/XML	segun indicador; historica completa o solo dato mas reciente, parametrizable	indicadores nacional/estatal/municipal; requiere IdIndicador via Constructor de Consultas	EXISTE-SATISFACE (API documentada, con parametros claros: version, token, formato, IdIndicador, area geografica, oportuno/historica)	WebSearch: 'INEGI Banco de Indicadores inegi.org.mx/app/indicadores API'; 'INEGI Servicios Web API token indicadores.json documentacion'	Registrar token gratis (formulario enlazado desde api_indicadores.html) -> GET https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/IDINDICADOR/es/0700/false/BIE/2.0/TOKEN?type=json (patron de URL segun documentacion de terceros -- confirmar exacto en la doc oficial antes de usar)	Automatizable: SI, claramente diseñada para consumo programatico -- existen wrappers de terceros ya publicados (paquete R inegiR, script Python DatosMex) que confirman el patron funciona en la practica. Registro gratuito no cuenta como NO-ACCESIBLE
P2	APIs_Servicios_Web_INEGI_coleccion	https://www.inegi.org.mx/servicios/	coleccion de APIs REST	JSON/XML/JSONP segun API	n/a	Indicadores, DENUE (directorio de unidades economicas), Ruteo (geolocalizacion/rutas), entre otras -- cada una con doc propia	EXISTE-SATISFACE (varias APIs documentadas y con wrappers de terceros confirmados: DENUE api_denue.html, Ruteo)	misma busqueda que Banco de Indicadores + 'INEGI servicios api_denue.html Ruteo'	cada API tiene su propia doc bajo inegi.org.mx/servicios/api_*.html; token compartido o por API segun documentacion	Puerta paraguas -- Banco de Indicadores (fila anterior) es una de estas APIs, listada aparte por instruccion expresa del encargo
P2	Acervo_Digital_Biblioteca_Publicaciones	https://www.inegi.org.mx/app/publicaciones/	buscador + descarga individual de documentos	PDF (documentos metodologicos, libros, tabulados en PDF)	n/a	documento -- metodologias, libros, informes; NO microdato ni serie	EXISTE-NO-SATISFACE (existencia confirmada como 'Biblioteca digital de Publicaciones'; sirve documento, no microdato/serie)	WebSearch: 'biblioteca.inegi.org.mx OR acervo digital INEGI catalogo publicaciones libros'; 'INEGI Sala de prensa OR Publicaciones y productos acervo digital descarga'	abrir buscador, filtrar por programa/tema/año, descargar PDF individual	Candidato interpretado para 'Acervo Digital' nombrado por el encargo -- el termino exacto 'Acervo Digital' NO aparecio literal en los resultados de busqueda; se usa 'Biblioteca digital de Publicaciones' (app/publicaciones/) como la puerta mas cercana encontrada. Existe tambien 'Biblioteca digital de Mapas' (app/mapas/), puerta geografica distinta, fuera de la lista de 6 declarada por el encargo. Automatizable: parcial, sin API confirmada, requeriria scraping HTML
P2	SIE_Banxico_referencia_cruzada	https://www.banxico.org.mx/SieAPIRest/service/v1/	ver PARTE 0	ver PARTE 0	ver PARTE 0	ver PARTE 0	ver filas P0	ver PARTE 0	ver PARTE 0	Puerta ya cubierta en detalle en la seccion P0 de este mismo TSV -- fila de referencia cruzada, no repite el sondeo
P3	R3.4	candidatas: SIE Banxico API / codi.org.mx/secundarias/estadisticas.html / Informe Anual Infraestructuras Mercados Financieros	cruce regla-puerta	n/a	n/a	serie de adopcion/uso CoDi y SPEI 2019-hoy, agregado nacional	SIN-FETCH -- localizada por busqueda, no verificada	ver filas P0	ver filas P0	Que verificar: id de serie SIE exacto (o abrir Informe Anual 2024/2025 y codi.org.mx/estadisticas), y reconciliar 3.09M (5 años, Cobertura360) vs 21.8M/17.8M (6 años, El Economista/Fintechexpert) contra la fuente primaria de Banxico, no contra prensa. Quien baja: MED (es su propia ficha R3.4, no DESC-2 -- la ficha misma dice 'esta sesion no abre... series de SPEI/CoDi de Banxico', asignado a la calibracion de gobernanza:271)
P3	R2.1_R2.2_R10.2	ninguna puerta nueva localizada en este acto	cruce regla-puerta	n/a	n/a	clima organizacional/rotacion-liderazgo (R2.1/R2.2) y rotacion/desempeño vs retroalimentacion publica-privada (R10.2)	SIN CANDIDATA (dato organizacional propietario, mismo hueco que forense/cruce-catalogo-fichas-v2_0.md ya declara NO EXISTE para las tres)	ninguna de las 6 puertas sondeadas en P2 ni Banxico (P0) contiene panel de clima organizacional o rotacion/liderazgo por tipo de empresa	n/a	CONTRADICCION DOCUMENTAL ENCONTRADA, NO RESUELTA AQUI: forense/hallazgos.md, entrada DESC-1 (2026-08-05) declara estas tres reglas 'dependen PARCIALMENTE de las bases ejemplo de ENAPROCE/ENESTYC', mientras forense/cruce-catalogo-fichas-v2_0.md (lineas 58-59,109) las marca NO EXISTE por ser dato organizacional propietario sin relacion declarada con ENAPROCE/ENESTYC. Este acto no adjudica cual de los dos textos esta desactualizado o equivocado -- se señala para que mesa lo reconcilie. Quien baja: nadie hasta que la contradiccion se resuelva
P3	R1.4_R7.1_R7.3_R7.4_R7.5_R8.1_R8.2_R8.3_R10.1	ninguna puerta nueva localizada en este acto	cruce regla-puerta	n/a	n/a	panel de consumo por estrato (R1.4); resultados electorales por seccion vinculados a INE, no INEGI/Banxico (R7.1/R7.3); registro de eventos de conflicto (R7.4/R7.5); inventario de comites vecinales (R8.1); plataforma de tandas digitales propietaria (R8.2); reconciliacion LAPOP/Latinobarometro (R8.3); estudio academico puntual de actos de habla (R10.1)	SIN CANDIDATA desde las 6 puertas + Banxico sondeadas en este acto	las 9 reglas revisadas contra el universo de este acto (Datos Abiertos, BIE, Banco de Indicadores, APIs, Acervo Digital, SIE Banxico) via forense/cruce-catalogo-fichas-v2_0.md	n/a	Los huecos de estas 9 reglas son de naturaleza distinta a lo que estas puertas sirven (dato propietario de plataforma privada, panel de consumo minorista, registro de eventos de conflicto social, estudio academico unico, o pertenecen a INE -- institucion fuera del universo declarado de este acto). No se fuerza ningun cruce artificial. Quien baja: nadie -- no hay puerta candidata
