# residual por objeto exacto; no equivale a ausencia cientifica
# {"extractor_version": "reactivos-contexto-1.1.7", "filas_con_texto_publicadas": 43020, "filas_metadato_perimetro": 55895, "filas_sin_texto_residual": 12875, "fuentes": {"FD_ENCUCI2020.pdf": "6cd6f7475a0b", "enif_2015_fd.xlsx": "8233cf53f590", "enif_2018_fd.xlsx": "dd8d5c92a7a0", "enif_2021_fd_pdf.zip": "6f4e3aab705d", "enif_2024_fd.xlsx": "17e2ad86ce9e", "ensafi2023/ensafi_2023_fd_xlsx.zip": "37bd0cb6dd54", "envipe2011/fd_envipe2011.xls": "d296c9f18cdb", "envipe2012/fd_envipe2012.xls": "dcca5373391c", "envipe2013/fd_envipe2013.xlsx": "7e842826e3f7", "envipe2014/fd_envipe2014.pdf": "b72ed2be77d4", "envipe2015/fd_envipe2015.pdf": "1042ab57b015", "envipe2016/fd_envipe2016.pdf": "e21428e021a6", "envipe2017/fd_envipe2017.pdf": "a633224e86cd", "fd_enif2012.xlsx": "f03d8e7c82f5", "fd_envipe2018.pdf": "30f78e99e545", "fd_envipe2019.pdf": "47d58f6c38b7", "fd_envipe2020.pdf": "94bcf0b012b9", "fd_envipe2021.pdf": "d85775241d6f", "fd_envipe2022.pdf": "8082959fa017", "fd_envipe2023.pdf": "743c260e89a6", "fd_envipe2024.pdf": "f8d720385957", "fd_envipe2025.pdf": "83fe02467b66"}, "grupos_residuales": 6091, "motivos_residuales": {"CORRESPONDENCIA_AMBIGUA": 2642, "ETIQUETA_TECNICA_NO_ACREDITADA": 2679, "FILA_AUXILIAR_SIN_REACTIVO": 7462, "PREGUNTA_NO_LOCALIZADA": 92}, "objetos": ["envipe", "ennvih", "encuci", "enif", "ensafi"]}
instrumento	ola	payload_id	archivo_miembro	motivo	filas_fisicas	variables_logicas	variables_ejemplo	siguiente_accion
enif2012	2012	fd_enif2012.xlsx	NOTAS ACLARATORIAS	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	INEGI. Encuesta Nacional de Inclusión Financiera (ENIF) 2012. Descripción de archivos	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2012	2012	fd_enif2012.xlsx	TMODULO1	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	INEGI. Encuesta Nacional de Inclusión Financiera (ENIF) 2012. Descripción de archivos	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2012	2012	fd_enif2012.xlsx	TMODULO2	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	INEGI. Encuesta Nacional de Inclusión Financiera (ENIF) 2012. Descripción de archivos	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2012	2012	fd_enif2012.xlsx	TSDEM	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	INEGI. Encuesta Nacional de Inclusión Financiera (ENIF) 2012. Descripción de archivos	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2012	2012	fd_enif2012.xlsx	TVIVIENDA	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	INEGI. Encuesta Nacional de Inclusión Financiera (ENIF) 2012. Descripción de archivos	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2015	2015	enif_2015_bd_dbf.zip	tmodulo2.DBF	PREGUNTA_NO_LOCALIZADA	1	1	P6_8_A	verificar el PDF/XLS exacto; OCR local si el glifo no es extraible
enif2015	2015	enif_2015_bd_sav.zip	tmodulo2.sav	PREGUNTA_NO_LOCALIZADA	1	1	p6_8_a	verificar el PDF/XLS exacto; OCR local si el glifo no es extraible
enif2015	2015	enif_2015_fd.xlsx	Cifras de control	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	INEGI. Encuesta Nacional de Inclusión Financiera (ENIF) 2015. Cifras de control. 2016.	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2015	2015	enif_2015_fd.xlsx	Índice	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	INEGI. Encuesta Nacional de Inclusión Financiera (ENIF) 2015. Descripción de archivos. 2016.	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2018	2018	enif2018_csv.zip	0_indice_tablas_enif_2018.csv	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	Encuesta Nacional de Inclusión Financiera ENIF 2018	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/edad.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_10_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_10_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_10_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_10_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_10_5.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_10_6.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_10_7.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_11_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_11_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_13.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_14.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_15_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_15_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_3_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_3_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_3_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_3_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_3_5.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_3_6.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_3_7.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_4_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_4_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_6_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_6_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_7_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_7_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_8.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p10_9.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_1_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_1_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_1_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_2_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_2_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_2_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_2_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_2_9.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_4_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_4_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_4_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_4_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_5_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_5_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_5_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_5_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_6_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_6_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_6_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p11_6_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p12_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p12_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p12_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p12_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_2_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_2_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_2_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_2_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_3_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_3_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_3_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_4_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_4_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p13_4_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_10_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_11_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_1_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_1_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_1_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_1_4.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_1_5.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_1_6.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p7_1_7.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p8_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p8_10_1.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p8_10_2.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
enif2018	2018	enif2018_csv.zip	conjunto_de_datos_tmodulo2_enif_2018/catalogos/p8_10_3.csv	FILA_AUXILIAR_SIN_REACTIVO	2	2	cve,descrip	acreditar etiqueta tecnica del descriptor; no inventar pregunta
