# data/curacion-radio-confianza-v1_0.tsv -- ACTO MAESTRA32-E20 · LOTE-NUBE-1 · P1 (re-emision de MAESTRA32-E17), 31/ago/2026
# reactivo x referente x instrumento x ola x peldano. Escalera de 5 peldanos corrida COMPLETA. 269320 filas de inventario examinadas (union de los 4 inventarios).
# referente por lista cerrada de la receta (a); orden de resolucion OTRO -> INSTITUCIONAL -> INTERPERSONAL -> OTRO por defecto.
# Filas de la PASADA 2 (A.13: el texto del reactivo vive en texto_reactivo O en variable_id segun el metodo de extraccion).
# La pasada 1 (receta literal, solo texto_reactivo) esta reportada en la nota de cierre; no produce filas propias porque es subconjunto de esta.
peldano	pasada	instrumento	ola	payload_id	archivo_miembro	variable_id	lado	referente	texto_reactivo	metodo	inventario
1	2	endireh2006	2006	endireh2006/fd_endireh06.xls	endireh2006/fd_endireh06.xls	P4_2	DESENLACE-G5	n/a	Su actual marido o pareja vive con usted la mayor parte del año	INSPECT_XLS_FD	inventario-fd-ext-v1_0.tsv
1	2	endireh2006	2006	endireh2006/fd_endireh06.xls	endireh2006/fd_endireh06.xls	P7_21	DESENLACE-G5	n/a	Desde que vive con su esposo alguna vez pensado quitarse la vida	INSPECT_XLS_FD	inventario-fd-ext-v1_0.tsv
1	2	endireh2006	2006	endireh2006/fd_endireh06.xls	endireh2006/fd_endireh06.xls	P13_4	DESENLACE-G5	n/a	Ud. cuida a sus nietos	INSPECT_XLS_FD	inventario-fd-ext-v1_0.tsv
1	2	endireh2006	2006	endireh2006/fd_endireh06.xls	endireh2006/fd_endireh06.xls	P11_4	DESENLACE-G5	n/a	Usted cuida a sus nietos	INSPECT_XLS_FD	inventario-fd-ext-v1_0.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_1. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_10. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INTERPERSONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_11. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INTERPERSONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_12. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? E	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_13. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_14. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? E	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_15. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? E	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_16. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_17. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_18. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_19. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_2. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_20. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_21. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_22. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_23. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_24. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? E	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_25. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_26. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_27. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? L	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_3. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_4. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_5. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Lo	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_6. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? La	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_7. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Lo	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_8. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Lo	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P30_9. En una escala de calificación de 0 a 10 donde 0 es nada y 10 es mucho, por favor dígame ¿Qué tanto confía en…? Lo	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P31. ¿Qué tanta confianza le tiene usted a las leyes mexicanas?	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P32. ¿Con qué frecuencia confía usted en que el gobierno de México hace lo correcto?	THETA	INSTITUCIONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P34. En general, ¿diría usted qué se puede confiar en la mayoría de las personas?	THETA	INTERPERSONAL		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P35A. ¿Qué tanto diría usted que puede confiar en los bienes y servicios que proporciona El sector público	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P35B. ¿Qué tanto diría usted que puede confiar en los bienes y servicios que proporciona El sector privado	THETA	OTRO		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
2	2	encup2012	2012	encup_2012_base_datos_xlsx.xlsx	BaseDatos_ENCUP_2012_Final	P28B. Dígame si está usted de acuerdo o en desacuerdo con las siguientes frases Si uno no se cuida a sí mismo la gente s	DESENLACE-G5	n/a		INSPECT_XLSX	inventario-reactivos-v1_2.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh05dta_all.zip	ehh05dta_b3b/iiib_co.dta	co05	THETA	OTRO	USTED DIGNO DE CONFIANZA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh05dta_all.zip	ehh05dta_b2/ii_vlh.dta	vlh01n	THETA	OTRO	GENTE LOCALIDAD CONFIANZA?	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh09dta_all.zip	ehh09dta_all/ehh09dta_b2/ii_vlh.dta	vlh01n	THETA	OTRO	GENTE LOCALIDAD CONFIANZA?	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh09dta_all.zip	ehh09dta_all/ehh09dta_b3b/iiib_co.dta	co05	THETA	OTRO	USTED DIGNO DE CONFIANZA?	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1b	DESENLACE-G5	n/a	MADRE VIVE CON CONYUGE	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1c	DESENLACE-G5	n/a	MADRE VIVE CON HIJA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1d	DESENLACE-G5	n/a	MADRE VIVE CON HIJO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1e	DESENLACE-G5	n/a	MADRE VIVE CON CUNADO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1f	DESENLACE-G5	n/a	MADRE VIVE CON HERMANA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1g	DESENLACE-G5	n/a	MADRE VIVE CON HERMANO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1h	DESENLACE-G5	n/a	MADRE VIVE CON NIETO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1i	DESENLACE-G5	n/a	MADRE VIVE CON PADRES	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27m_1j	DESENLACE-G5	n/a	MADRE VIVE CON OTROS	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1b	DESENLACE-G5	n/a	PADRE VIVE CON CONYUGE	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1c	DESENLACE-G5	n/a	PADRE VIVE CON HIJA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1d	DESENLACE-G5	n/a	PADRE VIVE CON HIJO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1e	DESENLACE-G5	n/a	PADRE VIVE CON CUNADO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1f	DESENLACE-G5	n/a	PADRE VIVE CON HERMANA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1g	DESENLACE-G5	n/a	PADRE VIVE CON HERMANO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1h	DESENLACE-G5	n/a	PADRE VIVE CON NIETO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1i	DESENLACE-G5	n/a	PADRE VIVE CON PADRES	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b3b/iiib_tp.dta	tp27p_1j	DESENLACE-G5	n/a	PADRE VIVE CON OTROS	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_b4/iv_res.dta	res02	DESENLACE-G5	n/a	HIJOS VIVOS VIVE CON USTED?	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bc/c_ls.dta	ls08	DESENLACE-G5	n/a	CUIDA AL MENOR	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1b	DESENLACE-G5	n/a	MADRE VIVE CON CONYUGE	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1c	DESENLACE-G5	n/a	MADRE VIVE CON HIJA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1d	DESENLACE-G5	n/a	MADRE VIVE CON HIJO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1e	DESENLACE-G5	n/a	MADRE VIVE CON CUNADO/A	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1f	DESENLACE-G5	n/a	MADRE VIVE CON HERMANA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1g	DESENLACE-G5	n/a	MADRE VIVE CON HERMANO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1h	DESENLACE-G5	n/a	MADRE VIVE CON NIETO/A	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1i	DESENLACE-G5	n/a	MADRE VIVE CON SU MADRE/MADRE	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27m_1j	DESENLACE-G5	n/a	MADRE VIVE CON OTRO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27p_1b	DESENLACE-G5	n/a	PADRE VIVE CON CONYUGE	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27p_1c	DESENLACE-G5	n/a	PADRE VIVE CON HIJA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27p_1d	DESENLACE-G5	n/a	PADRE VIVE CON HIJO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27p_1e	DESENLACE-G5	n/a	PADRE VIVE CON CUNADO/A	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27p_1f	DESENLACE-G5	n/a	PADRE VIVE CON HERMANA	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27p_1g	DESENLACE-G5	n/a	PADRE VIVE CON HERMANO	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27p_1h	DESENLACE-G5	n/a	PADRE VIVE CON NIETO/A	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
3	2	(sin-instrumento-derivable)	NO_DETERMINADA	ennvih/ehh02dta_all.zip	ehh02dta_all/ehh02dta_bx/p_tp.dta	tp27p_1i	DESENLACE-G5	n/a	PADRE VIVE CON SU PADRE/MADRE	INSPECT_STATA	inventario-reactivos-ext-v1_0.tsv
