tabla	variable	presente_pre_2019	presente_post_2019	clase
COE1	P2J	si	si	AMBAS
COE1	P2K	si	si	AMBAS
COE1	P2K_ANIO	si	si	AMBAS
COE1	P2K_MES	si	si	AMBAS
COE1	P2_1	si	si	AMBAS
COE1	P2_2	si	si	AMBAS
COE1	P2_3	si	si	AMBAS
COE1	P2_4	si	si	AMBAS
COE1	P2_9	si	si	AMBAS
COE1	P3	si	si	AMBAS
COE1	P3A	si	si	AMBAS
COE1	P3B	si	si	AMBAS
COE1	P3C1	si	si	AMBAS
COE1	P3C2	si	si	AMBAS
COE1	P3C3	si	si	AMBAS
COE1	P3C4	si	si	AMBAS
COE1	P3C9	si	si	AMBAS
COE1	P3D	si	si	AMBAS
COE1	P3E	si	si	AMBAS
COE1	P3F1	si	si	AMBAS
COE1	P3F2	si	si	AMBAS
COE1	P3G1_1	si	si	AMBAS
COE1	P3G1_2	si	si	AMBAS
COE1	P3G2_1	si	si	AMBAS
COE1	P3G2_2	si	si	AMBAS
COE1	P3G3_1	si	si	AMBAS
COE1	P3G3_2	si	si	AMBAS
COE1	P3G4_1	si	si	AMBAS
COE1	P3G4_2	si	si	AMBAS
COE1	P3G9	si	si	AMBAS
COE1	P3G_TOT	si	si	AMBAS
COE1	P3H	si	si	AMBAS
COE1	P3I	si	si	AMBAS
COE1	P3J	si	si	AMBAS
COE1	P3J1	si	si	AMBAS
COE1	P3J2	si	si	AMBAS
COE1	P3K1	si	si	AMBAS
COE1	P3K2	si	si	AMBAS
COE1	P3K3	si	si	AMBAS
COE1	P3K4	si	si	AMBAS
COE1	P3K5	si	si	AMBAS
COE1	P3K9	si	si	AMBAS
COE1	P3L	si	si	AMBAS
COE1	P3L1	si	si	AMBAS
COE1	P3L2	si	si	AMBAS
COE1	P3L3	si	si	AMBAS
COE1	P3L4	si	si	AMBAS
COE1	P3L5	si	si	AMBAS
COE1	P3L9	si	si	AMBAS
COE1	P3M1	si	si	AMBAS
COE1	P3M2	si	si	AMBAS
COE1	P3M3	si	si	AMBAS
COE1	P3M4	si	si	AMBAS
COE1	P3M5	si	si	AMBAS
COE1	P3M6	si	si	AMBAS
COE1	P3M7	si	si	AMBAS
COE1	P3M8	si	si	AMBAS
COE1	P3M9	si	si	AMBAS
COE1	P3N	si	si	AMBAS
COE1	P3O	si	si	AMBAS
COE1	P3P1	si	si	AMBAS
COE1	P3P2	si	si	AMBAS
COE1	P3Q	si	si	AMBAS
COE1	P3R	si	si	AMBAS
COE1	P3R_ANIO	si	si	AMBAS
COE1	P3R_MES	si	si	AMBAS
COE1	P3S	si	si	AMBAS
COE1	P3T_ANIO	si	si	AMBAS
COE1	P3T_MES	si	si	AMBAS
COE1	P4	si	si	AMBAS
COE1	P4A	si	si	AMBAS
COE1	P4A_1	si	si	AMBAS
COE1	P4B	si	si	AMBAS
COE1	P4C	si	si	AMBAS
COE1	P4D1	si	si	AMBAS
COE1	P4D2	si	si	AMBAS
COE1	P4D3	si	si	AMBAS
COE1	P4E	si	si	AMBAS
COE1	P4F	si	si	AMBAS
COE1	P4G	si	si	AMBAS
COE1	P4H	si	si	AMBAS
COE1	P4I	si	si	AMBAS
COE1	P4I_1	si	si	AMBAS
COE1	P4_1	si	si	AMBAS
COE1	P4_2	si	si	AMBAS
COE1	P4_3	si	si	AMBAS
COE1	P5	si	si	AMBAS
COE1	P5A	si	si	AMBAS
COE1	P5B	si	si	AMBAS
COE1	P5B_HDO	si	si	AMBAS
COE1	P5B_HJU	si	si	AMBAS
COE1	P5B_HLU	si	si	AMBAS
COE1	P5B_HMA	si	si	AMBAS
COE1	P5B_HMI	si	si	AMBAS
COE1	P5B_HSA	si	si	AMBAS
COE1	P5B_HVI	si	si	AMBAS
COE1	P5B_MDO	si	si	AMBAS
COE1	P5B_MJU	si	si	AMBAS
COE1	P5B_MLU	si	si	AMBAS
COE1	P5B_MMA	si	si	AMBAS
COE1	P5B_MMI	si	si	AMBAS
COE1	P5B_MSA	si	si	AMBAS
COE1	P5B_MVI	si	si	AMBAS
COE1	P5B_TDIA	si	si	AMBAS
COE1	P5B_THRS	si	si	AMBAS
COE1	P5C	si	si	AMBAS
COE1	P5C_HDO	si	si	AMBAS
COE1	P5C_HJU	si	si	AMBAS
COE1	P5C_HLU	si	si	AMBAS
COE1	P5C_HMA	si	si	AMBAS
COE1	P5C_HMI	si	si	AMBAS
COE1	P5C_HSA	si	si	AMBAS
COE1	P5C_HVI	si	si	AMBAS
COE1	P5C_MDO	si	si	AMBAS
COE1	P5C_MJU	si	si	AMBAS
COE1	P5C_MLU	si	si	AMBAS
COE1	P5C_MMA	si	si	AMBAS
COE1	P5C_MMI	si	si	AMBAS
COE1	P5C_MSA	si	si	AMBAS
COE1	P5C_MVI	si	si	AMBAS
COE1	P5C_TDIA	si	si	AMBAS
COE1	P5C_THRS	si	si	AMBAS
COE1	P5D	si	si	AMBAS
COE1	P5D1	si	si	AMBAS
COE1	P5D_HDO	si	si	AMBAS
COE1	P5D_HJU	si	si	AMBAS
COE1	P5D_HLU	si	si	AMBAS
COE1	P5D_HMA	si	si	AMBAS
COE1	P5D_HMI	si	si	AMBAS
COE1	P5D_HSA	si	si	AMBAS
COE1	P5D_HVI	si	si	AMBAS
COE1	P5D_MDO	si	si	AMBAS
COE1	P5D_MJU	si	si	AMBAS
COE1	P5D_MLU	si	si	AMBAS
COE1	P5D_MMA	si	si	AMBAS
COE1	P5D_MMI	si	si	AMBAS
COE1	P5D_MSA	si	si	AMBAS
COE1	P5D_MVI	si	si	AMBAS
COE1	P5D_TDIA	si	si	AMBAS
COE1	P5D_THRS	si	si	AMBAS
COE1	P5E	si	si	AMBAS
COE1	P5E1	si	si	AMBAS
COE1	P5E_HDO	si	si	AMBAS
COE1	P5E_HJU	si	si	AMBAS
COE1	P5E_HLU	si	si	AMBAS
COE1	P5E_HMA	si	si	AMBAS
COE1	P5E_HMI	si	si	AMBAS
COE1	P5E_HSA	si	si	AMBAS
COE1	P5E_HVI	si	si	AMBAS
COE1	P5E_MDO	si	si	AMBAS
COE1	P5E_MJU	si	si	AMBAS
COE1	P5E_MLU	si	si	AMBAS
COE1	P5E_MMA	si	si	AMBAS
COE1	P5E_MMI	si	si	AMBAS
COE1	P5E_MSA	si	si	AMBAS
COE1	P5E_MVI	si	si	AMBAS
COE1	P5E_TDIA	si	si	AMBAS
COE1	P5E_THRS	si	si	AMBAS
COE1	P5F	si	si	AMBAS
COE1	P5F1	si	si	AMBAS
COE1	P5F10	si	si	AMBAS
COE1	P5F11	si	si	AMBAS
COE1	P5F12	si	si	AMBAS
COE1	P5F13	si	si	AMBAS
COE1	P5F14	si	si	AMBAS
COE1	P5F15	si	si	AMBAS
COE1	P5F2	si	si	AMBAS
COE1	P5F3	si	si	AMBAS
COE1	P5F4	si	si	AMBAS
COE1	P5F5	si	si	AMBAS
COE1	P5F6	si	si	AMBAS
COE1	P5F7	si	si	AMBAS
COE1	P5F8	si	si	AMBAS
COE1	P5F9	si	si	AMBAS
COE1	P5F99	si	si	AMBAS
COE1	P5G1	si	si	AMBAS
COE1	P5G10	si	si	AMBAS
COE1	P5G11	si	si	AMBAS
COE1	P5G12	si	si	AMBAS
COE1	P5G13	si	si	AMBAS
COE1	P5G14	si	si	AMBAS
COE1	P5G15	si	si	AMBAS
COE1	P5G2	si	si	AMBAS
COE1	P5G3	si	si	AMBAS
COE1	P5G4	si	si	AMBAS
COE1	P5G5	si	si	AMBAS
COE1	P5G6	si	si	AMBAS
COE1	P5G7	si	si	AMBAS
COE1	P5G8	si	si	AMBAS
COE1	P5G9	si	si	AMBAS
COE1	P5G99	si	si	AMBAS
COE1	P5H	si	si	AMBAS
COE1	PER	si	si	AMBAS
COE1	R_DEF	si	si	AMBAS
COE1	TIPO	no	si	SOLO_POST
COE1	UPM	si	si	AMBAS
COE1	UR	si	si	AMBAS
COE1	V_SEL	si	si	AMBAS
COE2	CA	no	si	SOLO_POST
COE2	CD_A	si	si	AMBAS
COE2	CON	si	si	AMBAS
COE2	CVEGEO	no	si	SOLO_POST
COE2	CVE_ENT	no	si	SOLO_POST
COE2	CVE_MUN	no	si	SOLO_POST
COE2	D_SEM	si	si	AMBAS
COE2	EDA	si	si	AMBAS
COE2	ENT	si	si	AMBAS
COE2	FAC	si	si	AMBAS
COE2	FAC_MEN	no	si	SOLO_POST
COE2	FAC_TRI	no	si	SOLO_POST
COE2	H_MUD	si	si	AMBAS
COE2	MES_CAL	no	si	SOLO_POST
COE2	N_ENT	si	si	AMBAS
COE2	N_HOG	si	si	AMBAS
COE2	N_INF	si	si	AMBAS
COE2	N_PRO_VIV	si	si	AMBAS
COE2	N_REN	si	si	AMBAS
COE2	P10A1	si	si	AMBAS
COE2	P10A2	si	si	AMBAS
COE2	P10A3	si	si	AMBAS
COE2	P10A4	si	si	AMBAS
COE2	P10A9	si	si	AMBAS
COE2	P10B	si	si	AMBAS
COE2	P10_1	si	si	AMBAS
COE2	P10_2	si	si	AMBAS
COE2	P10_3	si	si	AMBAS
COE2	P10_4	si	si	AMBAS
COE2	P10_9	si	si	AMBAS
COE2	P11_1	si	si	AMBAS
COE2	P11_2	si	si	AMBAS
COE2	P11_3	si	si	AMBAS
COE2	P11_4	si	si	AMBAS
COE2	P11_5	si	si	AMBAS
COE2	P11_6	si	si	AMBAS
COE2	P11_7	si	si	AMBAS
COE2	P11_8	si	si	AMBAS
COE2	P11_H1	si	si	AMBAS
COE2	P11_H2	si	si	AMBAS
COE2	P11_H3	si	si	AMBAS
COE2	P11_H4	si	si	AMBAS
COE2	P11_H5	si	si	AMBAS
COE2	P11_H6	si	si	AMBAS
COE2	P11_H7	si	si	AMBAS
COE2	P11_H8	si	si	AMBAS
COE2	P11_M1	si	si	AMBAS
COE2	P11_M2	si	si	AMBAS
COE2	P11_M3	si	si	AMBAS
COE2	P11_M4	si	si	AMBAS
COE2	P11_M5	si	si	AMBAS
COE2	P11_M6	si	si	AMBAS
COE2	P11_M7	si	si	AMBAS
COE2	P11_M8	si	si	AMBAS
COE2	P6A1	si	si	AMBAS
COE2	P6A2	si	si	AMBAS
COE2	P6A3	si	si	AMBAS
COE2	P6A4	si	si	AMBAS
COE2	P6A9	si	si	AMBAS
COE2	P6B1	si	si	AMBAS
COE2	P6B2	si	si	AMBAS
COE2	P6C	si	si	AMBAS
COE2	P6D	si	si	AMBAS
COE2	P6E	no	si	SOLO_POST
COE2	P6E_C	no	si	SOLO_POST
COE2	P6F	no	si	SOLO_POST
COE2	P6F_C	no	si	SOLO_POST
COE2	P6G	no	si	SOLO_POST
COE2	P6H	no	si	SOLO_POST
COE2	P6H_C	no	si	SOLO_POST
COE2	P6I	no	si	SOLO_POST
COE2	P6I_C	no	si	SOLO_POST
COE2	P6_1	si	si	AMBAS
COE2	P6_10	si	si	AMBAS
COE2	P6_2	si	si	AMBAS
COE2	P6_3	si	si	AMBAS
COE2	P6_4	si	si	AMBAS
COE2	P6_5	si	si	AMBAS
COE2	P6_6	si	si	AMBAS
COE2	P6_7	si	si	AMBAS
COE2	P6_8	si	si	AMBAS
COE2	P6_9	si	si	AMBAS
COE2	P6_99	si	si	AMBAS
COE2	P7	si	si	AMBAS
COE2	P7A	si	si	AMBAS
COE2	P7B	si	si	AMBAS
COE2	P7C	si	si	AMBAS
COE2	P7D	si	si	AMBAS
COE2	P7E	si	si	AMBAS
COE2	P7F	si	si	AMBAS
COE2	P7F_DIAS	si	si	AMBAS
COE2	P7F_HORAS	si	si	AMBAS
COE2	P7G1	si	si	AMBAS
COE2	P7G2	si	si	AMBAS
COE2	P7G3	si	si	AMBAS
COE2	P7G9	si	si	AMBAS
COE2	P7GCAN	si	si	AMBAS
COE2	P8A	si	si	AMBAS
COE2	P8B	si	si	AMBAS
COE2	P8_1	si	si	AMBAS
COE2	P8_2	si	si	AMBAS
COE2	P8_3	si	si	AMBAS
COE2	P8_4	si	si	AMBAS
COE2	P8_9	si	si	AMBAS
COE2	P9	si	si	AMBAS
COE2	P9A	si	si	AMBAS
COE2	P9B	si	si	AMBAS
COE2	P9C	si	si	AMBAS
COE2	P9D	si	si	AMBAS
COE2	P9E	si	si	AMBAS
COE2	P9F	si	si	AMBAS
COE2	P9F_ANIO	si	si	AMBAS
COE2	P9F_MES	si	si	AMBAS
COE2	P9G	si	si	AMBAS
COE2	P9H	si	si	AMBAS
COE2	P9H_1	si	si	AMBAS
COE2	P9I	si	si	AMBAS
COE2	P9J	si	si	AMBAS
COE2	P9K	si	si	AMBAS
COE2	P9L1	si	si	AMBAS
COE2	P9L2	si	si	AMBAS
COE2	P9L3	si	si	AMBAS
COE2	P9L4	si	si	AMBAS
COE2	P9L5	si	si	AMBAS
COE2	P9L9	si	si	AMBAS
COE2	P9M1	si	si	AMBAS
COE2	P9M2	si	si	AMBAS
COE2	P9M3	si	si	AMBAS
COE2	P9M9	si	si	AMBAS
COE2	P9MCAN	si	si	AMBAS
COE2	P9N1	si	si	AMBAS
COE2	P9N2	si	si	AMBAS
COE2	P9N3	si	si	AMBAS
COE2	P9N4	si	si	AMBAS
COE2	P9N5	si	si	AMBAS
COE2	P9N6	si	si	AMBAS
COE2	P9N9	si	si	AMBAS
COE2	P9_1	si	si	AMBAS
COE2	P9_2	si	si	AMBAS
COE2	P9_3	si	si	AMBAS
COE2	P9_4	si	si	AMBAS
COE2	P9_5	si	si	AMBAS
COE2	P9_6	si	si	AMBAS
COE2	P9_7	si	si	AMBAS
COE2	P9_8	si	si	AMBAS
COE2	P9_H1	si	si	AMBAS
COE2	P9_H2	si	si	AMBAS
COE2	P9_H3	si	si	AMBAS
COE2	P9_H4	si	si	AMBAS
COE2	P9_H5	si	si	AMBAS
COE2	P9_H6	si	si	AMBAS
COE2	P9_H7	si	si	AMBAS
COE2	P9_H8	si	si	AMBAS
COE2	P9_M1	si	si	AMBAS
COE2	P9_M2	si	si	AMBAS
COE2	P9_M3	si	si	AMBAS
COE2	P9_M4	si	si	AMBAS
COE2	P9_M5	si	si	AMBAS
COE2	P9_M6	si	si	AMBAS
COE2	P9_M7	si	si	AMBAS
COE2	P9_M8	si	si	AMBAS
COE2	PER	si	si	AMBAS
COE2	TIPO	no	si	SOLO_POST
COE2	UPM	si	si	AMBAS
COE2	UR	si	si	AMBAS
COE2	V_SEL	si	si	AMBAS
HOG	AGEB	si	si	AMBAS
HOG	CA	no	si	SOLO_POST
HOG	CD_A	si	si	AMBAS
HOG	CON	si	si	AMBAS
HOG	CVEGEO	no	si	SOLO_POST
HOG	CVE_AGEB	no	si	SOLO_POST
HOG	CVE_ENT	no	si	SOLO_POST
HOG	CVE_LOC	no	si	SOLO_POST
HOG	CVE_MUN	no	si	SOLO_POST
HOG	D_ANIO	si	si	AMBAS
HOG	D_DIA	si	si	AMBAS
HOG	D_MES	si	si	AMBAS
HOG	D_SEM	si	si	AMBAS
HOG	ENT	si	si	AMBAS
HOG	EST	si	si	AMBAS
HOG	EST_D	si	si	AMBAS
HOG	EST_D_MEN	no	si	SOLO_POST
HOG	EST_D_TRI	no	si	SOLO_POST
HOG	E_OBS	si	si	AMBAS
HOG	FAC	si	si	AMBAS
HOG	FAC_MEN	no	si	SOLO_POST
HOG	FAC_TRI	no	si	SOLO_POST
HOG	H_MUD	si	si	AMBAS
HOG	INF	si	si	AMBAS
HOG	LOC	si	si	AMBAS
HOG	MES_CAL	no	si	SOLO_POST
HOG	MUN	si	si	AMBAS
HOG	N_ENT	si	si	AMBAS
HOG	N_HOG	si	si	AMBAS
HOG	N_PRO_VIV	si	si	AMBAS
HOG	P4_1	si	si	AMBAS
HOG	P4_2	si	si	AMBAS
HOG	PER	si	si	AMBAS
HOG	P_ANIO	si	si	AMBAS
HOG	P_DIA	si	si	AMBAS
HOG	P_MES	si	si	AMBAS
HOG	R_DEF	si	si	AMBAS
HOG	R_PRE	si	si	AMBAS
HOG	TIPO	no	si	SOLO_POST
HOG	TIPOLEV	no	si	SOLO_POST
HOG	T_LOC	si	si	AMBAS
HOG	T_LOC_MEN	no	si	SOLO_POST
HOG	T_LOC_TRI	no	si	SOLO_POST
HOG	UPM	si	si	AMBAS
HOG	UR	si	si	AMBAS
HOG	V_SEL	si	si	AMBAS
SDEM	AGEB	si	si	AMBAS
SDEM	AMBITO1	si	si	AMBAS
SDEM	AMBITO2	si	si	AMBAS
SDEM	ANIOS_ESC	si	si	AMBAS
SDEM	BUSCAR5C	si	si	AMBAS
SDEM	BUSQUEDA	si	si	AMBAS
SDEM	CA	no	si	SOLO_POST
SDEM	CD_A	si	si	AMBAS
SDEM	CLASE1	si	si	AMBAS
SDEM	CLASE2	si	si	AMBAS
SDEM	CLASE3	si	si	AMBAS
SDEM	CON	si	si	AMBAS
SDEM	CP_ANOC	si	si	AMBAS
SDEM	CS_AD_DES	si	si	AMBAS
SDEM	CS_AD_MOT	si	si	AMBAS
SDEM	CS_NR_MOT	si	si	AMBAS
SDEM	CS_NR_ORI	si	si	AMBAS
SDEM	CS_P12	si	si	AMBAS
SDEM	CS_P13_1	si	si	AMBAS
SDEM	CS_P13_2	si	si	AMBAS
SDEM	CS_P14_C	si	si	AMBAS
SDEM	CS_P15	si	si	AMBAS
SDEM	CS_P16	si	si	AMBAS
SDEM	CS_P17	si	si	AMBAS
SDEM	CS_P20A_1	no	si	SOLO_POST
SDEM	CS_P20A_C	no	si	SOLO_POST
SDEM	CS_P20B_1	no	si	SOLO_POST
SDEM	CS_P20B_C	no	si	SOLO_POST
SDEM	CS_P20C_1	no	si	SOLO_POST
SDEM	CS_P20_DES	si	si	AMBAS
SDEM	CS_P21_DES	no	si	SOLO_POST
SDEM	CS_P22_DES	si	si	AMBAS
SDEM	CS_P23_DES	no	si	SOLO_POST
SDEM	CVEGEO	no	si	SOLO_POST
SDEM	CVE_AGEB	no	si	SOLO_POST
SDEM	CVE_ENT	no	si	SOLO_POST
SDEM	CVE_LOC	no	si	SOLO_POST
SDEM	CVE_MUN	no	si	SOLO_POST
SDEM	C_INAC5C	si	si	AMBAS
SDEM	C_OCU11C	si	si	AMBAS
SDEM	C_RES	si	si	AMBAS
SDEM	DISPO	si	si	AMBAS
SDEM	DOMESTICO	si	si	AMBAS
SDEM	DUR9C	si	si	AMBAS
SDEM	DUR_DES	si	si	AMBAS
SDEM	DUR_EST	si	si	AMBAS
SDEM	D_ANT_LAB	si	si	AMBAS
SDEM	D_CEXP_EST	si	si	AMBAS
SDEM	D_SEM	si	si	AMBAS
SDEM	EDA	si	si	AMBAS
SDEM	EDA12C	si	si	AMBAS
SDEM	EDA19C	si	si	AMBAS
SDEM	EDA5C	si	si	AMBAS
SDEM	EDA7C	si	si	AMBAS
SDEM	EMPLE7C	si	si	AMBAS
SDEM	EMP_PPAL	si	si	AMBAS
SDEM	ENT	si	si	AMBAS
SDEM	EST	si	si	AMBAS
SDEM	EST_D	si	si	AMBAS
SDEM	EST_D_MEN	no	si	SOLO_POST
SDEM	EST_D_TRI	no	si	SOLO_POST
SDEM	E_CON	si	si	AMBAS
SDEM	FAC	si	si	AMBAS
SDEM	FAC_MEN	no	si	SOLO_POST
SDEM	FAC_TRI	no	si	SOLO_POST
SDEM	HIJ5C	si	si	AMBAS
SDEM	HRSOCUP	si	si	AMBAS
SDEM	H_MUD	si	si	AMBAS
SDEM	IMSSISSSTE	si	si	AMBAS
SDEM	ING7C	si	si	AMBAS
SDEM	INGOCUP	si	si	AMBAS
SDEM	ING_X_HRS	si	si	AMBAS
SDEM	LOC	si	si	AMBAS
SDEM	L_NAC_C	si	si	AMBAS
SDEM	MA48ME1SM	si	si	AMBAS
SDEM	MEDICA5C	si	si	AMBAS
SDEM	MES_CAL	no	si	SOLO_POST
SDEM	MH_COL	si	si	AMBAS
SDEM	MH_FIL2	si	si	AMBAS
SDEM	MUN	si	si	AMBAS
SDEM	NAC_ANIO	si	si	AMBAS
SDEM	NAC_DIA	si	si	AMBAS
SDEM	NAC_MES	si	si	AMBAS
SDEM	NIV_INS	si	si	AMBAS
SDEM	NODISPO	si	si	AMBAS
SDEM	N_ENT	si	si	AMBAS
SDEM	N_HIJ	si	si	AMBAS
SDEM	N_HOG	si	si	AMBAS
SDEM	N_PRO_VIV	si	si	AMBAS
SDEM	N_REN	si	si	AMBAS
SDEM	P14APOYOS	si	si	AMBAS
SDEM	PAR_C	si	si	AMBAS
SDEM	PER	si	si	AMBAS
SDEM	PNEA_EST	si	si	AMBAS
SDEM	POS_OCU	si	si	AMBAS
SDEM	PRE_ASA	si	si	AMBAS
SDEM	RAMA	si	si	AMBAS
SDEM	RAMA_EST1	si	si	AMBAS
SDEM	RAMA_EST2	si	si	AMBAS
SDEM	REMUNE2C	si	si	AMBAS
SDEM	R_DEF	si	si	AMBAS
SDEM	SALARIO	si	si	AMBAS
SDEM	SCIAN	si	si	AMBAS
SDEM	SEC_INS	si	si	AMBAS
SDEM	SEG_SOC	si	si	AMBAS
SDEM	SEX	si	si	AMBAS
SDEM	SUB_O	si	si	AMBAS
SDEM	S_CLASIFI	si	si	AMBAS
SDEM	TCCO	si	si	AMBAS
SDEM	TIPO	no	si	SOLO_POST
SDEM	TIP_CON	si	si	AMBAS
SDEM	TPG_P8A	si	si	AMBAS
SDEM	TRANS_PPAL	si	si	AMBAS
SDEM	TUE1	si	si	AMBAS
SDEM	TUE2	si	si	AMBAS
SDEM	TUE3	si	si	AMBAS
SDEM	TUE_PPAL	si	si	AMBAS
SDEM	T_LOC	si	si	AMBAS
SDEM	T_LOC_MEN	no	si	SOLO_POST
SDEM	T_LOC_TRI	no	si	SOLO_POST
SDEM	T_TRA	si	si	AMBAS
SDEM	UPM	si	si	AMBAS
SDEM	UR	si	si	AMBAS
SDEM	V_SEL	si	si	AMBAS
SDEM	ZONA	si	si	AMBAS
VIV	AGEB	si	si	AMBAS
VIV	CA	no	si	SOLO_POST
VIV	CD_A	si	si	AMBAS
VIV	CON	si	si	AMBAS
VIV	CVEGEO	no	si	SOLO_POST
VIV	CVE_AGEB	no	si	SOLO_POST
VIV	CVE_ENT	no	si	SOLO_POST
VIV	CVE_LOC	no	si	SOLO_POST
VIV	CVE_MUN	no	si	SOLO_POST
VIV	D_SEM	si	si	AMBAS
VIV	ENT	si	si	AMBAS
VIV	EST	si	si	AMBAS
VIV	EST_D	si	si	AMBAS
VIV	EST_D_MEN	no	si	SOLO_POST
VIV	EST_D_TRI	no	si	SOLO_POST
VIV	FAC	si	si	AMBAS
VIV	FAC_MEN	no	si	SOLO_POST
VIV	FAC_TRI	no	si	SOLO_POST
VIV	LOC	si	si	AMBAS
VIV	MES_CAL	no	si	SOLO_POST
VIV	MUN	si	si	AMBAS
VIV	N_ENT	si	si	AMBAS
VIV	N_PRO_VIV	si	si	AMBAS
VIV	P1	si	si	AMBAS
VIV	P2	si	si	AMBAS
VIV	P3	si	si	AMBAS
VIV	PER	si	si	AMBAS
VIV	TIPO	no	si	SOLO_POST
VIV	T_LOC	si	si	AMBAS
VIV	T_LOC_MEN	no	si	SOLO_POST
VIV	T_LOC_TRI	no	si	SOLO_POST
VIV	UPM	si	si	AMBAS
VIV	UR	si	si	AMBAS
VIV	V_SEL	si	si	AMBAS
