objeto	objeto_texto	ola	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	unidad	poblacion_base	ponderador_y_diseno	fuente	secciones_fd_recorridas	componentes_no_estimables	texto_buscado	limite_fd	nota
E-SEX	Eje sexo (ancla 2021: SEXO, dos categorías)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Dos categorías, sin no especificado.	SEXO	2.4 (NOMBRE) es hombre (NOMBRE) es mujer	1 Hombre · 2 Mujer	Se pregunta a todo integrante del hogar en TSDEM; viaja a TModulo como «Sexo del elegido».	categoría (2 clases)	Persona elegida de 18 años y más (FD TModulo fila 1535, EDAD 18-96 + 98 centinela); TModulo	FAC_ELE (factor del elegido, TModulo fila 1543; NO existe FAC_PER) · EST_DIS 001-235 · UPM_DIS 0000001-0002013	enif_2021_fd_pdf.zip sha256/16(zip)=6f4e3aab705ddb69 :: enif_2021_estructura_del_archivo.xlsx · enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 :: TSDEM fila 114, TModulo fila 1533	FD hojas TVivienda/THogar/TSDEM/TModulo completas (1 539 filas); cuestionario secciones 1-11				Sin código de no especificado en ninguna de las cinco olas.
E-SEX	Eje sexo (ancla 2021: SEXO, dos categorías)	2024	2021 (ancla)	MISMO-INSTRUMENTO	Dos categorías, mismos códigos. Sólo cambia la puntuación del reactivo.	SEXO	2.4 ¿(NOMBRE) es hombre? ¿(NOMBRE) es mujer?	1 Hombre · 2 Mujer	TSDEM → TMODULO («SEXO DEL ELEGIDO»).	categoría (2 clases)	Persona elegida de 18 años y más (FD TMODULO fila 235, EDAD_V 18-95 + 98 centinela); TMODULO	FAC_PER (factor de expansión a nivel persona, TMODULO fila 1677) · EST_DIS 001-190 · UPM_DIS 00001-02172	enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 · enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 :: TSDEM fila 162, TMODULO fila 1660	FD hojas TVIVIENDA/THOGAR/TSDEM/TMODULO completas (1 673 filas); cuestionario secciones 1-11				Sin cambios de fondo.
E-SEX	Eje sexo (ancla 2021: SEXO, dos categorías)	2018	2021 (ancla)	MISMO-INSTRUMENTO	Idéntico salvo población base (18 a 70).	SEXO	2.3 (NOMBRE) es hombre, (NOMBRE) es mujer	1,2: 1 Hombre · 2 Mujer	TSDem → TModulo («Sexo del elegido»).	categoría (2 clases)	Persona elegida de 18 a 70 años (FD TModulo fila 684, EDAD 18..70); TModulo/TModulo2	FAC_PER (factor persona, TModulo fila 702) · EST_DIS 001-012 · UPM_DIS 00001-01914	enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 · enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e :: TSDem fila 61, TModulo fila 685	FD hojas TVivienda/TSDem/TModulo/TModulo2 completas (1 237 filas); cuestionario secciones 1-12				El número de pregunta cambia de 2.3 a 2.4 entre 2018 y 2021: nemónico y numeración se desplazan, la pregunta no.
E-SEX	Eje sexo (ancla 2021: SEXO, dos categorías)	2015	2021 (ancla)	MISMO-INSTRUMENTO	Idéntico salvo población base (18 a 70).	SEXO	2.3 (NOMBRE) es hombre (NOMBRE) es mujer	[1-2]: 1 Hombre · 2 Mujer	TSDem → TModulo1/2/3 («Campo extraído de tabla TSDEM»).	categoría (2 clases)	Persona elegida de 18 a 70 años (FD TModulo1 fila 686, EDAD [18-70]); TModulo1/2/3	FAC_PER (factor personas, TModulo1 fila 687) · EST_DIS 001-012 · UPM_DIS 00001-00826	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 · enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e :: TSDem fila 39, TModulo1 fila 684	FD hojas Índice/TVivienda/TSDem/TModulo1/TModulo2/TModulo3 completas (1 886 filas); cuestionario secciones 1-11				Sin cambios.
E-SEX	Eje sexo (ancla 2021: SEXO, dos categorías)	2012	2021 (ancla)	MISMO-INSTRUMENTO	Idéntico salvo población base (18 a 70).	SEXO	2.3 (NOMBRE) es hombre (NOMBRE) es mujer?	1 Hombre · 2 Mujer	TSDEM → TMODULO1/TMODULO2.	categoría (2 clases)	Persona elegida de 18 a 70 años del hogar (cuestionario 2012 pdf-pág. línea 200 «PARA PERSONAS DE 18 A 70 AÑOS»); TMODULO1/TMODULO2	FAC_PER (factor persona, TMODULO1/TMODULO2, FD filas 995-996) · EST_DIS 11-14,21,22,31,32,41,42 · UPM_DIS 00001-00847	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 · enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 :: TSDEM filas 114-115	FD hojas TVIVIENDA/TSDEM/TMODULO1/TMODULO2 completas (1 594 filas); cuestionario secciones 1-9				Único eje sin una sola diferencia de texto en las cinco olas.
E-EDA	Eje edad (ancla 2021: EDAD de la persona elegida, en tramos)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Años cumplidos 18-96 más el centinela 98.	EDAD	2.5 ¿Cuántos años cumplidos tiene (NOMBRE)?	00 Menos de un año · 01-96 Años cumplidos · 98 Edad no especificada en personas de 18 años y más. En TModulo el rango declarado del elegido es 18-96.	Sin filtro. 98 es centinela de no-especificación, no una edad: fuera del universo (spec v1_2 §0.4).	años cumplidos, tramado	Persona elegida de 18 años y más (FD TModulo fila 1535, EDAD 18-96 + 98 centinela); TModulo	FAC_ELE (factor del elegido, TModulo fila 1543; NO existe FAC_PER) · EST_DIS 001-235 · UPM_DIS 0000001-0002013	enif_2021_fd_pdf.zip sha256/16(zip)=6f4e3aab705ddb69 :: enif_2021_estructura_del_archivo.xlsx · enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 :: TSDEM filas 116-119, TModulo filas 1535-1537	FD hojas TVivienda/THogar/TSDEM/TModulo completas (1 539 filas); cuestionario secciones 1-11				El tramado lo fija la spec del lote, no el FD.
E-EDA	Eje edad (ancla 2021: EDAD de la persona elegida, en tramos)	2024	2021 (ancla)	CAMBIO-MENOR	Misma pregunta, pero en la tabla módulo el campo es EDAD_V («edad verificada de la persona elegida»), no EDAD, y su tope declarado es 95.	EDAD_V (módulo) / EDAD (TSDEM)	2.5 ¿Cuántos años cumplidos tiene (NOMBRE)? — en TMODULO: «Edad verificada de la persona elegida»	18-95 Años cumplidos · 98 Edad no especificada en personas de 18 años y más	Sin filtro. 98 fuera del universo.	años cumplidos, tramado	Persona elegida de 18 años y más (FD TMODULO fila 235, EDAD_V 18-95 + 98 centinela); TMODULO	FAC_PER (factor de expansión a nivel persona, TMODULO fila 1677) · EST_DIS 001-190 · UPM_DIS 00001-02172	enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 · enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 :: TSDEM filas 164-168, TMODULO filas 235-237	FD hojas TVIVIENDA/THOGAR/TSDEM/TMODULO completas (1 673 filas); cuestionario secciones 1-11				Nemónico desplazado EDAD→EDAD_V (spec v1_2 §0.4). Una lectura por nombre de variable lee 2024 como ausente; no lo es.
E-EDA	Eje edad (ancla 2021: EDAD de la persona elegida, en tramos)	2018	2021 (ancla)	CAMBIO-MENOR	Misma pregunta y mismos códigos, pero el rango del ELEGIDO es 18-70: la cola de 71 y más no existe en esta ola. Un tramo superior abierto («65 y más») no es el mismo objeto que en 2021.	EDAD	2.4 ¿Cuántos años cumplidos tiene (NOMBRE)?	00..98,99: 00 Menos de un año · 01..96 Años cumplidos. En TModulo el rango del elegido es 18..70.	Sin filtro. El diseño muestral sólo elige entre personas de 18 a 70 años.	años cumplidos, tramado (truncado en 70)	Persona elegida de 18 a 70 años (FD TModulo fila 684, EDAD 18..70); TModulo/TModulo2	FAC_PER (factor persona, TModulo fila 702) · EST_DIS 001-012 · UPM_DIS 00001-01914	enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 · enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e :: TSDem filas 63-64, TModulo fila 684	FD hojas TVivienda/TSDem/TModulo/TModulo2 completas (1 237 filas); cuestionario secciones 1-12				ESTE ES EL LÍMITE QUE MÁS MUERDE y aplica a TODAS las filas de 2012/2015/2018, no sólo a esta: A-bis 4, un estimando restringido a 18-70 no se compara contra uno de 18 y más sin recalcular al mismo universo.
E-EDA	Eje edad (ancla 2021: EDAD de la persona elegida, en tramos)	2015	2021 (ancla)	CAMBIO-MENOR	Igual que 2018: rango del elegido 18-70.	EDAD	2.4 ¿Cuántos años cumplidos tiene (NOMBRE)?	[00-97], 99: 00 Menor de un año · 01-96 Años cumplidos. En TModulo1/2/3 el rango del elegido es [18-70].	Sin filtro. Selección restringida a 18-70.	años cumplidos, tramado (truncado en 70)	Persona elegida de 18 a 70 años (FD TModulo1 fila 686, EDAD [18-70]); TModulo1/2/3	FAC_PER (factor personas, TModulo1 fila 687) · EST_DIS 001-012 · UPM_DIS 00001-00826	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 · enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e :: TSDem fila 41, TModulo1 fila 686	FD hojas Índice/TVivienda/TSDem/TModulo1/TModulo2/TModulo3 completas (1 886 filas); cuestionario secciones 1-11				El catálogo de TSDem no declara 98; el 99 es no especificado.
E-EDA	Eje edad (ancla 2021: EDAD de la persona elegida, en tramos)	2012	2021 (ancla)	CAMBIO-MENOR	Igual que 2015 y 2018: el cuestionario ordena identificar personas de 18 a 70 años.	EDAD	2.3 ¿Cuántos años cumplidos tiene (NOMBRE)?	00 Menor de un año · 01…96 Edad en años · 98 Edad no especificada en personas de 18 años o más · 99 Edad no especificada en personas de 17 años o menos	Sin filtro. Cuestionario 2012: «PARA PERSONAS DE 18 A 70 AÑOS» / «IDENTIFIQUE A LAS PERSONAS DE 18 A 70 AÑOS».	años cumplidos, tramado (truncado en 70)	Persona elegida de 18 a 70 años del hogar (cuestionario 2012 pdf-pág. línea 200 «PARA PERSONAS DE 18 A 70 AÑOS»); TMODULO1/TMODULO2	FAC_PER (factor persona, TMODULO1/TMODULO2, FD filas 995-996) · EST_DIS 11-14,21,22,31,32,41,42 · UPM_DIS 00001-00847	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 · enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 :: TSDEM filas 117-122; cuestionario líneas 200 y 275	FD hojas TVIVIENDA/TSDEM/TMODULO1/TMODULO2 completas (1 594 filas); cuestionario secciones 1-9				98/99 son centinelas con el mismo sentido que en 2021.
