# GENERADO por tools/p0_calendario_pel.py (ACTO MAESTRA34-L6, P0). Fuente: acuerdos del Consejo General del INE, repositoriodocumental.ine.mx. No editar a mano.
entidad	anio_jornada	concurrente_con_federal	ayuntamientos	n_actividades_municipales	cargos_declarados	ejemplo_actividad	fuente_archivo	fuente_hoja	fuente_acuerdo_ine	handle_dspace	nota_concurrencia
Chiapas	2015	NO	SI	1	Diputaciones y Ayuntamientos (texto verbatim del acuerdo)	el 19 de julio de 2015 se celebro la eleccion de diputados y ayuntamientos del estado de Chiapas	pel2015b_CGex201510-14_ap4.pdf.txt	antecedente II	CG extraordinaria 14/oct/2015	123456789/79710	EXCEPCION documentada: el 19 de julio de 2015 se celebro la eleccion de diputados y ayuntamientos del estado de Chiapas [CG extraordinaria 14/oct/2015 (handle 123456789/79710), antecedente II]
Chiapas	2018	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2017-2018.xlsx	Chiapas	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Chiapas	2021	SI	SI	16		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Chiapas	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Chiapas	2024	SI	SI	19	Gubernatura, Diputaciones y Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Chiapas	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Chihuahua	2016	NO	SI	1	Ayuntamientos=67 DipMR=22 DipRP=11 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Chihuahua Ayuntamientos=67	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Chihuahua	2018	SI	SI	11		Precampaña para Ayuntamientos y Síndicos	pel2017-2018.xlsx	Chihuahua	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Chihuahua	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Chihuahua	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Chihuahua	2024	SI	SI	27	Diputaciones, Ayuntamientos y Sindicaturas	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Chihuahua	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Ciudad de México	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Ciudad de México	2018	SI	SI	9		Precampaña para Alcaldías	pel2017-2018.xlsx	Ciudad de México	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Ciudad de México	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Ciudad de México	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Ciudad de México	2024	SI	SI	19	Jefatura de Gobierno, Diputaciones, Alcaldías	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Ciudad de México	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Coahuila	2017	NO	SI	6		14 Solicitud de registro de convenio de coalición paraAyuntamientos UTVOPL OPL 01/11/2016 20/01/2017	pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	CG extraordinaria 7/sep/2016, anexo 1	123456789/85998	anio no federal
Coahuila	2018	SI	SI	11		Aprobación de topes de gastos de precampaña para Ayuntamientos	pel2017-2018.xlsx	Coahuila	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Coahuila	2020	NO	NO	0			pel2019-2020_CGex201909-30-ap-1-a1.xlsx	COAHUILA	CG extraordinaria 30/sep/2019, anexo 1	123456789/112696	anio no federal
Coahuila	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Coahuila	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Coahuila	2023	NO	NO	0			pel2022-2023.xlsx	Concentrado	CG extraordinaria 26/sep/2022, anexo C	123456789/143140	anio no federal
Coahuila	2024	SI	SI	17	c	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Coahuila	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Colima	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Colima	2018	SI	SI	12		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2017-2018.xlsx	Colima	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Colima	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Colima	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Colima	2024	SI	SI	19	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Colima	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Durango	2016	NO	SI	1	Ayuntamientos=39 DipMR=15 DipRP=10 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Durango Ayuntamientos=39	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Durango	2018	SI	NO	0			pel2017-2018.xlsx	Durango	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Durango	2019	NO	SI	19		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2018-2019ord_CGex201808-6-ap-6-a3.xlsx	DURANGO	CG extraordinaria 6/ago/2018, anexo 3 (Durango)	123456789/97991	anio no federal
Durango	2021	SI	NO	0			pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Durango	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Durango	2022	NO	SI	20		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2021-2022.xlsx	Concentrado	CG ordinaria 28/jul/2021, anexo 1	123456789/122210	anio no federal
Durango	2024	SI	NO	0	c		pel2023-2024.xlsx	Durango	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Durango	2025	NO	SI	23		Enviar a la UTIGyND a través de la UTVOPL base de excel con datos de candidaturas para Ayuntamientos desagregadas por sexo (hombre, mujer, persona no binaria)	pel2024-2025_CGor202409-26-ap-03-a2.xlsx	Calendario	CG ordinaria 26/sep/2024, anexo 2	123456789/176887	anio no federal
Estado de México	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Estado de México	2017	NO	NO	0			pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	CG extraordinaria 7/sep/2016, anexo 1	123456789/85998	anio no federal
Estado de México	2018	SI	SI	10		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Estado de México	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Estado de México	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Estado de México	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Estado de México	2023	NO	NO	0			pel2022-2023.xlsx	Concentrado	CG extraordinaria 26/sep/2022, anexo C	123456789/143140	anio no federal
Estado de México	2024	SI	SI	19	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Estado de México	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Guanajuato	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Guanajuato	2018	SI	SI	11		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Guanajuato	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Guanajuato	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Guanajuato	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Guanajuato	2024	SI	SI	17	Gubernatura, Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Guanajuato	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Guerrero	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Guerrero	2018	SI	SI	11		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Guerrero	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Guerrero	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Guerrero	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Guerrero	2024	SI	SI	19	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Guerrero	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Hidalgo	2016	NO	SI	1	Ayuntamientos=84 DipMR=18 DipRP=12 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Hidalgo Ayuntamientos=84	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Hidalgo	2018	SI	NO	0			pel2017-2018.xlsx	Hidalgo	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Hidalgo	2020	NO	SI	12		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2019-2020_CGex201909-30-ap-1-a1.xlsx	HIDALGO	CG extraordinaria 30/sep/2019, anexo 1	123456789/112696	anio no federal
Hidalgo	2021	SI	NO	0			pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Hidalgo	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Hidalgo	2022	NO	NO	0			pel2021-2022.xlsx	Concentrado	CG ordinaria 28/jul/2021, anexo 1	123456789/122210	anio no federal
Hidalgo	2024	SI	SI	19	Diputaciones y Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Hidalgo	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Jalisco	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Jalisco	2018	SI	SI	9		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Jalisco	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Jalisco	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Jalisco	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Jalisco	2024	SI	SI	16	Gubernatura, diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Jalisco	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Michoacán	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Michoacán	2018	SI	SI	10		Aprobación de topes de gastos de precampaña de Ayuntamientos	pel2017-2018.xlsx	Michoacán	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Michoacán	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Michoacán	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Michoacán	2024	SI	SI	19	Diputaciones y Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Michoacán	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Morelos	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Morelos	2018	SI	SI	13		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Morelos	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Morelos	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Morelos	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Morelos	2024	SI	SI	19	Gubernatura, Diputaciones y Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Morelos	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Nayarit	2017	NO	SI	5		18 Solicitud de registro de convenio de coalición paraAyuntamiento UTVOPL OPL 07/01/2017 22/01/2017	pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	CG extraordinaria 7/sep/2016, anexo 1	123456789/85998	anio no federal
Nayarit	2021	SI	SI	14		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Nayarit	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Nayarit	2024	SI	SI	23	Diputaciones y ayuntamientos (redigurías de mayoría relativa	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Nayarit	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Nuevo León	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Nuevo León	2018	SI	SI	11		Aprobación de topes de gastos de precampaña para Ayuntamientos	pel2017-2018.xlsx	Nuevo León	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Nuevo León	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Nuevo León	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Nuevo León	2024	SI	SI	17	Diputaciones, Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Nuevo León	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Oaxaca	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Oaxaca	2016	NO	SI	1	Ayuntamientos=570 DipMR=25 DipRP=17 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Oaxaca Ayuntamientos=570	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Oaxaca	2018	SI	SI	9		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Oaxaca	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Oaxaca	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Oaxaca	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Oaxaca	2022	NO	NO	0			pel2021-2022.xlsx	Concentrado	CG ordinaria 28/jul/2021, anexo 1	123456789/122210	anio no federal
Oaxaca	2024	SI	SI	19	Diputaciones y Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Oaxaca	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Puebla	2016	NO	NO	0	Ayuntamientos=-- DipMR=-- DipRP=-- Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Puebla Ayuntamientos=--	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Puebla	2018	SI	SI	11		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Puebla	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Puebla	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Puebla	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Puebla	2024	SI	SI	19	Gubernatura, Diputaciones y Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Puebla	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Querétaro	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Querétaro	2018	SI	SI	10		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Querétaro	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Querétaro	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Querétaro	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Querétaro	2024	SI	SI	19	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Querétaro	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Quintana Roo	2016	NO	SI	1	Ayuntamientos=10 DipMR=15 DipRP=10 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Quintana Roo Ayuntamientos=10	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Quintana Roo	2018	SI	SI	6		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Quintana Roo	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Quintana Roo	2019	NO	NO	0			pel2018-2019ord_CGex201808-6-ap-6-a4.xlsx	QUINTANA ROO	CG extraordinaria 6/ago/2018, anexo 4 (Quintana Roo)	123456789/97991	anio no federal
Quintana Roo	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Quintana Roo	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Quintana Roo	2022	NO	NO	0			pel2021-2022.xlsx	Concentrado	CG ordinaria 28/jul/2021, anexo 1	123456789/122210	anio no federal
Quintana Roo	2024	SI	SI	19	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Quintana Roo	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
San Luis Potosí	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
San Luis Potosí	2018	SI	SI	12		Aprobación de topes de gastos de precampaña para Ayuntamientos	pel2017-2018.xlsx	San Luis Potosí	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
San Luis Potosí	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	San Luis Potosí	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
San Luis Potosí	2024	SI	SI	17	Diputaciones y Ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	San Luis Potosí	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Sinaloa	2016	NO	SI	1	Ayuntamientos=18 DipMR=24 DipRP=16 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Sinaloa Ayuntamientos=18	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
