fuente_canonica	puerta	evidencia_de_equivalencia	clasificacion_a4_de_la_puerta	capa2_agregada	en_cola	gap
DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	JPAL_CorruptionInformation_MexicoVoters_2009	URL: cola.url_conocida == puertas.url exacta (povertyactionlab.org/evaluation/...)	EXISTE-SATISFACE	NO_REFERENCIADO	30	CON-PUERTA-CLASIFICADA
EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	WorldBank_MEX_ECEPIE_2012_2014_catalogo2661	nombre/tema + catalogo (reconciliado por MAP-B §3, re-verificado)	EXISTE-SATISFACE	NO_REFERENCIADO	4	CON-PUERTA-CLASIFICADA
ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	Zenodo_ElectoralPrecinctLevel_MexicoMunicipal	URL: cola.url_conocida == puertas.url exacta (nature.com/articles/s41597-025-04918-9)	EXISTE-SATISFACE	NO_REFERENCIADO	31	CON-PUERTA-CLASIFICADA
ENAFIN	VACIO	sondeada en TRIAGE-63/#228 contra inegi.org.mx/rnm/index.php/catalog/1106 (ficha RNM propia, AGENTE) -- necesidad N19 la acerca a CNBV_Portafolio_Informacion/BID_IDB_Microdatos_Center pero ninguna URL ni cita confirma que sean el mismo producto que una ficha INEGI; queda SIN-PUERTA porque su propia ficha RNM (catalog/1106) no tiene fila propia en el puntero todavia -- candidato a alta, no a fusion	NO-ENCONTRADO	NO_REFERENCIADO	49	SIN-PUERTA
ENASIC	RNM_ENASIC_2022_ficha922	nombre idéntico (heredado de MAP-B, re-verificado)	EXISTE-SATISFACE	SI	NO	CON-PUERTA-CLASIFICADA
ENBIARE	RNM_ENBIARE_2021_ficha730	nombre idéntico (heredado de MAP-B, re-verificado)	EXISTE-SATISFACE	SI	NO	CON-PUERTA-CLASIFICADA
ENCIG	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ENCOAP	INEGI_ENCOAP_2023	URL: cola.url_conocida == puertas.url exacta (inegi.org.mx/programas/encoap/2023/default.html)	EXISTE-SATISFACE	SI_O_REFERENCIADO	17	CON-PUERTA-CLASIFICADA
ENCUCI	RNM_ENCUCI_2020_ficha647	nombre idéntico (heredado de MAP-B, re-verificado)	EXISTE-SATISFACE	SI_O_REFERENCIADO	NO	CON-PUERTA-CLASIFICADA
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	32	SIN-PUERTA
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	Banxico_EncuestaCompetenciasFinancieras	URL: cola.url_conocida == puertas.url exacta (banxico.org.mx/.../competencias-financieras-mi.html)	EXISTE-SATISFACE	NO_REFERENCIADO	33	CON-PUERTA-CLASIFICADA
ENCUP	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	51	SIN-PUERTA
ENFIH	RNM_ENFIH_2019_ficha709	nombre idéntico (reconciliado por MAP-B §3, re-verificado)	EXISTE-NO-SATISFACE	SI	NO	CON-PUERTA-CLASIFICADA
ENIF	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	44	SIN-PUERTA
ENIGH	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ENNVIH	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ENOE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ENSAFI	RNM_ENSAFI_2023_ficha992	nombre idéntico (reconciliado por MAP-B §3, re-verificado)	EXISTE-NO-SATISFACE	SI	NO	CON-PUERTA-CLASIFICADA
ENVIPE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	2	SIN-PUERTA
EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
FABLE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
FINANZAS	VACIO	sondeada en TRIAGE-63/#228 contra pnif.cnbv.gob.mx (identidad NO confirmada 1:1, la propia nota del sondeo lo declara) -- necesidades N5,N6,N14,N19,N29 tocan multiples candidatos (CNBV/BID/WVS/GPS/GESIS_ISSP/Banxico) sin que ninguno confirme ser el mismo producto -- rechazado, mismo patron que IMSS	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	VACIO	sondeada en TRIAGE-63/#228 (pagina de investigacion Kellogg, dato propietario NO-ACCESIBLE por fuente previa) -- necesidad N19 compartida con CNBV/BID no basta sola -- rechazado, mismo patron que IMSS	NO-ENCONTRADO	NO_REFERENCIADO	22	SIN-PUERTA
GDELT	GDELT_RawDataFiles	URL: cola.url_conocida == puertas.url exacta (gdeltproject.org/data.html)	EXISTE-NO-SATISFACE	NO_REFERENCIADO	11	CON-PUERTA-CLASIFICADA
GLOBAL_PREFERENCES_SURVEY	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
GPS	GPS_Global_Preferences_Survey	nombre idéntico (reconciliado por MAP-B §3, re-verificado)	EXISTE-SATISFACE	SI_O_REFERENCIADO	6	CON-PUERTA-CLASIFICADA
HOMESCAN_CONSUMER_PANEL_SERVICES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	34	SIN-PUERTA
IMPACT_EVALUATION_OF_MOBILE_PEDAGOGICAL_TUTORS_2016	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	5	SIN-PUERTA
IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	WorldBank_MEX_ParentalEmpowerment_2010_catalogo1039	URL: cola.url_conocida == puertas.url exacta (microdata.worldbank.org/catalog/1039/study-description)	EXISTE-SATISFACE	NO_REFERENCIADO	35	CON-PUERTA-CLASIFICADA
IMSS	VACIO	comparada contra BID_IDB_Microdatos_Center/CEPAL_BADEHOG/OIT_ILOSTAT (necesidad N18 compartida) -- ninguna URL ni cita identifica el mismo producto (fuente_nombre='Familia de instrumentos de satisfaccion de usuarios' del IMSS, sin puerta institucional propia en el puntero); rechazo heredado de MAP-B (ahi fue IMSS_Datos_Abiertos_Asegurados), re-verificado contra el puntero vigente, sigue sin puerta	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
INE	INE_Conteos_Censales_Participacion	institución + necesidad parcial N25 (heredado de MAP-B, re-verificado)	EXISTE-NO-SATISFACE	NO_REFERENCIADO	46	CON-PUERTA-CLASIFICADA
INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OSF_InteractingAsEquals_PartisanPolarizacion_Mexico	URL: cola.url_conocida == puertas.url exacta (nature.com/articles/s41562-024-02043-y)	EXISTE-SATISFACE	NO_REFERENCIADO	12	CON-PUERTA-CLASIFICADA
ISSP	GESIS_ISSP	"nombre (""ISSP"") citado literalmente dentro de puertas.institucion (""GESIS -- Leibniz Institute for the Social Sciences (ISSP archive host)"") + necesidad idéntica en ambos lados (N2,N3,N12,N13,N14,N28,N30) -- MAP-B (13/ago) no lo vio porque el cruce por nombre exacto compara fuente_canonica==""ISSP"" contra puerta==""ISSP"", no contra puerta==""GESIS_ISSP""; ya señalado sin corregir en PROPUESTA-reconciliacion-universo-puertas.md §3(g)"	EXISTE-SATISFACE	SI	1	CON-PUERTA-CLASIFICADA
LAPOP	LAPOP	nombre idéntico -- puerta real reemplazó su propio placeholder gap_mapeo_map_b vía REG-LOTE3 (2026-08-13), MAP-B (13/ago temprano) no lo vio	EXISTE-SATISFACE	NO_REFERENCIADO	52	CON-PUERTA-CLASIFICADA
LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	WorldBank_MEX_LargeScaleFinancialEducation_2011_catalogo2049	URL: cola.url_conocida == puertas.url exacta (microdata.worldbank.org/catalog/2049)	EXISTE-SATISFACE	NO_REFERENCIADO	23	CON-PUERTA-CLASIFICADA
LATINOBARÓMETRO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	53	SIN-PUERTA
MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	MassMobilization_Dataverse_MMdata	URL: sondeo-27 (#228, data/acceso-puertas-2026-08-13.tsv) fila propia, url==massmobilization.github.io, idéntica a puertas.url -- cola.url_conocida estaba VACIO, evidencia viene del sondeo, no de la cola	NO OBTENIDO POR ESTE AGENTE EN 4 INTENTOS	NO_REFERENCIADO	13	CON-PUERTA-CLASIFICADA
MASS_MOBILIZATION_PROTEST_DATA	MassMobilization_Dataverse_MMdata	URL: cola.url_conocida == puertas.url exacta (massmobilization.github.io)	NO OBTENIDO POR ESTE AGENTE EN 4 INTENTOS	NO_REFERENCIADO	14	CON-PUERTA-CLASIFICADA
MASS_MOBILIZATION_PROTEST_DATA_MEXICO	MassMobilization_Dataverse_MMdata	URL: sondeo-27 (#228, data/acceso-puertas-2026-08-13.tsv) fila propia, url==massmobilization.github.io, idéntica a puertas.url -- cola.url_conocida estaba VACIO, evidencia viene del sondeo, no de la cola	NO OBTENIDO POR ESTE AGENTE EN 4 INTENTOS	NO_REFERENCIADO	15	CON-PUERTA-CLASIFICADA
MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	VACIO	sondeada en TRIAGE-63/#228 contra microdata.worldbank.org/catalog/870 (USUARIO_REGISTRO) -- comparte institucion y necesidad (N22,N23,N32) con WorldBank_MEX_EnterpriseSurvey_2023_catalogo6453 pero es una ficha de catalogo DISTINTA (870 vs 6453, panel 2006-2010 vs edicion 2023) -- rechazado, no es el mismo producto	NO-ENCONTRADO	NO_REFERENCIADO	8	SIN-PUERTA
MEXICO_PANEL_STUDY_2012	ICPSR_Mexico_Panel_Study_2012	URL: mismo study_id ICPSR 35024 (heredado de MAP-B, re-verificado)	NO-ACCESIBLE	NO_REFERENCIADO	18	CON-PUERTA-CLASIFICADA
MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	24	SIN-PUERTA
MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	openICPSR_Microcredit_MexicoPlacement_proj116334	URL: cola.url_conocida == puertas.url exacta (openicpsr.org/openicpsr/project/116334/version/V1/view)	EXISTE-SATISFACE	NO_REFERENCIADO	25	CON-PUERTA-CLASIFICADA
OECD	OECD_TrustSurveyData	URL: cola.url_conocida == puertas.url exacta (oecd.org/en/data/datasets/oecd-trust-survey-data.html)	NO OBTENIDO POR ESTE AGENTE EN 2 INTENTOS	NO_REFERENCIADO	36	CON-PUERTA-CLASIFICADA
PANEL_DE_COMPRA_DE_HOGARES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	37	SIN-PUERTA
PI	CNBV_Portafolio_Informacion	nombre + necesidad N19 (heredado de MAP-B, re-verificado)	EXISTE-NO-SATISFACE	NO_REFERENCIADO	50	CON-PUERTA-CLASIFICADA
PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	Cenfri_MicroinsuranceMexico	URL: cola.url_conocida == puertas.url exacta (cenfri.org/research-paper/price-and-information-type-in-life-microinsurance-demand...)	NO OBTENIDO POR ESTE AGENTE EN 2 INTENTOS	NO_REFERENCIADO	38	CON-PUERTA-CLASIFICADA
PUB	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	54	SIN-PUERTA
REGISTRO_DE_TANDAS_Y_REPUTACION	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	39	SIN-PUERTA
REGISTRO_OPERATIVO_DE_TANDAS_DIGITALES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	40	SIN-PUERTA
RELLABORALES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
RELLABORALESPRUEBA	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	41	SIN-PUERTA
REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	UNAM_Repositorio_Institucional_panel;COLMEX_Repositorio_panel;ITAM_panel_household_finance;Harvard_Dataverse_Mexico_panel;ICPSR_Mexico_Panel_Study_2012	fuente_nombre='Repositorios UNAM/COLMEX/ITAM' enumera explicitamente las mismas instituciones que 5 puertas distintas ya clasificadas (UNAM/COLMEX/ITAM/Dataverse/ICPSR) -- ninguna evidencia nueva en esta sesion prefiere una sobre las otras cuatro, EQUIVALENCIA-AMBIGUA con las 5 nombradas (heredado de MAP-B, re-verificado, sin cambio). Nota: ICPSR_Mexico_Panel_Study_2012 tambien es la puerta CONFIRMADA de un fuente distinto (MEXICO_PANEL_STUDY_2012, ver esa fila) -- puede servir a ambas demandas a la vez, no es una contradiccion.	VARIOS	SI_O_REFERENCIADO	NO	EQUIVALENCIA-AMBIGUA
SE	VACIO	necesidad N21,N22,N32 toca WorldBank_MEX_EnterpriseSurvey_2023_catalogo6453 y Cenfri_MicroinsuranceMexico pero fuente_nombre='Reporte General ECCO (SE) 2023' no cita URL ni institucion que confirme ser el mismo producto que ninguna de las dos -- rechazado	NO-ENCONTRADO	SI_O_REFERENCIADO	19	SIN-PUERTA
SERIES_SPEI_CODI_BANXICO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	45	SIN-PUERTA
SICS	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	42	SIN-PUERTA
SIN_CANDIDATO_IDENTIFICADO	VACIO	valor centinela de relaciones.tsv (fuente_nombre vacio) -- no hay fuente real que buscarle puerta, SIN-PUERTA trivial (heredado de MAP-B)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
UCDP	UCDP_Downloads_GED	URL: cola.url_conocida == puertas.url exacta (ucdp.uu.se/downloads/)	EXISTE-NO-SATISFACE	NO_REFERENCIADO	16	CON-PUERTA-CLASIFICADA
VOTAR_ENTRE_BALAS	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	43	SIN-PUERTA
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	WorldBank_MEX_EnterpriseSurvey_2023_catalogo6453	URL: cola.url_conocida == puertas.url exacta (microdata.worldbank.org/catalog/6453)	EXISTE-SATISFACE	NO_REFERENCIADO	9	CON-PUERTA-CLASIFICADA
WVS	WVS_World_Values_Survey	nombre idéntico (heredado de MAP-B, re-verificado: puerta real presente en puntero vigente)	EXISTE-SATISFACE	SI	3	CON-PUERTA-CLASIFICADA
