# data/l3-ensanut2024-catalogos-v1_0.tsv -- ACTO MAESTRA37-L3, P0(b), COMMIT-1.
# Censo de los catalogos de valores de ENSANUT 2024 en la raiz descargas_mx
# (data/raices.local.yaml). Se lee TODO el catalogo: no se eligen terminos.
# Fuente: los .Catlogo.xlsx de INEGI, hojas "Variables" (etiqueta de variable)
# y "Valores" (codigo -> etiqueta de respuesta). Extraido con openpyxl 3.1.5.
# adultos entra SOLO por catalogo: adultos_ensanut2024_w.stata.stata.zip esta
# AUSENTE-EN-RAIZ (verificado al arrancar el acto, 3/sep/2026).
# utilizadores utilizadores_ensanut2024_w.Catlogo.xlsx       variables=122 filas_valor=398 variables_sin_catalogo=81
# hogar        hogar_ensanut2024_w_ICB.Catlogo.xlsx          variables=204 filas_valor=550 variables_sin_catalogo=68
# integrantes  integrantes_ensanut2024_w_ICB.Catlogo.xlsx    variables=261 filas_valor=2353 variables_sin_catalogo=65
# adultos      adultos_ensanut2024_w.Catlogo.xlsx            variables=843 filas_valor=3332 variables_sin_catalogo=244
# menores      menores_ensanut2024_w.Catlogo.xlsx            variables=484 filas_valor=1546 variables_sin_catalogo=153
modulo	variable_id	etiqueta_variable	codigo	etiqueta_valor
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	9	Cruz Roja / Cruz Verde
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	10	Instituto Nacional de Salud
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	11	Organizaciones (ONG/OSC) que dan atención gratuita/Dispensario
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	12	Consultorios pertenecientes a farmacias / Farmacia con consultorio médico
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	13	Consultorio dentro de hospital privado
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	14	Área de urgencias/hospitalización dentro de hospital privado
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	15	Atención privada en torre de consultorios médicos o en una clínica sin camas de hospital privado
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	16	Consultorio en domicilio particular de médico privado
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	17	Atención privada en mi domicilio
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	18	Atención privada vía remota (teléfono, mensajes de texto, telemedicina)
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	19	Médico laboral (médico de la empresa)
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	20	Curandero(a), hierbero(a), naturista
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	21	Homeópata, partera, acupunturista
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	22	Otro (especifique)
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	23	No sabe / No recuerda
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	24	Consultorio psicológico
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	25	Centro de salud mental (CESAME)
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	26	IMSS-BIENESTAR (que eran antes centros de salud de la Secretaría de Salud)
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	1	Está muy lejos el lugar donde me toca ir
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	2	No había servicio en el horario en que lo necesitaba
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	3	Me dan cita dentro de mucho tiempo
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	4	Me tengo que formar para recibir una ficha para que me den cita
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	5	No tienen el servicio que necesito
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	6	Mi necesidad de salud ya está siendo atendida por un médico privado
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	7	Me hacen pagar consultas, medicamentos, laboratorios, otros
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	8	El tiempo de espera para pasar a consulta es muy largo
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	9	No dedican suficiente tiempo a la consulta
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	10	No me gusta la atención que dan/no son amables
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	11	En general no confío en el diagnóstico /tratamiento
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	12	No me gustan las instalaciones/equipo del lugar
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	13	Otro (especifique)
utilizadores	u0202ca	U0202CA ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	99	No sabe
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	1	Está muy lejos el lugar donde me toca ir
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	2	No había servicio en el horario en que lo necesitaba
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	3	Me dan cita dentro de mucho tiempo
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	4	Me tengo que formar para recibir una ficha para que me den cita
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	5	No tienen el servicio que necesito
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	6	Mi necesidad de salud ya está siendo atendida por un médico privado
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	7	Me hacen pagar consultas, medicamentos, laboratorios, otros
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	8	El tiempo de espera para pasar a consulta es muy largo
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	9	No dedican suficiente tiempo a la consulta
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	10	No me gusta la atención que dan/no son amables
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	11	En general no confío en el diagnóstico /tratamiento
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	12	No me gustan las instalaciones/equipo del lugar
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	13	Otro (especifique)
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	98	No tengo más motivos
utilizadores	u0202cb	U0202CB ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	99	No sabe
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	1	Está muy lejos el lugar donde me toca ir
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	2	No había servicio en el horario en que lo necesitaba
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	3	Me dan cita dentro de mucho tiempo
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	4	Me tengo que formar para recibir una ficha para que me den cita
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	5	No tienen el servicio que necesito
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	6	Mi necesidad de salud ya está siendo atendida por un médico privado
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	7	Me hacen pagar consultas, medicamentos, laboratorios, otros
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	8	El tiempo de espera para pasar a consulta es muy largo
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	9	No dedican suficiente tiempo a la consulta
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	10	No me gusta la atención que dan/no son amables
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	11	En general no confío en el diagnóstico /tratamiento
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	12	No me gustan las instalaciones/equipo del lugar
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	13	Otro (especifique)
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	98	No tengo más motivos
utilizadores	u0202cc	U0202CC ¿Por qué motivos no se/te atendió/atendiste en el lugar que le/te correspondía ir por su/tu derechohabiencia?	99	No sabe
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	1	Está muy lejos el lugar donde me toca ir
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	2	No había servicio en el horario en que lo necesitaba
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	3	Me dan cita dentro de mucho tiempo
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	4	Me tengo que formar para recibir una ficha para que me den cita
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	5	No tienen el servicio que necesito
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	6	Mi necesidad de salud ya está siendo atendida por un médico privado
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	7	Me hacen pagar consultas, medicamentos, laboratorios, otros
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	8	El tiempo de espera para pasar a consulta es muy largo
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	9	No dedican suficiente tiempo a la consulta
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	10	No me gusta la atención que dan/no son amables
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	11	En general no confío en el diagnóstico /tratamiento
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	12	No me gustan las instalaciones/equipo del lugar
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	13	Otro (especifique)
utilizadores	u0202c1a	U0202C1A ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	99	No sabe
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	1	Está muy lejos el lugar donde me toca ir
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	2	No había servicio en el horario en que lo necesitaba
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	3	Me dan cita dentro de mucho tiempo
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	4	Me tengo que formar para recibir una ficha para que me den cita
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	5	No tienen el servicio que necesito
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	6	Mi necesidad de salud ya está siendo atendida por un médico privado
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	7	Me hacen pagar consultas, medicamentos, laboratorios, otros
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	8	El tiempo de espera para pasar a consulta es muy largo
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	9	No dedican suficiente tiempo a la consulta
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	10	No me gusta la atención que dan/no son amables
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	11	En general no confío en el diagnóstico /tratamiento
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	12	No me gustan las instalaciones/equipo del lugar
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	13	Otro (especifique)
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	98	No tengo más motivos
utilizadores	u0202c1b	U0202C1B ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	99	No sabe
utilizadores	u0202c1c	U0202C1C ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	1	Está muy lejos el lugar donde me toca ir
utilizadores	u0202c1c	U0202C1C ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	2	No había servicio en el horario en que lo necesitaba
utilizadores	u0202c1c	U0202C1C ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	3	Me dan cita dentro de mucho tiempo
utilizadores	u0202c1c	U0202C1C ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	4	Me tengo que formar para recibir una ficha para que me den cita
utilizadores	u0202c1c	U0202C1C ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	5	No tienen el servicio que necesito
utilizadores	u0202c1c	U0202C1C ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	6	Mi necesidad de salud ya está siendo atendida por un médico privado
utilizadores	u0202c1c	U0202C1C ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	7	Me hacen pagar consultas, medicamentos, laboratorios, otros
utilizadores	u0202c1c	U0202C1C ¿Por qué motivos no se/te atendió/atendiste en el centro de salud u hospital de la Secretaría de Salud?	8	El tiempo de espera para pasar a consulta es muy largo
