id_regla	encuesta	payload_manifiesto_id	tier_gen1	situacion_gen1	n	destino	evidencia
tramite.gobierno_digital.uso_general_endutih2025	ENDUTIH 2025	endutih_2025_endutih2025_bd_dbf	FUERTE	SELLADA-PENDIENTE-CARGA	48718	FUERA-DE-ALCANCE	encuesta no nombrada en el objetivo de este acto; payload COINCIDE (endutih_2025_endutih2025_bd_dbf, n=48718); sucesor propio de ENDUTIH
dinero.ahorro.respaldo_enif2024	ENIF2024		MEDIA	REGISTRADA-SIN-CARGA		FUERA-DE-ALCANCE	encuesta no nombrada en el objetivo de este acto; ademas SIN-PAYLOAD (REGISTRADA-SIN-CARGA, payload_manifiesto_id=None); sucesor propio de ENIF2024
familia.union.libre_ejes_eder2017	EDER 2017	eder_2017_eder2017_bases_csv	SELLADA	SELLADA		RE-MEDIDA	P2 de este acto: payload COINCIDE (eder_2017_eder2017_bases_csv), COMMIT-1 nuevo
familia.cuidado.reparto_mujeres40_ejes_enut2024	ENUT 2024	enut2024_bd_csv	SELLADA	SELLADA		FUERA-DE-ALCANCE	explicito en el encargo SS3: 'no es este acto -- mesa decide el rotulo'; nucleo comun ENUT ya medido por #976 (GEN2-ENUT-PISOS-Y-SERIE-1)
civico.clientelismo.turnout_no_vote_choice_lapop2019	LAPOP 2019	mexico_lapop_americasbarometer_2019_v1_0_w	SELLADA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	LAPOP no esta en el lote de P2 de este acto (P2 solo nombra ENCUCI/EDER/ENIGH/ENFIH/ENNViH); licencia Vanderbilt/LAPOP no verificada mas alla de "derechos reservados, terminos de reuso no verificados" (data/manifiesto.yaml); PREGUNTA A MESA en la nota
civico.voto.agencia_lapop2023	LAPOP 2023	mex_2023_lapop_americasbarometer_v1_0_w	SELLADA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	mismo razonamiento que LAPOP 2019 (payload mex_2023_lapop_americasbarometer_v1_0_w COINCIDE, pero fuera del lote de P2 y licencia no verificada)
civico.protesta.agravio_urbano_lapop2019	LAPOP 2019	mexico_lapop_americasbarometer_2019_v1_0_w	MEDIA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	mismo razonamiento que civico.clientelismo.turnout_no_vote_choice_lapop2019
civico.transferencia.entitlement_encuci2020	ENCUCI 2020	encuci2020_bd_dbf	SELLADA	SELLADA-SIN-CARGA		RE-MEDIDA	P2 de este acto: payload COINCIDE (encuci2020_bd_dbf); ver nota si un CALC GEN2 existente ya la cubre
civico.voto.agencia_con_secreto_encuci2020	ENCUCI 2020	encuci2020_bd_dbf	SELLADA	SELLADA-SIN-CARGA		RE-MEDIDA	P2 de este acto: payload COINCIDE (encuci2020_bd_dbf); ver nota si un CALC GEN2 existente ya la cubre
civico.protesta.agravio_urbano_encuci2020	ENCUCI 2020	encuci2020_bd_dbf	FUERTE	CARGADA-A-MOTOR		RE-MEDIDA	situacion GEN1 = CARGADA-A-MOTOR; ver nota para el CALC GEN2 exacto que ya la mide
tramite.gobierno_digital.coercitivo_efirma_sat	SAT/ENOE (administrativo)		SELLADA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	no es un marginal de encuesta: proporcion administrativa agregada (padron SAT), no probabilidad individual; ya medida bajo GEN2 (MAESTRA36-L13, data/l13-sat-efirma-v1_0.json) con veredicto AMBIGUA-POR-UNIVERSO, no adjudica
civico.clientelismo.vote_change_mps2012	ICPSR MPS2012 (panel)	icpsr35024_ds1_w2_crosstabs_derivado_v0;icpsr35024_ds1_w2_crosstabs_derivadas	MEDIA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	encuesta no nombrada en el objetivo de este acto; payload COINCIDE (icpsr35024_ds1_w2_crosstabs_derivado_v0/derivadas); sucesor propio
civico.clientelismo.prevalencia_lista_mps2012	ICPSR MPS2012 (panel)	icpsr35024_ds1_w2_crosstabs_derivadas	MEDIA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	encuesta no nombrada en el objetivo de este acto; payload COINCIDE (icpsr35024_ds1_w2_crosstabs_derivadas); sucesor propio
civico.clientelismo.prevalencia_lista_listcran_mps2012	list::mexico (experimento de lista, paquete R)	list_cran_mexico_tab;list_cran_mexico_rd	SELLADA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	encuesta no nombrada en el objetivo de este acto; payload COINCIDE (list_cran_mexico_tab/rd); sucesor propio
civico.participacion.concurrencia_presidencial_conversion	electoral (panel L8, ya en GEN2)		MEDIA	SELLADA		RE-MEDIDA	ya sellado bajo GEN2: data/corrida0/CALC-L8-CONVERSION-0001 (RES-0050/51/52), reproduce las 3 celdas GEN1 sin adoptar -- se cita, no se re-mide
tramite.gobierno_digital.coercitivo_tabla_de_universos	ENOE + SAT (administrativo)		SELLADA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	no es un marginal de encuesta: tres denominadores administrativos/ENOE, no probabilidad individual; ya medido bajo GEN2 (MAESTRA36-L14, data/l14-coercitivo-universos-v1_0.json), tabla para mesa sin adjudicar
tramite.evasion.norma_inutil_sancion_improbable	ninguna (hipotesis sin instrumento)		SELLADA	HIPÓTESIS-SIN-INSTRUMENTO		SIN-PAYLOAD	MAESTRA38-N5 SS2.1: 4 formulaciones de busqueda en 0/42536 sobre inventario-reactivos-descargas-mx-v1_1; MANTENER-COMO-HIPOTESIS
civico.transferencia.atribucion_lider	ninguna (hipotesis sin instrumento)		SELLADA	HIPÓTESIS-SIN-INSTRUMENTO		SIN-PAYLOAD	MAESTRA38-N5 SS2.7: 5 formulaciones en 0/42536; RDD ya disenado en canon pero sin fuente de enlace identificada; MANTENER-COMO-HIPOTESIS
familia.cortejo.urbano_joven_apps	ninguna (hipotesis sin instrumento)		SELLADA	HIPÓTESIS-SIN-INSTRUMENTO		SIN-PAYLOAD	MAESTRA38-N5 SS2.9: 7 formulaciones en 0/42536, verificadas una a una; MANTENER-COMO-HIPOTESIS
civico.voto.clientelar_si_observable_lapop2019	LAPOP 2019		SELLADA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	MAESTRA38-N5 SS2.6 la reformulo como (a) REFORMULABLE con reactivo real (clien1n/clien1na x vb3n, LAPOP2019 ya en corpus) -- NO es SIN-INSTRUMENTO; queda FUERA-DE-ALCANCE por el mismo corte LAPOP que las demas (fuera del lote de P2, licencia no verificada)
civico.protesta.agravio_urbano_multiola	LAPOP multi-ola (2004/2006/2019/2021/2023)		SELLADA	ACOTADA-CON-RESERVA		FUERA-DE-ALCANCE	MAESTRA38-N5 SS2.8 la reformulo como (a) REFORMULABLE con 5 reactivos reales, pero la co-ocurrencia de las 5 variables en un mismo archivo/ola no esta confirmada; fuera del lote de P2, licencia LAPOP no verificada
comunicacion.inseguridad.ver_oir_callar_lapop2004	LAPOP 2004		SELLADA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	LAPOP 2004 no tiene entrada en data/manifiesto.yaml (0 ids con '2004' y 'lapop'): ademas de fuera del lote de P2, el payload de esa ola especifica no esta confirmado en el corpus
salud.atencion.grave_ensanut2024	ENSANUT 2024		SELLADA	SELLADA-SIN-CARGA		RE-MEDIDA	candidato data/corrida0/CALC-ENSANUT-0001; ver nota para confirmar coincidencia exacta de definicion
salud.vacunacion.disponible_ensanut2024	ENSANUT 2024		SELLADA	CARGADA-A-MOTOR		RE-MEDIDA	situacion GEN1 = CARGADA-A-MOTOR; candidato data/corrida0/CALC-ENSANUT-0001
salud.atencion.grave_ennvih2002	ENNViH 2002 (ola 1)	ennvih1_2002_hogar_dta	SELLADA	NO-ESTIMABLE-EN-v1_1		RE-MEDIDA	payload COINCIDE (ennvih1_2002_hogar_dta); situacion GEN1 = NO-ESTIMABLE-EN-v1_1 -- candidato a RE-MEDIDA como NO-CONSTRUIBLE-con-texto, ver nota
civico.voto_alineado.clientelar_cses2015	CIDE-CSES 2015	cide_cses2015_nacional_poselectoral	PENDIENTE-DE-MESA	PENDIENTE-DE-MESA	N-T1 = 42 (POSEL/OFERTA) · 14 (POSEL/AMENAZA) · 23 (PREEL/OFERTA) · 10 (PREEL/AMENAZA); N-T0 = 0 en los cuatro	FUERA-DE-ALCANCE	encuesta no nombrada en el objetivo de este acto; payload COINCIDE (cide_cses2015_nacional_poselectoral); sucesor propio
civico.contexto_institucional_victimas.lapop	LAPOP 2019/2021/2023	mexico_lapop_americasbarometer_2019_v1_0_w	PENDIENTE-DE-MESA	PENDIENTE-DE-MESA	N-UNIVERSO víctimas con ponderador válido: 520 (2019) · 505 (2021) · 428 (2023)	FUERA-DE-ALCANCE	mismo corte LAPOP que las demas: fuera del lote de P2, licencia no verificada
dinero.credito.atraso_y_dano_por_producto_banxico	Banxico (administrativo, no encuesta)		PENDIENTE-DE-MESA	PENDIENTE-DE-MESA		RE-MEDIDA	candidato data/corrida0/CALC-BANXICO-PRODUCTO-DANO-0001; ver nota para confirmar coincidencia exacta
trabajo.prestaciones.valoracion_seguridad_social_motral	MOTRAL 2015 (experimento)		PENDIENTE-DE-MESA	PENDIENTE-DE-MESA	5704	RE-MEDIDA	candidato data/corrida0/CALC-MOTRAL2015-VALORACION-SS-0001; ver nota para confirmar coincidencia exacta
referencia_sin_consumidor.shed2025_bnpl	SHED 2025 (poblacion de EEUU)			REFERENCIA-SIN-CONSUMIDOR		FUERA-DE-ALCANCE	no es Mexico ni marginal de encuesta mexicana; ya sellado en otro acto (PR #745, CALC-SHED2025-BNPL-DANO-0001, 66 RESULT); clausula explicita de no-transporte a Mexico
