tipo,variante,tramo_edad,desglose,grupo,medida,estimacion,ic95_inferior,ic95_superior,estado,unidad
sin_cp_menos_con_cp,PAREADA,total,nacional,total,participacion,-0.029468883478,-0.031315361668,-0.027591890241,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,total,nacional,total,media_incluye_ceros,-5.447232623552,-5.665792494669,-5.224699458058,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,total,nacional,total,media_participantes,-9.847780190872,-10.233394668767,-9.462040360713,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,total,sexo,hombre,participacion,-0.032113052541,-0.034698431019,-0.029624468269,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,total,sexo,hombre,media_incluye_ceros,-3.119856787932,-3.263800858606,-2.975079050474,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,total,sexo,hombre,media_participantes,-6.034633044406,-6.319529963982,-5.752078699561,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,total,sexo,mujer,participacion,-0.027168669741,-0.029421500504,-0.025060178193,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,total,sexo,mujer,media_incluye_ceros,-7.471861812921,-7.794396067735,-7.144696267837,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,total,sexo,mujer,media_participantes,-12.730048660025,-13.259361619955,-12.183700914068,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,12-17,edad,12-17,participacion,-0.034432445266,-0.038955237835,-0.030301116914,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,12-17,edad,12-17,media_incluye_ceros,-2.423617961860,-2.690520317978,-2.174688721938,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,12-17,edad,12-17,media_participantes,-4.068025582211,-4.543114591020,-3.651103511007,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,18-29,edad,18-29,participacion,-0.022336974092,-0.025640952181,-0.019187279588,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,18-29,edad,18-29,media_incluye_ceros,-6.605757938160,-6.982920970810,-6.210915998956,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,18-29,edad,18-29,media_participantes,-12.017794251939,-12.633500868843,-11.349863976870,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,30-39,edad,30-39,participacion,-0.017541870542,-0.020355700542,-0.014937369931,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,30-39,edad,30-39,media_incluye_ceros,-9.946032793138,-10.525311111161,-9.410987609782,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,30-39,edad,30-39,media_participantes,-13.686321320328,-14.425765932108,-13.007405716546,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,40-59,edad,40-59,participacion,-0.028694467857,-0.031690333316,-0.025795199415,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,40-59,edad,40-59,media_incluye_ceros,-4.426800646467,-4.715577473802,-4.140162716498,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,40-59,edad,40-59,media_participantes,-8.888502825750,-9.424167728144,-8.342352101796,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,60+,edad,60+,participacion,-0.047104885814,-0.051618589939,-0.042562478687,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,60+,edad,60+,media_incluye_ceros,-3.488559777433,-3.769607991744,-3.207841266425,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,60+,edad,60+,media_participantes,-7.815988098723,-8.454598188247,-7.183222823938,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 12-17,sexo_edad,hombre · 12-17,participacion,-0.037206630898,-0.043530954658,-0.031481148230,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,hombre · 12-17,sexo_edad,hombre · 12-17,media_incluye_ceros,-1.885882056858,-2.124717500466,-1.654371919744,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 12-17,sexo_edad,hombre · 12-17,media_participantes,-3.192510834495,-3.592252140998,-2.798346447163,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 12-17,sexo_edad,mujer · 12-17,participacion,-0.031669701914,-0.037508222551,-0.026134183700,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,mujer · 12-17,sexo_edad,mujer · 12-17,media_incluye_ceros,-2.959135945701,-3.373809922456,-2.585704957411,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 12-17,sexo_edad,mujer · 12-17,media_participantes,-4.906290204478,-5.631852644205,-4.260439325272,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 18-29,sexo_edad,hombre · 18-29,participacion,-0.026950938308,-0.031494118255,-0.022704230158,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,hombre · 18-29,sexo_edad,hombre · 18-29,media_incluye_ceros,-2.715244640105,-2.972650629964,-2.470295844659,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 18-29,sexo_edad,hombre · 18-29,media_participantes,-5.754596710487,-6.278938453975,-5.250652843576,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 18-29,sexo_edad,mujer · 18-29,participacion,-0.018011207800,-0.022263924240,-0.013985250507,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,mujer · 18-29,sexo_edad,mujer · 18-29,media_incluye_ceros,-10.253261580717,-10.869322335583,-9.620021511932,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 18-29,sexo_edad,mujer · 18-29,media_participantes,-16.382180456195,-17.259056939561,-15.416033165909,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 30-39,sexo_edad,hombre · 30-39,participacion,-0.025438122452,-0.030580667719,-0.020867850351,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,hombre · 30-39,sexo_edad,hombre · 30-39,media_incluye_ceros,-5.139949669465,-5.540019122171,-4.746516859988,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 30-39,sexo_edad,hombre · 30-39,media_participantes,-7.781766107391,-8.389327751301,-7.198026027698,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 30-39,sexo_edad,mujer · 30-39,participacion,-0.011031522675,-0.013903300433,-0.008606791009,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,mujer · 30-39,sexo_edad,mujer · 30-39,media_incluye_ceros,-13.908580261868,-14.787427480851,-13.127545454416,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 30-39,sexo_edad,mujer · 30-39,media_participantes,-17.718837817104,-18.769747892666,-16.717532485280,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 40-59,sexo_edad,hombre · 40-59,participacion,-0.028865057191,-0.033382088930,-0.024785300518,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,hombre · 40-59,sexo_edad,hombre · 40-59,media_incluye_ceros,-2.839460783193,-3.056699622029,-2.625072753000,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 40-59,sexo_edad,hombre · 40-59,media_participantes,-6.037054439982,-6.471562850473,-5.601242783550,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 40-59,sexo_edad,mujer · 40-59,participacion,-0.028552323417,-0.032669875903,-0.024669505528,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,mujer · 40-59,sexo_edad,mujer · 40-59,media_incluye_ceros,-5.749459759252,-6.185876748294,-5.313122557446,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 40-59,sexo_edad,mujer · 40-59,media_participantes,-10.990289947457,-11.776346306723,-10.236506610086,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 60+,sexo_edad,hombre · 60+,participacion,-0.046507001456,-0.052795429431,-0.040268311067,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,hombre · 60+,sexo_edad,hombre · 60+,media_incluye_ceros,-3.073465184916,-3.415448550303,-2.738411764299,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,hombre · 60+,sexo_edad,hombre · 60+,media_participantes,-6.748304992524,-7.551024385816,-5.973074152956,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 60+,sexo_edad,mujer · 60+,participacion,-0.047595658287,-0.053932375738,-0.041738977249,OK,diferencia de proporciones
sin_cp_menos_con_cp,PAREADA,mujer · 60+,sexo_edad,mujer · 60+,media_incluye_ceros,-3.829289547001,-4.181901655818,-3.490588698366,OK,horas/semana
sin_cp_menos_con_cp,PAREADA,mujer · 60+,sexo_edad,mujer · 60+,media_participantes,-8.713421448183,-9.489736038622,-7.920093984630,OK,horas/semana
