id_constancia	intento	ruta	url	http_code	bytes	sha256	estructura	fecha_utc	resultado_intento	nota	lote
DOC-ASTRA5-U0-APUEST-007	2	CABECERAS-LINUX	https://doi.org/10.1596/1813-9450-6634	200	2372	58e011e5a6e1aa7b86146a555710a18fbcbe5a2337456cfd1db7d3b7a49ab441	HTML-TITULO:Open Knowledge Repository	2026-09-24T20:16:49Z	EXISTE-NO-SATISFACE	El DOI resuelve a openknowledge.worldbank.org/handle/10986/16851, pero el repositorio es una SPA Angular/DSpace: el HTML crudo no trae el PDF ni el bitstream, solo el shell de la app.	1
DOC-ASTRA5-U0-CLASE-023	1	WEBSEARCH	-		0		VACIO	2026-09-24T20:33:57Z	NO-ENCONTRADO	Busqueda: 'El Financiero encuesta de salida eleccion presidencial 2 junio 2024 metodologia completa PDF definicion estratos clase'. Los resultados solo cubren cobertura periodistica de los resultados electorales; ninguna pagina con la metodologia/definicion de estratos de clase ni PDF fue localizada.	2
DOC-ASTRA5-U0-CONS-002	1	WEBSEARCH	NO-APLICA	NO-APLICA	0		VACIO	2026-09-24T20:30:48Z	NO-ENCONTRADO	Busqueda web ('McKinsey encuesta gasto del consumidor Mexico noviembre 2011 report') no devuelve el reporte especifico; solo aparecen articulos genericos de McKinsey sobre consumidores 2022-2023 y encuestas de ENIGH/INEGI. El reporte de McKinsey 2011/2012 sobre gasto del consumidor mexicano no aparece indexado.	1
DOC-ASTRA5-U0-CONS-003	1	WEBSEARCH	-		0		VACIO	2026-09-24T20:33:57Z	NO-ENCONTRADO	Busqueda: 'McKinsey Mexican Consumer Survey' / 'encuesta del consumidor mexicano' noviembre 2011. Solo se hallaron referencias secundarias (McKinsey Quarterly/insights posteriores) a hallazgos de una encuesta McKinsey 2009-2011 sobre tienditas/autoservicio, sin URL del documento primario de noviembre 2011.	2
DOC-ASTRA5-U0-CONS-025	1	API-PORTAL	NO-APLICA	NO-APLICA	0		VACIO	2026-09-24T20:30:56Z	NO-ENCONTRADO	La hoja misma declara SIN-ID-MANIFIESTO: u0mf --busca kueski dio 0/1680 y u0mf --busca aplazo no se ejecuto por baja probabilidad de acierto (decision de la sesion anterior). Se hereda esa conclusion: sin candidato de manifiesto ni pista de titulo/editorial para localizar el reporte de mercado privado.	1
DOC-ASTRA5-U0-CRFAC-009	1	WEBSEARCH	https://8982035.fs1.hubspotusercontent-na1.net/hubfs/8982035/AMVO_Estudio%20de%20Venta%20Online%202025_P%C3%BAblica_V2.pdf	200	3082353	cac0af1abe992e2516a7865d49405ae65aa64f58d0f2e96f891cc6a7cd9b7ff1	PDF-OK	2026-09-24T20:33:57Z	EXISTE-SATISFACE	AMVO 'Estudio de Venta Online 2025' version publica (alianza Netquest/NIQ/Similarweb, metodologia NORM AMVO, ~1000 entrevistas). PDF completo descargado y verificado (%PDF-1.7 ... %%EOF).	2
DOC-ASTRA5-U0-CRPOP-050	1	CABECERAS-LINUX	https://www.banxico.org.mx/publicaciones-y-prensa/reporte-sobre-las-condiciones-de-competencia-en-e/rib-comparativo-de-tasas-per.html	404	103		SOFT-404	2026-09-24T20:25:12Z	NO-ENCONTRADO	Ruta adivinada del RIB Banxico dio 404 (13 bytes de respuesta minima).	1
DOC-ASTRA5-U0-CRPOP-050	2	WEBSEARCH	https://www.banxico.org.mx/publicaciones-y-prensa/rib-creditos-personales/%7B01469D83-2BB3-A5CB-95E4-6B11ABEE2DED%7D.pdf	200	1499422	82fabbcd37254ca0f356b6a6d56ad7c9f1d1df2c02447725fcf57524b96b6861	PDF-OK	2026-09-24T20:25:12Z	EXISTE-SATISFACE	RIB 'Indicadores Basicos de Creditos Personales y Microcreditos, Datos a febrero de 2024' (Banxico) bajado integro; primera pagina dice textualmente 'Datos a febrero de 2024', exacto a lo que pide la hoja.	1
DOC-ASTRA5-U0-CRPOP-050	3	CABECERAS-LINUX	https://www.compartamos.com.mx/wps/portal/comparta	404	41288		SOFT-404	2026-09-24T20:25:12Z	NO-ENCONTRADO	Ruta adivinada de compartamos.com.mx (costos y comisiones) dio 404 (41288 bytes de pagina de error del sitio); no se localizo la pagina exacta de costos/comisiones en este intento (presupuesto WebSearch reservado para el RIB).	1
DOC-ASTRA5-U0-DUEL-009	1	OPENALEX	https://doi.org/10.1111/famp.12005		0			2026-09-24T20:33:57Z	NO-ACCESIBLE	Boss y Carnes, 'The Myth of Closure', Family Process 51(4) 2012. OpenAlex confirma titulo/anio/DOI pero open_access.is_oa=false (oa_status closed, sin best_oa_location). Documento IDENTIFICADO por metadatos; no se descarga ni se elude el muro Wiley (politica).	2
DOC-ASTRA5-U0-DUEL-010	1	OPENALEX	https://api.openalex.org/works/doi:10.1111/famp.12005	200	163		JSON-OK	2026-09-24T20:15:50Z	EXISTE-SATISFACE	OpenAlex confirma Boss y Carnes 'The Myth of Closure' Family Process 2012 W2089618743, DOI 10.1111/famp.12005. best_oa_location=null: articulo de pago, queda identificado por metadatos sin descarga (no se elude muro).	1
DOC-ASTRA5-U0-DUEL-016	1	CABECERAS-LINUX	https://www.diputados.gob.mx/LeyesBiblio/pdf/LGMDFP.pdf	200	891501	ef1a4d30a004381523a1c2ed66513cbebc095f7a96c163ff9b66efce7f76ad03	PDF-OK	2026-09-24T20:33:57Z	EXISTE-SATISFACE	Ley General en Materia de Desaparicion Forzada de Personas, Desaparicion Cometida por Particulares y del Sistema Nacional de Busqueda (texto vigente, Camara de Diputados). Confirmados en el texto los Articulos 88, 89, 90 y 137 citados en la pieza.	2
DOC-ASTRA5-U0-DUEL-016	2	CABECERAS-LINUX	https://www.dof.gob.mx/nota_to_doc.php?codnota=5602913				ERROR-CURL	2026-09-24T20:33:57Z	NO-ACCESIBLE	curl: (60) cadena TLS de dof.gob.mx no verificable desde este sandbox (mismo patron documentado en la receta para otros .gob.mx). CURL-EXE-WINDOWS NO-INTENTADO-POR-ESTE-AGENTE. Protocolo Homologado SNBP/002/2020 (numerales 82,143-145) no descargado en este lote; se intentaria por Wayback en una siguiente pasada.	2
DOC-ASTRA5-U0-EMOC-002	1	WEBSEARCH	NO-APLICA	NO-APLICA	0		VACIO	2026-09-24T20:30:05Z	NO-ENCONTRADO	La hoja remite a 'fila 001 (Smith et al. 2017)' de un lote anterior no incluido en este TSV: sin el tema/titulo de esa fila, 'Smith et al. 2017' es demasiado generico (miles de coincidencias posibles en OpenAlex) para identificar el articulo univoco sin la referencia cruzada a la fila 001 original.	1
DOC-ASTRA5-U0-EMOC-011	1	OPENALEX	https://openalex.org/works?filter=raw_author_name.search:Diaz-Guerrero	200			JSON-OK	2026-09-24T20:33:57Z	NO-ENCONTRADO	Busqueda por autor Diaz-Guerrero en OpenAlex localiza 'Socio-cultural premises, attitudes and cross-cultural research' (1963, doi 10.1037/e685262012-065) y 'SOCIO-CULTURAL PREMISES, ATTITUDES AND CROSS-CULTURAL RESEARCH' (1967, doi 10.1080/00207596708247205), serie PHSC autentica de Diaz-Guerrero, pero NINGUNA con anio 1959 exacto. WebSearch complementaria ubico ademas Diaz-Guerrero 1994 'Cronica de la premisa historico-socio-cultural' (en Etnopsicologia: Scientia Nova) y el libro 'La psicologia del Mexicano' (Trillas, 1994). Las publicaciones exactas de 1959 y 1994 citadas por el report (con esos anios especificos) no se confirmaron.	2
DOC-ASTRA5-U0-FAM-018	1	CABECERAS-LINUX	https://www.thetrevorproject.org/survey-2023/	200	891170	e89ca5f62ee324bbb80e0da29db166a147955c2f3109b59ff6415f02c185ab6e	HTML-TITULO:The Trevor Project: 2023 U.S. National Survey on the Mental Health of LGBTQ+ Young People	2026-09-24T20:23:34Z	EXISTE-NO-SATISFACE	La pagina real de Trevor Project existe y descarga integra, pero es la encuesta nacional de EE.UU. 2023, no la edicion/reporte especifico de Mexico que pide la hoja (Trevor Project tiene tambien un 'Global LGBTQ+ Youth Mental Health Survey' con corte Mexico, no localizado en este intento).	1
DOC-ASTRA5-U0-FAM-019	1	OPENALEX	https://openalex.org/works?filter=raw_author_name.search:Diaz-Guerrero	200			JSON-OK	2026-09-24T20:33:57Z	NO-ENCONTRADO	Mismo hallazgo que EMOC-011: serie PHSC de Diaz-Guerrero confirmada via OpenAlex (1963, 1967) y WebSearch (1994, libro 'La psicologia del Mexicano', Trillas; capitulo 'Cronica de la premisa historico-socio-cultural' 1994). No se confirmaron publicaciones puntuales con anio 1959 y 1994 exactos como pide la pieza (dos mediciones especificas).	2
DOC-ASTRA5-U0-FAM-041	1	WEBSEARCH	https://eitmedia.tech/2024/07/07/el-46-de-los-jovenes-mexicanos-vive-con-sus-padres-el-problema-ya-incide-en-la-tasa-de-fecundidad/	200	416299	d423c4e387a49f10ca56ebe629752cd007e286bf3454ca4ac8bbb65a245c74f6	HTML-TITULO:El 46% de los jovenes mexicanos vive con sus padres	2026-09-24T20:34:07Z	EXISTE-SATISFACE	Articulo real bajado integro; contiene la cifra exacta '46%' de jovenes mexicanos que viven con sus padres, atribuida a datos comparables de la OCDE (jovenes 20-29 anos, corte 2020). Distinto de un estudio academico de trayectoria 'boomerang' propiamente dicho, pero es la fuente secundaria que sostiene el 46% citado por el report.	1
DOC-ASTRA5-U0-FAM-041	2	WEBSEARCH	NO-APLICA	NO-APLICA	0		VACIO	2026-09-24T20:34:07Z	EXISTE-NO-SATISFACE	Tambien aparece la Encuesta Demografica Retrospectiva (EDER) 2025 de INEGI, con trayectorias de vida de poblacion 18-64 anos (independizacion del hogar de origen por generacion: 31.1% para 1961-1967 baja a 16.9% para 1998-2007); es un instrumento real de trayectoria residencial pero no reporta especificamente el 46% 'boomerang' citado.	1
DOC-ASTRA5-U0-GEN-007	1	CABECERAS-LINUX	https://www.mcci.org.mx/		0		ERROR-CURL	2026-09-24T20:33:57Z	NO-ACCESIBLE	Conexion fallida (curl sin respuesta, exit 000) a mcci.org.mx en este intento; no se probo Wayback por limite de intentos de la fila.	2
DOC-ASTRA5-U0-GEN-007	2	CABECERAS-LINUX	https://causaencomun.org.mx/beta/	200	633	4203d6c71a28998b52c40a2ddcf63904f109324acef2e746aaf99292705b2af8	VACIO	2026-09-24T20:33:57Z	NO-ENCONTRADO	Respuesta minima (633B, stub/redirect) sin contenido navegable. Consistente con la propia nota de la hoja U0: 'ninguno localizado en este lote' para MCCI (investigacion feminicidios) y Causa en Comun (informe).	2
DOC-ASTRA5-U0-GEN-030	1	CABECERAS-LINUX	https://www.diputados.gob.mx/LeyesBiblio/pdf/LFT.pdf	200	4225835	12f09393a1951a91c3f57f579bf611b034edf1a5f78cdbfb828e23ff3a9acbf7	PDF-OK	2026-09-24T20:24:25Z	EXISTE-SATISFACE	Ley Federal del Trabajo (texto vigente, diputados.gob.mx) bajada integra (PDF 1.5, %%EOF). Contiene Articulo 132 fraccion XXVII Bis: permiso de paternidad de cinco dias laborables con goce de sueldo -- coincide con la pieza citada (reforma 2012).	1
DOC-ASTRA5-U0-GENBEH-006	1	OPENALEX	https://www.bmj.com/content/bmj/349/bmj.g4164.full.pdf	403	5760	abf40db16de86fd74010bef8b545875f6810fbf5e9fb5da274b66618a1ee1fbb	RETO-CLOUDFLARE	2026-09-24T20:33:57Z	NO-ACCESIBLE	Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164. OpenAlex confirma OA hibrida con pdf_url en bmj.com, pero el host sirve reto Cloudflare 'Just a moment...' (title literal) en vez del PDF. Documento identificado; datos individuales de los 56 estudios subyacentes no abiertos.	2
DOC-ASTRA5-U0-GENBEH-007	1	OPENALEX	https://api.openalex.org/works/doi:10.1136/bmj.g4164	200	1002		JSON-OK	2026-09-24T20:15:50Z	EXISTE-SATISFACE	OpenAlex confirma Holmes et al BMJ 349:g4164 (2014) W2109003937, DOI 10.1136/bmj.g4164, best_oa_location con pdf_url bmj.com. Documento primario identificado (metadatos).	1
DOC-ASTRA5-U0-GENBEH-007	2	CABECERAS-LINUX	https://www.bmj.com/content/bmj/349/bmj.g4164.full.pdf	403	5717	4f6bf7f5210d01985a6372beb02204063906896ae551aa7bedc4e5603b287704	RETO-CLOUDFLARE	2026-09-24T20:15:50Z	NO-ACCESIBLE	PDF marcado OA en OpenAlex pero bmj.com bloquea con reto Cloudflare (403). Documento identificado por metadatos; copia bloqueada.	1
DOC-ASTRA5-U0-GENBEH-008	1	OPENALEX	https://www.bmj.com/content/bmj/349/bmj.g4164.full.pdf	403	5760	abf40db16de86fd74010bef8b545875f6810fbf5e9fb5da274b66618a1ee1fbb	RETO-CLOUDFLARE	2026-09-24T20:33:57Z	NO-ACCESIBLE	Misma referencia que GENBEH-006 (Holmes et al., BMJ 2014, DOI 10.1136/bmj.g4164): identificada por OpenAlex, bloqueada por reto Cloudflare en bmj.com.	2
DOC-ASTRA5-U0-GENBEH-033	1	PUBMED	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=29686110&retmode=json	200	2221		JSON-OK	2026-09-24T20:16:49Z	EXISTE-SATISFACE	PubMed confirma PMID 29686110 = Calancie L et al, G3(Bethesda) 8(6):2107-2119 (2018), DOI 10.1534/g3.118.300547, PMCID PMC5982837 (TAS2R38...vegetable intake), tal como identifico la hoja como el documento real que sustituye a Deshaware & Singhal 2018.	1
DOC-ASTRA5-U0-GENOM-004	1	OPENALEX	https://www.biorxiv.org/content/biorxiv/early/2019/02/01/441261.full.pdf	200	866858	f04539fdb840a06af643e69ae1587b7163a698a8bb292bb2a171c380e7f166ba	PDF-OK	2026-09-24T20:33:57Z	EXISTE-SATISFACE	Prepublicacion bioRxiv 2018 (DOI 10.1101/441261, 'Current clinical use of polygenic scores will risk exacerbating health disparities') descargada completa; PDF valido con %PDF-1.3 ... %%EOF. Contiene la figura 3 citada por la pieza.	2
DOC-ASTRA5-U0-GENOM-004	2	OPENALEX	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6563838/	200	223338	d08e4b8a185c4e36d44d1c36ac879ac78c1ec4b17c602e476b5ec4d4833bf12c	HTML-TITULO:Current clinical use of polygenic risk scores may exacerbate health disparities	2026-09-24T20:33:57Z	EXISTE-SATISFACE	Version PMC (submittedVersion) del articulo Nature Genetics 2019 de Martin et al. (DOI 10.1038/s41588-019-0379-x), landing page con texto completo real. El PDF directo de PMC exige reto proof-of-work (ver intento siguiente).	2
DOC-ASTRA5-U0-GENOM-004	3	CABECERAS-LINUX	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6563838/pdf/nihms-1030266.pdf		0		ERROR-CURL	2026-09-24T20:33:57Z	NO-ACCESIBLE	PMC exige reto proof-of-js (cloudpmc-viewer-pow) antes de servir el PDF; tambien europepmc.org/backend/ptpmcrender.fcgi devolvio 403. Datos UK Biobank/GWAS subyacentes no abiertos por U0, consistente con la pieza.	2
DOC-ASTRA5-U0-GENOM-017	1	WEBSEARCH	https://www.prnewswire.com/news-releases/datar-cancer-genetics-receives-landmark-us-fda-clearance-for-celldx-tissue-a-comprehensive-genomic-profiling-assay-for-solid-tumors-using-dna--rna-302772593.html	200	224417	ba8c5193e334d2f90e9ce71e45a6ae70a3bab15a7b32aa1c00d87858be56995d	HTML-TITULO:Datar Cancer Genetics Receives Landmark US FDA Clearance for CellDx-Tissue	2026-09-24T20:31:25Z	EXISTE-NO-SATISFACE	Comunicado PR Newswire real (14-mayo-2026, coincide con la fecha citada por la hoja), confirma el FDA clearance de CellDx-Tissue, pero el texto del comunicado NO trae el numero de autorizacion 510(k)/De Novo especifico; ese dato viviria en la base de datos de dispositivos de la FDA (accessdata.fda.gov), no consultada en este intento.	1
DOC-ASTRA5-U0-GENOM-017	2	API-PORTAL	https://api.fda.gov/device/510k.json?search=applicant:Datar	200	1955		JSON-OK	2026-09-24T20:31:46Z	EXISTE-SATISFACE	API openFDA (device/510k) confirma el numero de autorizacion: K260235, Datar Cancer Genetics Private Limited, CellDx-Tissue, decision_date 2026-05-12. Satisface exactamente lo que pedia la hoja (numero 510k y fecha exacta de decision).	1
DOC-ASTRA5-U0-GENOM-020	1	CABECERAS-LINUX	https://www.diputados.gob.mx/LeyesBiblio/pdf/LFPDPPP.pdf	200	457399	04d67464e1efc0472040e2ff8012ced52c73ff4fc3573c8e2d3477fd976359c6	PDF-OK	2026-09-24T20:33:57Z	EXISTE-NO-SATISFACE	LFPDPPP texto completo (Camara de Diputados) leido integramente. SI contiene una mencion a 'informacion genetica' (Art. 3, definicion de datos personales sensibles), por lo que NO sostiene la hipotesis de 'ausencia de mencion a dato genetico': es una mencion categorica generica, no una regulacion sustantiva especifica del dato genetico.	2
DOC-ASTRA5-U0-GENOM-022	1	CABECERAS-LINUX	https://www.diputados.gob.mx/LeyesBiblio/pdf/LFPDPPP.pdf	200	457399	04d67464e1efc0472040e2ff8012ced52c73ff4fc3573c8e2d3477fd976359c6	PDF-OK	2026-09-24T20:24:25Z	EXISTE-NO-SATISFACE	LFPDPPP (texto vigente) bajada integra y revisada por texto completo: NO contiene 'biobanco' ni 'dato genetico' ni 'genoma' en ningun articulo. No sostiene una mencion normativa a biobancos/PIA/dato genetico en esta ley.	1
DOC-ASTRA5-U0-GENOM-022	2	CABECERAS-LINUX	https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf	200	3286114	a2d3f947b369e4383f2f27a4e9bd819a3dba768ab9bae527e6388e30c1f9e06c	PDF-OK	2026-09-24T20:24:25Z	EXISTE-NO-SATISFACE	Ley General de Salud (texto vigente) bajada integra: SI tiene un Capitulo dedicado a 'El Genoma Humano' (Art 103 Bis, 103 Bis 1-3) que protege el genoma individual y exige consentimiento expreso para estudios; pero no usa la palabra 'biobanco' en ningun articulo. Revision normativa: la LGS regula genoma humano, no biobancos por nombre.	1
DOC-ASTRA5-U0-GENOM-026	1	PUBMED	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4304938/	200	204326	5f744079d1b7e38e04da888ea62f6cd898f151d0b42a939d9cfb7af8d133720d	HTML-TITULO:Significant clinical impact of recurrent BRCA1 and BRCA2 mutations in Mexico	2026-09-24T20:33:57Z	EXISTE-SATISFACE	Villarreal-Garza C et al., Cancer 2015 (PMID 25236687, PMCID PMC4304938). Texto completo PMC confirma LITERALMENTE: '(BRCA1 ex9-12del) accounted for 35% of the BRCA-associated ovarian ... and 29% of the BRCA-associated breast cancer cases' -- coincide EXACTO con el 35% ovarico / 29% mamario citado por el report.	2
DOC-ASTRA5-U0-GENOM-026	2	CABECERAS-LINUX	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4304938/pdf/nihms631509.pdf	200	1817	a25d346e9cdd859a998602b21c97a8b8496e257a32524a4b24efb0ebf1f99ee3	CAPTCHA	2026-09-24T20:33:57Z	NO-ACCESIBLE	El PDF directo de PMC devuelve una pagina de reto proof-of-work ('Preparing to download ...', cloudpmc-viewer-pow) en vez del binario; se uso en su lugar el HTML de PMC (intento 1), que ya satisface la pieza.	2
DOC-ASTRA5-U0-HUM-007	1	CABECERAS-LINUX	https://datareportal.com/reports/digital-2025-mexico	200	140842	2ecab9ba375f3b6529c294a1e830862538a8b5042518749c35a6d95d77c00a1c	HTML-TITULO:Digital 2025: Mexico	2026-09-24T20:23:34Z	EXISTE-SATISFACE	Pagina real de DataReportal 'Digital 2025: Mexico' bajada integra, titulo exacto y menciones a Mexico/Latinoamerica; coincide con la pieza descrita por la hoja (analisis Kepios, corte enero 2025).	1
DOC-ASTRA5-U0-MER-019	1	OPENALEX	https://academic.oup.com/socpro/article-pdf/69/1/91/42274994/spaa059.pdf	403	5825	ac6fbc8de39c5eb1d7b814f0fd4e34da905989de54d4ccdce1bcd281c52a78bd	RETO-CLOUDFLARE	2026-09-24T20:33:57Z	NO-ACCESIBLE	DOI 10.1093/socpro/spaa059 (Mijs & Hoy, Social Problems 2021) confirmado por OpenAlex, OA hibrida declarada con pdf_url en academic.oup.com, pero el host sirve reto Cloudflare 'Just a moment...'. Documento identificado por metadatos; U0 ya reporta copia documental local verificada por sha256.	2
DOC-ASTRA5-U0-MER-020	1	OPENALEX	https://api.openalex.org/works/doi:10.1093/socpro/spaa059	200	1240		JSON-OK	2026-09-24T20:15:50Z	EXISTE-SATISFACE	OpenAlex confirma Mijs y Hoy, Social Problems 2020 (spaa059) W3118649976, DOI 10.1093/socpro/spaa059, OA cc-by con pdf_url academic.oup.com. Documento primario identificado.	1
DOC-ASTRA5-U0-MER-020	2	CABECERAS-LINUX	https://academic.oup.com/socpro/article-pdf/69/1/91/42274994/spaa059.pdf	403	5804	e51ef3771b61618524514aea1a1f2c5239d1cc875a88a1000790883b6d605c8e	RETO-CLOUDFLARE	2026-09-24T20:15:50Z	NO-ACCESIBLE	PDF marcado OA en OpenAlex pero academic.oup.com bloquea con reto Cloudflare (403). Documento identificado por metadatos; copia bloqueada.	1
DOC-ASTRA5-U0-MER-021	1	OPENALEX	https://academic.oup.com/socpro/article-pdf/69/1/91/42274994/spaa059.pdf	403	5825	ac6fbc8de39c5eb1d7b814f0fd4e34da905989de54d4ccdce1bcd281c52a78bd	RETO-CLOUDFLARE	2026-09-24T20:33:57Z	NO-ACCESIBLE	Misma referencia que MER-019 (Mijs & Hoy, Social Problems 2021, DOI 10.1093/socpro/spaa059): identificada por OpenAlex, bloqueada por reto Cloudflare en academic.oup.com.	2
DOC-ASTRA5-U0-MER-022	1	OPENALEX	https://api.openalex.org/works/doi:10.1093/socpro/spaa059	200	1240		JSON-OK	2026-09-24T20:15:50Z	EXISTE-SATISFACE	Misma pieza que MER-020: Mijs y Hoy Social Problems 2020, W3118649976, DOI 10.1093/socpro/spaa059. Documento primario identificado via OpenAlex.	1
DOC-ASTRA5-U0-MER-022	2	CABECERAS-LINUX	https://academic.oup.com/socpro/article-pdf/69/1/91/42274994/spaa059.pdf	403	5804	e51ef3771b61618524514aea1a1f2c5239d1cc875a88a1000790883b6d605c8e	RETO-CLOUDFLARE	2026-09-24T20:15:50Z	NO-ACCESIBLE	Mismo bloqueo Cloudflare que MER-020 (mismo documento, misma URL). Identificado por metadatos; copia bloqueada.	1
DOC-ASTRA5-U0-MIGR-017	1	WEBSEARCH	https://www.brookings.edu/articles/what-the-data-say-about-immigration-enforcement-under-trump/	404	88978	ae6c7bc1c51b4ddadcbc61634451018bcb297fa8812137727d2b31f843d10cfb	SOFT-404	2026-09-24T20:33:57Z	NO-ENCONTRADO	URL candidata adivinada para el informe de Watson et al. resulto incorrecta (404 real de Brookings).	2
