id_afirmacion	procedencia_evidencia	dominio	busqueda_a13	procedencias_minimas	falsador
ASTRA5-U0-CONOC-001	(a) primaria México	CONOCIMIENTO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:conocimiento:L25,L58; PISA 2022	Cambiaría si la tabla o figura primaria de OECD PISA 2022 resultados matemáticas, lectura y ciencias; ficha México Vols. I-II 2023 y Vol. I tabla I.2.4/I.B1.2.1/I. da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-CONOC-002	(a) primaria México	CONOCIMIENTO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:conocimiento:L25,L58; PISA 2022	Cambiaría si la tabla o figura primaria de OECD PISA 2022 resultados matemáticas, lectura y ciencias; ficha México Vols. I-II 2023 y Vol. I tabla I.2.4/I.B1.2.1/I. da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-CONOC-003	(a) primaria México	CONOCIMIENTO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:conocimiento:L25,L58; universo y cobertura PISA	Cambiaría si la tabla o figura primaria de OECD PISA 2022 resultados matemáticas, lectura y ciencias; ficha México Vols. I-II 2023 y Vol. I tabla I.2.4/I.B1.2.1/I. da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-CONOC-004	(a) primaria México	CONOCIMIENTO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:conocimiento:L20,L78,L91; ENPECYT 2017	Cambiaría si la tabla o figura primaria de INEGI/CONACYT ENPECYT 2017, cuestionario sección IV A pregunta 1 rubro 3 y sección 25 pregunta 1; comunicado 272/18, 20/ da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-CONOC-005	(a) primaria México	CONOCIMIENTO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:conocimiento:L20,L78,L91; apoyo inversión y discrepancia	Cambiaría si la tabla o figura primaria de INEGI/CONACYT ENPECYT 2017, cuestionario sección IV A pregunta 1 rubro 3 y sección 25 pregunta 1; comunicado 272/18, 20/ da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-CONOC-006	mixta: agregado regional Centroamérica y México (no México aislado)	CONOCIMIENTO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:conocimiento:L20,L78,L91; Wellcome 2018	Cambiaría si la tabla o figura primaria de Wellcome Global Monitor 2018, informe publicado 2019, Trust in Scientists Index, cinco ítems, rango 1–4; capítulo 3 y Bo da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-001	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L18, componente abril-junio 2025	Cambiaría si el texto oficial registrado (CED/C/MEX/A.34/D/1, decisión adoptada en 30º período 9-19/mar/2026, distribuida 17/abr/2026; párrafos 33-37 y 122-123) dice otra cosa en el párrafo o artículo citado, o si un acto posterior con símbolo propio modifica el estado procesal o normativo.
ASTRA5-U0-DUEL-002	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L18, componente marzo-abril 2026	Cambiaría si el texto oficial registrado (CED/C/MEX/A.34/D/1, decisión adoptada en 30º período 9-19/mar/2026, distribuida 17/abr/2026; párrafos 33-37 y 122-123) dice otra cosa en el párrafo o artículo citado, o si un acto posterior con símbolo propio modifica el estado procesal o normativo.
ASTRA5-U0-DUEL-003	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L18, componente indicios y calificación	Cambiaría si el texto oficial registrado (CED/C/MEX/A.34/D/1, decisión adoptada en 30º período 9-19/mar/2026, distribuida 17/abr/2026; párrafos 33-37 y 122-123) dice otra cosa en el párrafo o artículo citado, o si un acto posterior con símbolo propio modifica el estado procesal o normativo.
ASTRA5-U0-DUEL-004	(c) evidencia extranjera: muestra colombiana	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L11-L12; comparación colombiana	Cambiaría si la tabla o figura primaria de Heeke, Stammel y Knaevelsrud, J Affect Disord 173:59–64 (2015), DOI 10.1016/j.jad.2014.10.038; reproducción íntegra como da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-005	(c) evidencia extranjera: muestra colombiana	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L11-L12; comparación colombiana	Cambiaría si la tabla o figura primaria de Heeke, Stammel y Knaevelsrud, J Affect Disord 173:59–64 (2015), DOI 10.1016/j.jad.2014.10.038; reproducción íntegra como da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-006	(c) evidencia extranjera: muestra colombiana	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L11; asociación esperanza y duelo	Cambiaría si la tabla o figura primaria de Heeke, Stammel y Knaevelsrud, J Affect Disord 173:59–64 (2015), DOI 10.1016/j.jad.2014.10.038; reproducción íntegra como da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-007	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L9; evidencia cualitativa Tamaulipas	Cambiaría si la tabla o figura primaria de Almanza-Avendaño, Hernández-Brussolo y Gómez-San Luis, Pérdida ambigua: madres de personas desaparecidas en Tamaulipas,  da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-008	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L9; evidencia cualitativa Tamaulipas	Cambiaría si la tabla o figura primaria de Almanza-Avendaño, Hernández-Brussolo y Gómez-San Luis, Pérdida ambigua: madres de personas desaparecidas en Tamaulipas,  da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-009	(c) marco teórico importado	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L9,L27; tipología	Cambiaría si la tabla o figura primaria de Boss y Carnes, The Myth of Closure, Family Process 51(4):456–469 (2012), DOI 10.1111/famp.12005 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-010	(c) marco teórico importado	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L10,L31; crítica de closure	Cambiaría si la tabla o figura primaria de Boss y Carnes, The Myth of Closure, Family Process 51(4):456–469 (2012), DOI 10.1111/famp.12005 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-011	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L16,L72-L79; experiencia institucional situada	Cambiaría si la tabla o figura primaria de Almanza-Avendaño, Hernández-Brussolo y Gómez-San Luis, Pérdida ambigua: madres de personas desaparecidas en Tamaulipas,  da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-012	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L20,L90-L96; estigma y apoyo situados	Cambiaría si la tabla o figura primaria de Almanza-Avendaño, Hernández-Brussolo y Gómez-San Luis, Pérdida ambigua: madres de personas desaparecidas en Tamaulipas,  da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-013	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L98-L102,L171-L178; estudio México n29	Cambiaría si la tabla o figura primaria de Smid, Blaauw y Lenferink, Intervention 18(2):139–149 (2020), DOI 10.4103/INTV.INTV_55_19; campo octubre 2016 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-014	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L98-L102,L171-L178; estudio México n29	Cambiaría si la tabla o figura primaria de Smid, Blaauw y Lenferink, Intervention 18(2):139–149 (2020), DOI 10.4103/INTV.INTV_55_19; campo octubre 2016 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-015	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L98-L102,L171-L178; estudio México n29	Cambiaría si la tabla o figura primaria de Smid, Blaauw y Lenferink, Intervention 18(2):139–149 (2020), DOI 10.4103/INTV.INTV_55_19; campo octubre 2016 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-DUEL-016	(a) primaria México	DUELO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:duelo:L16,L72-L79; espera de 72 horas frente a obligación de búsqu	Cambiaría si el texto oficial registrado (Ley General en Materia de Desaparición, texto consolidado Cámara de Diputados última reforma DOF 16/jul/2025 arts.88-90,) dice otra cosa en el párrafo o artículo citado, o si un acto posterior con símbolo propio modifica el estado procesal o normativo.
ASTRA5-U0-ENOE-001	(a) primaria México	TRABAJO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:tiempo:L14	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENOE 2024 T3, cuestionario básico v7 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-ENOE-002	(a) primaria México	TRABAJO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:trabajo:L3	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENOE 2024 T3, cuestionario básico v7 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-ENOE-003	(a) primaria México	TRABAJO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:trabajo:L59	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENOE 2024 T3, cuestionario básico v7 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-001	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L9	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-002	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L11	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-003	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L25	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-004	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L27	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-005	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L29	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-006	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L27; duplicado descriptivo en report de tiempo L17	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-007	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L15	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-008	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L23	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-FIN-009	(a) primaria México	DINERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:finanzas:L31	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENIF 2024 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-GEN-001	(a) primaria México	GENERO	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genero:L62-67, sección Evidencia FUERTE	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENDIREH 2021, Cuestionario A cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-GENBEH-001	(c) evidencia extranjera: cohortes/meta-análisis mayoritariamente europeos	GENETICA	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genetica-conductual:L199; síntesis L214,L224,L228	Cambiaría si la tabla o figura primaria de Duncan et al., Nature Communications 10:3328 (2019), DOI 10.1038/s41467-019-11112-0; revisión 2008–2017 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-GENBEH-002	(c) evidencia extranjera: cohortes/meta-análisis mayoritariamente europeos	GENETICA	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genetica-conductual:L199; síntesis L214,L224,L228	Cambiaría si la tabla o figura primaria de Duncan et al., Nature Communications 10:3328 (2019), DOI 10.1038/s41467-019-11112-0; revisión 2008–2017 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-GENBEH-003	(c) evidencia extranjera: cohortes/meta-análisis mayoritariamente europeos	GENETICA	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genetica-conductual:L17; detalle L120-L129; síntesis L214,L228	Cambiaría si la tabla o figura primaria de Karlsson Linnér et al., Nature Genetics 51:245–257 (2019), DOI 10.1038/s41588-018-0309-3, artículo final da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-GENBEH-004	(c) evidencia extranjera: cohortes/meta-análisis mayoritariamente europeos	GENETICA	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genetica-conductual:L17; detalle L120-L129; síntesis L214,L228	Cambiaría si la tabla o figura primaria de Karlsson Linnér et al., Nature Genetics 51:245–257 (2019), DOI 10.1038/s41588-018-0309-3, artículo final da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-GENBEH-005	(c) evidencia extranjera: cohortes/meta-análisis mayoritariamente europeos	GENETICA	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genetica-conductual:L125-L127; síntesis L214,L228	Cambiaría si la tabla o figura primaria de Karlsson Linnér et al., Nature Genetics 51:245–257 (2019), DOI 10.1038/s41588-018-0309-3, artículo final da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-GENBEH-006	(c) evidencia extranjera: cohortes/meta-análisis mayoritariamente europeos	GENETICA	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genetica-conductual:L9; detalle L84-L90	Cambiaría si la tabla o figura primaria de Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-GENBEH-007	(c) evidencia extranjera: cohortes/meta-análisis mayoritariamente europeos	GENETICA	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genetica-conductual:L9; detalle L84-L90	Cambiaría si la tabla o figura primaria de Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
ASTRA5-U0-GENBEH-008	(c) evidencia extranjera: cohortes/meta-análisis mayoritariamente europeos	GENETICA	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:genetica-conductual:L9; detalle L84-L90	Cambiaría si la tabla o figura primaria de Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984 da otra cifra, otro denominador o otro universo que el contratado; una réplica con muestra distinta no la refuta, pero ninguna cifra se traslada a México sin muestra mexicana.
