ruta	sha256_recalculado	dominio_primario	consumidor	rol
corpus/reports/Mexican_Population_Genomics__2025-2026_Scientific_and_Market_Opportunity_Update.md	6ebfdf54902b11e369a1040d921ac16497f09bdbef415c6c5c7921edd57e0c31	GENOMICA	MESA	tematico_firewall
corpus/reports/Moral_Emotions_in_Mexico__Declared_Dignity__Relational_Face__and_Residual_Catholic_Guilt.md	ab76b878988d4ed3f8757e770bfc927949cf05c59ed209d7916ecee474d29a66	EMOCIONES_MORALES	MESA	tematico
corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md	f8ef1dd32d199ec428e07452e86d668813d7ef71be550d0539ac28410f7079f3	MOVILIDAD	U1	tematico
corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	4c062d9e06d8ed8a6336beccedaeb9d4a593db903a8d9ee3ced81b5359d09c96	CAPITAL_SOCIAL	MESA	tematico
corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	8d98900588d3f07e05839c2252c8b0945ecd405512d47cf43f55cae90738d4a0	POLITICA	U3	tematico
corpus/reports/Psicología__Conducta_y_Sociedad_en_el_México_Contemporáneo__Análisis_Transcultural_y_Estructural.md	2ead6a5a8c3e16b7e94e32be1d3eebd6bfe476ed815ec5ebe6cbaed426915404	SINTESIS	MESA	integrador
corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md	96b842bba10353112c2e8b9be36351770bb7e97701d54f273c16d7e822a63261	JUVENTUD	U1_U4	tematico_transversal
corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	CONSUMO	MESA	tematico
corpus/reports/Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md	e869c5110dc919af20ecf5914c94d2bd61b8ed2a0070dfce3f30114a7a16b613	TRABAJO	U1	tematico
corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	MIGRACION	MESA	tematico
corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md	e317fefe6af96990a324a363c33255b62f5376e09ec66f7371d1dd4e31c63df7	GENERO	U2	tematico
corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md	dfb84e0854fdc089e4dd7e57e9c234476a4b3ac896947babf55ffc712ef46722	RELIGIOSIDAD	MESA	tematico
corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	196ec5d4077e855e4ce5e30364e07ab7c6a06efd36232a283f0ac2c8cfd9554c	CONOCIMIENTO	MESA	tematico
corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md	fb2ddd662f703e8a6752a3dc690bf992741aaaa67c1bdbbf89905aca245a1f18	SALUD_MENTAL	MESA	tematico
corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md	916eb783b1a23dbafc9136faf1fcac2736b21774264d191c1c1642818f55deb7	SANCION_SOCIAL	U4	tematico_transversal
corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	bed369718e1bbfb70d65982c727c5b5b5c8509e7c29c4156e72f075df4e4b21b	FAMILIA_CUIDADOS	MESA	tematico
corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	CONSUMO	MESA	forense
corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	CONSUMO	MESA	forense
corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	DINERO	MESA	forense
corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md	ed13e9519896538e484394b8e5448152b3d5ddcac21add246c4f718d71a15aed	DINERO	MESA	forense
corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	POLITICA	U3	forense
corpus/forense/compass-4-e29a28d4-credito-popular-2026.md	ea74603e6a597f3c036cfc98aeaab2877e75ff3407c158da0bc851bef1a8f03f	DINERO	MESA	complemento_forense_credito_popular
