dominio	afirmaciones	medible_en_corpus	medible_con_adquisicion	no_medible_por_diseno	medido	en_medicion	sin_result	fraccion_medida	reservadas	reports	pendientes_medibles
GENETICA	38	0	35	3	0	0	38	0/38	0	1	ASTRA5-U0-GENBEH-001;ASTRA5-U0-GENBEH-002;ASTRA5-U0-GENBEH-003;ASTRA5-U0-GENBEH-004;ASTRA5-U0-GENBEH-005;ASTRA5-U0-GENBEH-006;ASTRA5-U0-GENBEH-007;ASTRA5-U0-GENBEH-008;ASTRA5-U0-GENBEH-009;ASTRA5-U0-GENBEH-010;ASTRA5-U0-GENBEH-011;ASTRA5-U0-GENBEH-012;ASTRA5-U0-GENBEH-013;ASTRA5-U0-GENBEH-014;ASTRA5-U0-GENBEH-015;ASTRA5-U0-GENBEH-016;ASTRA5-U0-GENBEH-017;ASTRA5-U0-GENBEH-018;ASTRA5-U0-GENBEH-019;ASTRA5-U0-GENBEH-020;ASTRA5-U0-GENBEH-021;ASTRA5-U0-GENBEH-022;ASTRA5-U0-GENBEH-023;ASTRA5-U0-GENBEH-024;ASTRA5-U0-GENBEH-025;ASTRA5-U0-GENBEH-026;ASTRA5-U0-GENBEH-027;ASTRA5-U0-GENBEH-028;ASTRA5-U0-GENBEH-029;ASTRA5-U0-GENBEH-030;ASTRA5-U0-GENBEH-031;ASTRA5-U0-GENBEH-032;ASTRA5-U0-GENBEH-033;ASTRA5-U0-GENBEH-035;ASTRA5-U0-GENBEH-036
GENOMICA	33	0	27	6	0	0	33	0/33	0	1	ASTRA5-U0-GENOM-001;ASTRA5-U0-GENOM-002;ASTRA5-U0-GENOM-003;ASTRA5-U0-GENOM-004;ASTRA5-U0-GENOM-005;ASTRA5-U0-GENOM-006;ASTRA5-U0-GENOM-007;ASTRA5-U0-GENOM-008;ASTRA5-U0-GENOM-009;ASTRA5-U0-GENOM-011;ASTRA5-U0-GENOM-012;ASTRA5-U0-GENOM-013;ASTRA5-U0-GENOM-014;ASTRA5-U0-GENOM-015;ASTRA5-U0-GENOM-016;ASTRA5-U0-GENOM-017;ASTRA5-U0-GENOM-018;ASTRA5-U0-GENOM-020;ASTRA5-U0-GENOM-021;ASTRA5-U0-GENOM-022;ASTRA5-U0-GENOM-023;ASTRA5-U0-GENOM-024;ASTRA5-U0-GENOM-025;ASTRA5-U0-GENOM-026;ASTRA5-U0-GENOM-027;ASTRA5-U0-GENOM-028;ASTRA5-U0-GENOM-029
HUMOR	29	0	17	12	0	0	29	0/29	0	2	ASTRA5-U0-HUM-001;ASTRA5-U0-HUM-002;ASTRA5-U0-HUM-003;ASTRA5-U0-HUM-004;ASTRA5-U0-HUM-005;ASTRA5-U0-HUM-006;ASTRA5-U0-HUM-007;ASTRA5-U0-HUM-008;ASTRA5-U0-HUM-009;ASTRA5-U0-HUM-010;ASTRA5-U0-HUM-011;ASTRA5-U0-HUM-012;ASTRA5-U0-HUM-015;ASTRA5-U0-HUM-016;ASTRA5-U0-HUM-018;ASTRA5-U0-HUM-019;ASTRA5-U0-HUM-021
INTERACCION	21	0	13	8	0	0	21	0/21	0	4	ASTRA5-U0-INTER-005;ASTRA5-U0-INTER-006;ASTRA5-U0-INTER-007;ASTRA5-U0-INTER-008;ASTRA5-U0-INTER-009;ASTRA5-U0-INTER-020;ASTRA5-U0-INTER-021;ASTRA5-U0-INTER-027;ASTRA5-U0-INTER-030;ASTRA5-U0-INTER-033;ASTRA5-U0-SINT-001;ASTRA5-U0-SINT-004;ASTRA5-U0-SANC-004
JUVENTUD	29	4	14	11	0	0	29	0/29	1	10	ASTRA5-U0-TRUST-017;ASTRA5-U0-TIME-027;ASTRA5-U0-INTER-022;ASTRA5-U0-FAM-016;ASTRA5-U0-FAM-020;ASTRA5-U0-FAM-038;ASTRA5-U0-FAM-041;ASTRA5-U0-MER-027;ASTRA5-U0-JUV-001;ASTRA5-U0-JUV-002;ASTRA5-U0-JUV-003;ASTRA5-U0-JUV-004;ASTRA5-U0-JUV-005;ASTRA5-U0-JUV-006;ASTRA5-U0-CONS-020;ASTRA5-U0-TRAB-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-038
MIGRACION	58	5	29	24	0	0	58	0/58	2	12	ASTRA5-U0-DUEL-037;ASTRA5-U0-VIOL-017;ASTRA5-U0-VIOL-018;ASTRA5-U0-RURAL-011;ASTRA5-U0-PAREJA-041;ASTRA5-U0-MER-026;ASTRA5-U0-SINT-015;ASTRA5-U0-MIGR-001;ASTRA5-U0-MIGR-002;ASTRA5-U0-MIGR-004;ASTRA5-U0-MIGR-006;ASTRA5-U0-MIGR-009;ASTRA5-U0-MIGR-011;ASTRA5-U0-MIGR-013;ASTRA5-U0-MIGR-016;ASTRA5-U0-MIGR-017;ASTRA5-U0-MIGR-019;ASTRA5-U0-MIGR-021;ASTRA5-U0-MIGR-023;ASTRA5-U0-MIGR-029;ASTRA5-U0-MIGR-033;ASTRA5-U0-MIGR-034;ASTRA5-U0-MIGR-035;ASTRA5-U0-MIGR-036;ASTRA5-U0-MIGR-038;ASTRA5-U0-MIGR-039;ASTRA5-U0-MIGR-040;ASTRA5-U0-MIGR-041;ASTRA5-U0-MIGR-042;ASTRA5-U0-GEN-019;ASTRA5-U0-RELIG-010;ASTRA5-U0-SALMEN-011;ASTRA5-U0-VEJEZ-021;ASTRA5-U0-VEJEZ-022
MOVILIDAD	56	4	41	11	0	0	56	0/56	1	5	ASTRA5-U0-APUEST-027;ASTRA5-U0-CLASE-001;ASTRA5-U0-CLASE-002;ASTRA5-U0-CLASE-003;ASTRA5-U0-CLASE-004;ASTRA5-U0-CLASE-009;ASTRA5-U0-CLASE-011;ASTRA5-U0-CLASE-012;ASTRA5-U0-CLASE-018;ASTRA5-U0-CLASE-019;ASTRA5-U0-CLASE-021;ASTRA5-U0-CLASE-025;ASTRA5-U0-CLASE-031;ASTRA5-U0-CLASE-033;ASTRA5-U0-CLASE-035;ASTRA5-U0-CLASE-037;ASTRA5-U0-CLASE-038;ASTRA5-U0-CLASE-039;ASTRA5-U0-TIME-003;ASTRA5-U0-TIME-004;ASTRA5-U0-TIME-005;ASTRA5-U0-MER-004;ASTRA5-U0-MER-005;ASTRA5-U0-MER-010;ASTRA5-U0-MER-011;ASTRA5-U0-MER-012;ASTRA5-U0-MER-013;ASTRA5-U0-MER-014;ASTRA5-U0-MER-015;ASTRA5-U0-MER-016;ASTRA5-U0-MER-017;ASTRA5-U0-MER-018;ASTRA5-U0-MER-019;ASTRA5-U0-MER-020;ASTRA5-U0-MER-021;ASTRA5-U0-MER-022;ASTRA5-U0-MER-030;ASTRA5-U0-MER-031;ASTRA5-U0-MER-032;ASTRA5-U0-MER-033;ASTRA5-U0-MER-037;ASTRA5-U0-SINT-008;ASTRA5-U0-SINT-009;ASTRA5-U0-SINT-012;ASTRA5-U0-SINT-017
PAREJA	32	1	18	13	0	0	32	0/32	0	3	ASTRA5-U0-PAREJA-001;ASTRA5-U0-PAREJA-002;ASTRA5-U0-PAREJA-003;ASTRA5-U0-PAREJA-005;ASTRA5-U0-PAREJA-006;ASTRA5-U0-PAREJA-007;ASTRA5-U0-PAREJA-008;ASTRA5-U0-PAREJA-009;ASTRA5-U0-PAREJA-010;ASTRA5-U0-PAREJA-011;ASTRA5-U0-PAREJA-012;ASTRA5-U0-PAREJA-018;ASTRA5-U0-PAREJA-020;ASTRA5-U0-PAREJA-021;ASTRA5-U0-PAREJA-030;ASTRA5-U0-PAREJA-032;ASTRA5-U0-PAREJA-039;ASTRA5-U0-PAREJA-040;ASTRA5-U0-GEN-005
POLITICA	90	20	42	28	0	1	89	0/90	1	12	ASTRA5-U0-CLIENT-002;ASTRA5-U0-CLIENT-003;ASTRA5-U0-CLIENT-004;ASTRA5-U0-CLIENT-005;ASTRA5-U0-CLIENT-006;ASTRA5-U0-CLIENT-007;ASTRA5-U0-CLIENT-008;ASTRA5-U0-CLIENT-009;ASTRA5-U0-CLIENT-010;ASTRA5-U0-CLIENT-011;ASTRA5-U0-CLIENT-012;ASTRA5-U0-CLIENT-013;ASTRA5-U0-CLIENT-014;ASTRA5-U0-CLIENT-015;ASTRA5-U0-CLIENT-016;ASTRA5-U0-CLIENT-017;ASTRA5-U0-CLASE-022;ASTRA5-U0-CLASE-023;ASTRA5-U0-CLASE-041;ASTRA5-U0-VIOL-048;ASTRA5-U0-INTER-036;ASTRA5-U0-MER-029;ASTRA5-U0-POL-003;ASTRA5-U0-POL-004;ASTRA5-U0-POL-005;ASTRA5-U0-POL-006;ASTRA5-U0-POL-007;ASTRA5-U0-POL-008;ASTRA5-U0-POL-009;ASTRA5-U0-POL-010;ASTRA5-U0-POL-012;ASTRA5-U0-POL-013;ASTRA5-U0-POL-015;ASTRA5-U0-POL-016;ASTRA5-U0-POL-017;ASTRA5-U0-POL-019;ASTRA5-U0-POL-020;ASTRA5-U0-POL-021;ASTRA5-U0-POL-022;ASTRA5-U0-POL-023;ASTRA5-U0-POL-024;ASTRA5-U0-POL-025;ASTRA5-U0-POL-028;ASTRA5-U0-POL-029;ASTRA5-U0-POL-030;ASTRA5-U0-POL-034;ASTRA5-U0-POL-035;ASTRA5-U0-POL-037;ASTRA5-U0-POL-038;ASTRA5-U0-POL-039;ASTRA5-U0-POL-041;ASTRA5-U0-SINT-022;ASTRA5-U0-JUV-024;ASTRA5-U0-JUV-025;ASTRA5-U0-JUV-026;ASTRA5-U0-JUV-027;ASTRA5-U0-TRAB-028;ASTRA5-U0-GEN-013;ASTRA5-U0-GEN-014;ASTRA5-U0-GEN-029;ASTRA5-U0-RELIG-027;ASTRA5-U0-RELIG-035
RELIGIOSIDAD	39	5	25	9	0	0	39	0/39	0	8	ASTRA5-U0-RURAL-019;ASTRA5-U0-PAREJA-016;ASTRA5-U0-EMOC-029;ASTRA5-U0-EMOC-030;ASTRA5-U0-CAPSOC-023;ASTRA5-U0-JUV-016;ASTRA5-U0-RELIG-001;ASTRA5-U0-RELIG-002;ASTRA5-U0-RELIG-003;ASTRA5-U0-RELIG-004;ASTRA5-U0-RELIG-005;ASTRA5-U0-RELIG-006;ASTRA5-U0-RELIG-007;ASTRA5-U0-RELIG-008;ASTRA5-U0-RELIG-011;ASTRA5-U0-RELIG-012;ASTRA5-U0-RELIG-013;ASTRA5-U0-RELIG-014;ASTRA5-U0-RELIG-017;ASTRA5-U0-RELIG-018;ASTRA5-U0-RELIG-019;ASTRA5-U0-RELIG-022;ASTRA5-U0-RELIG-023;ASTRA5-U0-RELIG-025;ASTRA5-U0-RELIG-026;ASTRA5-U0-RELIG-029;ASTRA5-U0-RELIG-031;ASTRA5-U0-RELIG-033;ASTRA5-U0-RELIG-038;ASTRA5-U0-SALMEN-031
RURAL_INDIGENA	56	7	30	19	0	0	56	0/56	0	13	ASTRA5-U0-TEC-010;ASTRA5-U0-RURAL-002;ASTRA5-U0-RURAL-004;ASTRA5-U0-RURAL-005;ASTRA5-U0-RURAL-009;ASTRA5-U0-RURAL-015;ASTRA5-U0-RURAL-016;ASTRA5-U0-RURAL-018;ASTRA5-U0-RURAL-023;ASTRA5-U0-RURAL-026;ASTRA5-U0-RURAL-027;ASTRA5-U0-RURAL-028;ASTRA5-U0-RURAL-029;ASTRA5-U0-RURAL-030;ASTRA5-U0-RURAL-032;ASTRA5-U0-RURAL-034;ASTRA5-U0-RURAL-036;ASTRA5-U0-RURAL-037;ASTRA5-U0-RURAL-040;ASTRA5-U0-RURAL-041;ASTRA5-U0-RURAL-042;ASTRA5-U0-RURAL-043;ASTRA5-U0-RURAL-044;ASTRA5-U0-RURAL-045;ASTRA5-U0-RURAL-049;ASTRA5-U0-FAM-037;ASTRA5-U0-CAPSOC-013;ASTRA5-U0-CAPSOC-029;ASTRA5-U0-CAPSOC-033;ASTRA5-U0-SINT-011;ASTRA5-U0-SINT-016;ASTRA5-U0-TRAB-029;ASTRA5-U0-TRAB-030;ASTRA5-U0-CONOC-011;ASTRA5-U0-SALMEN-032;ASTRA5-U0-SANC-012;ASTRA5-U0-VEJEZ-032
SALUD	64	13	31	20	0	0	64	0/64	1	10	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-025;ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-RURAL-020;ASTRA5-U0-RURAL-021;ASTRA5-U0-RURAL-048;ASTRA5-U0-SALUD-005;ASTRA5-U0-SALUD-006;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-008;ASTRA5-U0-SALUD-009;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-011;ASTRA5-U0-SALUD-012;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-015;ASTRA5-U0-SALUD-016;ASTRA5-U0-SALUD-017;ASTRA5-U0-SALUD-018;ASTRA5-U0-SALUD-019;ASTRA5-U0-SALUD-020;ASTRA5-U0-SALUD-021;ASTRA5-U0-SALUD-022;ASTRA5-U0-SALUD-023;ASTRA5-U0-SALUD-024;ASTRA5-U0-SALUD-025;ASTRA5-U0-SALUD-030;ASTRA5-U0-SALUD-031;ASTRA5-U0-SALUD-032;ASTRA5-U0-SALUD-036;ASTRA5-U0-SALUD-037;ASTRA5-U0-SALUD-039;ASTRA5-U0-FAM-015;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-CONOC-024;ASTRA5-U0-VEJEZ-004;ASTRA5-U0-VEJEZ-023;ASTRA5-U0-VEJEZ-024;ASTRA5-U0-VEJEZ-030
