id_afirmacion	dominio	report	estado_hoja	existencia_documento	pieza_o_razon	instrumento_ola	propietario	prioridad
ASTRA5-U0-APUEST-018	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	CNBV, comunicado/boletín de banca múltiple sobre corresponsales bancarios documento primario identificado por WebSearch (24/sep/2026): gob.mx/cnbv/articulos/corresponsales-bancarios-114482 (artículo oficial CNBV) y cnbv.gob.mx/SECTORES-SUPERVISADOS/BANCA-MULTIPLE/Prensa%20%20Sector%20Bancario/23%20DE%20NOVIEMBRE.pdf (boletín de prensa CNBV)	CNBV, comunicado/boletín de banca múltiple sobre corresponsales bancarios	ASTRA5-U4	3
ASTRA5-U0-APUEST-019	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	seccion/pagina exacta con la cifra de 12M de usuarios de Spin dentro del 20-F de FEMSA (accession 0001628280-26-027231) o comunicado especifico de Spin by OXXO con esa cifra y su fecha de corte Corrige el defecto de validacion (CON-ADQUISICION sin documento id ni URL): FEMSA esta identificada en SEC EDGAR como 'MEXICAN ECONOMIC DEVELOPMENT INC' (CIK 0001061736, ticker FMX), con Form 20-F mas recie	FEMSA, informe anual/trimestral (BMV: FEMSAUBD) o comunicado de Spin by OXXO	ASTRA5-U4	3
ASTRA5-U0-APUEST-020	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	Effie Awards México (registro de premiación)	Effie Awards México (registro de premiación); Walmex informe anual/trimestral (BMV: WALMEX)	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-021	TRABAJO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	Hoddinott, Skoufias y Washburn (2000), «The impact of PROGRESA on consumption», IFPRI	Hoddinott, Skoufias y Washburn (2000), «The impact of PROGRESA on consumption», IFPRI; Behrman y Hoddinott (2005), Oxford Bulletin of Economics and Statistics 67(4):547-569; Skoufias, evaluaciones aso	ASTRA5-U1	3
ASTRA5-U0-APUEST-022	TRABAJO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	NO-ENCONTRADO-DESDE-CAJA	CEPAL (2016), documento/informe sobre el impacto de Progresa/Oportunidades en movilidad ocupacional intergeneracional en America Latina, repositorio.cepal.org o www.cepal.org/es/publicaciones EXISTENCIA-NO-COMPROBADA tras 4 consultas: WebFetch https://repositorio.cepal.org/simple-search?query=Oportunidades+movilidad+ocupacional+intergeneracional -> HTTP 404	CEPAL (2016), informe/documento sobre programas de transferencias condicionadas en América Latina	ASTRA5-U1	3
ASTRA5-U0-APUEST-023	TRABAJO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	el constructo «horizonte de planeación» (expectativa subjetiva de largo plazo) no fue preguntado por Progresa ni por ningún instrumento recorrido en este lote; u0busca -q "horizonte de planeacion|horizonte temporal" -> ver conteo en log; no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal. El efecto observable (consumo, matrícula) SÍ está en apuestas-021.	no identificado	ASTRA5-U1	4
ASTRA5-U0-APUEST-024	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	INSP, estudio(s) de evaluación de etiquetado frontal 2020-2021 (no identificado con precisión en esta pasada)	INSP, estudio(s) de evaluación de etiquetado frontal 2020-2021 (no identificado con precisión en esta pasada); ENSANUT 2024 módulo «etiquetado» (instrumento adyacente, ver apuestas-025)	ASTRA5-MESA-SALUD	3
ASTRA5-U0-APUEST-025	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	REUTILIZAR	COMPROBADA-O-NO-APLICA	etiquetado_ensanut2924_w_csv_csv__v2026_09_01|1544b18768b2d12ba107625fa7a1ab3c0930694213d35a02ef31dff4f07376c3|raíz descargas_mx; U0 no abrió microdato	ENSANUT 2024, módulo «etiquetado» (cuestionario propio, no el TMODULO general)	ASTRA5-MESA-SALUD	3
ASTRA5-U0-APUEST-026	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	el propio report declara la variable CONFUNDIDA (pandemia + reformulación industrial simultáneas, rollout nacional sin grupo de control); la heterogeneidad por escolaridad/género es un patrón descriptivo (no en las unidades cubiertas por este lote, ver apuestas-024) mientras que el veredicto CAUSAL (advertencias => cambio de compra) no tiene diseño identificador propio; no se identificó instrument	no aplica (interpretación causal sobre apuestas-024/025)	ASTRA5-MESA-SALUD	4
ASTRA5-U0-APUEST-027	MOVILIDAD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	EXISTE-SATISFACE-DESDE-CAJA	comunicado o estudio (DiDi, Uber, AMVO, o consultora de movilidad) con la cifra de participacion de mercado conjunta DiDi+Uber (~56%) en apps de movilidad en Mexico y su fecha de corte EXISTENCIA-NO-COMPROBADA tras 2 consultas: u0mf --busca didi -> 0/1680 (no registrado en el corpus)	no identificado en esta pasada	ASTRA5-U4	3
ASTRA5-U0-APUEST-028	MOVILIDAD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	interpretación de un caso único explícitamente CONFUNDIDO por el propio report (subsidios, comisiones, timing); no se identificó instrumento (panel de elección de canal de pago en apps de movilidad) tras este recorrido; no equivale a imposibilidad universal.	no aplica (interpretación)	ASTRA5-U4	4
ASTRA5-U0-APUEST-030	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	REUTILIZAR	COMPROBADA-O-NO-APLICA	enif2021_csv|0f314fa3733b4b5519486ed4015fca1c9e0864840bcd5944aa7de27796fe5cd9|raiz data_raw; enif2024_csv|a3507b4038888247f565f1640a718ef552bb8fc363378e3372a5bf2796bb2e4c|raiz data_raw; U0 no abrio microdato	ENIF 2021 y 2024, modulo TMODULO seccion 7 'Pagos', variables P7_1_1 y P7_1_2	ASTRA5-U4	1
ASTRA5-U0-APUEST-031	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	interpretación de un caso único de política pública, explícitamente CONFUNDIDO por el propio report; no se identificó instrumento con diseño contrafactual (p. ej. comparación con otro país o con una versión de CoDi con obligatoriedad bancaria) tras este recorrido; no equivale a imposibilidad universal. Componentes descriptivos en apuestas-029/030/032.	no aplica (interpretación); ver apuestas-029/030 para componentes descriptivos y ENIF conocimiento/uso CoDi (apuestas-032)	ASTRA5-U4	4
ASTRA5-U0-APUEST-032	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	REUTILIZAR	COMPROBADA-O-NO-APLICA	enif2024_csv|a3507b4038888247f565f1640a718ef552bb8fc363378e3372a5bf2796bb2e4c|raíz data_raw; enif2021_csv|0f314fa3733b4b5519486ed4015fca1c9e0864840bcd5944aa7de27796fe5cd9|raíz data_raw; U0 no abrió microdato	ENIF 2021 y 2024, módulo 7 (TMODULO), variables P7_2/p7_2_1 y p7_3_1	ASTRA5-U4	1
ASTRA5-U0-APUEST-033	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	EXISTE-SATISFACE-DESDE-CAJA	comunicado oficial de Heineken Mexico/Cuauhtemoc Moctezuma sobre el retiro de las campañas 'Es facil ser hombre'/'Somos Bax' y el viraje a posicionamiento anti-violencia de genero	no identificado en esta pasada	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-034	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	el propio report clasifica el caso como INDETERMINADO por falta de métricas de venta; sin instrumento de ventas ni de actitud pareado a la exposición de la campaña; no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.	no aplica (interpretación explícitamente INDETERMINADA por el propio report)	ASTRA5-MESA-DINERO	4
ASTRA5-U0-APUEST-035	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	EXISTE-SATISFACE-DESDE-CAJA	comunicado oficial de Justo, Grupo OMNi o General Atlantic sobre el cierre (dic-2025) y rescate (2026)	no identificado en esta pasada	ASTRA5-U4	3
ASTRA5-U0-APUEST-036	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	interpretación de un caso único, explícitamente CONFUNDIDO/estructural por el propio report; no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal. Componente descriptivo en apuestas-035.	no aplica (interpretación)	ASTRA5-U4	4
ASTRA5-U0-APUEST-037	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	ENSANUT Continua 2021-2023	ENSANUT Continua 2021-2023; artículo «Vacunación en menores de cinco años», Salud Pública de México 66(4), 2024, DOI 10.21149/15793	ASTRA5-MESA-SALUD	3
ASTRA5-U0-APUEST-038	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	NO-ACCESIBLE-DESDE-CAJA	resolucion o acto administrativo de COFEPRIS que inhabilita a Laboratorios Imperiales Pharma como proveedor de BCG (buscar en la base de 'Resoluciones y sanciones' de COFEPRIS, gob.mx/cofepris), o la licitacion/compra consolidada de BCG fallida subsecuente (Secretaria de Salud/compras publicas) EXISTENCIA-NO-COMPROBADA tras 3 consultas: WebFetch https://www.gob.mx/busqueda?site=cofepris&q=Laborato	COFEPRIS (registro sanitario/inhabilitación de proveedores) o Secretaría de Salud (licitaciones/compras consolidadas de biológicos)	ASTRA5-MESA-SALUD	3
ASTRA5-U0-APUEST-039	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	es DEDUP parcial de apuestas-005 (misma comparación estructura-vs-cultura, ya dictaminada NO-MEDIBLE-POR-DISEÑO por ausencia de instrumento de actitud parental pareado); componentes descriptivos en apuestas-037/038.	no aplica (comparación de hipótesis); ver apuestas-005 para la búsqueda de instrumento de actitud	ASTRA5-MESA-SALUD	4
ASTRA5-U0-APUEST-040	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	NOM-194-SCFI-2015, Diario Oficial de la Federación documento primario identificado y existencia confirmada por WebSearch (24/sep/2026): dof.gob.mx/nota_detalle.php?codigo=5436325&fecha=09%2F05%2F2016, «NORMA Oficial Mexicana NOM-194-SCFI-2015, Dispositivos de seguridad esenciales en vehículos nuevos-Especificaciones de seguridad», publicada en el DOF el 09/05/2016. No registrada en manifiesto (u0m	NOM-194-SCFI-2015, Diario Oficial de la Federación	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-041	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	interpretación que recombina apuestas-040 (norma+ventas parciales) en una tesis sobre 'preferencia viva' sin serie completa de ventas mensuales pre-norma que la sostenga; no se identificó instrumento (serie histórica de ventas AMIA por modelo) tras este recorrido; no equivale a imposibilidad universal.	ver apuestas-040 (AMIA/INEGI ventas por modelo, no identificado con documento primario en esta pasada)	ASTRA5-MESA-DINERO	4
ASTRA5-U0-APUEST-042	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	Walmex, informe trimestral/anual (BMV: WALMEX)	Walmex, informe trimestral/anual (BMV: WALMEX); Costco Wholesale, 10-K/10-Q (SEC, Nasdaq: COST)	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-043	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	atribución causal de un par narrativo (Costco vs. Sam's) sin contrafactual ni diseño de identificación; explícitamente CONFUNDIDO por el propio report; u0mf --busca costco --busca lealtad -> ver conteo en log; no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal. Componente descriptivo (ingresos) en apuestas-042.	no identificado (ningún panel de lealtad de marca por formato en el corpus)	ASTRA5-MESA-DINERO	4
ASTRA5-U0-APUEST-044	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	EXISTE-SATISFACE-DESDE-CAJA	informe/boletin de Profeco con el conteo de quejas contra Kavak en 2025 (218), y comunicado de la ronda de inversion (Kavak/inversionistas) con la valuacion de 2,200 mdd EXISTENCIA-NO-COMPROBADA tras 2 consultas: WebFetch https://www.profeco.gob.mx/ -> redirige (302) a https://www.gob.mx/profeco	Profeco (registro de quejas) — no identificado documento exacto en esta pasada	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-045	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	interpretación de un caso único, explícitamente CONFUNDIDO por el propio report (ejecución + entorno de tasas); no se identificó instrumento de aversión a la incertidumbre en compra de autos usados tras este recorrido; no equivale a imposibilidad universal.	no identificado	ASTRA5-MESA-DINERO	4
ASTRA5-U0-APUEST-046	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	NO-ACCESIBLE-DESDE-CAJA	comunicado oficial de la Secretaria de Salud sobre el lanzamiento de 'Susana Distancia' (marzo 2020)	no identificado en esta pasada	ASTRA5-MESA-SALUD	3
ASTRA5-U0-APUEST-047	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	el propio report declara el caso no probatorio e indeterminado, sin métrica conductual; no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.	no aplica	ASTRA5-MESA-SALUD	4
