# GENERADO por forense/analisis/dominios/redictamina_v1_1.py — no editar
dominio	programa	ola	n_afirmaciones	n_texto_verificado	reports	reports_que_sostiene	prioridad	ids
CONFIANZA	LATINOBAROMETRO	2023	4	1	4	Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md;Moral_Emotions_in_Mexico__Declared_Dignity__Relational_Face__and_Residual_Catholic_Guilt.md;Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md;Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md	2	ASTRA5-U0-TRUST-022;ASTRA5-U0-EMOC-019;ASTRA5-U0-CONOC-014;ASTRA5-U0-SANC-005
RELIGIOSIDAD	CCPV	2010;2020	4	0	3	Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md;Moral_Emotions_in_Mexico__Declared_Dignity__Relational_Face__and_Residual_Catholic_Guilt.md;Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md	2	ASTRA5-U0-PAREJA-016;ASTRA5-U0-EMOC-030;ASTRA5-U0-RELIG-001;ASTRA5-U0-RELIG-008
MIGRACION	BANXICO	SIN-OLA-CASADA	3	0	2	Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md;Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	2	ASTRA5-U0-MER-026;ASTRA5-U0-MIGR-001;ASTRA5-U0-MIGR-002
MOVILIDAD	ENIGH	2010;2020;2024	3	0	1	El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md	2	ASTRA5-U0-CLASE-001;ASTRA5-U0-CLASE-033;ASTRA5-U0-CLASE-037
JUVENTUD	ENADID	2018;2023	2	0	1	Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md	2	ASTRA5-U0-JUV-004;ASTRA5-U0-JUV-005
PAREJA	ENDISEG	2021	2	1	1	Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	2	ASTRA5-U0-PAREJA-010;ASTRA5-U0-PAREJA-011
RELIGIOSIDAD	PEW	2024	2	2	1	Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md	2	ASTRA5-U0-RELIG-002;ASTRA5-U0-RELIG-003
RURAL_INDIGENA	CONEVAL	SIN-OLA-CASADA	2	0	1	El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	2	ASTRA5-U0-RURAL-029;ASTRA5-U0-RURAL-030
VIOLENCIA	ENVIPE	2024	2	2	1	El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	2	ASTRA5-U0-VIOL-002;ASTRA5-U0-VIOL-032
CONFIANZA	WVS	SIN-OLA-CASADA	3	0	3	Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md;La_arquitectura_invisible_de_la_interacción_social_en_México.md;Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	1	ASTRA5-U0-TRUST-003;ASTRA5-U0-INTER-032;ASTRA5-U0-CONS-012
AUTORIDAD	LATINOBAROMETRO	2023	2	1	1	Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	1	ASTRA5-U0-AUTOR-024;ASTRA5-U0-AUTOR-026
MOVILIDAD	CONEVAL	SIN-OLA-CASADA	2	0	2	El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md;Psicología__Conducta_y_Sociedad_en_el_México_Contemporáneo__Análisis_Transcultural_y_Estructural.md	1	ASTRA5-U0-CLASE-002;ASTRA5-U0-SINT-017
MOVILIDAD	MMSI	2016	2	1	2	El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md;Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md	1	ASTRA5-U0-CLASE-012;ASTRA5-U0-MER-030
CONFIANZA	ENCIG	2023	1	0	1	El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	1	ASTRA5-U0-VIOL-005
CONFIANZA	ENSU	2025	1	1	1	El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	1	ASTRA5-U0-VIOL-038
DINERO	CONEVAL	SIN-OLA-CASADA	1	0	1	Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	1	ASTRA5-U0-VEJEZ-029
DINERO	ENASEM	2024	1	1	1	Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	1	ASTRA5-U0-VEJEZ-016
FAMILIA_CUIDADOS	ENADID	2023	1	1	1	Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	1	ASTRA5-U0-VEJEZ-002
FAMILIA_CUIDADOS	ENOE	2014	1	0	1	Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md	1	ASTRA5-U0-JUV-012
GENERO	ENASEM	2024	1	0	1	Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	1	ASTRA5-U0-VEJEZ-038
GENERO	ENDISEG	2021	1	1	1	Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md	1	ASTRA5-U0-JUV-019
GENERO	ENSU	2025	1	1	1	El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	1	ASTRA5-U0-VIOL-014
GENERO	ENVIPE	2024	1	1	1	El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	1	ASTRA5-U0-VIOL-034
MIGRACION	ENADID	2018	1	1	1	Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md	1	ASTRA5-U0-GEN-019
PAREJA	ENADID	2018	1	1	1	Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	1	ASTRA5-U0-PAREJA-032
POLITICA	LATINOBAROMETRO	2023	1	1	1	Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	1	ASTRA5-U0-POL-029
RURAL_INDIGENA	ENUT	2024	1	1	1	Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	1	ASTRA5-U0-VEJEZ-032
SALUD	CONEVAL	SIN-OLA-CASADA	1	0	1	Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	1	ASTRA5-U0-SALUD-013
SALUD_MENTAL	ENSANUT	2022	1	1	1	Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md	1	ASTRA5-U0-SALMEN-013
SANCION_SOCIAL	ENSU	2024	1	1	1	Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md	1	ASTRA5-U0-SANC-007
TECNOLOGIA	ENDUTIH	2024	2	2	2	Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md;Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md	0	ASTRA5-U0-TEC-033;ASTRA5-U0-SALMEN-025
AUTORIDAD	LAPOP	SIN-OLA-CASADA	1	0	1	Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md	0	ASTRA5-U0-TRUST-013
CONFIANZA	ENVIPE	2025	1	0	1	Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md	0	ASTRA5-U0-TRUST-008
CONFIANZA	LAPOP	SIN-OLA-CASADA	1	0	1	Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md	0	ASTRA5-U0-TRUST-016
FAMILIA_CUIDADOS	CONEVAL	SIN-OLA-CASADA	1	0	1	La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md	0	ASTRA5-U0-FAM-033
GENERO	INTERCENSAL	SIN-OLA-CASADA	1	0	1	La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md	0	ASTRA5-U0-FAM-035
JUVENTUD	ENOE	SIN-OLA-CASADA	1	0	1	La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md	0	ASTRA5-U0-FAM-016
RURAL_INDIGENA	ENSANUT	2022	1	0	1	Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	0	ASTRA5-U0-CONOC-011
SALUD_MENTAL	ENBIARE	2021	1	0	1	El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md	0	ASTRA5-U0-CLASE-040
TRABAJO	BANXICO	SIN-OLA-CASADA	1	0	1	La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md	0	ASTRA5-U0-FAM-004
TRABAJO	CONEVAL	SIN-OLA-CASADA	1	0	1	Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md	0	ASTRA5-U0-TRAB-010
