id_constancia	clase	instrumento	ola	prioridad	afirmaciones	url	sha256	archivo	fecha	estado
DOC-ASTRA5-U0-DUEL-009	DOCUMENTO	Boss y Carnes, The Myth of Closure, Family Process 51(4):456–469 (2012), DOI 10.1111/famp.12005	SIN-OLA	3	ASTRA5-U0-DUEL-009					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-DUEL-010	DOCUMENTO	Boss y Carnes, The Myth of Closure, Family Process 51(4):456–469 (2012), DOI 10.1111/famp.12005	SIN-OLA	3	ASTRA5-U0-DUEL-010					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-DUEL-016	DOCUMENTO	Ley General en Materia de Desaparición, texto consolidado Cámara de Diputados última reforma DOF 16/jul/2025 arts.88-90,137-II; Protocolo Homologado SNBP/002/20	SIN-OLA	3	ASTRA5-U0-DUEL-016					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-EMOC-002	DOCUMENTO	Mismo estudio de la fila 001 (Smith et al. 2017), matriz de correlaciones del articulo.	SIN-OLA	3	ASTRA5-U0-EMOC-002					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-EMOC-011	DOCUMENTO	Escalas PHSC de Diaz-Guerrero, publicaciones y series de decadas 1960-1990; sin ola vigente en el corpus 2020s.	SIN-OLA	3	ASTRA5-U0-EMOC-011					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-FAM-018	DOCUMENTO	The Trevor Project, encuesta LGBTQ+ Mexico -- no es instrumento INEGI	SIN-OLA	3	ASTRA5-U0-FAM-018					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-FAM-019	DOCUMENTO	Diaz-Guerrero, serie PHSC (Philosophy of Life/Historic-Sociocultural Premises) -- estudio academico, no encuesta INEGI	SIN-OLA	3	ASTRA5-U0-FAM-019					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-FAM-041	DOCUMENTO	NO-ENCONTRADO tras busqueda en corpus	SIN-OLA	3	ASTRA5-U0-FAM-041					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GEN-007	DOCUMENTO	MCCI (investigación feminicidios, no la encuesta de corrupción) y Causa en Común (informe) — ninguno localizado en este lote	SIN-OLA	3	ASTRA5-U0-GEN-007					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GEN-030	DOCUMENTO	Ley Federal del Trabajo, artículo 132 fracción XXVII bis (reforma 2012)	SIN-OLA	3	ASTRA5-U0-GEN-030					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENBEH-006	DOCUMENTO	Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984	SIN-OLA	3	ASTRA5-U0-GENBEH-006					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENBEH-007	DOCUMENTO	Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984	SIN-OLA	3	ASTRA5-U0-GENBEH-007					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENBEH-008	DOCUMENTO	Holmes et al., BMJ 349:g4164 (2014), DOI 10.1136/bmj.g4164, ADH1B rs1229984	SIN-OLA	3	ASTRA5-U0-GENBEH-008					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENBEH-033	DOCUMENTO	Deshaware & Singhal 2018 / estudio HHL: NO CONFIRMADO tal como lo describe el report (su articulo real es 2017, India, sin intervencion); documento real identif	SIN-OLA	3	ASTRA5-U0-GENBEH-033					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENOM-004	DOCUMENTO	Martin et al., Nature Genetics 2019 DOI 10.1038/s41588-019-0379-x; prepublicación bioRxiv 2018 DOI 10.1101/441261, figura 3	SIN-OLA	3	ASTRA5-U0-GENOM-004					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENOM-017	DOCUMENTO	Datar Cancer Genetics, comunicado 14/mayo/2026	SIN-OLA	3	ASTRA5-U0-GENOM-017					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENOM-020	DOCUMENTO	LFPDPPP, DOF 20/mar/2025	SIN-OLA	3	ASTRA5-U0-GENOM-020					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENOM-022	DOCUMENTO	NO-APLICA (revision normativa pendiente)	SIN-OLA	3	ASTRA5-U0-GENOM-022					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-GENOM-026	DOCUMENTO	NO-APLICA (estudio no identificado por nombre/DOI en este lote)	SIN-OLA	3	ASTRA5-U0-GENOM-026					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-HUM-007	DOCUMENTO	DataReportal Digital 2025: Mexico, corte enero 2025, fuentes de alcance publicitario y análisis Kepios	SIN-OLA	3	ASTRA5-U0-HUM-007					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-MER-019	DOCUMENTO	Mijs y Hoy, experimento de encuesta México 2017 publicado en Social Problems 2021, DOI 10.1093/socpro/spaa059	SIN-OLA	3	ASTRA5-U0-MER-019					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-MER-020	DOCUMENTO	Mijs y Hoy, experimento de encuesta México 2017 publicado en Social Problems 2021, DOI 10.1093/socpro/spaa059	SIN-OLA	3	ASTRA5-U0-MER-020					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-MER-021	DOCUMENTO	Mijs y Hoy, experimento de encuesta México 2017 publicado en Social Problems 2021, DOI 10.1093/socpro/spaa059	SIN-OLA	3	ASTRA5-U0-MER-021					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-MER-022	DOCUMENTO	Mijs y Hoy, experimento de encuesta México 2017 publicado en Social Problems 2021, DOI 10.1093/socpro/spaa059	SIN-OLA	3	ASTRA5-U0-MER-022					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-MIGR-017	DOCUMENTO	Brookings Institution, Center for Economic Security and Opportunity, informe Watson et al. mayo 2026 (basado en datos de deportacion/deteciones)	SIN-OLA	3	ASTRA5-U0-MIGR-017					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-PAREJA-029	DOCUMENTO	UNAM DGCS-108 (2024) vs ENVINOV 2007 (IMJUVE)	SIN-OLA	3	ASTRA5-U0-PAREJA-029					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-RELIG-011	DOCUMENTO	literatura academica no identificada con precision (CIESAS/El Colef)	SIN-OLA	3	ASTRA5-U0-RELIG-011					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-RELIG-033	DOCUMENTO	estudio academico publicado en 'Revista de Ciencias Sociales' (titulo generico, institucion y ano no dados por el report)	SIN-OLA	3	ASTRA5-U0-RELIG-033					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-SALMEN-001	DOCUMENTO	ENEP (Encuesta Nacional de Epidemiologia Psiquiatrica) 2001-2002 (CIDI computarizado v15)	SIN-OLA	3	ASTRA5-U0-SALMEN-001					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-SALMEN-025	DOCUMENTO	ENDUTIH (Encuesta Nacional sobre Disponibilidad y Uso de Tecnologias de la Informacion en los Hogares) -- ola no especificada por el report; corpus tiene ENDUTI	SIN-OLA	3	ASTRA5-U0-SALMEN-025					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-SALMEN-026	DOCUMENTO	Flores Martinez A, Atuesta LH, International Journal of Drug Policy, 2018 (CIDE)	SIN-OLA	3	ASTRA5-U0-SALMEN-026					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-SALUD-001	DOCUMENTO	No es instrumento de encuesta: boletín Gaceta UNAM (2019) que cita a Yale/Euromonitor. No está en el manifiesto del repo.	SIN-OLA	3	ASTRA5-U0-SALUD-001					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-SANC-001	DOCUMENTO	ninguno identificado en el corpus (ninguna encuesta mexicana pregunta por creencia de bien limitado/suma cero)	SIN-OLA	3	ASTRA5-U0-SANC-001					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-SANC-012	DOCUMENTO	ninguno (etnografia historica, no instrumento de encuesta)	SIN-OLA	3	ASTRA5-U0-SANC-012					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-SINT-009	DOCUMENTO	Encuesta de percepción de desigualdad y movilidad, 7 ciudades, N=2,493 (autor/año no identificados en el report)	SIN-OLA	3	ASTRA5-U0-SINT-009					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-TIME-028	DOCUMENTO	Statista / 2024-2025 (fuente secundaria vía prensa)	SIN-OLA	3	ASTRA5-U0-TIME-028					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-TRAB-041	DOCUMENTO	No identificado por el report.	SIN-OLA	3	ASTRA5-U0-TRAB-041					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-TRUST-016	DOCUMENTO	LAPOP/ENSI (sin especificar ola por el report)	SIN-OLA	3	ASTRA5-U0-TRUST-016					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-TRUST-017	DOCUMENTO	Encuesta de Jóvenes en México 2019, Fundación SM	SIN-OLA	3	ASTRA5-U0-TRUST-017					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-TRUST-027	DOCUMENTO	Triandis et al. (1984), estudio experimental (sin ficha completa)	SIN-OLA	3	ASTRA5-U0-TRUST-027					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-TRUST-034	DOCUMENTO	Bardhan (1997), marco teórico (sin ficha completa)	SIN-OLA	3	ASTRA5-U0-TRUST-034					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-VIOL-023	DOCUMENTO	documental/académico: Medina-Mora ME et al. (2005), Encuesta Nacional de Epidemiología Psiquiátrica, Salud Mental / revista especializada	SIN-OLA	3	ASTRA5-U0-VIOL-023					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-VIOL-030	DOCUMENTO	documental/académico: Fernando Escalante Gonzalbo, El Colegio de México (análisis de series de homicidio)	SIN-OLA	3	ASTRA5-U0-VIOL-030					IDENTIFICADA-SIN-COPIA
EDR-COMUNICADO_2024	TABULADO	EDR-COMUNICADO	2024	3	ASTRA5-U0-SALMEN-015;ASTRA5-U0-SALMEN-016					IDENTIFICADA-SIN-COPIA
ENCIG-ENCOAP_2023	TABULADO	ENCIG-ENCOAP	2023	3	ASTRA5-U0-VIOL-005					IDENTIFICADA-SIN-COPIA
ENCUESTAS-PRENSA_SIN-OLA	TABULADO	ENCUESTAS-PRENSA	SIN-OLA	3	ASTRA5-U0-AUTOR-024;ASTRA5-U0-POL-017;ASTRA5-U0-JUV-025					IDENTIFICADA-SIN-COPIA
ENDIREH-TABULADO_2021	TABULADO	ENDIREH-TABULADO	2021	3	ASTRA5-U0-PAREJA-014					IDENTIFICADA-SIN-COPIA
ENIGH-TABULADO_2024	TABULADO	ENIGH-TABULADO	2024	3	ASTRA5-U0-CLASE-037					IDENTIFICADA-SIN-COPIA
ENOE-BOLETIN_2024-2025	TABULADO	ENOE-BOLETIN	2024-2025	3	ASTRA5-U0-VEJEZ-025;ASTRA5-U0-VEJEZ-026					IDENTIFICADA-SIN-COPIA
ENSU-BOLETIN_SIN-OLA	TABULADO	ENSU-BOLETIN	SIN-OLA	3	ASTRA5-U0-VIOL-038					IDENTIFICADA-SIN-COPIA
GINI-PIB-SERIES_SIN-OLA	TABULADO	GINI-PIB-SERIES	SIN-OLA	3	ASTRA5-U0-SINT-012					IDENTIFICADA-SIN-COPIA
HOFSTEDE_SIN-OLA	TABULADO	HOFSTEDE	SIN-OLA	3	ASTRA5-U0-INTER-030;ASTRA5-U0-EMOC-005;ASTRA5-U0-TRAB-004					IDENTIFICADA-SIN-COPIA
INEGI-INFORMALIDAD_SIN-OLA	TABULADO	INEGI-INFORMALIDAD	SIN-OLA	3	ASTRA5-U0-TRAB-020					IDENTIFICADA-SIN-COPIA
INEGI-PIBT_2025-2026	TABULADO	INEGI-PIBT	2025-2026	3	ASTRA5-U0-MER-023					IDENTIFICADA-SIN-COPIA
NATALIDAD_2016-2024	TABULADO	NATALIDAD	2016-2024	3	ASTRA5-U0-VEJEZ-001					IDENTIFICADA-SIN-COPIA
NUPCIALIDAD_SIN-OLA	TABULADO	NUPCIALIDAD	SIN-OLA	3	ASTRA5-U0-SINT-026					IDENTIFICADA-SIN-COPIA
OECD-BLI_SIN-OLA	TABULADO	OECD-BLI	SIN-OLA	3	ASTRA5-U0-FAM-047					IDENTIFICADA-SIN-COPIA
OECD-FAMILY_SIN-OLA	TABULADO	OECD-FAMILY	SIN-OLA	3	ASTRA5-U0-FAM-042					IDENTIFICADA-SIN-COPIA
RESEARCH-LAND-CESOP_2026	TABULADO	RESEARCH-LAND-CESOP	2026	3	ASTRA5-U0-TRUST-004;ASTRA5-U0-TRUST-006					IDENTIFICADA-SIN-COPIA
SALARIO-REAL_SIN-OLA	TABULADO	SALARIO-REAL	SIN-OLA	3	ASTRA5-U0-FAM-004					IDENTIFICADA-SIN-COPIA
SEP-PRINCIPALES-CIFRAS_2024-2025	TABULADO	SEP-PRINCIPALES-CIFRAS	2024-2025	3	ASTRA5-U0-CLASE-016	https://planeacion.sep.gob.mx/principalescifras/				IDENTIFICADA-SIN-COPIA
SERIE-MACRO_SIN-OLA	TABULADO	SERIE-MACRO	SIN-OLA	3	ASTRA5-U0-FIN-030					IDENTIFICADA-SIN-COPIA
SESNSP-VCM_2015-2025	TABULADO	SESNSP-VCM	2015-2025	3	ASTRA5-U0-GEN-006	https://www.gob.mx/sesnsp/documentos/informe-de-violencia-contra-las-mujeres-incidencia-delictiva-y-llamadas-de-emergencia-9-1-1-febrero-2019				IDENTIFICADA-SIN-COPIA
TI-CPI_2025	TABULADO	TI-CPI	2025	3	ASTRA5-U0-AUTOR-023;ASTRA5-U0-MER-008;ASTRA5-U0-SINT-019	https://www.transparency.org/en/cpi/2025				IDENTIFICADA-SIN-COPIA
WHR_2024-2025	TABULADO	WHR	2024-2025	3	ASTRA5-U0-HUM-001;ASTRA5-U0-HUM-002;ASTRA5-U0-HUM-003	https://worldhappiness.report/				IDENTIFICADA-SIN-COPIA
