id_afirmacion	campo	operacion	buscar	valor_nuevo	razon_y_evidencia
ASTRA5-U0-DUEL-001	documento_id_hash_pagina	SUSTITUYE-TEXTO	HTML-oficial:6bbabd7da0a84eae71351bf49e50646f973f0e866f78b7f21aa36e6e99074a66	ced_mex_a34_decision_2026_html|6bbabd7da0a84eae71351bf49e50646f973f0e866f78b7f21aa36e6e99074a66|párrs.34, 121 y 122 recotejados en esta continuación; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id). Párrafos 34 (solicitud 24/jun/2025), 121 (indicios fundados) y 122 (remisión a la Asamblea General) verificados sobre la copia registrada (UTF-16).
ASTRA5-U0-DUEL-002	documento_id_hash_pagina	SUSTITUYE-TEXTO	HTML-oficial:6bbabd7da0a84eae71351bf49e50646f973f0e866f78b7f21aa36e6e99074a66	ced_mex_a34_decision_2026_html|6bbabd7da0a84eae71351bf49e50646f973f0e866f78b7f21aa36e6e99074a66|párrs.34, 121 y 122 recotejados en esta continuación; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id). Párrafos 34 (solicitud 24/jun/2025), 121 (indicios fundados) y 122 (remisión a la Asamblea General) verificados sobre la copia registrada (UTF-16).
ASTRA5-U0-DUEL-003	documento_id_hash_pagina	SUSTITUYE-TEXTO	HTML-oficial:6bbabd7da0a84eae71351bf49e50646f973f0e866f78b7f21aa36e6e99074a66	ced_mex_a34_decision_2026_html|6bbabd7da0a84eae71351bf49e50646f973f0e866f78b7f21aa36e6e99074a66|párrs.34, 121 y 122 recotejados en esta continuación; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id). Párrafos 34 (solicitud 24/jun/2025), 121 (indicios fundados) y 122 (remisión a la Asamblea General) verificados sobre la copia registrada (UTF-16).
ASTRA5-U0-TEC-010	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-TEC-010	dictamen_razon	REEMPLAZA-CAMPO		Cuestionario, FD, diseño muestral (registrado por #1094 con el mismo SHA leído por U0) y dato ENADID 2023 con id en main y SHA físicos coincidentes. Preguntas exactas y universo 15+ definidos como contraste; no se validan las tasas publicadas.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-TEC-010	siguiente_operacion	REEMPLAZA-CAMPO		U4 preregistra universo 15+ y calcula P3_23=2 por P3_12/SEXO con FAC_VIV; luego coteja 19/2.8/24.2 o documenta discrepancia de definición.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-004	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-004	dictamen_razon	REEMPLAZA-CAMPO		Reporte de resultados 23/25 (registrado por #1094), diseño y dato ENIGH 2024 con id en main: cifra, unidad (hogar, ingreso corriente) y método contable fijados. Falta reproducción/RESULT compatible; la resta contable no identifica efecto causal.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-004	siguiente_operacion	REEMPLAZA-CAMPO		Reproducir la fórmula del Gini en CAJA autorizada y tratar la serie 2016/2022 con su propio contrato de comparabilidad.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-005	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-005	dictamen_razon	REEMPLAZA-CAMPO		Reporte de resultados 23/25 (registrado por #1094), diseño y dato ENIGH 2024 con id en main. La cifra sin transferencias es una simulación contable publicada; falta reproducción/RESULT compatible.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-005	siguiente_operacion	REEMPLAZA-CAMPO		Verificar en CAJA qué rubros se restan en la simulación; no atribuir 0.059 a un programa o al salario mínimo causalmente.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-006	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-006	dictamen_razon	REEMPLAZA-CAMPO		Cuestionario, descriptor, diseño muestral y boletín ENCIG 2025 con id en main (diseño y boletín registrados por #1094) y dato con SHA físico coincidente. Reactivo P3_2 y universo urbano 18+ fijados; sin RESULT propio.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-007	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-007	dictamen_razon	REEMPLAZA-CAMPO		Cuestionario, descriptor, diseño muestral y presentación ENCIG 2025 con id en main (registrados por #1094) y dato con SHA físico coincidente. Reactivo P11_1_04 fijado; sin RESULT propio; el comparador 2023 sigue sin contrato.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-009	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-009	dictamen_razon	REEMPLAZA-CAMPO		Cifra y denominador publicados por INEGI en boletín y presentación ENCIG 2025, ahora con id en main (#1094); dato con SHA físico coincidente. Reconstrucción en microdato y RESULT siguen pendientes; no se abrió el ZIP.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-009	siguiente_operacion	REEMPLAZA-CAMPO		U3 fija fórmula, filtros de interacción, no aplica y no respuesta con FAC_P18 antes de calcular en CAJA; no derivar 15.6 de P3_2 o FAC_TRA.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-001	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-001	dictamen_razon	REEMPLAZA-CAMPO		Afirmación documental: la decisión oficial CED/C/MEX/A.34/D/1 (copia HTML oficial) tiene id en main por #1094 y su párrafo 34 sostiene la fecha de solicitud. El PDF (SHA 39fe6ee5…) sigue sin id; no hay RESULT analítico porque es un acto documental.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-001	siguiente_operacion	REEMPLAZA-CAMPO		Localizar el anuncio de 4/abr/2025 y cualquier acto posterior de la Asamblea por símbolo y fecha antes de actualizar el estado procesal; registrar el PDF si se usa como segunda copia.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-002	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-002	dictamen_razon	REEMPLAZA-CAMPO		Afirmación documental: el párrafo 122 de la decisión oficial (copia HTML con id en main por #1094) sostiene la remisión a la Asamblea General. No acredita resolución posterior de ésta ni condena penal.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-002	siguiente_operacion	REEMPLAZA-CAMPO		Examinar eventual acto de la Asamblea sólo cuando exista con símbolo propio; registrar el PDF si se usa como segunda copia.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-003	dictamen	REEMPLAZA-CAMPO		MEDIBLE-EN-CORPUS	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-003	dictamen_razon	REEMPLAZA-CAMPO		Afirmación documental: el párrafo 121 de la decisión oficial (copia HTML con id en main por #1094) sostiene la conclusión de indicios fundados. Estándar del Comité, no sentencia penal.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-DUEL-003	siguiente_operacion	REEMPLAZA-CAMPO		Separar el estándar de indicios del Comité de una condena judicial; registrar el PDF si se usa como segunda copia.	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-POL-001	gen2_existente	REEMPLAZA-CAMPO		RESULT-LAPOP-PISOS-2023-POL001 (CALC-LAPOP-PISOS-2023-0001, sello c6e7cd579eed339ba6e2386763b536b2b959d74223d91458324c88cdc6acd13c; #1098 en main d2fa8efd): b18 policía confianza alta 6–7/7 = 14.0% [11.9–16.2] n=1618; b21 partidos = 11.2% [9.5–13.0] n=1613; sellado en disco en main, no registrado en la vista. CONFIRMA sólo el componente de nivel; sin contraste directo de la jerarquía completa ni de la calibración por desempeño. LAPOP 2018-19 (#1084) sigue sin resolver este contrato 2023.	Consumo de #1098 (ASTRA5-U3-POLITICA-COMPLETAR, fusionado d2fa8efd): CALC-LAPOP-PISOS-2023-0001 mide exactamente b18/b21 LAPOP México 2023 en escala 1–7, evento 6–7, persona entrevistada; replay REPRODUCE/IDENTICO asentado.
ASTRA5-U0-POL-001	dictamen_razon	REEMPLAZA-CAMPO		Cuestionario, reporte técnico de diseño y microdato México 2023 con ids en manifiesto; U3 verificó el SHA físico del microdato en la raíz descargas_mx (COINCIDE) y midió b18/b21 en #1098.	Consumo de #1098 (ASTRA5-U3-POLITICA-COMPLETAR, fusionado d2fa8efd): CALC-LAPOP-PISOS-2023-0001 mide exactamente b18/b21 LAPOP México 2023 en escala 1–7, evento 6–7, persona entrevistada; replay REPRODUCE/IDENTICO asentado.
ASTRA5-U0-POL-001	siguiente_operacion	REEMPLAZA-CAMPO		Publicar el RESULT por el canal de main (NC -d459-04 de U3). La jerarquía de todas las instituciones y la «calibración racional del desempeño» requieren reactivos de otras instituciones y una medida de desempeño o experiencia: sin contraste directo hasta contratarlos.	Consumo de #1098 (ASTRA5-U3-POLITICA-COMPLETAR, fusionado d2fa8efd): CALC-LAPOP-PISOS-2023-0001 mide exactamente b18/b21 LAPOP México 2023 en escala 1–7, evento 6–7, persona entrevistada; replay REPRODUCE/IDENTICO asentado.
