id_afirmacion	dominio	report	medibilidad	autorizacion_apertura	estado_result	result_ids	fecha_o_razon	propietario
ASTRA5-U0-APUEST-011	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-EN-CORPUS	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		medible en corpus; sin sesión de medición lanzada al corte (falta temporal de asignación, no defecto de diseño)	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-012	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-013	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-014	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-015	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-EN-CORPUS	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		medible en corpus; sin sesión de medición lanzada al corte (falta temporal de asignación, no defecto de diseño)	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-016	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-017	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-018	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-U4
ASTRA5-U0-APUEST-019	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-U4
ASTRA5-U0-APUEST-020	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-021	TRABAJO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-U1
ASTRA5-U0-APUEST-022	TRABAJO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-U1
ASTRA5-U0-APUEST-023	TRABAJO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-U1
ASTRA5-U0-APUEST-024	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-025	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-EN-CORPUS	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		medible en corpus; sin sesión de medición lanzada al corte (falta temporal de asignación, no defecto de diseño)	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-026	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-027	MOVILIDAD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-U4
ASTRA5-U0-APUEST-028	MOVILIDAD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-U4
ASTRA5-U0-APUEST-030	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-EN-CORPUS	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		medible en corpus; sin sesión de medición lanzada al corte (falta temporal de asignación, no defecto de diseño)	ASTRA5-U4
ASTRA5-U0-APUEST-031	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-U4
ASTRA5-U0-APUEST-032	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-EN-CORPUS	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		medible en corpus; sin sesión de medición lanzada al corte (falta temporal de asignación, no defecto de diseño)	ASTRA5-U4
ASTRA5-U0-APUEST-033	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-034	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-035	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-U4
ASTRA5-U0-APUEST-036	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-U4
ASTRA5-U0-APUEST-037	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-038	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-039	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-040	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-041	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-042	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-043	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-044	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-045	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-046	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-047	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-048	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	MEDIBLE-EN-CORPUS	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		medible en corpus; sin sesión de medición lanzada al corte (falta temporal de asignación, no defecto de diseño)	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-049	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-050	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-051	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-052	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-SALUD
ASTRA5-U0-APUEST-053	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-APUEST-054	CONFIANZA	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-ASPIR-001	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-002	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-003	DINERO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-DINERO
ASTRA5-U0-ASPIR-004	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-005	DINERO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-EN-CORPUS	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		medible en corpus; sin sesión de medición lanzada al corte (falta temporal de asignación, no defecto de diseño)	ASTRA5-MESA-DINERO
ASTRA5-U0-ASPIR-006	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-007	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-008	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-009	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-010	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-011	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-012	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-013	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-014	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-015	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-016	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-017	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-018	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-019	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-020	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-021	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-022	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-023	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-024	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-025	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-026	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	MEDIBLE-CON-ADQUISICIÓN	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		falta la pieza de adquisición indicada en el mapa	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-027	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-ASPIR-028	CONSUMO	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	NO-MEDIBLE-POR-DISEÑO	NO-APLICA	SIN-RESULT		no medible por diseño de los instrumentos recorridos	ASTRA5-MESA-CONSUMO
ASTRA5-U0-CRFAC-001	DINERO	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	MEDIBLE-EN-CORPUS	SIN-RESERVA-IDENTIFICADA	SIN-RESULT		medible en corpus; sin sesión de medición lanzada al corte (falta temporal de asignación, no defecto de diseño)	ASTRA5-MESA-DINERO
