clave	unidad	tipo	filas_o_contratos	razon
apuestas	TIER-329d8c81-L157	T	ASTRA5-U0-APUEST-042;ASTRA5-U0-APUEST-043	
apuestas	TIER-329d8c81-L165	T	ASTRA5-U0-APUEST-044;ASTRA5-U0-APUEST-045	
apuestas	TIER-329d8c81-L173	T	ASTRA5-U0-APUEST-046;ASTRA5-U0-APUEST-047	
apuestas	TIER-329d8c81-L242	T	ASTRA5-U0-APUEST-050;ASTRA5-U0-APUEST-051;ASTRA5-U0-APUEST-052	
apuestas	TIER-329d8c81-L246	T	ASTRA5-U0-APUEST-053	
apuestas	LECTURA-329d8c81-01	F		NO-AFIRMACION: encabezado (misma ficha que G-01, sin afirmacion propia)
apuestas	LECTURA-329d8c81-02	F	ASTRA5-U0-APUEST-001	
apuestas	LECTURA-329d8c81-03	F	ASTRA5-U0-APUEST-002	
apuestas	LECTURA-329d8c81-04	F	ASTRA5-U0-APUEST-003	
apuestas	LECTURA-329d8c81-05	F	ASTRA5-U0-APUEST-004	
apuestas	LECTURA-329d8c81-06	F	ASTRA5-U0-APUEST-005	
apuestas	APUESTAS-CASO-01	F	ASTRA5-U0-APUEST-007;ASTRA5-U0-APUEST-008;ASTRA5-U0-APUEST-009	
apuestas	APUESTAS-CASO-02	F	ASTRA5-U0-APUEST-010;ASTRA5-U0-APUEST-011;ASTRA5-U0-APUEST-012;ASTRA5-U0-APUEST-013	
apuestas	APUESTAS-CASO-03	F	ASTRA5-U0-APUEST-014;ASTRA5-U0-APUEST-015;ASTRA5-U0-APUEST-016;ASTRA5-U0-APUEST-017	
apuestas	APUESTAS-CASO-04	F	ASTRA5-U0-APUEST-018;ASTRA5-U0-APUEST-019	
apuestas	APUESTAS-CASO-05	F	ASTRA5-U0-APUEST-003;ASTRA5-U0-APUEST-020	
apuestas	APUESTAS-CASO-06	F	ASTRA5-U0-APUEST-021;ASTRA5-U0-APUEST-022;ASTRA5-U0-APUEST-023	
apuestas	APUESTAS-CASO-07	F	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-025;ASTRA5-U0-APUEST-026	
apuestas	APUESTAS-CASO-08	F	ASTRA5-U0-APUEST-027;ASTRA5-U0-APUEST-028	
apuestas	APUESTAS-CASO-09	F	ASTRA5-U0-TEC-019;ASTRA5-U0-APUEST-030;ASTRA5-U0-APUEST-031;ASTRA5-U0-APUEST-032	
apuestas	APUESTAS-CASO-10	F	ASTRA5-U0-APUEST-033;ASTRA5-U0-APUEST-034	
apuestas	APUESTAS-CASO-11	F	ASTRA5-U0-APUEST-035;ASTRA5-U0-APUEST-036	
apuestas	APUESTAS-CASO-12	F	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-039	
apuestas	APUESTAS-CASO-13	F	ASTRA5-U0-APUEST-040;ASTRA5-U0-APUEST-041	
apuestas	APUESTAS-CASO-14	F	ASTRA5-U0-APUEST-042;ASTRA5-U0-APUEST-043	
apuestas	APUESTAS-CASO-15	F	ASTRA5-U0-APUEST-044;ASTRA5-U0-APUEST-045	
apuestas	APUESTAS-CASO-16	F	ASTRA5-U0-APUEST-046;ASTRA5-U0-APUEST-047	
apuestas	APUESTAS-PAR-01	F	ASTRA5-U0-APUEST-048;ASTRA5-U0-APUEST-049	
apuestas	APUESTAS-PAR-02	F	ASTRA5-U0-APUEST-002;ASTRA5-U0-TEC-019	DEDUP: apuestas-002 (par CoDi/OXXO) y apuestas-029 (cifras CoDi)
apuestas	APUESTAS-PAR-03	F	ASTRA5-U0-APUEST-043	
apuestas	APUESTAS-SINT-01	F		DEDUP: apuestas-001;apuestas-002;apuestas-003;apuestas-004;apuestas-005;apuestas-006;apuestas-021;apuestas-037;apuestas-042;apuestas-048 (síntesis de §5 CONFIRMA/MATIZA/ROMPE; sin componente propio nuevo, recombina las filas de cada caso/patrón)
apuestas	APUESTAS-SINT-02	F		DEDUP: apuestas-003;apuestas-020;apuestas-042;apuestas-043 (misma contradicción de panel D/E precio-calidad entre Mamá Lucha y Costco)
apuestas	APUESTAS-SINT-03	F		NO-AFIRMACION: auditoría meta (§7-8, marco de búsqueda/selección de casos del propio report, no es afirmación sobre el consumidor mexicano)
apuestas	APUESTAS-SINT-04	F	ASTRA5-U0-APUEST-053	
apuestas	INT-L198	INT	ASTRA5-U0-APUEST-054	
aspiracional	LECTURA-76a7b8ac-01	G	ASTRA5-U0-ASPIR-001	
aspiracional	LECTURA-76a7b8ac-02	G	ASTRA5-U0-ASPIR-021;ASTRA5-U0-ASPIR-023;ASTRA5-U0-ASPIR-024;ASTRA5-U0-ASPIR-025	
aspiracional	LECTURA-76a7b8ac-03	G	ASTRA5-U0-ASPIR-014;ASTRA5-U0-ASPIR-015;ASTRA5-U0-ASPIR-016;ASTRA5-U0-ASPIR-012;ASTRA5-U0-ASPIR-013	
aspiracional	LECTURA-76a7b8ac-04	G	ASTRA5-U0-ASPIR-008;ASTRA5-U0-ASPIR-009;ASTRA5-U0-ASPIR-003;ASTRA5-U0-ASPIR-004	
aspiracional	CAND-76a7b8ac-L5	P	ASTRA5-U0-ASPIR-002	
aspiracional	CAND-76a7b8ac-L6	P	ASTRA5-U0-ASPIR-003	
aspiracional	CAND-76a7b8ac-L7	P		DEDUP: aspiracional-006;aspiracional-007;aspiracional-008b;aspiracional-009 (resumen TL;DR de las 4 reglas, ya dictaminadas cada una por separado)
aspiracional	TIER-76a7b8ac-L38	T	ASTRA5-U0-ASPIR-015;ASTRA5-U0-ASPIR-016	
aspiracional	TIER-76a7b8ac-L46	T	ASTRA5-U0-ASPIR-012;ASTRA5-U0-ASPIR-013	
aspiracional	TIER-76a7b8ac-L53	T	ASTRA5-U0-ASPIR-017;ASTRA5-U0-ASPIR-018	
aspiracional	TIER-76a7b8ac-L61	T	ASTRA5-U0-ASPIR-019;ASTRA5-U0-ASPIR-020	
aspiracional	TIER-76a7b8ac-L69	T	ASTRA5-U0-ASPIR-021;ASTRA5-U0-ASPIR-023	
aspiracional	TIER-76a7b8ac-L76	T	ASTRA5-U0-ASPIR-024;ASTRA5-U0-ASPIR-025	
aspiracional	TIER-76a7b8ac-L85	T	ASTRA5-U0-ASPIR-003;ASTRA5-U0-ASPIR-004	
aspiracional	TIER-76a7b8ac-L93	T	ASTRA5-U0-ASPIR-026;ASTRA5-U0-ASPIR-027	
aspiracional	TIER-76a7b8ac-L111	T	ASTRA5-U0-ASPIR-010;ASTRA5-U0-ASPIR-009	
aspiracional	LECTURA-76a7b8ac-01	F		DEDUP: aspiracional-001 (ficha coincide con hallazgo G01, mismo id)
aspiracional	LECTURA-76a7b8ac-02	F		DEDUP: aspiracional-017a;aspiracional-018a (ficha coincide con hallazgo G02, mismo id)
aspiracional	LECTURA-76a7b8ac-03	F		DEDUP: aspiracional-012 (ficha coincide con hallazgo G03, mismo id)
aspiracional	LECTURA-76a7b8ac-04	F		DEDUP: aspiracional-008a;aspiracional-003 (ficha coincide con hallazgo G04, mismo id)
aspiracional	ASP-CASO-01	F	ASTRA5-U0-ASPIR-015;ASTRA5-U0-ASPIR-016	
aspiracional	ASP-CASO-02	F	ASTRA5-U0-ASPIR-012;ASTRA5-U0-ASPIR-013	
aspiracional	ASP-CASO-03	F	ASTRA5-U0-ASPIR-017;ASTRA5-U0-ASPIR-018	
aspiracional	ASP-CASO-04	F	ASTRA5-U0-ASPIR-019;ASTRA5-U0-ASPIR-020	
aspiracional	ASP-CASO-05	F	ASTRA5-U0-ASPIR-021;ASTRA5-U0-ASPIR-022;ASTRA5-U0-ASPIR-023	
aspiracional	ASP-CASO-06	F	ASTRA5-U0-ASPIR-024;ASTRA5-U0-ASPIR-025	
aspiracional	ASP-CASO-07	F	ASTRA5-U0-ASPIR-003;ASTRA5-U0-ASPIR-004;ASTRA5-U0-ASPIR-005	
aspiracional	ASP-CASO-08	F	ASTRA5-U0-ASPIR-026;ASTRA5-U0-ASPIR-027	
aspiracional	ASP-CASO-09	F	ASTRA5-U0-ASPIR-008;ASTRA5-U0-ASPIR-009	
aspiracional	ASP-REGLA-01	F	ASTRA5-U0-ASPIR-007	
aspiracional	ASP-REGLA-02	F	ASTRA5-U0-ASPIR-008;ASTRA5-U0-ASPIR-009	
aspiracional	ASP-REGLA-03	F	ASTRA5-U0-ASPIR-010;ASTRA5-U0-ASPIR-011	
aspiracional	ASP-REGLA-04	F	ASTRA5-U0-ASPIR-006;ASTRA5-U0-ASPIR-005	
aspiracional	ASP-SINT-01	F		NO-AFIRMACION: auditoría meta (§6 módulo de auditoría autocrítico del propio report, no hace afirmaciones nuevas sobre México, reflexiona sobre el sesgo del propio forense)
aspiracional	ASP-SINT-02	F	ASTRA5-U0-ASPIR-028	
autoridad	LECTURA-2f7b4f03-01	G	ASTRA5-U0-AUTOR-005;ASTRA5-U0-AUTOR-006	
autoridad	LECTURA-2f7b4f03-01	F	ASTRA5-U0-AUTOR-005;ASTRA5-U0-AUTOR-006	
autoridad	LECTURA-2f7b4f03-02	G	ASTRA5-U0-AUTOR-004;ASTRA5-U0-AUTOR-007;ASTRA5-U0-AUTOR-008	
autoridad	LECTURA-2f7b4f03-02	F	ASTRA5-U0-AUTOR-004;ASTRA5-U0-AUTOR-007;ASTRA5-U0-AUTOR-008	
autoridad	LECTURA-2f7b4f03-03	G	ASTRA5-U0-AUTOR-009	
autoridad	LECTURA-2f7b4f03-03	F	ASTRA5-U0-AUTOR-009	
autoridad	LECTURA-2f7b4f03-04	G	ASTRA5-U0-AUTOR-001;ASTRA5-U0-AUTOR-002;ASTRA5-U0-AUTOR-010;ASTRA5-U0-AUTOR-011	
autoridad	LECTURA-2f7b4f03-04	F	ASTRA5-U0-AUTOR-001;ASTRA5-U0-AUTOR-002;ASTRA5-U0-AUTOR-010;ASTRA5-U0-AUTOR-011	
autoridad	LECTURA-2f7b4f03-05	G	ASTRA5-U0-AUTOR-012	
autoridad	LECTURA-2f7b4f03-05	F	ASTRA5-U0-AUTOR-012	
autoridad	LECTURA-2f7b4f03-06	G	ASTRA5-U0-AUTOR-003;ASTRA5-U0-AUTOR-013	
autoridad	LECTURA-2f7b4f03-06	F	ASTRA5-U0-AUTOR-003;ASTRA5-U0-AUTOR-013	
autoridad	LECTURA-2f7b4f03-07	G	ASTRA5-U0-AUTOR-014	
autoridad	LECTURA-2f7b4f03-07	F	ASTRA5-U0-AUTOR-014	
autoridad	LECTURA-2f7b4f03-08	G	ASTRA5-U0-AUTOR-015	
autoridad	LECTURA-2f7b4f03-08	F	ASTRA5-U0-AUTOR-015	
autoridad	LECTURA-2f7b4f03-09	G	ASTRA5-U0-AUTOR-016;ASTRA5-U0-AUTOR-017	
autoridad	LECTURA-2f7b4f03-09	F	ASTRA5-U0-AUTOR-016;ASTRA5-U0-AUTOR-017	
autoridad	LECTURA-2f7b4f03-10	G	ASTRA5-U0-TRAB-022;ASTRA5-U0-AUTOR-019	
autoridad	LECTURA-2f7b4f03-10	F	ASTRA5-U0-TRAB-022;ASTRA5-U0-AUTOR-019	
autoridad	LECTURA-2f7b4f03-11	G	ASTRA5-U0-AUTOR-020	
autoridad	LECTURA-2f7b4f03-11	F	ASTRA5-U0-AUTOR-020	
autoridad	LECTURA-2f7b4f03-12	G	ASTRA5-U0-AUTOR-021	
autoridad	LECTURA-2f7b4f03-12	F	ASTRA5-U0-AUTOR-021	
autoridad	LECTURA-2f7b4f03-13	G	ASTRA5-U0-AUTOR-022	
autoridad	LECTURA-2f7b4f03-13	F	ASTRA5-U0-AUTOR-022	
autoridad	LECTURA-2f7b4f03-14	G	ASTRA5-U0-MER-008;ASTRA5-U0-AUTOR-023	
autoridad	LECTURA-2f7b4f03-14	F	ASTRA5-U0-MER-008;ASTRA5-U0-AUTOR-023	
autoridad	LECTURA-2f7b4f03-15	G	ASTRA5-U0-AUTOR-024;ASTRA5-U0-AUTOR-025	
autoridad	LECTURA-2f7b4f03-15	F	ASTRA5-U0-AUTOR-024;ASTRA5-U0-AUTOR-025	
autoridad	INT-L67	INT	ASTRA5-U0-AUTOR-026	
autoridad	INT-L71	INT	ASTRA5-U0-AUTOR-027	
autoridad	INT-L73	INT	ASTRA5-U0-AUTOR-028	
autoridad	INT-L133	INT	ASTRA5-U0-AUTOR-029	
autoridad	INT-L249-L277	INT	ASTRA5-U0-AUTOR-030	
autoridad	INT-L277	INT	ASTRA5-U0-AUTOR-031	
capital-social	LECTURA-4c062d9e-01	G	ENLACE;ENLACE;ENLACE;ASTRA5-U0-CAPSOC-007	
capital-social	LECTURA-4c062d9e-02	G	ENLACE;ENLACE;ENLACE;ASTRA5-U0-CAPSOC-008	
capital-social	LECTURA-4c062d9e-03	G	ENLACE;ASTRA5-U0-CAPSOC-009;ASTRA5-U0-CAPSOC-010;ASTRA5-U0-CAPSOC-011	
capital-social	LECTURA-4c062d9e-04	G	ASTRA5-U0-CAPSOC-012;ASTRA5-U0-CAPSOC-013;ASTRA5-U0-CAPSOC-014;ASTRA5-U0-CAPSOC-015	
capital-social	LECTURA-4c062d9e-05	G	ASTRA5-U0-CAPSOC-016;ASTRA5-U0-CAPSOC-017;ASTRA5-U0-CAPSOC-018;ASTRA5-U0-CAPSOC-019	
capital-social	LECTURA-4c062d9e-06	G	ASTRA5-U0-CAPSOC-020;ASTRA5-U0-CAPSOC-021;ASTRA5-U0-CAPSOC-022	
capital-social	LECTURA-4c062d9e-07	G	ASTRA5-U0-CAPSOC-023;ASTRA5-U0-CAPSOC-024	
capital-social	LECTURA-4c062d9e-08	G	ASTRA5-U0-CAPSOC-025;ASTRA5-U0-CAPSOC-026	
capital-social	CAND-4c062d9e-L51	P	ASTRA5-U0-CAPSOC-033	
capital-social	LECTURA-4c062d9e-01	F		DEDUP: capital-social-001 (ficha coincide con hallazgo G01, mismo id)
capital-social	LECTURA-4c062d9e-02	F		DEDUP: capital-social-004 (ficha coincide con hallazgo G02, mismo id)
capital-social	LECTURA-4c062d9e-03	F		DEDUP: capital-social-007 (ficha coincide con hallazgo G03, mismo id)
capital-social	LECTURA-4c062d9e-04	F		DEDUP: capital-social-013 (ficha coincide con hallazgo G04, mismo id)
capital-social	LECTURA-4c062d9e-05	F		DEDUP: capital-social-017 (ficha coincide con hallazgo G05, mismo id)
capital-social	LECTURA-4c062d9e-06	F		DEDUP: capital-social-021 (ficha coincide con hallazgo G06, mismo id)
capital-social	LECTURA-4c062d9e-07	F		DEDUP: capital-social-024 (ficha coincide con hallazgo G07, mismo id)
capital-social	LECTURA-4c062d9e-08	F		DEDUP: capital-social-026 (ficha coincide con hallazgo G08, mismo id)
capital-social	LECTURA-4c062d9e-INT-09	F	ASTRA5-U0-CAPSOC-027;ASTRA5-U0-CAPSOC-028	
capital-social	LECTURA-4c062d9e-INT-10	F	ASTRA5-U0-CAPSOC-029;ASTRA5-U0-CAPSOC-030;ASTRA5-U0-CAPSOC-031;ASTRA5-U0-CAPSOC-032;ASTRA5-U0-CAPSOC-033	
capital-social	LECTURA-4c062d9e-INT-11	F	ASTRA5-U0-CAPSOC-019;ASTRA5-U0-CAPSOC-034;ASTRA5-U0-CAPSOC-035;ASTRA5-U0-CAPSOC-036	
capital-social	LECTURA-4c062d9e-INT-12	F	ASTRA5-U0-CAPSOC-037;ASTRA5-U0-CAPSOC-038;ASTRA5-U0-CAPSOC-039;ASTRA5-U0-CAPSOC-040;ASTRA5-U0-CAPSOC-041;ASTRA5-U0-CAPSOC-042	NO-AFIRMACION (parcial): el caveat L96 sobre el 13% Findex 2017 lo declara el propio report no verificado y omitido; las reglas SI-ENTONCES del bloque tienen filas propias
clasemediero	LECTURA-4482e7e0-01	G;F	ASTRA5-U0-CLASE-001;ASTRA5-U0-CLASE-002;ASTRA5-U0-CLASE-003;ASTRA5-U0-CLASE-004;ASTRA5-U0-CLASE-005	
clasemediero	LECTURA-4482e7e0-02	G;F	ASTRA5-U0-CLASE-006;ASTRA5-U0-CLASE-007	
clasemediero	LECTURA-4482e7e0-03	G;F	ENLACE;ENLACE;ASTRA5-U0-CLASE-008	
clasemediero	LECTURA-4482e7e0-04	G;F	ASTRA5-U0-CLASE-009;ASTRA5-U0-CLASE-010	
clasemediero	LECTURA-4482e7e0-05	G;F	ASTRA5-U0-CLASE-011;ASTRA5-U0-CLASE-012;ASTRA5-U0-CLASE-013	
clasemediero	LECTURA-4482e7e0-06	G;F	ASTRA5-U0-CLASE-014;ASTRA5-U0-CLASE-015	
clasemediero	LECTURA-4482e7e0-07	G;F	ASTRA5-U0-CLASE-016;ASTRA5-U0-CLASE-017	
clasemediero	LECTURA-4482e7e0-08	G;F	ASTRA5-U0-CLASE-018;ASTRA5-U0-CLASE-019;ASTRA5-U0-CLASE-020	
clasemediero	LECTURA-4482e7e0-09	G;F	ASTRA5-U0-CLASE-021	
clasemediero	LECTURA-4482e7e0-10	G;F	ASTRA5-U0-CLASE-004;ASTRA5-U0-CLASE-022;ASTRA5-U0-CLASE-023;ASTRA5-U0-CLASE-024	
clasemediero	LECTURA-4482e7e0-11	G;F	ASTRA5-U0-CLASE-025;ASTRA5-U0-CLASE-026;DEDUP:clasemediero-001	repunte INEGI 46.7%→42.2% ya citado en fila 001
clasemediero	LECTURA-4482e7e0-12	G;F	ASTRA5-U0-CLASE-027;ASTRA5-U0-CLASE-028	
clasemediero	LECTURA-4482e7e0-13	G;F	ASTRA5-U0-CLASE-029;ASTRA5-U0-CLASE-030	
clasemediero	LECTURA-4482e7e0-14	G;F	ASTRA5-U0-CLASE-031;ASTRA5-U0-CLASE-032	
clasemediero	LECTURA-4482e7e0-15	G;F	ASTRA5-U0-CLASE-033;ENLACE;ASTRA5-U0-CLASE-034	
clasemediero	CAND-4482e7e0-L268	P	ASTRA5-U0-CLASE-035;DEDUP:clasemediero-016;DEDUP:clasemediero-006	resto de la nota (Bravo=evidencia media; cifras de prensa 2026 leen ENIGH/ENOE) ya cubierto por esas filas
clasemediero	TIER-4482e7e0-L83	T	ASTRA5-U0-CLASE-036;DEDUP:clasemediero-001;DEDUP:clasemediero-002;DEDUP:clasemediero-003;DEDUP:clasemediero-004;DEDUP:clasemediero-029;DEDUP:clasemediero-030	bullet 1 ‘país de clase media’ DEDUP con 001-004; bullet 2 residual ‘individualista’ en fila 039 (aspiracionista/opositora DEDUP con 001-005/024-026); bullet 3 ‘colectivista/distancia de poder’ DEDUP con 029-030
clasemediero	CLASE-INTERNO-01	F	ASTRA5-U0-CLASE-001;ASTRA5-U0-CLASE-002;ASTRA5-U0-CLASE-003;ASTRA5-U0-CLASE-004;ASTRA5-U0-CLASE-005;ASTRA5-U0-CLASE-037;ASTRA5-U0-CLASE-038	L41-87: definiciones operativas (dedup con G01) + cifra ENIGH2024 $23,451 (fila 040) + cita Ríos NYT (fila 041); L83 cubierto aparte por TIER-4482e7e0-L83
clasemediero	CLASE-INTERNO-02	F	ASTRA5-U0-CLASE-006;ASTRA5-U0-CLASE-007;ASTRA5-U0-CLASE-039;ASTRA5-U0-CLASE-040	L92-123: Patrón 1 (dedup con G01, más predictor educación <4% en fila 042) y Patrón 2 (dedup con G02, más ENBIARE satisfacción en fila 043)
clasemediero	CLASE-INTERNO-03	F	ASTRA5-U0-CLASE-011;ASTRA5-U0-CLASE-012;ASTRA5-U0-CLASE-013;ASTRA5-U0-CLASE-014;ASTRA5-U0-CLASE-015;ASTRA5-U0-CLASE-021;DEDUP:clasemediero-018;DEDUP:clasemediero-019	L124-154: Patrón 3 (dedup con G05/G06/G07) y Patrón 4 (dedup con G09)
clasemediero	CLASE-INTERNO-04	F	ASTRA5-U0-CLASE-022;ASTRA5-U0-CLASE-023;ASTRA5-U0-CLASE-024;ASTRA5-U0-CLASE-041;DEDUP:clasemediero-011;DEDUP:clasemediero-031;DEDUP:clasemediero-032;DEDUP:clasemediero-033	L156-211: Patrón 5 (dedup con G10, más Nexos CDMX en fila 044) y comparación internacional (dedup con G04/G13)
clasemediero	CLASE-INTERNO-05	F	ASTRA5-U0-CLASE-042;ASTRA5-U0-CLASE-043;DEDUP:clasemediero-038;DEDUP:clasemediero-001;DEDUP:clasemediero-002;DEDUP:clasemediero-026;DEDUP:clasemediero-030;DEDUP:clasemediero-031	L215-268: implicaciones aplicadas (fila 046) y morosidad Sofipos (fila 045); mitos y síntesis DEDUP con filas ya citadas; Módulo de auditoría de rigor extremo (L250-264) es NO-AFIRMACION: auditoría meta (autocrítica estructural del report, no afirmación empírica nueva); nota final ya es CAND-4482e7e0-L268
clientelismo	LECTURA-baa568e2-01	G	ASTRA5-U0-CLIENT-001	
clientelismo	LECTURA-baa568e2-02	G		DEDUP: clientelismo-018 (REGLA-01, mismo contenido: agencia del votante, ineficacia de compra, mecanismo de monitoreo)
clientelismo	LECTURA-baa568e2-03	G		DEDUP: clientelismo-011 (CASO C1, mismo contenido: 4T gana por identidad/aprobación, no condicionalidad)
clientelismo	LECTURA-baa568e2-04	G		DEDUP: clientelismo-023 (PAR-02, mismo contenido: margen 2018/2024 no atribuible a compra)
clientelismo	CAND-baa568e2-L28	P	ASTRA5-U0-CLIENT-002	
clientelismo	CAND-baa568e2-L37	P	ASTRA5-U0-CLIENT-003;ASTRA5-U0-CLIENT-004	
clientelismo	CAND-baa568e2-L46	P	ASTRA5-U0-CLIENT-005	
clientelismo	CAND-baa568e2-L60	P	ASTRA5-U0-CLIENT-007	
clientelismo	CAND-baa568e2-L69	P	ASTRA5-U0-CLIENT-008	
clientelismo	CAND-baa568e2-L134	P	ASTRA5-U0-CLIENT-026	
clientelismo	CAND-baa568e2-L159	P	ASTRA5-U0-CLIENT-027	
clientelismo	TIER-baa568e2-L53	T	ASTRA5-U0-CLIENT-006	
clientelismo	TIER-baa568e2-L75	T	ASTRA5-U0-CLIENT-009;ASTRA5-U0-CLIENT-010	
clientelismo	TIER-baa568e2-L83	T	ASTRA5-U0-CLIENT-011;ASTRA5-U0-CLIENT-012;ASTRA5-U0-CLIENT-013;ASTRA5-U0-CLIENT-014	
clientelismo	TIER-baa568e2-L92	T	ASTRA5-U0-CLIENT-015	
clientelismo	TIER-baa568e2-L99	T	ASTRA5-U0-CLIENT-016;ASTRA5-U0-CLIENT-017	
clientelismo	TIER-baa568e2-L120	T	ASTRA5-U0-CLIENT-018	
clientelismo	TIER-baa568e2-L123	T	ASTRA5-U0-CLIENT-019	
clientelismo	TIER-baa568e2-L126	T	ASTRA5-U0-CLIENT-020	
clientelismo	TIER-baa568e2-L129	T	ASTRA5-U0-CLIENT-021	
clientelismo	LECTURA-baa568e2-01	F	ASTRA5-U0-CLIENT-001	
clientelismo	LECTURA-baa568e2-02	F		DEDUP: clientelismo-018 (misma razón que su par G)
clientelismo	LECTURA-baa568e2-03	F		DEDUP: clientelismo-011 (misma razón que su par G)
clientelismo	LECTURA-baa568e2-04	F		DEDUP: clientelismo-023 (misma razón que su par G)
clientelismo	CASO-baa568e2-A1	F	ASTRA5-U0-CLIENT-002	
clientelismo	CASO-baa568e2-A2	F	ASTRA5-U0-CLIENT-003;ASTRA5-U0-CLIENT-004	
clientelismo	CASO-baa568e2-A3	F	ASTRA5-U0-CLIENT-005	
clientelismo	CASO-baa568e2-A4	F	ASTRA5-U0-CLIENT-006	
clientelismo	CASO-baa568e2-B1	F	ASTRA5-U0-CLIENT-007	
clientelismo	CASO-baa568e2-B2	F	ASTRA5-U0-CLIENT-008	
clientelismo	CASO-baa568e2-B3	F	ASTRA5-U0-CLIENT-009;ASTRA5-U0-CLIENT-010	
clientelismo	CASO-baa568e2-C1	F	ASTRA5-U0-CLIENT-011;ASTRA5-U0-CLIENT-012;ASTRA5-U0-CLIENT-013;ASTRA5-U0-CLIENT-014	
clientelismo	CASO-baa568e2-C2	F	ASTRA5-U0-CLIENT-015	
clientelismo	CASO-baa568e2-C3	F	ASTRA5-U0-CLIENT-016;ASTRA5-U0-CLIENT-017	
clientelismo	PAR-baa568e2-01	F	ASTRA5-U0-CLIENT-022	
clientelismo	PAR-baa568e2-02	F	ASTRA5-U0-CLIENT-023	
clientelismo	PAR-baa568e2-03	F	ASTRA5-U0-CLIENT-024	
clientelismo	PAR-baa568e2-04	F	ASTRA5-U0-CLIENT-025	
clientelismo	REGLA-baa568e2-01	F	ASTRA5-U0-CLIENT-018	
clientelismo	REGLA-baa568e2-02	F	ASTRA5-U0-CLIENT-019	
clientelismo	REGLA-baa568e2-03	F	ASTRA5-U0-CLIENT-020	
clientelismo	REGLA-baa568e2-04	F	ASTRA5-U0-CLIENT-021	
clientelismo	CLIENT-INTERNO-01	F	ASTRA5-U0-CLIENT-026;ASTRA5-U0-CLIENT-027;ASTRA5-U0-CLIENT-028;ASTRA5-U0-CLIENT-029	
