# GENERADO por tools/dominios/cola-completa/cola_v1_1.py — no editar
dominio	programa	ola	n_afirmaciones	estado_fila	n_medido	n_no_construible	n_diferido	calc_citados	detalle	ids
CONOCIMIENTO	ENPECYT	2017	3	DIFERIDO	0	0	3		ASTRA5-U0-CONOC-004=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-CONOC-005=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-CONOC-025=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo)	ASTRA5-U0-CONOC-004;ASTRA5-U0-CONOC-005;ASTRA5-U0-CONOC-025
HUMOR	LATINOBAROMETRO	SIN-OLA-CASADA	3	MEDIDO	1	0	2	CALC-LATINOBAROMETRO-COLA-2023-0001	ASTRA5-U0-HUM-004=DIFERIDO[SIN-VEREDICTO]: Ola 2024 RESERVADA (E.6); ademas el agregado regional publicado (17 paises, 19214 entrevistas) no es reproducible con el payload de Mexico de este acto aunque la ola no estuviera reservada. | ASTRA5-U0-HUM-005=DIFERIDO[SIN-VEREDICTO]: Ola 2024 RESERVADA (E.6); analogo 2023 medido por CALC-LATINOBAROMETRO-COLA-2023-0001 (SATISFECHO-CON-LA-VIDA-2023 TOTAL-P=0.7369=73.7%) no sostiene el valor especifico de 2024 (82%) citado. | ASTRA5-U0-HUM-006=MEDIDO[MATIZA]	ASTRA5-U0-HUM-004;ASTRA5-U0-HUM-005;ASTRA5-U0-HUM-006
JUVENTUD	ENADID	2018;2023	3	DIFERIDO	0	1	2		ASTRA5-U0-JUV-004=DIFERIDO[SIN-VEREDICTO]: CALC-ENADID-COLA-2018-0001 no construye tasa de fecundidad adolescente (sus conductas son SEPARADA-ENTRE-UNION-LIBRE, SEPARADA-O-DIVORCIADA-ENTRE-MATRIMONIO, JEFATURA-FEMENINA-CON/SIN-MIGRANTE-VARON; ninguna sobre nacimientos/TFECHISEMB). 2018 esta abierta en corpus pero sin CALC que mida esta tasa; ENADID 2023 (comparacion del texto_vigente) es la ola mas reciente del programa y queda RESERVADA (E.6): no se abre, no se cita ninguna cifra suya. | ASTRA5-U0-JUV-005=DIFERIDO[SIN-VEREDICTO]: Misma razon que JUV-004: Tasa Global de Fecundidad (2.07->1.60) no es una conducta construida por CALC-ENADID-COLA-2018-0001 ni por ningun otro CALC sellado de ENADID en este acto; ENADID 2023 (la ola del valor 1.60) es RESERVADA (E.6), no se abre. | ASTRA5-U0-JUV-006=NO-CONSTRUIBLE[SIN-VEREDICTO]: Pregunta buscada: serie de estado conyugal (union libre/matrimonio) para 2005 y 2025. Las olas ENADID en corpus son 1992,1997,2009,2014,2018,2023 (esta ultima RESERVADA, E.6); no existe ola 2005 ni 2025 del programa en el corpus -- la serie que cita el report no se puede construir con las olas disponibles. Secciones recorridas: manifiesto/premisas de CALC-ENADID-COLA-2018-0001 Sec0 ('Olas en corpus: 1992, 1997, 2009, 2014, 2018, 2023').	ASTRA5-U0-JUV-004;ASTRA5-U0-JUV-005;ASTRA5-U0-JUV-006
CONFIANZA	LATINOBAROMETRO	2023	4	MEDIDO	1	0	3	CALC-LATINOBAROMETRO-COLA-2023-0001	ASTRA5-U0-TRUST-022=DIFERIDO[SIN-VEREDICTO]: Ola 2024 RESERVADA (E.6, encargo GEN2-COLA-COMPLETA-1); no se abre. El comparable 2023 (ORO-CONFIA-GOBIERNO TOTAL-P=0.3812=38.1%) no sostiene la cifra especifica de 2024 (52%) citada. | ASTRA5-U0-EMOC-019=MEDIDO[CONFIRMA] | ASTRA5-U0-CONOC-014=DIFERIDO[SIN-VEREDICTO]: Ola 2024 RESERVADA (E.6); el 52% maximo historico citado (via prensa, no leido del PDF por el propio report) no puede verificarse aqui. | ASTRA5-U0-SANC-005=DIFERIDO[SIN-VEREDICTO]: Ola 2024 RESERVADA (E.6); ademas el item citado (confianza interpersonal, P10STGBS o similar) no es de los 4 leidos por CALC-LATINOBAROMETRO-COLA-2023-0001 (P1ST, P11STGBS_A, P15STGBS, P13ST_E).	ASTRA5-U0-TRUST-022;ASTRA5-U0-EMOC-019;ASTRA5-U0-CONOC-014;ASTRA5-U0-SANC-005
RELIGIOSIDAD	CCPV	2010;2020	4	DIFERIDO	0	0	4		ASTRA5-U0-PAREJA-016=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto: CCPV 2010 y 2020 están en corpus y no reservados (tabla-final-v1_0.tsv, fila INEGI·CCPV: olas_reservadas_al_entrar vacío); ningún CALC sellado mide esta conducta en el censo; GEN2-COLA-LOTE-1 (en vuelo) mide 2020 sólo para FAMILIA_CUIDADOS. Sucesor: pieza CCPV del dominio, o GEN2-COLA-LOTE-1 si su lista cerrada la cubre. [Corrige la razón del agente, que daba 2020 por reservada.] | ASTRA5-U0-EMOC-030=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto: CCPV 2010 y 2020 están en corpus y no reservados (tabla-final-v1_0.tsv, fila INEGI·CCPV: olas_reservadas_al_entrar vacío); ningún CALC sellado mide esta conducta en el censo; GEN2-COLA-LOTE-1 (en vuelo) mide 2020 sólo para FAMILIA_CUIDADOS. Sucesor: pieza CCPV del dominio, o GEN2-COLA-LOTE-1 si su lista cerrada la cubre. [Corrige la razón del agente, que daba 2020 por reservada.] | ASTRA5-U0-RELIG-001=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto: CCPV 2010 y 2020 están en corpus y no reservados (tabla-final-v1_0.tsv, fila INEGI·CCPV: olas_reservadas_al_entrar vacío); la religión va en la muestra censal (cuestionario ampliado) que ningún CALC sellado mide todavía; GEN2-COLA-LOTE-1 (en vuelo) mide 2020 sólo para FAMILIA_CUIDADOS. Sucesor: pieza CCPV-RELIGION 2010/2020. [Corrige la razón del agente, que daba 2020 por reservada.] | ASTRA5-U0-RELIG-008=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto: CCPV 2010 y 2020 están en corpus y no reservados (tabla-final-v1_0.tsv, fila INEGI·CCPV: olas_reservadas_al_entrar vacío); la religión va en la muestra censal (cuestionario ampliado) que ningún CALC sellado mide todavía; GEN2-COLA-LOTE-1 (en vuelo) mide 2020 sólo para FAMILIA_CUIDADOS. Sucesor: pieza CCPV-RELIGION 2010/2020. [Corrige la razón del agente, que daba 2020 por reservada.]	ASTRA5-U0-PAREJA-016;ASTRA5-U0-EMOC-030;ASTRA5-U0-RELIG-001;ASTRA5-U0-RELIG-008
CONFIANZA	ENCIG	2023	3	DIFERIDO	0	2	1		ASTRA5-U0-TRUST-006=NO-CONSTRUIBLE[SIN-VEREDICTO]: Pregunta buscada: confianza en 'la familia' como institución. Secciones recorridas: batería XI completa de ENCIG 2023 (p11_1_01..p11_1_25, inventario-reactivos-v1_2.tsv, texto_reactivo vacío al 100% para ENCIG -- declarado en spec.yaml de CALC-ENCIG-2023-0001-v1_1); ninguna de las 25 preguntas es 'familia' (la más cercana es p11_1_09 'parientes como tíos, primos, sobrinos'). WVS Q58 tampoco sustenta 87% (Q58 familia da 91.9%, no 87%). | ASTRA5-U0-TRUST-025=NO-CONSTRUIBLE[SIN-VEREDICTO]: Misma razón que TRUST-006: la batería XI de ENCIG 2023 (p11_1_01..25) no trae ítem 'familia'; el ítem más cercano (p11_1_09, 'parientes') no es el objeto de la convergencia 77-87% citada con CESOP/Research Land 2026 (fuentes no INEGI, fuera de corpus). | ASTRA5-U0-VIOL-005=DIFERIDO[SIN-VEREDICTO]: El anclaje 'familia 87.4%' no tiene ítem en la batería XI de ENCIG 2023 (mismo hallazgo que TRUST-006/025, ítem más cercano p11_1_09 'parientes'). Los ítems de confianza en policía/partidos (A.1, escala 0-10) y percepción de corrupción en policía/MP sí existen en el cuestionario ENCIG23, pero ningún CALC sellado (CALC-ENCIG-2023-0001, CALC-ENCIG2023-*) construye esos estimandos de confianza institucional; ENCOAP no está en el corpus de este acto.	ASTRA5-U0-TRUST-006;ASTRA5-U0-TRUST-025;ASTRA5-U0-VIOL-005
MIGRACION	BANXICO	SIN-OLA-CASADA	3	DIFERIDO	0	0	3		ASTRA5-U0-MER-026=DIFERIDO[SIN-VEREDICTO]: unidad no casa: serie administrativa agregada nacional (flujo/monto/índice macro), no persona; sin CALC en este acto ni en data/corrida0 que la derive; busqueda en data/corrida0/CALC-* por CALC de remesas agregadas nacionales Balanza de Pagos (0 encontrados; solo hay CALC-ENIGH-*-REMESAS-* de hogar receptor, otra unidad); serie administrativa, no reactivo de encuesta | ASTRA5-U0-MIGR-001=DIFERIDO[SIN-VEREDICTO]: unidad no casa: serie administrativa agregada nacional (flujo/monto/índice macro), no persona; sin CALC en este acto ni en data/corrida0 que la derive; igual que MER-026: 0 CALC de remesas agregadas Balanza de Pagos en data/corrida0; serie administrativa, no reactivo de encuesta | ASTRA5-U0-MIGR-002=DIFERIDO[SIN-VEREDICTO]: unidad no casa: serie administrativa agregada nacional (flujo/monto/índice macro), no persona; sin CALC en este acto ni en data/corrida0 que la derive; igual: 0 CALC de razón remesas/PIB en data/corrida0; razón de series administrativas, no reactivo de encuesta	ASTRA5-U0-MER-026;ASTRA5-U0-MIGR-001;ASTRA5-U0-MIGR-002
MOVILIDAD	ENIGH	2010;2020;2024	3	DIFERIDO	0	0	3		ASTRA5-U0-CLASE-001=DIFERIDO[SIN-VEREDICTO]: El '42.2% clase media 2020' es el índice multivariado propio de INEGI ('Cuantificando la Clase Media en México 2010-2020'), no un reactivo único; ENIGH 2010/2012/2014/2016/2018/2020 están en corpus y no reservadas, pero ningún CALC sellado reproduce ese índice compuesto (los CALC-ENIGH* existentes miden remesas y perfil estructural, no el índice de clase media). | ASTRA5-U0-CLASE-033=DIFERIDO[SIN-VEREDICTO]: ENIGH 2024 nace RESERVADA (E.6) y ningún CALC sellado del corpus la usa (los CALC-ENIGH2016/2018/2020/2022-* llegan sólo hasta 2022); el ingreso por habitante 2016 vs 2024 no puede medirse aquí sin abrir la ola reservada. | ASTRA5-U0-CLASE-037=DIFERIDO[SIN-VEREDICTO]: Misma razón: ENIGH 2024 reservada, sin CALC sellado que la abra; el ingreso por decil de hogares urbanos 2024 no está medido en este acto.	ASTRA5-U0-CLASE-001;ASTRA5-U0-CLASE-033;ASTRA5-U0-CLASE-037
PAREJA	ENDISEG	2021	2	MEDIDO	1	0	1	CALC-ENDISEG-PISOS-2021-0001	ASTRA5-U0-PAREJA-010=MEDIDO[MATIZA] | ASTRA5-U0-PAREJA-011=DIFERIDO[SIN-VEREDICTO]: CALC-ENDISEG-PISOS-2021-0001 mide P(LGBT=1|estrato) un eje a la vez (escolaridad, conyugal, indigena, afro, entidad); el texto_vigente describe la composicion DENTRO del subconjunto LGBT+ (P(estrato|LGBT=1): 62% vs 46.4% escolaridad, 64.9/16.7/13.9% estado conyugal, 11%/3.9% indigena/afro, concentracion por entidad en conteos absolutos) -- estadistico de conditional inverso, no construido por este CALC (spec Sec4 'un eje a la vez; nunca cruces'). Medible en principio (reponderando dentro del subconjunto LGBT) pero no medido aqui.	ASTRA5-U0-PAREJA-010;ASTRA5-U0-PAREJA-011
RURAL_INDIGENA	CONEVAL	SIN-OLA-CASADA	2	DIFERIDO	0	0	2		ASTRA5-U0-RURAL-029=DIFERIDO[SIN-VEREDICTO]: CONEVAL publica el tabulado de pobreza multidimensional 2018/2022 (paquetes 'Cambios_pobreza_*'/'STATA_MMP_*' en el manifiesto); resultado ya calculado, no reactivo; sin CALC-CONEVAL-* en este acto | ASTRA5-U0-RURAL-030=DIFERIDO[SIN-VEREDICTO]: mismo tabulado CONEVAL de pobreza por entidad 2022; sin CALC que lo lea en este acto	ASTRA5-U0-RURAL-029;ASTRA5-U0-RURAL-030
VIOLENCIA	ENVIPE	2024	2	MEDIDO	2	0	0	CALC-ENVIPE-PERCEPCION-2024-0001	ASTRA5-U0-VIOL-002=MEDIDO[MATIZA] | ASTRA5-U0-VIOL-032=MEDIDO[MATIZA]	ASTRA5-U0-VIOL-002;ASTRA5-U0-VIOL-032
MOVILIDAD	MMSI	2016	4	MEDIDO	2	2	0	CALC-MMSI-PISOS-2016-0001	ASTRA5-U0-CLASE-012=MEDIDO[CONFIRMA] | ASTRA5-U0-MER-030=MEDIDO[CONFIRMA] | ASTRA5-U0-MER-031=NO-CONSTRUIBLE[SIN-VEREDICTO]: Pregunta buscada: escalon o quintil de ingreso (para '41.7% indigenas en el escalon mas bajo vs 14.2% blancos/mestizos') y educacion superior cruzada por SEXO x TONO ('mujeres de piel oscura 50% menos probabilidad'). MMSI 2016 no trae variable de escalon/quintil de ingreso ya construida (solo Per_SitEco, percepcion cualitativa de mejora/igual/peor, otra pregunta); spec COLA-MMSI-PISOS-spec-v1_0.md Sec2 (catalogo cerrado de conductas: EDUCACION-SUPERIOR, OCUPACION-DIRECTIVA, PERCIBE-MEJORA-SOCIOECONOMICA) no incluye ingreso, y Sec4 prohibe cruces de ejes (SEXO x TONO no se construye). Secciones recorridas: spec humana Sec0,Sec2,Sec3,Sec4; FD mmsi2016_fd.xlsx (catalogo de variables via medidor). | ASTRA5-U0-MER-033=NO-CONSTRUIBLE[SIN-VEREDICTO]: Pregunta buscada: movilidad de quintil socioeconomico de origen a destino por tono de piel. La propia spec COLA-MMSI-PISOS-spec-v1_0.md Sec0 declara: 'El modulo no trae indice ni quintil socioeconomico de origen ni de destino ya construido (solo insumos): la movilidad de quintil que cita MER-033 no se construye aqui (NC propia)'. PERCIBE-MEJORA-SOCIOECONOMICA (percepcion subjetiva mejor/igual/peor) es proxy distinto, no el indice de movilidad objetiva de quintil que afirma el report. Secciones recorridas: spec humana Sec0,Sec2,Sec3.	ASTRA5-U0-CLASE-012;ASTRA5-U0-MER-030;ASTRA5-U0-MER-031;ASTRA5-U0-MER-033
CONFIANZA	WVS	SIN-OLA-CASADA	3	DIFERIDO	0	0	3		ASTRA5-U0-TRUST-003=DIFERIDO[SIN-VEREDICTO]: Sin CALC de WVS en este acto; la comparacion pedida (multipais, serie 1990-2005-presente) excede lo que hay en corpus/manifiesto (solo WVS7 Mexico 2018, f00013084/f00013146); unidad/universo no casa. | ASTRA5-U0-INTER-032=DIFERIDO[SIN-VEREDICTO]: WVS olas 1990 (Wave 2) y 2012 (Wave 6) Mexico NO estan en manifiesto/corpus, solo Wave 7 (2017-2020) lo esta; sin CALC ademas. | ASTRA5-U0-CONS-012=DIFERIDO[SIN-VEREDICTO]: WVS Wave 6 (2012) Mexico no esta en manifiesto/corpus; solo Wave 7 (2018, f00013084/f00013146) lo esta, y no hay CALC sellado para WVS en este acto.	ASTRA5-U0-TRUST-003;ASTRA5-U0-INTER-032;ASTRA5-U0-CONS-012
AUTORIDAD	LATINOBAROMETRO	2023	2	MEDIDO	1	0	1	CALC-LATINOBAROMETRO-COLA-2023-0001	ASTRA5-U0-AUTOR-024=DIFERIDO[SIN-VEREDICTO]: No es cifra de una sola ola/instrumento: combina aprobacion AMLO/Sheinbaum de multiples casas encuestadoras 2018-2026; sin ola declarada, sin CALC posible con un unico instrumento Latinobarometro. | ASTRA5-U0-AUTOR-026=MEDIDO[MATIZA]	ASTRA5-U0-AUTOR-024;ASTRA5-U0-AUTOR-026
MOVILIDAD	CONEVAL	SIN-OLA-CASADA	2	DIFERIDO	0	0	2		ASTRA5-U0-CLASE-002=DIFERIDO[SIN-VEREDICTO]: CONEVAL/Teruel et al. es estudio academico sobre microdatos ENIGH con metodologia propia (clases latentes), no un reactivo de cuestionario; el corpus solo trae tabulados/paquetes de calculo CONEVAL (rar/zip), sin CALC que los lea en este acto | ASTRA5-U0-SINT-017=DIFERIDO[SIN-VEREDICTO]: tabulado CONEVAL de pobreza multidimensional por entidad; sin CALC en este acto	ASTRA5-U0-CLASE-002;ASTRA5-U0-SINT-017
CONFIANZA	ENIF	SIN-OLA-CASADA	1	NO-CONSTRUIBLE	0	1	0		ASTRA5-U0-FIN-017=NO-CONSTRUIBLE[SIN-VEREDICTO]: El instrumento real citado es ENAFI-ITAM, no ENIF/INEGI. Pregunta buscada: confianza interpersonal general estilo WVS/'la mayoría de las personas...'. Secciones recorridas: inventario-fd-v1_1.tsv y inventario-reactivos-contexto-v1_1.tsv para enif2012/2015/2018/2021/2024 (bloque P5/P10 de percepción de riesgo); sólo aparecen ítems de desconfianza en instituciones financieras (P5_15_1, P10_2_5, P10_7_5, P10_9_6, P10_16_2, P10_18_3: 'tiene desconfianza'/'son inseguros o le dan desconfianza'), ninguno es el ítem de confianza interpersonal general que sostiene el 22%.	ASTRA5-U0-FIN-017
CONFIANZA	ENSU	SIN-OLA-CASADA	1	MEDIDO	1	0	0	CALC-ENSU-PISOS-0001	ASTRA5-U0-VIOL-038=MEDIDO[CONFIRMA]	ASTRA5-U0-VIOL-038
DINERO	CONEVAL	SIN-OLA-CASADA	1	DIFERIDO	0	0	1		ASTRA5-U0-VEJEZ-029=DIFERIDO[SIN-VEREDICTO]: tabulado CONEVAL de pobreza 2022 por entidad para 65+; sin CALC en este acto	ASTRA5-U0-VEJEZ-029
DINERO	ENASEM	2024	1	DIFERIDO	0	0	1		ASTRA5-U0-VEJEZ-016=DIFERIDO[SIN-VEREDICTO]: ola reservada: ENASEM 2024 (E.6); ENASEM 2021 sí está abierta y ningún CALC mide pensión contributiva 65+ por sexo. Sucesor: pieza ENASEM 2021 de pensiones.	ASTRA5-U0-VEJEZ-016
EMOCIONES_MORALES	CONEVAL	SIN-OLA-CASADA	1	NO-CONSTRUIBLE	0	1	0		ASTRA5-U0-EMOC-001=NO-CONSTRUIBLE[SIN-VEREDICTO]: el texto_vigente describe un estudio academico ajeno (Smith et al. 2017, escala dignidad/face/honor, N=210 universitarios en Mexico); no es producto CONEVAL/INEGI/INE ni esta en el catalogo del corpus; el programa_id 'CONEVAL' es rotulo mal asignado en la pasada anterior	ASTRA5-U0-EMOC-001
FAMILIA_CUIDADOS	ENADID	2023	1	DIFERIDO	0	0	1		ASTRA5-U0-VEJEZ-002=DIFERIDO[SIN-VEREDICTO]: sin CALC: ningún CALC sellado de ENADID mide la proporción de 60+ sobre la población total (los existentes miden jefatura/migración 2018 y unión por sexo y edad 2023); la pregunta de edad existe, así que no es NO-CONSTRUIBLE. Sucesor: estructura etaria ENADID 2018 (2023 reservada para conductas nuevas).	ASTRA5-U0-VEJEZ-002
FAMILIA_CUIDADOS	ENOE	2014	1	MEDIDO	1	0	0	CALC-ENOE-PARTICIPACION-2024T4-0001	ASTRA5-U0-JUV-012=MEDIDO[MATIZA]	ASTRA5-U0-JUV-012
GENERO	ENASEM	2024	1	DIFERIDO	0	0	1	CALC-ENASEM-ESCOLARIDAD-2021-0001	ASTRA5-U0-VEJEZ-038=DIFERIDO[SIN-VEREDICTO]: ENASEM 2024 es la ola mas reciente de la serie y queda RESERVADA (E.6): no se abre, no se cita. CALC-ENASEM-ESCOLARIDAD-2021-0001 mide SIN-ESCOLARIDAD por SEXO solo para la ola 2021 (guardia PARA si enasem2024_bd_csv_zip entra como input); el texto_vigente cita explicitamente INEGI-ENASEM 2024, ola distinta y reservada -- no medido aqui.	ASTRA5-U0-VEJEZ-038
GENERO	ENDISEG	2021	1	MEDIDO	1	0	0	CALC-ENDISEG-PISOS-2021-0001	ASTRA5-U0-JUV-019=MEDIDO[CONFIRMA]	ASTRA5-U0-JUV-019
GENERO	ENSU	2025	1	MEDIDO	1	0	0	CALC-ENSU-PISOS-0001	ASTRA5-U0-VIOL-014=MEDIDO[CONFIRMA]	ASTRA5-U0-VIOL-014
GENERO	ENVIPE	2024	1	MEDIDO	1	0	0	CALC-ENVIPE-PERCEPCION-2024-0001	ASTRA5-U0-VIOL-034=MEDIDO[MATIZA]	ASTRA5-U0-VIOL-034
MIGRACION	ENADID	2023	1	MEDIDO	1	0	0	CALC-ENADID-COLA-2018-0001	ASTRA5-U0-GEN-019=MEDIDO[MATIZA]	ASTRA5-U0-GEN-019
PAREJA	ENADID	2018	1	MEDIDO	1	0	0	CALC-ENADID-COLA-2018-0001	ASTRA5-U0-PAREJA-032=MEDIDO[MATIZA]	ASTRA5-U0-PAREJA-032
POLITICA	LATINOBAROMETRO	2023	1	DIFERIDO	0	0	1		ASTRA5-U0-POL-029=DIFERIDO[SIN-VEREDICTO]: El item citado ('la democracia es preferible a cualquier otra forma de gobierno') es la variable P10STGBS del cuestionario LB 2023 (identificada por texto en Latinobarometro_2023_Esp.pdf), distinta de las 4 variables leidas por CALC-LATINOBAROMETRO-COLA-2023-0001 (P1ST, P11STGBS_A, P15STGBS, P13ST_E); ola 2023 disponible pero sin CALC para esta variable en este acto.	ASTRA5-U0-POL-029
RURAL_INDIGENA	ENUT	2024	1	DIFERIDO	0	0	1		ASTRA5-U0-VEJEZ-032=DIFERIDO[SIN-VEREDICTO]: sin CALC: los CALC de ENUT 2024 no traen eje de hablante de lengua indígena; la parte de proyección 2030 es CONAPO (otro programa, no en esta fila). Sucesor: eje lengua indígena en un CALC ENUT.	ASTRA5-U0-VEJEZ-032
SALUD	CONEVAL	SIN-OLA-CASADA	1	DIFERIDO	0	0	1		ASTRA5-U0-SALUD-013=DIFERIDO[SIN-VEREDICTO]: carencia de acceso a servicios de salud (CONEVAL, con base en ENIGH); tabulado externo en el manifiesto, sin CALC en este acto	ASTRA5-U0-SALUD-013
SALUD_MENTAL	ENSANUT	2022	1	MEDIDO	1	0	0	CALC-ENSANUT-PISOS-SALUD-0001	ASTRA5-U0-SALMEN-013=MEDIDO[MATIZA]	ASTRA5-U0-SALMEN-013
SANCION_SOCIAL	ENSU	2024;2025	1	MEDIDO	1	0	0	CALC-ENSU-PISOS-0001	ASTRA5-U0-SANC-007=MEDIDO[MATIZA]	ASTRA5-U0-SANC-007
TECNOLOGIA	ENDUTIH	2024	2	DIFERIDO	0	0	2		ASTRA5-U0-TEC-033=DIFERIDO[SIN-VEREDICTO]: El report no declara ola; ENDUTIH 2023/2024/2025 (no reservadas) traen P7_16_6 '¿Qué redes sociales utiliza? Whatsapp' (data/inventario-fd-v1_1.tsv) que sí mediría penetración de WhatsApp, pero ningún CALC sellado (CALC-ENDUTIH-PISOS-*/EMPLEO-15MAS-*) construye ese estimando; el 91% citado viene de blogs comerciales, no de INEGI. | ASTRA5-U0-SALMEN-025=DIFERIDO[SIN-VEREDICTO]: CALC-ENDUTIH-PISOS-2024-0001 mide celular e internet por separado en EDAD_12_17 y EDAD_18_29; ningún RESULT sellado mide el tramo 12-29 que cita el report, y sumar celdas a mano no es lectura de un RESULT (regla: ninguna cifra tecleada). Sucesor: conducta 12-29 en un CALC ENDUTIH nuevo. [Auditoría: el agente agregó celdas a mano; se retira el MEDIDO.]	ASTRA5-U0-TEC-033;ASTRA5-U0-SALMEN-025
AUTORIDAD	LAPOP	SIN-OLA-CASADA	1	DIFERIDO	0	0	1		ASTRA5-U0-TRUST-013=DIFERIDO[SIN-VEREDICTO]: AmericasBarometer Mexico 2004 SI esta en manifiesto/corpus (642348348mexico_2004_export_version.dta, id 1658622845.sav), pero sin CALC sellado en este acto; el item exacto de corrupcion/confianza usado por Morris & Klesner (2010) no fue identificado en este lote (busqueda residual, no completada).	ASTRA5-U0-TRUST-013
CONFIANZA	ENVIPE	2025	1	DIFERIDO	0	0	1		ASTRA5-U0-TRUST-008=DIFERIDO[SIN-VEREDICTO]: Ola 2025 no reservada (2026 es la más reciente). El módulo de victimización trae BP1_29 (trato en el MP) y BP1_28 (razón de denuncia), y CALC-ENVIPE-DENUNCIA-SEGURO-0001 (sellado) mide propensión a denunciar según aseguramiento (0.791/0.672), no el desenlace 'resolución positiva'; ningún CALC sellado construye ese estimando de resultado de la denuncia.	ASTRA5-U0-TRUST-008
CONFIANZA	LAPOP	SIN-OLA-CASADA	1	DIFERIDO	0	0	1		ASTRA5-U0-TRUST-016=DIFERIDO[SIN-VEREDICTO]: El propio report no identifica ola ni item exacto de Blanco (2013) LAPOP/ENSI ('cotejo residual', no abierto en su lote); sin ola declarada no hay CALC posible ni pregunta que buscar.	ASTRA5-U0-TRUST-016
DINERO	ENOE	SIN-OLA-CASADA	1	NO-CONSTRUIBLE	0	1	0		ASTRA5-U0-FAM-032=NO-CONSTRUIBLE[SIN-VEREDICTO]: La afirmación mezcla dos universos (persona egresada de ENOE / vivienda en renta de un índice inmobiliario) sin ola declarada; la 'renta mínima en CDMX' no es un reactivo de ninguna encuesta INEGI del corpus, es un dato de portal inmobiliario. No hay pregunta única que sostenga la comparación.	ASTRA5-U0-FAM-032
FAMILIA_CUIDADOS	CONEVAL	SIN-OLA-CASADA	1	DIFERIDO	0	0	1		ASTRA5-U0-FAM-033=DIFERIDO[SIN-VEREDICTO]: mezcla varios sub-indicadores (cuidados publicos, pension contributiva, decreto DOF, Cuenta Publica); ninguno es reactivo de cuestionario del corpus; tabulados/documentos externos sin CALC en este acto	ASTRA5-U0-FAM-033
GENERO	ENOE	SIN-OLA-CASADA	1	NO-CONSTRUIBLE	0	1	0		ASTRA5-U0-SINT-018=NO-CONSTRUIBLE[SIN-VEREDICTO]: Las cifras (puesto 33 WEF, paridad parlamentaria, brecha salarial 6,360/9,762, horas de cuidado 48.5/19.5) provienen del informe del WEF, no confirmadas por el propio report como derivadas de ENOE/ENUT; horas de trabajo de cuidado no remunerado son reactivo de ENUT (fuera de este grupo/programa), no de ENOE. Sin pregunta ENOE que sostenga estas cifras.	ASTRA5-U0-SINT-018
GENERO	INTERCENSAL	SIN-OLA-CASADA	1	DIFERIDO	0	0	1	CALC-EIC-HOGARES-2015-0001	ASTRA5-U0-FAM-035=DIFERIDO[SIN-VEREDICTO]: El payload de CALC-EIC-HOGARES-2015-0001 (eic2015_nacional_csv, TR_VIVIENDA15.CSV) resulto ser SOLO Estado de Mexico (ENT=15, 470750 viviendas: ver encargo, OJO); sus TOTAL son de Edomex, no nacionales. texto_vigente afirma universo NACIONAL por sexo de jefatura -- no queda MEDIDO por este CALC. Ola no declarada en la fila (candidato Censo2020/Intercensal/ENIGH); Intercensal 2015 es la unica ola de este instrumento en corpus abierta (Censo 2020 RESERVADO).	ASTRA5-U0-FAM-035
GENOMICA	PEW	SIN-OLA-CASADA	1	NO-CONSTRUIBLE	0	1	0		ASTRA5-U0-GENOM-029=NO-CONSTRUIBLE[SIN-VEREDICTO]: No es item de encuesta de opinion sino agregado demografico censal de EEUU; el corpus PEW de este acto es unicamente Global Attitudes Survey Mexico (opinion), sin series de conteo poblacional de EEUU. Ver nocons-g2.tsv.	ASTRA5-U0-GENOM-029
JUVENTUD	ENOE	SIN-OLA-CASADA	1	MEDIDO	1	0	0	CALC-ENOE-PARTICIPACION-2024T4-0001	ASTRA5-U0-FAM-016=MEDIDO[MATIZA]	ASTRA5-U0-FAM-016
JUVENTUD	ENSANUT	SIN-OLA-CASADA	1	NO-CONSTRUIBLE	0	1	0		ASTRA5-U0-SALMEN-038=NO-CONSTRUIBLE[SIN-VEREDICTO]: no hay reactivo de uso de redes sociales/tiempo de pantalla en el cuestionario de adolescentes de ENSANUT 2021-2024; la lista cerrada de conductas (lista-cerrada-P1.md §2) solo trae IDEACION-SUICIDA-ADOLESCENTES (d0817) para ese archivo	ASTRA5-U0-SALMEN-038
MIGRACION	PEW	SIN-OLA-CASADA	1	NO-CONSTRUIBLE	0	1	0		ASTRA5-U0-MIGR-042=NO-CONSTRUIBLE[SIN-VEREDICTO]: Estimacion demografica de poblacion indocumentada (Pew/MPI), no item de opinion encuestado; el corpus PEW de este acto (GAS Spring2024) es encuesta de opinion en Mexico, no censo/estimacion de indocumentados en EEUU. Ver nocons-g2.tsv.	ASTRA5-U0-MIGR-042
