resultado_id	consumidor	tipo_uso	valor_legacy	veredicto_relevo_usos_al_derivar	via	calc_gen2	result_gen2	estado	razon
RES-0014	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	conducta_p_derivado	0.858959	DISCREPANCIA-CON-ADOPTADO	iii-DERIVADO-DE-GEN2	CALC-ENCIG-0001-COMPLEMENTOS-DERIVADO-0001	RESULT-ENCIGDER-B-PRE-SD-Q	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0016	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	conducta_p_derivado	0.970132	DISCREPANCIA-CON-ADOPTADO	iii-DERIVADO-DE-GEN2	CALC-ENCIG-0001-COMPLEMENTOS-DERIVADO-0001	RESULT-ENCIGDER-B-DIG-SD-Q	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0017	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:rechaza_servicio	conducta_p_asignado	0.91	SIN-CANDIDATO	RESIDUO			DIFERIDO-A:GEN2-RELEVO-MOTOR-34-2-CAJA	ASIGNADO sin ninguna medición GEN2 en la regla (fuente validación CoDi); exige CALC nuevo desde microdato en CAJA
RES-0018	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:adopta	conducta_p_asignado	0.09	SIN-CANDIDATO	RESIDUO			DIFERIDO-A:GEN2-RELEVO-MOTOR-34-2-CAJA	ASIGNADO sin ninguna medición GEN2 en la regla (fuente validación CoDi); exige CALC nuevo desde microdato en CAJA
RES-0019	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta	conducta_p_asignado	0.71	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	ASIGNADO sin estimando declarado; la regla ya trae conductas GEN2 medidas, pero emitir_binaria devuelve este par (tramite.yaml:65-67); cambiar qué devuelve es semántica del motor, no relevo
RES-0020	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio	conducta_p_asignado	0.29	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	ASIGNADO sin estimando declarado; la regla ya trae conductas GEN2 medidas, pero emitir_binaria devuelve este par (tramite.yaml:65-67); cambiar qué devuelve es semántica del motor, no relevo
RES-0022	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	conducta_p_medido	0.326607	DISCREPANCIA-CON-ADOPTADO	iii-DERIVADO-DE-GEN2	CALC-ENCIG-0001-COMPLEMENTOS-DERIVADO-0001	RESULT-ENCIGDER-C-Q	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0023	milpa/tramite.yaml:tramite.evasion_norma:evade_norma	conducta_p_asignado	0.66	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	ASIGNADO sin estimando declarado; la regla ya trae conductas GEN2 medidas, pero emitir_binaria devuelve este par (tramite.yaml:65-67); cambiar qué devuelve es semántica del motor, no relevo
RES-0024	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma	conducta_p_asignado	0.34	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	ASIGNADO sin estimando declarado; la regla ya trae conductas GEN2 medidas, pero emitir_binaria devuelve este par (tramite.yaml:65-67); cambiar qué devuelve es semántica del motor, no relevo
RES-0029	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	conducta_p_medido	0.174804	SIN-CANDIDATO	RESIDUO			DIFERIDO-A:GEN2-RELEVO-MOTOR-34-2-CAJA	GEN1 de ENNViH/MxFLS olas 2-3 sin CALC (E.1: re-medir desde crudo); payloads ennvih2_2005_*/ennvih3_2009_* en el manifiesto
RES-0030	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	conducta_p_medido	0.825196	SIN-CANDIDATO	RESIDUO			DIFERIDO-A:GEN2-RELEVO-MOTOR-34-2-CAJA	GEN1 de ENNViH/MxFLS olas 2-3 sin CALC (E.1: re-medir desde crudo); payloads ennvih2_2005_*/ennvih3_2009_* en el manifiesto
RES-0039	milpa/tramite.yaml:civico.denuncia.con_seguro:denuncia	conducta_p_medido	0.7909	YA-ADOPTADO	i-CRUDO	CALC-ENVIPE-DENUNCIA-SEGURO-0001	RESULT-ENVIPE-SEG-CON-P-DENUNCIA	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0040	milpa/tramite.yaml:civico.denuncia.con_seguro:no_denuncia	conducta_p_medido	0.2091	YA-ADOPTADO	i-CRUDO	CALC-ENVIPE-DENUNCIA-SEGURO-0001	RESULT-ENVIPE-SEG-CON-P-NO-DENUNCIA	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0041	milpa/tramite.yaml:civico.denuncia.sin_seguro:denuncia	conducta_p_medido	0.672	YA-ADOPTADO	i-CRUDO	CALC-ENVIPE-DENUNCIA-SEGURO-0001	RESULT-ENVIPE-SEG-SIN-P-DENUNCIA	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0042	milpa/tramite.yaml:civico.denuncia.sin_seguro:no_denuncia	conducta_p_medido	0.328	YA-ADOPTADO	i-CRUDO	CALC-ENVIPE-DENUNCIA-SEGURO-0001	RESULT-ENVIPE-SEG-SIN-P-NO-DENUNCIA	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0050	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_minimo	conducta_p_medido	0.345267	LISTADO-PARA-MESA	RESIDUO	CALC-L8-CONVERSION-0001		DIFERIDO-A:GEN2-RELEVO-MOTOR-34-2-CAJA	CALC-L8-CONVERSION-0001 reproduce pero ingiere data/l8-resultados-tipo-boleta-v1_0.json (origen repo, número GEN1): por 4.1 no releva; re-medir desde cómputos crudos
RES-0051	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_maximo	conducta_p_medido	0.750567	LISTADO-PARA-MESA	RESIDUO	CALC-L8-CONVERSION-0001		DIFERIDO-A:GEN2-RELEVO-MOTOR-34-2-CAJA	CALC-L8-CONVERSION-0001 reproduce pero ingiere data/l8-resultados-tipo-boleta-v1_0.json (origen repo, número GEN1): por 4.1 no releva; re-medir desde cómputos crudos
RES-0052	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_media	conducta_p_medido	0.619867	LISTADO-PARA-MESA	RESIDUO	CALC-L8-CONVERSION-0001		DIFERIDO-A:GEN2-RELEVO-MOTOR-34-2-CAJA	CALC-L8-CONVERSION-0001 reproduce pero ingiere data/l8-resultados-tipo-boleta-v1_0.json (origen repo, número GEN1): por 4.1 no releva; re-medir desde cómputos crudos
RES-0165	milpa/src/celdas.py:CORTES_C1:formalidad	corte_pi	('segsoc=1', 'segsoc=2')	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	partición categórica sellada (milpa/src/celdas.py:CORTES_C1, ADR-537 / ADR-100(2)); no hay RESULT numérico que la releve y reclasificarla fuera del contador es tocar el contador
RES-0166	milpa/src/celdas.py:CORTES_C1:edad	corte_pi	('18-29', '30-44', '45-59', '60+')	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	partición categórica sellada (milpa/src/celdas.py:CORTES_C1, ADR-537 / ADR-100(2)); no hay RESULT numérico que la releve y reclasificarla fuera del contador es tocar el contador
RES-0167	milpa/src/celdas.py:CORTES_C1:urbanizacion	corte_pi	('1', '2', '3', '4')	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	partición categórica sellada (milpa/src/celdas.py:CORTES_C1, ADR-537 / ADR-100(2)); no hay RESULT numérico que la releve y reclasificarla fuera del contador es tocar el contador
RES-0168	milpa/src/celdas.py:CORTES_C1:ingreso	corte_pi	('1', '2', '3', '4')	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	partición categórica sellada (milpa/src/celdas.py:CORTES_C1, ADR-537 / ADR-100(2)); no hay RESULT numérico que la releve y reclasificarla fuera del contador es tocar el contador
RES-0169	milpa/src/celdas.py:CORTES_C1:acceso_digital	corte_pi	('1', '2')	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	partición categórica sellada (milpa/src/celdas.py:CORTES_C1, ADR-537 / ADR-100(2)); no hay RESULT numérico que la releve y reclasificarla fuera del contador es tocar el contador
RES-0170	milpa/src/celdas.py:CORTES_C1:migracion	corte_pi	NO-DECLARADO-EN-EL-REGISTRO	SIN-CANDIDATO	RESIDUO			DECISIÓN-DE-MESA-PENDIENTE	partición categórica sellada (milpa/src/celdas.py:CORTES_C1, ADR-537 / ADR-100(2)); no hay RESULT numérico que la releve y reclasificarla fuera del contador es tocar el contador
