calc	papel	archivos	sello_sha256	result_n	ee_n	replicas_validas_n	vectores_json	textos_largos	vector_delta_pareado
CALC-DUELO-ENVIPE2026-EMISIONES-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	d3f34fcf61b7e3b66df91d9c50ec50950570bdc6c07f7b36f7e1c922470a038e	762	0	0	0		NO-ARCHIVADO
CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	COMPARACION	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	4be804b2eb188c15e31648d637d32e040e1c0e453ff3f89d702957f01b6112ed	498	16	22	0		NO-ARCHIVADO
CALC-ENCIG-DUELO-2025-EDADXSEXO-EMISIONES-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	f56b0201c31d28a34ae87429fd8d7fc660c988c95c3cac77d7737ea519fd8c63	221	24	0	0		NO-ARCHIVADO
CALC-ENCIG-DUELO-2025-ESCOLARIDADXSEXO-EMISIONES-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	e3d84557e5170fbd67f0202d346c515455f1f91eb12a9be5526e21c3077ac3e2	221	24	0	0		NO-ARCHIVADO
CALC-ENCIG2021-CRUCES-HISTORICOS-0003	INPUT-SELLADO	ejecucion.json;resultados.json;sello.json;sello.sha256;spec.yaml	6c6b594d76f3a7ef79f10b391aa3296ed2f297ec025623003e9f5216124d2e4a	576	64	32	0		NO-ARCHIVADO
CALC-ENCIG2023-CRUCES-HISTORICOS-0002	INPUT-SELLADO	ejecucion.json;resultados.json;sello.json;sello.sha256;spec.yaml	b0476ca5a461ee38fe545b69bf82b9ec8225103b283f6a9d4a48204932cb3772	580	64	32	0		NO-ARCHIVADO
CALC-ENIGH-DUELO-ADJUDICACION-0001	COMPARACION	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	ef803f73b12539485e81cf25fedafe4dcc652c631152a3b48f5567ec12a85942	55	0	0	0		NO-ARCHIVADO
CALC-ENIGH-DUELO-EMISIONES-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.md;spec.yaml	a4748655460580f32affe3e540880cdd6b62e2a5bfd5a6c75c196a8cca9f3314	12	0	0	0		NO-ARCHIVADO
CALC-ENIGH-DUELO-ORIGEN-MOVIL-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.md;spec.yaml	5e0fd83fbf5449cea004060ec1d104b34870532e0ad616ddf9b91c438cb710bf	27	0	0	0	RESULT-ENIGHDM-POR-OLA-JSON;RESULT-ENIGHDM-RESUMEN-JSON	NO-ARCHIVADO
CALC-GOB-DIGITAL-EXE-ADJUDICACION-0001	COMPARACION	adjudicacion.py;ejecucion.json;resultados.json;sello.json;sello.sha256;spec.yaml	0983028a1f045363bf9c3a6585ea996d30eefbd845432bc961d4ab3dab523e9a	349	18	18	0		NO-ARCHIVADO
CALC-GOB-DIGITAL-EXE-EMISIONES-0002	INPUT-SELLADO	ejecucion.json;fp399-firmada-826bf3a1.tsv;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	c04598b22f310fd3de1e8aaee6a84fc9c8d334aab51ca960686564e1a82c8eb3	565	57	57	0		NO-ARCHIVADO
CALC-TRA-EVADE-NORMA-CRUCES-ENCOGIDA-ARBITRO-CRUCES-0001	COMPARACION	adjudicacion.py;ejecucion.json;resultados.json;sello.json;sello.sha256;spec.yaml	65d6d2d0745ce87297b543d6381b872b09f104a66ce36ce7267aa39778dd6723	685	38	0	0		NO-ARCHIVADO
CALC-TRA-EVADE-NORMA-CRUCES-ENCOGIDA-EMISIONES-0001	INPUT-SELLADO	ejecucion.json;firmas-firmadas-445531a3.tsv;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	c1f8e61c01220a41a4ab53cc30bd29e652f74649a26098bcb70627ee72582110	1130	76	0	0		NO-ARCHIVADO
