programa	ola	url	archivo	formato	tamano	licencia_acceso	nota
CONEVAL	Programas de cálculo MMP 2022 (Python/R/STATA)	https://www.coneval.org.mx/Medicion/MP/Documents/MMP_2022/Programas_calculo/STATA_MMP_2022.zip	STATA_MMP_2022.zip	zip (código de cálculo, no microdato)	NO-CONFIRMADO-POR-COMANDO: HEAD reportó Content-Length 1915 idéntico para 6 URLs distintas (probable artefacto del proxy/CDN), y el GET falló repetidamente con 'SSL_read: unexpected eof' en este sandbox	REGISTRO-NO-REQUERIDO (enlace público)	Enlace tomado de crudo/coneval-programas-bd-2022.html (resuelto contra https://www.coneval.org.mx). CONEVAL no distribuye la base de microdatos ENIGH/MCS-ENIGH (eso es INEGI, fuera de este inventario); solo distribuye programas de cálculo de pobreza y tablas de resultados agregados. HEAD via curl -sS -I -L dio HTTP 200 pero Content-Length=1915 igual para STATA/R/Python 2022 y para 2016/2018/2020, lo que sugiere una página intermedia o artefacto de proxy, no el tamaño real del zip; no se pudo confirmar por GET (curl 56, TLS EOF) pese a --retry 3. Tratar tamaño como no confirmado.
CONEVAL	Programas de cálculo MMP 2016	https://www.coneval.org.mx/Medicion/MP/Documents/Programas_calculo_pobreza_MMP_16/STATA_MMP_2016.zip	STATA_MMP_2016.zip	zip (código, no microdato)	NO-CONFIRMADO-POR-COMANDO (ver nota MMP 2022)	REGISTRO-NO-REQUERIDO (enlace público)	Enlace en crudo/coneval-programas-bd-2022.html. Mismo patrón HEAD=200/1915 y GET con error TLS que en la fila MMP 2022.
CONEVAL	Programas de cálculo MMP 2018	https://www.coneval.org.mx/Medicion/MP/Documents/Programas_calculo_pobreza_MMP_18/STATA_MMP_2018.zip	STATA_MMP_2018.zip	zip (código, no microdato)	NO-CONFIRMADO-POR-COMANDO (ver nota MMP 2022)	REGISTRO-NO-REQUERIDO (enlace público)	Enlace en crudo/coneval-programas-bd-2022.html. Mismo patrón HEAD=200/1915 que la fila MMP 2022.
CONEVAL	Programas de cálculo MMP 2020	https://www.coneval.org.mx/Medicion/MP/Documents/Programas_calculo_pobreza_MMP_20/STATA_MMP_2020.zip	STATA_MMP_2020.zip	zip (código, no microdato)	NO-CONFIRMADO-POR-COMANDO (ver nota MMP 2022)	REGISTRO-NO-REQUERIDO (enlace público)	Enlace en crudo/coneval-programas-bd-2022.html. Mismo patrón HEAD=200/1915 que la fila MMP 2022.
CONEVAL	Cambios pobreza 2008-2018 (resultados)	https://www.coneval.org.mx/Medicion/MP/Documents/Pobreza_18/Cambios_pobreza_pobreza_extrema_2008_2018.zip	Cambios_pobreza_pobreza_extrema_2008_2018.zip	zip de xlsx (resultados agregados, no microdato)	NO-CONFIRMADO-POR-COMANDO: no se hizo HEAD específico por límite de tiempo	REGISTRO-NO-REQUERIDO (enlace público)	Enlace tomado de crudo/coneval-pobreza-2018.html (HTTP 200, fetch confirmado). Son tablas de resultados de pobreza por entidad/año, no microdatos de hogar.
CONEVAL	Cambios pobreza 2016-2020 (resultados)	https://www.coneval.org.mx/Medicion/MP/Documents/MMP_2018_2020/Evol_pob_pob_ext_nac_ent_2016_2020.zip	Evol_pob_pob_ext_nac_ent_2016_2020.zip	zip de xlsx (resultados agregados)	NO-CONFIRMADO-POR-COMANDO	REGISTRO-NO-REQUERIDO (enlace público)	Enlace tomado de crudo/coneval-pobreza_2020.html (HTTP 200, fetch confirmado).
CONEVAL	Cambios pobreza 2010-2016 (resultados)	https://www.coneval.org.mx/Medicion/MP/Documents/Pobreza_16/Cambios_pobreza_pobreza_extrema_2010_2016.zip	Cambios_pobreza_pobreza_extrema_2010_2016.zip	zip de xlsx (resultados agregados)	NO-CONFIRMADO-POR-COMANDO	REGISTRO-NO-REQUERIDO (enlace público)	Enlace tomado de crudo/coneval-pobreza_2016.html (HTTP 200, fetch confirmado).
CONEVAL	Cambios pobreza 2010-2014 (resultados)	https://www.coneval.org.mx/Medicion/MP/Documents/Pobreza_14/Cambios_pobreza_pobreza_extrema_2010_2014.zip	Cambios_pobreza_pobreza_extrema_2010_2014.zip	zip de xlsx (resultados agregados)	NO-CONFIRMADO-POR-COMANDO	REGISTRO-NO-REQUERIDO (enlace público)	Enlace tomado de crudo/coneval-pobreza_2014.html (HTTP 200, fetch confirmado).
CONEVAL	Cambios pobreza 2010-2012 (resultados)	http://www.coneval.org.mx/Informes/Pobreza/Estatal2012/NACIONAL_2010-2012/Cambios_pobreza_pobreza_extrema_Nac_Edos.zip	Cambios_pobreza_pobreza_extrema_Nac_Edos.zip	zip de xlsx (resultados agregados)	NO-CONFIRMADO-POR-COMANDO	REGISTRO-NO-REQUERIDO (enlace público)	Enlace tomado de crudo/coneval-pobreza-2012.html (HTTP 200, fetch confirmado).
CONEVAL	Pobreza 2022 (aviso)	https://www.coneval.org.mx/Medicion/MP/Paginas/Pobreza_2022.aspx	(landing, sin zip listado)	html	NO-APLICA	ACCESO-ABIERTO	Página fetchada (crudo/coneval-pobreza_2022.html, HTTP 200). No expone enlaces .zip/.xlsx directos en el HTML capturado (a diferencia de 2014/2016/2018/2020); el microdato de origen (MCS-ENIGH 2022) es de INEGI, fuera de este inventario. CONEVAL solo publica ahí notas técnicas en PDF.
BANXICO	Encuestas de expectativas del sector privado (agregado)	https://www.banxico.org.mx/publicaciones-y-prensa/encuestas-sobre-las-expectativas-de-los-especialis/encuestas-expectativas-del-sector-.html	(no aplica: series agregadas, no microdato)	xlsx/csv de series agregadas (no verificado por comando)	NO-APLICA	ACCESO-ABIERTO	Página fetchada (crudo/banxico-encuestas.html, HTTP 200, 291316B, <title>Encuestas de expectativas del sector privado...</title>). Es una encuesta de opinión de especialistas publicada como series de tiempo agregadas vía el SIE (Sistema de Información Económica), no como microdato de unidades/individuos; no hay archivo de microdatos por respondiente. crudo/banxico-cf861.html corresponde a un cuadro SIE (serie CF861) también agregado.
BANXICO	índice de encuestas (ruta antigua)	https://www.banxico.org.mx/encuestas.html	(404)	—	NO-APLICA	N/A	crudo/banxico-encuestas-index.html devolvió cuerpo 'The resource you are looking for has been removed...' (soft-404 de 103 bytes). No usar esta ruta; la vigente es la de la fila anterior.
CNBV	Portafolio de Información (portal)	https://portafolioinfo.cnbv.gob.mx/Paginas/Inicio.aspx	(portal, requiere navegación/consulta por tabla dinámica; sin archivo único de microdatos)	html/consulta interactiva	NO-APLICA	ACCESO-ABIERTO pero sin descarga de microdato individual: es un tablero de indicadores agregados por institución financiera	crudo/cnbv-portafolioinfo.html capturó un 302 'Object Moved' hacia esta URL (confirmado por curl -L). El Portafolio de Información de CNBV publica series agregadas por entidad supervisada (bancos, sofomes, etc.), no microdatos de personas/hogares; no corresponde a una encuesta con microdato individual como ENIF (que es INEGI). NO-CONFIRMADO-POR-COMANDO: no se navegó el portal interactivo (requiere JS) para verificar si existe algún dataset descargable adicional.
LATINOBAROMETRO	Bancos de datos 1995-2024 (todas las olas)	https://www.latinobarometro.org/latContents.jsp	(requiere login para descargar SPSS/Stata por ola)	sav/dta (declarado en el sitio, no verificado archivo por archivo)	REGISTRO-REQUERIDO: formulario de registro/login en https://www.latinobarometro.org/latOnline.jsp	REGISTRO-REQUERIDO: login obligatorio antes de descargar	Páginas fetchadas: crudo/latinobarometro-contents.html (HTTP 200, 18274B, <title>Latinobarómetro</title>), crudo/latinobarometro-documentacion-datos.html (16182B, <title>Documentación y Datos</title>) y crudo/latinobarometro-online.html (18274B) que expone href='documentacion-datos' y el acceso 'Banco de Datos en Línea' (latOnline.jsp), el cual exige crear una cuenta (usuario/contraseña) antes de poder elegir país/ola y bajar el archivo. Receta: (1) crear cuenta en latOnline.jsp con correo institucional; (2) iniciar sesión; (3) en el módulo de análisis en línea, seleccionar México y el año/ola deseada (1995,1996,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2013,2015,2016,2017,2018,2020,2023,2024 según disponibilidad); (4) exportar/descargar el archivo SPSS o Stata generado para esa selección; no existe URL de archivo estático pública sin sesión.
LAPOP	AmericasBarometer México 2004-2023 (todas las rondas)	https://www.vanderbilt.edu/lapop/raw-data.php	(requiere solicitud de acceso vía CGD/Vanderbilt, no URL de archivo directa confirmada)	dta/sav (declarado, no verificado archivo por archivo)	REGISTRO-REQUERIDO: acceso vía cuenta institucional en https://www.vanderbilt.edu/cgd/wp-login.php	REGISTRO-REQUERIDO	Páginas fetchadas: crudo/lapop-free-access.html y crudo/lapop-raw-data.html (HTTP 200, 147397B, <title>Data Access | Center for Global Democracy...</title>) contienen un enlace directo a 'https://www.vanderbilt.edu/cgd/wp-login.php?redirect_to=...' para acceder a los datos, y texto de términos de uso ('violates CGD/LAPOP Lab's user agreement') que confirma que el acceso a bases de datos completas requiere iniciar sesión con una cuenta CGD. crudo/lapop-mexico.html (143087B) lista publicaciones sobre México pero no un archivo descargable directo. crudo/lapop-am-datasets.html, lapop-datasets.html, lapop-americasbarometer.html y lapop-mexico2.html devolvieron 'Page Not Found | Vanderbilt University' (URLs de rutas antiguas ya movidas; no usar). Receta: crear/usar cuenta CGD en wp-login.php, luego navegar al módulo de descarga de bases por país/ronda (Mexico, rondas 2004,2006,2008,2010,2012,2014,2016/17,2018/19,2021,2023) y bajar el .dta/.sav correspondiente; no hay URL de archivo público sin sesión confirmada por este fetch.
WVS	World Values Survey México, oleadas 1-7	https://www.worldvaluessurvey.org/WVSContents.jsp	(requiere formulario de registro antes de la descarga)	sav/dta/csv (declarado en el sitio, no verificado archivo por archivo)	REGISTRO-REQUERIDO: formulario de registro en https://www.worldvaluessurvey.org/WVSContents.jsp (sección Data & Documentation)	REGISTRO-REQUERIDO	Páginas fetchadas: crudo/wvs-contents.html (HTTP 200, 29101B, <title>WVS Database</title>) y crudo/wvs-documentation-wvl.html (13793B, <title>WVS Database</title>). No se hallaron enlaces .zip/.sav/.dta directos en el HTML capturado (el listado de oleadas y el formulario de descarga se cargan de forma interactiva dentro del portal); es de conocimiento público y consistente con el patrón del sitio que la descarga de la base integrada (Longitudinal) y por oleada exige registrarse con nombre, correo y propósito de uso antes de habilitar el botón de descarga. Receta: registrarse en el formulario de 'Data & Documentation' del WVS, seleccionar 'Wave 1' a 'Wave 7' y filtrar México (código de país 484), descargar el archivo SPSS/Stata/CSV correspondiente.
EVS	European/World Values Survey México (dentro de EVS-WVS Joint / oleadas históricas EVS con México)	https://www.worldvaluessurvey.org/WVSContents.jsp	(mismo portal y barrera que WVS)	sav/dta/csv (no verificado archivo por archivo)	REGISTRO-REQUERIDO: mismo formulario que WVS	REGISTRO-REQUERIDO	NO-CONFIRMADO-POR-COMANDO: no se intentó un fetch específico a evs.eui.eu (la EVS clásica europea no incluye México como país encuestado en la mayoría de sus rondas; México participa vía el EVS-WVS Joint dataset, servido en el mismo portal de WVS ya fetchado arriba). Verificar en la mesa si se requiere una fila separada para evs.eui.eu.
CEEY_EMOVI	EMOVI 2011	https://ceey.org.mx/contenido/que-hacemos/emovi-pre/	(requiere llenar formulario)	dta/sav (declarado, no verificado archivo por archivo)	REGISTRO-REQUERIDO: formulario en https://ceey.org.mx/contenido/que-hacemos/emovi-pre/	REGISTRO-REQUERIDO: formulario para descargar cuestionario y bases	Página fetchada crudo/ceey-emovi-pre.html (HTTP 200, 268084B) contiene el texto literal 'Llena el formulario y descarga el cuestionario y bases de datos de la ESRU-EMOVI'. crudo/ceey-emovi.html (HTTP 200, 315109B) es la página general de EMOVI y solo expone un PDF público (Nota-sobre-la-regionalización-ESRU-EMOVI-2017.pdf), no las bases. Receta: en emovi-pre, llenar el formulario (nombre, correo, institución, uso) para cada ola (2006 EMOVI original si aplica, 2011, 2017, 2023) y recibir el enlace/zip de la base en SPSS/Stata.
CEEY_EMOVI	EMOVI 2017	https://ceey.org.mx/contenido/que-hacemos/emovi-pre/	(requiere llenar formulario)	dta/sav (declarado, no verificado archivo por archivo)	REGISTRO-REQUERIDO: mismo formulario	REGISTRO-REQUERIDO	Mismo formulario y receta que la fila EMOVI 2011 (crudo/ceey-emovi-pre.html); el formulario cubre todas las olas mediante un selector, no hay URL diferenciada por año confirmada por este fetch.
CEEY_EMOVI	EMOVI 2023	https://ceey.org.mx/contenido/que-hacemos/emovi-pre/	(requiere llenar formulario)	dta/sav (declarado, no verificado archivo por archivo)	REGISTRO-REQUERIDO: mismo formulario	REGISTRO-REQUERIDO	Mismo formulario y receta que la fila EMOVI 2011 (crudo/ceey-emovi-pre.html).
PEW	Religion in Latin America 2014 (dataset de microdatos)	https://www.pewresearch.org/religion/dataset/religion-in-latin-america-2014-dataset/	(bloqueado por Cloudflare al fetch automatizado)	sav/spss (declarado en el sitio, no verificado)	REGISTRO-REQUERIDO: login/cuenta Pew Research en el mismo dataset page	REGISTRO-REQUERIDO además de bloqueo anti-bot	Página fetchada crudo/pew-religion-latam.html (HTTP 200 pero cuerpo de solo 4215 bytes con <title>Checking your browser...</title>), es decir un reto de Cloudflare (challenge page), no el contenido real: confirma que el sitio filtra tráfico automatizado además de exigir login para el dataset. Receta: abrir la URL en navegador real, iniciar sesión / crear cuenta gratuita de Pew Research Center, aceptar términos de uso de datos, y descargar el archivo SPSS del estudio 'Religion in Latin America' (2013-2014, incluye México) desde el botón de descarga del dataset.
