pr	sha	clase	senales	n_calc	n_archivos	clase_regla_seccion2	discrepa
919	f75f4185	REVISIÓN	-	0	2	REVISIÓN	NO
918	cb1945ff	REVISIÓN	-	0	2	REVISIÓN	NO
917	0840c009	APARATO	APARATO	0	17	APARATO	NO
916	436d17a8	ADOPTA	ADOPTA,FIRMA	1	24	ADOPTA	NO
915	be53e6f4	ADOPTA	ADOPTA,FIRMA	1	23	ADOPTA	NO
914	b7164889	FIRMA	FIRMA	0	16	FIRMA	NO
913	8b7b0562	REVISIÓN	-	0	4	REVISIÓN	NO
912	89986f28	APARATO	APARATO	0	8	APARATO	NO
911	adcfa978	ADOPTA	ADOPTA,FIRMA	1	21	ADOPTA	NO
910	62bcba92	REVISIÓN	-	0	3	REVISIÓN	NO
909	1bb9e2c4	REVISIÓN	-	0	2	REVISIÓN	NO
908	8a842afc	REVISIÓN	-	0	13	REVISIÓN	NO
907	a51f4da6	REVISIÓN	-	0	8	REVISIÓN	NO
906	b7d9b8b4	REVISIÓN	-	0	5	REVISIÓN	NO
905	613d50ba	REVISIÓN	-	0	11	REVISIÓN	NO
904	19b0e2b0	REVISIÓN	-	0	8	REVISIÓN	NO
903	fb485921	FIRMA	FIRMA	0	15	FIRMA	NO
902	7a2d77f4	APARATO	APARATO	0	8	APARATO	NO
901	a92126f0	APARATO	APARATO	0	10	APARATO	NO
900	66176c96	ADOPTA	ADOPTA,FIRMA	2	40	ADOPTA	NO
899	be30e6c1	ADOPTA	ADOPTA,FIRMA	2	35	ADOPTA	NO
898	4dedab48	ADOPTA	ADOPTA,FIRMA	2	18	ADOPTA	NO
897	fef26af9	ADOPTA	ADOPTA,FIRMA	3	55	ADOPTA	NO
896	ca8a8c7c	ADOPTA	ADOPTA,FIRMA	2	32	ADOPTA	NO
895	15f321d5	FIRMA	FIRMA	0	10	FIRMA	NO
894	eb749145	REVISIÓN	-	0	9	REVISIÓN	NO
893	752dc3f2	ADOPTA	ADOPTA,FIRMA	1	16	ADOPTA	NO
892	a814b2c4	ADOPTA	ADOPTA,FIRMA	1	25	ADOPTA	NO
891	4bda996f	ADOPTA	ADOPTA,FIRMA,APARATO	2	27	ADOPTA	NO
890	2799fc41	ADOPTA	ADOPTA,FIRMA	1	16	ADOPTA	NO
889	e4ec3840	ADOPTA	ADOPTA,FIRMA,APARATO	1	29	ADOPTA	NO
888	93637b6a	REVISIÓN	-	0	10	REVISIÓN	NO
887	6f365928	ADOPTA	ADOPTA,FIRMA	2	34	ADOPTA	NO
886	f7909dbc	REVISIÓN	-	0	6	REVISIÓN	NO
885	97a1fae3	APARATO	APARATO	0	9	APARATO	NO
884	ea88cb3b	REVISIÓN	-	0	2	REVISIÓN	NO
883	51d53f2a	ADOPTA	ADOPTA,FIRMA	1	22	ADOPTA	NO
882	bc00d501	ADOPTA	ADOPTA,FIRMA	1	14	ADOPTA	NO
881	e34f486d	ADOPTA	ADOPTA,FIRMA	1	25	ADOPTA	NO
880	00661efb	FIRMA	FIRMA,APARATO	0	13	FIRMA	NO
879	abea4679	ADOPTA	ADOPTA,FIRMA	1	21	ADOPTA	NO
878	503e5a7b	FIRMA	FIRMA,APARATO	0	8	FIRMA	NO
877	3eaa48a3	ADOPTA	ADOPTA,FIRMA	2	26	ADOPTA	NO
876	4afeca73	ADOPTA	ADOPTA,FIRMA	1	33	ADOPTA	NO
874	03ac4e9b	FIRMA	FIRMA	0	13	FIRMA	NO
873	8e455bd6	FIRMA	FIRMA,APARATO	0	18	FIRMA	NO
872	33650571	FIRMA	FIRMA	0	11	FIRMA	NO
871	b0610607	ADOPTA	ADOPTA,FIRMA,APARATO	3	47	ADOPTA	NO
870	3e39509f	ADOPTA	ADOPTA,FIRMA	1	25	ADOPTA	NO
869	8dddb51a	ADOPTA	ADOPTA,FIRMA,APARATO	1	23	ADOPTA	NO
867	843a5f97	REVISIÓN	-	0	9	REVISIÓN	NO
866	782293a3	ADOPTA	ADOPTA,FIRMA	4	40	ADOPTA	NO
865	7453f513	FIRMA	FIRMA,APARATO	0	14	FIRMA	NO
864	09681abe	REVISIÓN	-	0	0	REVISIÓN	NO
863	6085c741	REVISIÓN	-	0	5	REVISIÓN	NO
862	5e2a05e5	REVISIÓN	-	0	2	REVISIÓN	NO
861	a3b137de	REVISIÓN	-	0	1	REVISIÓN	NO
860	9eff694e	APARATO	APARATO	0	11	APARATO	NO
859	2f39129a	REVISIÓN	-	0	0	REVISIÓN	NO
858	79555093	ADOPTA	ADOPTA,FIRMA,APARATO	2	31	ADOPTA	NO
857	9207cb20	FIRMA	FIRMA,APARATO	0	10	FIRMA	NO
856	bc243161	REVISIÓN	-	0	7	REVISIÓN	NO
855	89610c54	APARATO	APARATO	0	7	APARATO	NO
854	3d3f336f	APARATO	APARATO	0	9	APARATO	NO
853	e46e7e44	REVISIÓN	-	0	4	REVISIÓN	NO
852	80efb751	REVISIÓN	-	0	2	REVISIÓN	NO
851	fe3a7459	REVISIÓN	-	0	2	REVISIÓN	NO
850	67fa97e1	REVISIÓN	-	0	2	REVISIÓN	NO
849	b5ddea0b	ADOPTA	ADOPTA,FIRMA,APARATO	2	115	ADOPTA	NO
848	8d2a9850	FIRMA	FIRMA,APARATO	0	14	FIRMA	NO
847	f95f93e4	FIRMA	FIRMA,APARATO	0	11	FIRMA	NO
846	1746e1a0	FIRMA	FIRMA,APARATO	0	12	FIRMA	NO
844	1156bc23	FIRMA	FIRMA	0	12	FIRMA	NO
843	d57aaadc	REVISIÓN	-	0	10	REVISIÓN	NO
842	4a266eab	ADOPTA	ADOPTA,FIRMA	1	15	ADOPTA	NO
841	66d3065d	REVISIÓN	-	0	5	REVISIÓN	NO
840	2c149f58	REVISIÓN	-	0	13	REVISIÓN	NO
839	14ac4f19	ADOPTA	ADOPTA,FIRMA	1	14	ADOPTA	NO
838	4273a3a6	ADOPTA	ADOPTA,FIRMA	2	19	ADOPTA	NO
837	1e8cbc5f	ADOPTA	ADOPTA,FIRMA	1	16	ADOPTA	NO
836	402d1a3d	ADOPTA	ADOPTA,FIRMA	1	19	ADOPTA	NO
835	32071a5c	REVISIÓN	-	0	6	REVISIÓN	NO
834	1a6a530d	APARATO	APARATO	0	12	APARATO	NO
833	a8aff380	APARATO	APARATO	0	5	APARATO	NO
832	fe223a9d	ADOPTA	ADOPTA,FIRMA	1	15	ADOPTA	NO
831	e4f5f771	ADOPTA	ADOPTA,FIRMA	1	10	ADOPTA	NO
830	b556a222	ADOPTA	ADOPTA,FIRMA	1	10	ADOPTA	NO
829	d8ffe710	REVISIÓN	-	0	14	REVISIÓN	NO
828	85a2e77a	REVISIÓN	-	0	9	REVISIÓN	NO
827	01895626	FIRMA	FIRMA,APARATO	0	22	FIRMA	NO
826	d07c1d06	ADOPTA	ADOPTA,FIRMA	1	12	ADOPTA	NO
825	4fff914f	APARATO	APARATO	0	8	APARATO	NO
824	a3cbc07b	REVISIÓN	-	0	4	REVISIÓN	NO
823	9dffd645	APARATO	APARATO	0	6	APARATO	NO
822	d69eed1c	FIRMA	FIRMA,APARATO	0	19	FIRMA	NO
821	10afea15	REVISIÓN	-	0	1	REVISIÓN	NO
820	b881ee69	FIRMA	FIRMA,APARATO	0	11	FIRMA	NO
819	6a6ef582	APARATO	APARATO	0	13	APARATO	NO
818	2a544e96	REVISIÓN	-	0	3	REVISIÓN	NO
817	13536163	REVISIÓN	-	0	1	REVISIÓN	NO
816	31afb186	REVISIÓN	-	0	1	REVISIÓN	NO
815	1366d65b	REVISIÓN	-	0	9	REVISIÓN	NO
814	14eaa1c9	APARATO	APARATO	0	15	APARATO	NO
813	84bd7fdd	APARATO	APARATO	0	16	APARATO	NO
812	842c2bfa	REVISIÓN	-	0	17	REVISIÓN	NO
811	09dcf7da	APARATO	APARATO	0	8	APARATO	NO
810	ce25695b	ADOPTA	ADOPTA,FIRMA	2	24	ADOPTA	NO
809	05977efa	FIRMA	FIRMA	0	8	FIRMA	NO
806	9fd59d06	APARATO	APARATO	0	14	APARATO	NO
804	737621d5	REVISIÓN	-	0	4	REVISIÓN	NO
803	622fae2a	REVISIÓN	-	0	12	REVISIÓN	NO
802	2725a2c3	REVISIÓN	-	0	1	REVISIÓN	NO
801	10f86175	APARATO	APARATO	0	7	APARATO	NO
800	3c0bb8ed	REVISIÓN	-	0	9	REVISIÓN	NO
799	6e213d46	FIRMA	FIRMA,APARATO	0	9	FIRMA	NO
798	3f736885	REVISIÓN	-	0	8	REVISIÓN	NO
797	a9eefeb2	REVISIÓN	-	0	6	REVISIÓN	NO
796	1fac27ab	REVISIÓN	-	0	11	REVISIÓN	NO
795	3880cf42	APARATO	APARATO	0	14	APARATO	NO
794	ce791364	REVISIÓN	-	0	9	REVISIÓN	NO
793	8fadc3b5	REVISIÓN	-	0	1	REVISIÓN	NO
792	b6245ba1	REVISIÓN	-	0	3	REVISIÓN	NO
791	8f9fb51f	ADOPTA	ADOPTA,FIRMA	1	16	ADOPTA	NO
790	48cb08c8	REVISIÓN	-	0	9	REVISIÓN	NO
789	0cdbd72c	ADOPTA	ADOPTA,FIRMA	7	55	ADOPTA	NO
788	eba9fd20	FIRMA	FIRMA	0	14	FIRMA	NO
787	aab1eed8	FIRMA	FIRMA	0	17	FIRMA	NO
786	60319673	REVISIÓN	-	0	1	REVISIÓN	NO
785	5973f121	FIRMA	FIRMA,APARATO	0	26	FIRMA	NO
784	4acdae27	REVISIÓN	-	0	2	REVISIÓN	NO
783	9b2d6031	REVISIÓN	-	0	1	REVISIÓN	NO
782	15423d08	APARATO	APARATO	0	16	APARATO	NO
781	81c7f63e	FIRMA	FIRMA,APARATO	0	23	FIRMA	NO
780	11f97490	REVISIÓN	-	0	2	REVISIÓN	NO
779	582d4e93	ADOPTA	ADOPTA,FIRMA	6	40	ADOPTA	NO
778	e8d44b78	REVISIÓN	-	0	2	REVISIÓN	NO
777	f33d981f	APARATO	APARATO	0	20	APARATO	NO
776	ca77b03b	FIRMA	FIRMA	0	13	FIRMA	NO
775	da9b47a3	FIRMA	FIRMA	0	24	FIRMA	NO
774	62faadbf	FIRMA	FIRMA	0	8	FIRMA	NO
773	b9839884	APARATO	APARATO	0	7	APARATO	NO
772	2e25e6ce	REVISIÓN	-	0	8	REVISIÓN	NO
771	f5a52272	REVISIÓN	-	0	4	REVISIÓN	NO
770	991a2763	FIRMA	FIRMA	0	5	FIRMA	NO
769	2558203d	REVISIÓN	-	0	1	REVISIÓN	NO
768	2f5cffee	REVISIÓN	-	0	2	REVISIÓN	NO
767	16c7a00f	REVISIÓN	-	0	4	REVISIÓN	NO
766	52873660	ADOPTA	ADOPTA,FIRMA	4	46	ADOPTA	NO
765	8838d9be	REVISIÓN	-	0	10	REVISIÓN	NO
764	ce16af3b	REVISIÓN	-	0	48	REVISIÓN	NO
763	a3ed97f5	REVISIÓN	-	0	1	REVISIÓN	NO
762	1fd42282	REVISIÓN	-	0	7	REVISIÓN	NO
761	7de3acb4	REVISIÓN	-	0	11	REVISIÓN	NO
760	016d3250	ADOPTA	ADOPTA,FIRMA	1	20	ADOPTA	NO
759	a29d873b	REVISIÓN	-	0	7	REVISIÓN	NO
758	2b502d5f	REVISIÓN	-	0	7	REVISIÓN	NO
757	4fedf1cf	ADOPTA	ADOPTA,FIRMA	4	41	ADOPTA	NO
756	22aa835b	REVISIÓN	-	0	12	REVISIÓN	NO
755	964cc8d9	REVISIÓN	-	0	4	REVISIÓN	NO
