slot	consumidor	tipo_uso	dictamen_propuesto	razon_individual	siguiente_operacion
RES-0080	milpa/procedencia.yaml:asignados_coeficiente:G5.radio_confianza	coeficiente_asignado	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_asignado en asignados_coeficiente:G5.radio_confianza; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0081	milpa/procedencia.yaml:asignados_coeficiente:G6.deferencia	coeficiente_asignado	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_asignado en asignados_coeficiente:G6.deferencia; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0082	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.informal_sin_puente	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:dinero.ahorro.informal_sin_puente; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0083	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0084	milpa/procedencia.yaml:asignados_probabilidad:dinero.planeacion.formal_estable	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:dinero.planeacion.formal_estable; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0085	milpa/procedencia.yaml:asignados_probabilidad:dinero.credito.scoring_alternativo	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:dinero.credito.scoring_alternativo; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0086	milpa/procedencia.yaml:asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0087	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.leve_sin_imss	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:salud.atencion.leve_sin_imss; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0088	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.grave	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:salud.atencion.grave; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0089	milpa/procedencia.yaml:asignados_probabilidad:salud.prevencion.hombre_sin_permiso	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:salud.prevencion.hombre_sin_permiso; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0090	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.discrecional	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:tramite.mordida.discrecional; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0091	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.con_registro	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:tramite.mordida.con_registro; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0092	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.coercitivo	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:tramite.gobierno_digital.coercitivo; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0093	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.util_sin_coercion	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:tramite.gobierno_digital.util_sin_coercion; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0094	milpa/procedencia.yaml:asignados_probabilidad:civico.denuncia.con_seguro	asignado_probabilidad	NO-HISTORICO-CONSUMO-POTENCIAL	asignado_probabilidad en asignados_probabilidad:civico.denuncia.con_seguro; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0097	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-01:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0098	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-01:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0099	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada CIV-M-01:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0102	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-02:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0103	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-02:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0104	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada CIV-M-02:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0107	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-04:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0108	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-04:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0109	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada CIV-M-04:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0112	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-10:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0113	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-10:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0114	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada CIV-M-10:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0117	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-12:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0118	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-12:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0119	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada CIV-M-12:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0122	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-13:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0123	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada CIV-M-13:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0124	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada CIV-M-13:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0126	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:M	celda_M	HISTORICO-SIN-RELEVO-PROPUESTO	celda_M de la celda retrospectiva sellada DIN-M-01:M; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0127	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada DIN-M-01:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0128	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada DIN-M-01:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0129	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada DIN-M-01:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0132	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada FAM-M-01:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0133	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada FAM-M-01:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0134	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada FAM-M-01:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0137	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada FAM-M-05:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0138	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada FAM-M-05:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0139	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada FAM-M-05:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0142	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada FAM-M-06:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0143	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada FAM-M-06:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0144	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:AGREGADO	celda_AGREGADO	HISTORICO-SIN-RELEVO-PROPUESTO	celda_AGREGADO de la celda retrospectiva sellada FAM-M-06:AGREGADO; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0147	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L-solo	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada FAM-M-07:L:L-solo; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0148	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L+corpus	celda_L	HISTORICO-SIN-RELEVO-PROPUESTO	celda_L de la celda retrospectiva sellada FAM-M-07:L:L+corpus; el marco congelado se conserva y no es parámetro de consumo nuevo del motor. No se reescribe ni se simula cita GEN2.	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
