slot	consumidor	tipo_uso	generacion_actual	valor_actual	estimando_requerido	calc_candidato	result_candidato	valor_candidato	veredicto	veredicto_sellado_ref	via_autorizada	replay_ref	firma_o_pin	siguiente_operacion	razon
RES-0014	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	conducta_p_derivado	LEGACY-GEN1	0.858959	tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-NORMAL-PRE-SD	0.8589592831275346	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS	C2-RESULTADO	CALC-ENCIG-0001--c3ae00e62e59		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO
RES-0016	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	conducta_p_derivado	LEGACY-GEN1	0.970132	tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-NORMAL-DIG-SD	0.9701324453733506	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS	C2-RESULTADO	CALC-ENCIG-0001--c3ae00e62e59		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO
RES-0017	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:rechaza_servicio	conducta_p_asignado	LEGACY-GEN1	0.91	tramite.gobierno_digital.coercitivo:rechaza_servicio				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0018	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:adopta	conducta_p_asignado	LEGACY-GEN1	0.09	tramite.gobierno_digital.coercitivo:adopta				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0019	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta	conducta_p_asignado	LEGACY-GEN1	0.71	tramite.gobierno_digital.util_sin_coercion:adopta				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0020	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio	conducta_p_asignado	LEGACY-GEN1	0.29	tramite.gobierno_digital.util_sin_coercion:rechaza_servicio				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0022	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	conducta_p_medido	LEGACY-GEN1	0.326607	tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	CALC-ENCIG-0001	RESULT-ENCIG-MOR-C-P-RECHAZA	0.32660696593382876	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS	C2-RESULTADO	CALC-ENCIG-0001--c3ae00e62e59		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO
RES-0023	milpa/tramite.yaml:tramite.evasion_norma:evade_norma	conducta_p_asignado	LEGACY-GEN1	0.66	tramite.evasion_norma:evade_norma				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0024	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma	conducta_p_asignado	LEGACY-GEN1	0.34	tramite.evasion_norma:cumple_norma				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0029	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	conducta_p_medido	LEGACY-GEN1	0.174804	dinero.ahorro.tiene_ahorros:tiene_ahorros				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0030	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	conducta_p_medido	LEGACY-GEN1	0.825196	dinero.ahorro.tiene_ahorros:no_tiene_ahorros				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA	CORR-SIN-CALC-DECLARADA
RES-0039	milpa/tramite.yaml:civico.denuncia.con_seguro:denuncia	conducta_p_medido	LEGACY-GEN1	0.7909	civico.denuncia.con_seguro:denuncia	CALC-ENVIPE-0001;CALC-ENVIPE-DENUNCIA-SEGURO-0001;CALC-EVASION-NORMA-0001;CALC-EVASION-NORMA-0001-v1_1			LISTADO-PARA-MESA	CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION	NINGUNA-ACREDITADA			FP-DE-IDENTIDAD-Y-PIN; SIN-AUTOADOPCION	veredicto sellado CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION = LISTADO-PARA-MESA-NO-REPRODUCE; la spec no fija que RESULT releva este slot -- falta el pin, no la corrida
RES-0040	milpa/tramite.yaml:civico.denuncia.con_seguro:no_denuncia	conducta_p_medido	LEGACY-GEN1	0.2091	civico.denuncia.con_seguro:no_denuncia	CALC-ENVIPE-0001;CALC-ENVIPE-DENUNCIA-SEGURO-0001;CALC-EVASION-NORMA-0001;CALC-EVASION-NORMA-0001-v1_1			LISTADO-PARA-MESA	CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION	NINGUNA-ACREDITADA			FP-DE-IDENTIDAD-Y-PIN; SIN-AUTOADOPCION	veredicto sellado CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION = LISTADO-PARA-MESA-NO-REPRODUCE; la spec no fija que RESULT releva este slot -- falta el pin, no la corrida
RES-0041	milpa/tramite.yaml:civico.denuncia.sin_seguro:denuncia	conducta_p_medido	LEGACY-GEN1	0.672	civico.denuncia.sin_seguro:denuncia	CALC-ENVIPE-0001;CALC-ENVIPE-DENUNCIA-SEGURO-0001;CALC-EVASION-NORMA-0001;CALC-EVASION-NORMA-0001-v1_1			LISTADO-PARA-MESA	CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION	NINGUNA-ACREDITADA			FP-DE-IDENTIDAD-Y-PIN; SIN-AUTOADOPCION	veredicto sellado CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION = LISTADO-PARA-MESA-NO-REPRODUCE; la spec no fija que RESULT releva este slot -- falta el pin, no la corrida
RES-0042	milpa/tramite.yaml:civico.denuncia.sin_seguro:no_denuncia	conducta_p_medido	LEGACY-GEN1	0.328	civico.denuncia.sin_seguro:no_denuncia	CALC-ENVIPE-0001;CALC-ENVIPE-DENUNCIA-SEGURO-0001;CALC-EVASION-NORMA-0001;CALC-EVASION-NORMA-0001-v1_1			LISTADO-PARA-MESA	CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION	NINGUNA-ACREDITADA			FP-DE-IDENTIDAD-Y-PIN; SIN-AUTOADOPCION	veredicto sellado CALC-ENVIPE-DENUNCIA-SEGURO-0001/RESULT-ENVIPE-SEG-ADOPCION = LISTADO-PARA-MESA-NO-REPRODUCE; la spec no fija que RESULT releva este slot -- falta el pin, no la corrida
RES-0050	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_minimo	conducta_p_medido	LEGACY-GEN1	0.345267	civico.participacion.concurrencia_presidencial_conversion:participa_p0_minimo	CALC-L8-CONVERSION-0001			LISTADO-PARA-MESA	CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION	NINGUNA-ACREDITADA			FP-DE-IDENTIDAD-Y-PIN; SIN-AUTOADOPCION	veredicto sellado CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION = LISTADO-PARA-MESA-REPRODUCE; la spec no fija que RESULT releva este slot -- falta el pin, no la corrida
RES-0051	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_maximo	conducta_p_medido	LEGACY-GEN1	0.750567	civico.participacion.concurrencia_presidencial_conversion:participa_p0_maximo	CALC-L8-CONVERSION-0001			LISTADO-PARA-MESA	CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION	NINGUNA-ACREDITADA			FP-DE-IDENTIDAD-Y-PIN; SIN-AUTOADOPCION	veredicto sellado CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION = LISTADO-PARA-MESA-REPRODUCE; la spec no fija que RESULT releva este slot -- falta el pin, no la corrida
RES-0052	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_media	conducta_p_medido	LEGACY-GEN1	0.619867	civico.participacion.concurrencia_presidencial_conversion:participa_p0_media	CALC-L8-CONVERSION-0001			LISTADO-PARA-MESA	CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION	NINGUNA-ACREDITADA			FP-DE-IDENTIDAD-Y-PIN; SIN-AUTOADOPCION	veredicto sellado CALC-L8-CONVERSION-0001/RESULT-L8CONV-A-ADOPCION = LISTADO-PARA-MESA-REPRODUCE; la spec no fija que RESULT releva este slot -- falta el pin, no la corrida
RES-0067	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.confianza_institucional	coeficiente_ejecutable	LEGACY-GEN1	-0.0645	coeficientes_generador_sellados:G1.confianza_institucional				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0068	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.radio_confianza	coeficiente_ejecutable	LEGACY-GEN1	-0.06626	coeficientes_generador_sellados:G1.radio_confianza				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0069	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.familismo_apoyo	coeficiente_ejecutable	LEGACY-GEN1	0.0279	coeficientes_generador_sellados:G3.familismo_apoyo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0070	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.exposicion_violencia	coeficiente_ejecutable	LEGACY-GEN1	0.16614	coeficientes_generador_sellados:G4.exposicion_violencia				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0071	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.confianza_institucional	coeficiente_ejecutable	LEGACY-GEN1	-0.166208	coeficientes_generador_sellados:G4.confianza_institucional				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0072	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.horizonte_temporal	coeficiente_ejecutable	LEGACY-GEN1	0.0876	coeficientes_generador_sellados:G3.horizonte_temporal				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0073	milpa/procedencia.yaml:coeficientes_generador_sellados:G5.familismo_apoyo	coeficiente_ejecutable	LEGACY-GEN1	0.004099	coeficientes_generador_sellados:G5.familismo_apoyo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0074	milpa/procedencia.yaml:asignados_coeficiente:G2.aversion_riesgo	coeficiente_asignado	LEGACY-GEN1	0.2	asignados_coeficiente:G2.aversion_riesgo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0075	milpa/procedencia.yaml:asignados_coeficiente:G2.sens_estatus	coeficiente_asignado	LEGACY-GEN1	0.55	asignados_coeficiente:G2.sens_estatus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0076	milpa/procedencia.yaml:asignados_coeficiente:G3.aversion_riesgo	coeficiente_asignado	LEGACY-GEN1	0.4	asignados_coeficiente:G3.aversion_riesgo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0077	milpa/procedencia.yaml:asignados_coeficiente:G4.horizonte_temporal	coeficiente_asignado	LEGACY-GEN1	-0.2	asignados_coeficiente:G4.horizonte_temporal				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0078	milpa/procedencia.yaml:asignados_coeficiente:G4.sens_estatus	coeficiente_asignado	LEGACY-GEN1	-0.15	asignados_coeficiente:G4.sens_estatus				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0079	milpa/procedencia.yaml:asignados_coeficiente:G5.familismo_obligacion	coeficiente_asignado	LEGACY-GEN1	'signo negativo o no monotónico — SIN MAGNITUD'	asignados_coeficiente:G5.familismo_obligacion				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0080	milpa/procedencia.yaml:asignados_coeficiente:G5.radio_confianza	coeficiente_asignado	LEGACY-GEN1	0.15	asignados_coeficiente:G5.radio_confianza				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0081	milpa/procedencia.yaml:asignados_coeficiente:G6.deferencia	coeficiente_asignado	LEGACY-GEN1	0.45	asignados_coeficiente:G6.deferencia				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0082	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.informal_sin_puente	asignado_probabilidad	LEGACY-GEN1	[0.74, 0.21, 0.05]	asignados_probabilidad:dinero.ahorro.informal_sin_puente				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0083	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo	asignado_probabilidad	LEGACY-GEN1	[0.52, 0.33, 0.15]	asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0084	milpa/procedencia.yaml:asignados_probabilidad:dinero.planeacion.formal_estable	asignado_probabilidad	LEGACY-GEN1	[0.68, 0.32]	asignados_probabilidad:dinero.planeacion.formal_estable				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0085	milpa/procedencia.yaml:asignados_probabilidad:dinero.credito.scoring_alternativo	asignado_probabilidad	LEGACY-GEN1	[0.71, 0.29]	asignados_probabilidad:dinero.credito.scoring_alternativo				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0086	milpa/procedencia.yaml:asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito	asignado_probabilidad	LEGACY-GEN1	[0.58, 0.42]	asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0087	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.leve_sin_imss	asignado_probabilidad	LEGACY-GEN1	[0.66, 0.24, 0.1]	asignados_probabilidad:salud.atencion.leve_sin_imss				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0088	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.grave	asignado_probabilidad	LEGACY-GEN1	[0.74, 0.26]	asignados_probabilidad:salud.atencion.grave				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
RES-0089	milpa/procedencia.yaml:asignados_probabilidad:salud.prevencion.hombre_sin_permiso	asignado_probabilidad	LEGACY-GEN1	[0.6, 0.4]	asignados_probabilidad:salud.prevencion.hombre_sin_permiso				SIN-CANDIDATO	NINGUNO	NINGUNA-ACREDITADA			DICTAMINAR-HISTORICO-SIN-RELEVO-POR-FILA-O-MEDIR-SI-SIGUE-CONSUMO	CORR-SIN-CALC-DECLARADA
