slot	grupo	consumidor	generacion_censada	valor_legacy	estado_efectivo	trazabilidad	evidencia	dependencia_y_operacion
RES-0014	motor	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	LEGACY-GEN1	0.858959	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
RES-0016	motor	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	LEGACY-GEN1	0.970132	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
RES-0017	motor	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:rechaza_servicio	LEGACY-GEN1	0.91	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0018	motor	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:adopta	LEGACY-GEN1	0.09	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0019	motor	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta	LEGACY-GEN1	0.71	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0020	motor	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio	LEGACY-GEN1	0.29	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0022	motor	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	LEGACY-GEN1	0.326607	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
RES-0023	motor	milpa/tramite.yaml:tramite.evasion_norma:evade_norma	LEGACY-GEN1	0.66	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0024	motor	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma	LEGACY-GEN1	0.34	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	PREPARAR-CALC-RELEVO-DESDE-CRUDO-CON-SPEC-CONGELADA
RES-0029	motor	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	LEGACY-GEN1	0.174804	LEGACY-HISTORICA-ENNViH; NO-EQUIVALENTE-ENIF2024	PIN-NO-ACREDITA-CONSUMO	forense/prereg-caja/ENIF-TIENE-AHORROS-spec-v1_0.md	firma de mesa de historia o CALC misma fuente/ola/acervo; ENIF 2024 mide flujo distinto
RES-0030	motor	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	LEGACY-GEN1	0.825196	LEGACY-HISTORICA-ENNViH; NO-EQUIVALENTE-ENIF2024	PIN-NO-ACREDITA-CONSUMO	forense/prereg-caja/ENIF-TIENE-AHORROS-spec-v1_0.md	firma de mesa de historia o CALC misma fuente/ola/acervo; ENIF 2024 mide flujo distinto
RES-0039	motor	milpa/tramite.yaml:civico.denuncia.con_seguro:denuncia	LEGACY-GEN1	0.7909	MEDIDO; NO-REPRODUCE-GEN1; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-envipe25-seguro.md	mesa decide discrepancia mayor a 1e-6; después escritor propio de trámite con guardas
RES-0040	motor	milpa/tramite.yaml:civico.denuncia.con_seguro:no_denuncia	LEGACY-GEN1	0.2091	MEDIDO; NO-REPRODUCE-GEN1; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-envipe25-seguro.md	mesa decide discrepancia mayor a 1e-6; después escritor propio de trámite con guardas
RES-0041	motor	milpa/tramite.yaml:civico.denuncia.sin_seguro:denuncia	LEGACY-GEN1	0.672	MEDIDO; NO-REPRODUCE-GEN1; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-envipe25-seguro.md	mesa decide discrepancia mayor a 1e-6; después escritor propio de trámite con guardas
RES-0042	motor	milpa/tramite.yaml:civico.denuncia.sin_seguro:no_denuncia	LEGACY-GEN1	0.328	MEDIDO; NO-REPRODUCE-GEN1; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-envipe25-seguro.md	mesa decide discrepancia mayor a 1e-6; después escritor propio de trámite con guardas
RES-0050	motor	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_minimo	LEGACY-GEN1	0.345267	DERIVACION-MEDIDA; REPRODUCE-GEN1; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-l8-conversion.md	mesa decide cuenta/adopción; después escritor propio de trámite con guardas
RES-0051	motor	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_maximo	LEGACY-GEN1	0.750567	DERIVACION-MEDIDA; REPRODUCE-GEN1; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-l8-conversion.md	mesa decide cuenta/adopción; después escritor propio de trámite con guardas
RES-0052	motor	milpa/tramite.yaml:civico.participacion.concurrencia_presidencial_conversion:participa_p0_media	LEGACY-GEN1	0.619867	DERIVACION-MEDIDA; REPRODUCE-GEN1; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-l8-conversion.md	mesa decide cuenta/adopción; después escritor propio de trámite con guardas
RES-0067	procedencia	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.confianza_institucional	LEGACY-GEN1	-0.0645	B_CARGA_VALOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0068	procedencia	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.radio_confianza	LEGACY-GEN1	-0.06626	B_CARGA_VALOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0069	procedencia	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.familismo_apoyo	LEGACY-GEN1	0.0279	B_CARGA_VALOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0070	procedencia	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.exposicion_violencia	LEGACY-GEN1	0.16614	B_CARGA_VALOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0071	procedencia	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.confianza_institucional	LEGACY-GEN1	-0.166208	B_CARGA_VALOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0072	procedencia	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.horizonte_temporal	LEGACY-GEN1	0.0876	B_CARGA_VALOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0073	procedencia	milpa/procedencia.yaml:coeficientes_generador_sellados:G5.familismo_apoyo	LEGACY-GEN1	0.004099	B_CARGA_VALOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0074	procedencia	milpa/procedencia.yaml:asignados_coeficiente:G2.aversion_riesgo	LEGACY-GEN1	0.2	B_CARGA_FALLBACK_ASIGNADO	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0075	procedencia	milpa/procedencia.yaml:asignados_coeficiente:G2.sens_estatus	LEGACY-GEN1	0.55	B_CARGA_FALLBACK_ASIGNADO	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0076	procedencia	milpa/procedencia.yaml:asignados_coeficiente:G3.aversion_riesgo	LEGACY-GEN1	0.4	B_CARGA_FALLBACK_ASIGNADO	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0077	procedencia	milpa/procedencia.yaml:asignados_coeficiente:G4.horizonte_temporal	LEGACY-GEN1	-0.2	B_CARGA_FALLBACK_ASIGNADO	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0078	procedencia	milpa/procedencia.yaml:asignados_coeficiente:G4.sens_estatus	LEGACY-GEN1	-0.15	B_CARGA_FALLBACK_ASIGNADO	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0079	procedencia	milpa/procedencia.yaml:asignados_coeficiente:G5.familismo_obligacion	LEGACY-GEN1	'signo negativo o no monotónico — SIN MAGNITUD'	B_CARGA_SIN_MAGNITUD	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0080	procedencia	milpa/procedencia.yaml:asignados_coeficiente:G5.radio_confianza	LEGACY-GEN1	0.15	B_CARGA_FALLBACK_ASIGNADO	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0081	procedencia	milpa/procedencia.yaml:asignados_coeficiente:G6.deferencia	LEGACY-GEN1	0.45	B_CARGA_FALLBACK_ASIGNADO	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0082	procedencia	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.informal_sin_puente	LEGACY-GEN1	[0.74, 0.21, 0.05]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0083	procedencia	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo	LEGACY-GEN1	[0.52, 0.33, 0.15]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0084	procedencia	milpa/procedencia.yaml:asignados_probabilidad:dinero.planeacion.formal_estable	LEGACY-GEN1	[0.68, 0.32]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0085	procedencia	milpa/procedencia.yaml:asignados_probabilidad:dinero.credito.scoring_alternativo	LEGACY-GEN1	[0.71, 0.29]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0086	procedencia	milpa/procedencia.yaml:asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito	LEGACY-GEN1	[0.58, 0.42]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0087	procedencia	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.leve_sin_imss	LEGACY-GEN1	[0.66, 0.24, 0.1]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0088	procedencia	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.grave	LEGACY-GEN1	[0.74, 0.26]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0089	procedencia	milpa/procedencia.yaml:asignados_probabilidad:salud.prevencion.hombre_sin_permiso	LEGACY-GEN1	[0.6, 0.4]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0090	procedencia	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.discrecional	LEGACY-GEN1	[0.62, 0.38]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0091	procedencia	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.con_registro	LEGACY-GEN1	[0.88, 0.12]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0092	procedencia	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.coercitivo	LEGACY-GEN1	[0.91, 0.09]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0093	procedencia	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.util_sin_coercion	LEGACY-GEN1	[0.71, 0.29]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0094	procedencia	milpa/procedencia.yaml:asignados_probabilidad:civico.denuncia.con_seguro	LEGACY-GEN1	[0.78, 0.22]	YAML_CARGADO_SIN_LECTURA_NUMERICA_DEL_MOTOR	PIN-NO-ACREDITA-CONSUMO	uso-efectivo-procedencia.tsv	COTEJAR-REGLA-Y-ESTIMANDO; CALC-POR-CONDICION-O-DICTAMEN-HISTORICO; firma antes de reclasificar
RES-0097	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L-solo	LEGACY-GEN1	0.24625	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0098	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L+corpus	LEGACY-GEN1	0.3	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0099	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 5.881933975095942, ""z_L_solo"": -1.8289090331078106, ""z_M"": 5.0660909204419005}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0102	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L-solo	LEGACY-GEN1	0.85	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0103	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L+corpus	LEGACY-GEN1	0.7833333333333333	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0104	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 86.55798246244639, ""z_L_solo"": 97.2454688969738, ""z_M"": 8.162009781825262}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0107	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L-solo	LEGACY-GEN1	None	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0108	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L+corpus	LEGACY-GEN1	0.8575	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0109	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 82.02458570227323, ""z_L_solo"": null, ""z_M"": 6.767504611786136}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0112	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L-solo	LEGACY-GEN1	0.375	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0113	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L+corpus	LEGACY-GEN1	0.7030000000000001	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0114	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 104.3412603409494, ""z_L_solo"": 35.62761013945705, ""z_M"": 18.724261682725913}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0117	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L-solo	LEGACY-GEN1	0.225	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0118	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L+corpus	LEGACY-GEN1	0.463125	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0119	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 53.571248397093356, ""z_L_solo"": 3.547785761046082, ""z_M"": 18.108525984426006}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0122	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L-solo	LEGACY-GEN1	0.37857142857142856	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0123	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L+corpus	LEGACY-GEN1	0.294375	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0124	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:AGREGADO	LEGACY-GEN1	"{""z_L_corpus"": 18.504084174826755, ""z_L_solo"": 34.12084301071083, ""z_M"": 18.49258441095015}"	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0126	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:M	LEGACY-GEN1	0.174804	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
RES-0127	marco	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L-solo	LEGACY-GEN1	0.209375	HISTORICO-SIN-RELEVO-PROPUESTO; NO-FIRMADO	PIN-NO-ACREDITA-CONSUMO	dictamen-historicas.tsv	FIRMA-DE-MESA-DEL-DICTAMEN; conservar marco y sello
