# GENERADO por tools/dominios/cola-completa/revisa_no_encontrado.py — no editar
id_afirmacion	clase	programa_candidato	casado_por_nombre	instrumento_texto
ASTRA5-U0-ASPIR-026	SIN-PROGRAMA			AMDA - Power Rank Ligeros (amda.mx/power-rank/, mensual, confirmado con cobertura de marcas chinas y origen de marca); AMDA - boletines Ventas Ligeros 2024/2025 (amda.mx/category/ventas-ligeros-general/); INEGI RAIAVL - URL vigente no localizada tras 3 intentos (inegi.org.mx/programas/raiavl/, /programas/raiavl/2023/, /app/buscador).
ASTRA5-U0-CRFAC-005	SIN-PROGRAMA			serie administrativa; CONDUSEF REDECO (despachos de cobranza) y anuario de reclamaciones/instituciones mas reclamadas
ASTRA5-U0-CRFAC-008	SIN-PROGRAMA			informe de mercado privado (no oficial); Research and Markets / Ken Research
ASTRA5-U0-CRFAC-009	SIN-PROGRAMA			encuesta de mercado; AMVO Estudio de Venta Online 2025 (AMVO NORM, alianza con Netquest, ~1000 entrevistas)
ASTRA5-U0-CRFAC-012	SIN-PROGRAMA			ficha/contrato de adhesion de producto; publicacion propia de Kueski (CAT es de divulgacion obligatoria por CONDUSEF)
ASTRA5-U0-CRPOP-003	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-004	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-009	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-011	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-013	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-014	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-015	SIN-PROGRAMA			NO-APLICA (estudio académico externo, no encuesta del corpus)
ASTRA5-U0-CRPOP-019	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-020	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-022	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-023	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-025	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-026	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-027	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-032	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CRPOP-043	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; documento institucional/regulatorio puntual)
ASTRA5-U0-CLIENT-002	SIN-PROGRAMA			Progresa/Oportunidades (evaluación experimental 1997-2000); no es instrumento del corpus manifiesto (evaluación académica externa)
ASTRA5-U0-CLIENT-003	SIN-PROGRAMA			Panel EQD 2018 (Greene-Simpser); no es instrumento del corpus manifiesto (encuesta académica externa)
ASTRA5-U0-CLIENT-005	SIN-PROGRAMA			Experimento de encuesta (Greene 2024); no es instrumento del corpus manifiesto
ASTRA5-U0-CLIENT-006	SIN-PROGRAMA			Cornelius, W.A. (2003) 'Mobilized Voting in the 2000 Elections: The Changing Efficacy of Vote Buying and Coercion in Mexican Electoral Politics', en Dominguez & Lawson (eds.) Mexico's Pivotal Democratic Election, Stanford UP, DOI 10.1515/9780804779821-008; Schedler, A. & Manriquez, L. (2004) 'El voto es nuestro...', Revista Mexicana de Sociologia 66(1), DOI 10.2307/3541531 -- ninguno es instrumento de encuesta del corpus manifiesto; ambos son estudios academicos con DOI confirmado.
ASTRA5-U0-CLIENT-007	SIN-PROGRAMA			Cantú (2019); no es instrumento del corpus manifiesto
ASTRA5-U0-CLIENT-008	SIN-PROGRAMA			Larreguy, Marshall, Querubín (2016); Larreguy, Montiel Olea, Querubín (2017, SNTE); no son instrumentos del corpus manifiesto
ASTRA5-U0-CLIENT-009	SIN-PROGRAMA			Ascencio & Chang (2025); Encuesta Nacional INE 2020 (citada, no verificada); no son instrumentos del corpus manifiesto
ASTRA5-U0-CLIENT-011	SIN-PROGRAMA			ENEM 2024 (Estudio Nacional Electoral de México / Comparative Study of Electoral Systems, CIDE); no es instrumento del corpus manifiesto (no está en data/manifiesto.yaml)
ASTRA5-U0-CLIENT-012	SIN-PROGRAMA			Versión estenográfica de conferencia de prensa presidencial (Presidencia de la República); no está en data/manifiesto.yaml
ASTRA5-U0-CLIENT-015	SIN-PROGRAMA			Langston (2025); no es instrumento del corpus manifiesto
ASTRA5-U0-CLIENT-016	SIN-PROGRAMA			INE, cómputos distritales 2024 (boletín Central Electoral, 9-jun-2024)
ASTRA5-U0-CLIENT-017	SIN-PROGRAMA			INE, Cómputos Distritales Judiciales 2025
ASTRA5-U0-CRPOP-045	SIN-PROGRAMA			NO-APLICA (no es encuesta con ola; nota de prensa que cita a la institución)
ASTRA5-U0-CRPOP-046	SIN-PROGRAMA			NO-APLICA (no es encuesta; reporte SEC 10-K de emisora pública + sitio institucional)
ASTRA5-U0-CRPOP-048	SIN-PROGRAMA			NO-APLICA (no es encuesta; factsheet corporativo trimestral)
ASTRA5-U0-CRPOP-051	SIN-PROGRAMA			NO-APLICA (no es encuesta poblacional; es estudio experimental de campo)
ASTRA5-U0-CRPOP-052	SIN-PROGRAMA			NO-APLICA (no es encuesta; tarifario institucional)
ASTRA5-U0-CRPOP-053	SIN-PROGRAMA			NO-APLICA (no es encuesta; tarifario institucional)
ASTRA5-U0-CRPOP-054	SIN-PROGRAMA			NO-APLICA (no es encuesta; documento regulatorio/judicial puntual)
ASTRA5-U0-TEC-011	SIN-PROGRAMA			Edelman Trust Barometer 2025 Mexico (TRU_INS)
ASTRA5-U0-TEC-012	SIN-PROGRAMA			Comunicado de prensa Nu Mexico / Nubank International, oct-2025
ASTRA5-U0-TEC-015	SIN-PROGRAMA			Ipsos AI Monitor 2024 (32 paises)
ASTRA5-U0-TEC-016	SIN-PROGRAMA			Ipsos/Google 'Our Life with AI' 2025 (documento primario no localizado en este lote)
ASTRA5-U0-TEC-017	SIN-PROGRAMA			no identificado en este lote
ASTRA5-U0-TEC-018	SIN-PROGRAMA			Ipsos AI Monitor 2024 (mismo documento de tecnologia-007)
ASTRA5-U0-TEC-023	SIN-PROGRAMA			no identificado
ASTRA5-U0-TEC-024	SIN-PROGRAMA			DOF (Diario Oficial de la Federacion), decreto de reforma a la Ley General de Poblacion
ASTRA5-U0-TEC-025	SIN-PROGRAMA			Poder Judicial de la Federacion / SCJN
ASTRA5-U0-TEC-026	SIN-PROGRAMA			R3D: Red en Defensa de los Derechos Digitales, comunicado publico
ASTRA5-U0-TEC-027	SIN-PROGRAMA			prensa especializada en ciberseguridad + declaraciones oficiales de la ADIP (citadas por terceros)
ASTRA5-U0-TEC-029	SIN-PROGRAMA			OCDE, Creacion de empleo y desarrollo economico local 2024 -- Mexico Country Note
ASTRA5-U0-TEC-035	SIN-PROGRAMA			Asociacion FinTech Mexico -- emisor identificado (organizacion gremial con publicacion anual conocida como 'Mapa Fintech'); documento/edicion y URL exactos no confirmados en esta pasada
ASTRA5-U0-TEC-037	SIN-PROGRAMA			no identificado (solo referido via El Economista, prensa)
ASTRA5-U0-TEC-043	SIN-PROGRAMA			Mercado Libre/Mercado Pago -- empresa publica que cotiza en NASDAQ (MELI); reporte trimestral a inversionistas (3T-2025) es un tipo de documento de existencia practicamente segura por obligacion regulatoria, pero URL/pagina exacta no confirmada en esta pasada
ASTRA5-U0-DUEL-004	SIN-PROGRAMA			Heeke, Stammel y Knaevelsrud, J Affect Disord 173:59–64 (2015), DOI 10.1016/j.jad.2014.10.038; reproducción íntegra como artículo IV de tesis Heeke 2018, Freie Universität Berlin
ASTRA5-U0-DUEL-005	SIN-PROGRAMA			Heeke, Stammel y Knaevelsrud, J Affect Disord 173:59–64 (2015), DOI 10.1016/j.jad.2014.10.038; reproducción íntegra como artículo IV de tesis Heeke 2018, Freie Universität Berlin
ASTRA5-U0-DUEL-006	SIN-PROGRAMA			Heeke, Stammel y Knaevelsrud, J Affect Disord 173:59–64 (2015), DOI 10.1016/j.jad.2014.10.038; reproducción íntegra como artículo IV de tesis Heeke 2018, Freie Universität Berlin
ASTRA5-U0-DUEL-007	SIN-PROGRAMA			Almanza-Avendaño, Hernández-Brussolo y Gómez-San Luis, Pérdida ambigua: madres de personas desaparecidas en Tamaulipas, México, Región y Sociedad (2020), DOI 10.22198/rys2020/32/1396, artículo cualitativo
ASTRA5-U0-DUEL-008	SIN-PROGRAMA			Almanza-Avendaño, Hernández-Brussolo y Gómez-San Luis, Pérdida ambigua: madres de personas desaparecidas en Tamaulipas, México, Región y Sociedad (2020), DOI 10.22198/rys2020/32/1396, artículo cualitativo
ASTRA5-U0-DUEL-009	SIN-PROGRAMA			Boss y Carnes, The Myth of Closure, Family Process 51(4):456–469 (2012), DOI 10.1111/famp.12005
ASTRA5-U0-DUEL-010	SIN-PROGRAMA			Boss y Carnes, The Myth of Closure, Family Process 51(4):456–469 (2012), DOI 10.1111/famp.12005
ASTRA5-U0-DUEL-011	SIN-PROGRAMA			Almanza-Avendaño, Hernández-Brussolo y Gómez-San Luis, Pérdida ambigua: madres de personas desaparecidas en Tamaulipas, México, Región y Sociedad (2020), DOI 10.22198/rys2020/32/1396, artículo cualitativo
ASTRA5-U0-DUEL-012	SIN-PROGRAMA			Almanza-Avendaño, Hernández-Brussolo y Gómez-San Luis, Pérdida ambigua: madres de personas desaparecidas en Tamaulipas, México, Región y Sociedad (2020), DOI 10.22198/rys2020/32/1396, artículo cualitativo
ASTRA5-U0-DUEL-013	SIN-PROGRAMA			Smid, Blaauw y Lenferink, Intervention 18(2):139–149 (2020), DOI 10.4103/INTV.INTV_55_19; campo octubre 2016
ASTRA5-U0-DUEL-014	SIN-PROGRAMA			Smid, Blaauw y Lenferink, Intervention 18(2):139–149 (2020), DOI 10.4103/INTV.INTV_55_19; campo octubre 2016
ASTRA5-U0-DUEL-015	SIN-PROGRAMA			Smid, Blaauw y Lenferink, Intervention 18(2):139–149 (2020), DOI 10.4103/INTV.INTV_55_19; campo octubre 2016
ASTRA5-U0-DUEL-016	SIN-PROGRAMA			Ley General en Materia de Desaparición, texto consolidado Cámara de Diputados última reforma DOF 16/jul/2025 arts.88-90,137-II; Protocolo Homologado SNBP/002/2020 DOF 6/oct/2020 numerales 82,143-145,216-217
ASTRA5-U0-DUEL-019	SIN-PROGRAMA			RNPDNO (Registro Nacional de Personas Desaparecidas y No Localizadas), Secretaría de Gobernación/Comisión Nacional de Búsqueda; dashboard versionpublicarnpdno.segob.gob.mx
ASTRA5-U0-DUEL-020	SIN-PROGRAMA			RNPDNO registra parentesco del denunciante junto al reporte, pero un desglose público por sexo/parentesco de la persona buscadora no se localizó en este recorrido.
ASTRA5-U0-DUEL-023	SIN-PROGRAMA			Registro propio de Artículo 19 (organización de defensa de la libertad de expresión/protección a defensores), no es encuesta ni registro estatal.
ASTRA5-U0-DUEL-025	SIN-PROGRAMA			Informe oficial CIDH 'Desapariciones en México' (11/mayo/2026, relatora Andrea Pochak)
ASTRA5-U0-DUEL-026	SIN-PROGRAMA			Plataforma Ciudadana de Fosas, Universidad Iberoamericana (IBERO)
ASTRA5-U0-DUEL-027	SIN-PROGRAMA			Comité contra la Desaparición Forzada (CED), ONU/OHCHR, 28º período de sesiones
ASTRA5-U0-DUEL-031	SIN-PROGRAMA			Comisión Nacional de Búsqueda (comisionacionaldebusqueda.segob.gob.mx) y/o MNDM (organización propia) podrían llevar un directorio, no confirmado en este lote.
ASTRA5-U0-DUEL-034	SIN-PROGRAMA			RNPDNO, Secretaría de Gobernación/Comisión Nacional de Búsqueda
ASTRA5-U0-DUEL-035	SIN-PROGRAMA			Impunidad Cero, 'Percepciones de Impunidad 2024' (comunicado propio en impunidadcero.org)
ASTRA5-U0-DUEL-037	SIN-PROGRAMA			EAAF (Equipo Argentino de Antropología Forense), Proyecto Frontera
ASTRA5-U0-DUEL-041	SIN-PROGRAMA			Amnistía Internacional; Front Line Defenders; Fundación para la Justicia y el Estado Democrático de Derecho
ASTRA5-U0-AUTOR-005	SIN-PROGRAMA			hofstede_pdi_mexico
ASTRA5-U0-AUTOR-006	SIN-PROGRAMA			globe_2004_mexico
ASTRA5-U0-AUTOR-008	SIN-PROGRAMA			wvs_ola7_eeuu_japon
ASTRA5-U0-AUTOR-014	SIN-PROGRAMA			globe_2004_mexico_liderazgo
ASTRA5-U0-AUTOR-017	SIN-PROGRAMA			campos_vazquez_medina_cortina_2018
ASTRA5-U0-AUTOR-019	SIN-PROGRAMA			(instrumento_ola vacío en v1.0) datos_id_estado: SIN-ID-MANIFIESTO; documento primario localizado no coincide en universo con la afirmación del report
ASTRA5-U0-AUTOR-022	SIN-PROGRAMA			kpmg_empresas_familiares_mexico
ASTRA5-U0-AUTOR-023	SIN-PROGRAMA			(instrumento_ola vacío en v1.0) datos_id_estado: SIN-ID-MANIFIESTO; documento primario no localizado en este lote
ASTRA5-U0-FIN-016	SIN-PROGRAMA			no aplica (documento)
ASTRA5-U0-FIN-020	SIN-PROGRAMA			no aplica (documento)
ASTRA5-U0-FIN-021	SIN-PROGRAMA			no aplica (documento)
ASTRA5-U0-FIN-025	SIN-PROGRAMA			no aplica (documento)
ASTRA5-U0-FIN-026	SIN-PROGRAMA			no aplica (documento)
ASTRA5-U0-FIN-030	SIN-PROGRAMA			no aplica (serie macroeconomica)
ASTRA5-U0-TRUST-004	SIN-PROGRAMA			Research Land / Grupo UPAX, «Confianza en las Instituciones» 2026 (encuesta privada, no en manifiesto)
ASTRA5-U0-TRUST-007	SIN-PROGRAMA			Yáñez et al. (2006), estudio psicométrico (no encuesta poblacional mexicana)
ASTRA5-U0-TRUST-009	SIN-PROGRAMA			Ipsos Global Trustworthiness Index/Monitor 2022
ASTRA5-U0-TRUST-011	SIN-PROGRAMA			Posiblemente OECD Trust Survey PUM 2021-2023-2025 (microdato de uso público, con licencia); ea3385cf_en no cubre la comparación de 30 países OCDE ni Reino Unido
ASTRA5-U0-TRUST-012	SIN-PROGRAMA			Cárdenas, Chong y Ñopo (2009), Economía 9(2): 45-94
ASTRA5-U0-TRUST-015	SIN-PROGRAMA			Corbacho, A., Philipp, J. y Ruiz, M. (2012), IDB Working Paper, datos Gallup World Poll
ASTRA5-U0-TRUST-017	SIN-PROGRAMA			Encuesta de Jóvenes en México 2019, Fundación SM
ASTRA5-U0-TRUST-020	SIN-PROGRAMA			FEMSA Informe Anual Integrado (tiendas OXXO); Nu Holdings reporte trimestral (clientes) -- ninguno en manifiesto
ASTRA5-U0-TRUST-023	SIN-PROGRAMA			Transparency International, Corruption Perceptions Index 2024
ASTRA5-U0-TRUST-027	SIN-PROGRAMA			Triandis et al. (1984), estudio experimental (sin ficha completa)
ASTRA5-U0-TRUST-028	SIN-PROGRAMA			Mogro-Wilson et al. (2021), escala psicométrica (sin ficha completa)
ASTRA5-U0-TRUST-034	SIN-PROGRAMA			Bardhan (1997), marco teórico (sin ficha completa)
ASTRA5-U0-CLASE-003	SIN-PROGRAMA			De las Heras Demotecnia (encuesta), publicada en Forbes México; ola/año no confirmados en este lote
ASTRA5-U0-CLASE-004	SIN-PROGRAMA			Parametría, encuesta de salida, elecciones federales 6-jun-2021
ASTRA5-U0-CLASE-009	SIN-PROGRAMA			Ferreira, Messina, Rigolini, Lopez-Calva, Lugo, Vakis (2013), ‘Economic Mobility and the Rise of the Latin American Middle Class’, Banco Mundial
ASTRA5-U0-CLASE-014	SIN-PROGRAMA			Bravo (antes Resuelve tu Deuda), informe ‘Perfil del Deudor Mexicano 2025’
ASTRA5-U0-CLASE-016	SIN-PROGRAMA			SEP, ‘Principales cifras del sistema educativo nacional 2024-2025’ (Dirección General de Planeación, Programación y Estadística Educativa)
ASTRA5-U0-CLASE-017	SIN-PROGRAMA			De la Calle, L. y Rubio, L. (2010), ‘Clasemediero: pobre no más, desarrollado aún no’
ASTRA5-U0-CLASE-021	SIN-PROGRAMA			AMAI (Asociación Mexicana de Agencias de Inteligencia de Mercado y Opinión), ‘Nota Metodológica NSE AMAI 2024’ v6
ASTRA5-U0-CLASE-022	SIN-PROGRAMA			Parametría, encuesta de salida, elecciones federales 6-jun-2021 (mismo documento que la fila 004)
ASTRA5-U0-CLASE-023	SIN-PROGRAMA			El Financiero, encuesta de salida, elección federal 2-jun-2024
ASTRA5-U0-CLASE-025	SIN-PROGRAMA			Banco Mundial, informe/nota sobre impacto de COVID-19 en la clase media de México (2020 o posterior); documento exacto no identificado en este lote
ASTRA5-U0-CLASE-027	SIN-PROGRAMA			Jaeger, A.M. (1986), ‘Organization development and national culture: Where's the fit?’, Academy of Management Review, 11(2), pp.178-190
ASTRA5-U0-CLASE-029	SIN-PROGRAMA			Estudio transnacional (~2007) enmarcado en la teoría de la desigualdad/ansiedad de estatus de Wilkinson y Pickett (‘Spirit Level’); artículo/fuente exacta no identificada con DOI en este lote
ASTRA5-U0-CLASE-031	SIN-PROGRAMA			Neri, M. (FGV), estudio sobre la ‘nova classe média’/clase C brasileña; documento exacto no identificado con DOI en este lote
ASTRA5-U0-CLASE-035	SIN-PROGRAMA			Comunicación del gobierno federal/Morena, con base en datos del Banco Mundial (documento exacto no identificado en este lote)
ASTRA5-U0-CLASE-038	SIN-PROGRAMA			Ríos, V. (2020), artículo de opinión, The New York Times (edición en español o inglés no especificada)
ASTRA5-U0-CLASE-039	SIN-PROGRAMA			Parametría 2021 (mismo documento que filas 004/024)
ASTRA5-U0-CLASE-041	SIN-PROGRAMA			Resultados electorales oficiales CDMX 2021 (INE/IECM) + análisis de Nexos sobre gradiente de voto por percentil
ASTRA5-U0-VIOL-009	SIN-PROGRAMA			IEP, Índice de Paz México 2026 (documental)
ASTRA5-U0-VIOL-010	SIN-PROGRAMA			IEP, Índice de Paz México 2026 (documental)
ASTRA5-U0-VIOL-015	SIN-PROGRAMA			documental: CEPAL, Observatorio de Igualdad de Género de América Latina y el Caribe, Boletín 'Violencia feminicida en cifras' Nº4 (nov-2025)
ASTRA5-U0-VIOL-017	SIN-PROGRAMA			documental: Programa de Derechos Humanos, Universidad Iberoamericana + ACNUR, informe 'Travesías forzadas: Desplazamiento interno en México 2024', presentado 26-jun-2025
ASTRA5-U0-VIOL-018	SIN-PROGRAMA			documental: CMDPDH (Comisión Mexicana de Defensa y Promoción de los Derechos Humanos)
ASTRA5-U0-VIOL-019	SIN-PROGRAMA			documental/administrativo: SESNSP, datos abiertos de víctimas del fuero común
ASTRA5-U0-VIOL-021	SIN-PROGRAMA			documental: Concanaco Servytur (estudio/encuesta gremial)
ASTRA5-U0-VIOL-023	SIN-PROGRAMA			documental/académico: Medina-Mora ME et al. (2005), Encuesta Nacional de Epidemiología Psiquiátrica, Salud Mental / revista especializada
ASTRA5-U0-VIOL-025	SIN-PROGRAMA			"documental/académico: estudio ""Narco Emotions"" (nombre citado por el report, sin autor ni venue identificado en este lote)"
ASTRA5-U0-VIOL-027	SIN-PROGRAMA			documental: International Crisis Group (organización identificable, reporte específico no identificado en este lote)
ASTRA5-U0-VIOL-030	SIN-PROGRAMA			documental/académico: Fernando Escalante Gonzalbo, El Colegio de México (análisis de series de homicidio)
ASTRA5-U0-VIOL-031	SIN-PROGRAMA			documental/académico: Raúl Zepeda Gil, revista Política y Gobierno, 2018
ASTRA5-U0-VIOL-039	SIN-PROGRAMA			documental: ANPEC (encuesta gremial sep-2024); prensa sobre Culiacán oct-2024; Canaco/Concanaco León (ninguno verificado en este lote)
ASTRA5-U0-VIOL-040	SIN-PROGRAMA			documental/académico: revista Sociológica (UAM), repositorio SciELO (artículo específico no identificado por el report)
ASTRA5-U0-VIOL-042	SIN-PROGRAMA			(a) documental/académico: estudio cualitativo no identificado con autor/título en este lote; (b) Acuerdo para la Cobertura Informativa de la Violencia (acto documental, fecha no especificada por el report)
ASTRA5-U0-VIOL-045	SIN-PROGRAMA			documental/administrativo: RNPDNO, Comisión Nacional de Búsqueda (Segob)
ASTRA5-U0-VIOL-046	SIN-PROGRAMA			documental/académico: Marcelo Santos Cruz et al., The Lancet Regional Health–Americas, 2021
ASTRA5-U0-VIOL-047	SIN-PROGRAMA			documental/académico: Martín-Baró (marco teórico); Parales Quenza, Revista Colombiana de Psicología, 2023
ASTRA5-U0-VIOL-048	SIN-PROGRAMA			documental/normativo: decreto de régimen de excepción, El Salvador (2022- )
ASTRA5-U0-VIOL-050	SIN-PROGRAMA			documental/administrativo: series oficiales de homicidio (SESNSP) y señalamientos de México Evalúa y Causa en Común (no verificados en este lote)
ASTRA5-U0-TIME-003	SIN-PROGRAMA			INEGI Pobreza Multidimensional 2024, reporte 27/25 de 13-ago-2025
ASTRA5-U0-TIME-004	SIN-PROGRAMA			INEGI Pobreza Multidimensional 2024, reporte 27/25 de 13-ago-2025
ASTRA5-U0-TIME-005	SIN-PROGRAMA			INEGI Pobreza Multidimensional 2024, reporte 27/25 de 13-ago-2025
ASTRA5-U0-TIME-011	SIN-PROGRAMA			occmundial / circa 2016
ASTRA5-U0-TIME-013	SIN-PROGRAMA			DEM / sin fecha de edición verificada
ASTRA5-U0-TIME-016	SIN-PROGRAMA			ensu / 2025
ASTRA5-U0-TIME-017	SIN-PROGRAMA			Travesías forzadas (PDH-Ibero/ACNUR) / 2024
ASTRA5-U0-TIME-021	SIN-PROGRAMA			Hofstede Insights / sin fecha de la muestra original verificada en este lote
ASTRA5-U0-TIME-022	SIN-PROGRAMA			Hofstede Insights / no verificado
ASTRA5-U0-TIME-024	SIN-PROGRAMA			SciELO México 2022 / 2022
ASTRA5-U0-TIME-025	SIN-PROGRAMA			SciELO México 2023 / 2023
ASTRA5-U0-TIME-028	SIN-PROGRAMA			Statista / 2024-2025 (fuente secundaria vía prensa)
ASTRA5-U0-RURAL-004	SIN-PROGRAMA			N/A (registro administrativo-electoral, no encuesta)
ASTRA5-U0-RURAL-005	SIN-PROGRAMA			N/A (acto jurisdiccional, no encuesta)
ASTRA5-U0-RURAL-009	SIN-PROGRAMA			N/A (registro administrativo RAN, no encuesta)
ASTRA5-U0-RURAL-011	SIN-PROGRAMA			N/A (programa administrativo, no encuesta)
ASTRA5-U0-RURAL-015	SIN-PROGRAMA			N/A (bibliográfico, no encuesta)
ASTRA5-U0-RURAL-016	SIN-PROGRAMA			N/A (historiografía, no encuesta)
ASTRA5-U0-RURAL-018	SIN-PROGRAMA			N/A (informe de organización civil, no encuesta)
ASTRA5-U0-RURAL-019	SIN-PROGRAMA			N/A (recuento no identificado por nombre)
ASTRA5-U0-RURAL-023	SIN-PROGRAMA			N/A en el corpus (obra académica, no encuesta registrada)
ASTRA5-U0-RURAL-028	SIN-PROGRAMA			CPV2020, agregado ITER nacional (variable de analfabetismo general disponible; cruce con habla-lengua no confirmado)
ASTRA5-U0-RURAL-032	SIN-PROGRAMA			N/A (registro institucional de cooperativas, no encuesta)
