# tools/dominios/cola-completa/adjudicacion-v1_0.tsv -- ACTO GEN2-COLA-COMPLETA-1
# Una fila por afirmación de la cola v1.0 (SHA 34949751). Texto de decisión: los valores citados en `razon` se leyeron de resultados.json sellados; ningún número vive aquí como insumo.
id_afirmacion	dominio	programa_id	estado	calc	result_ids	veredicto	razon
ASTRA5-U0-JUV-006	JUVENTUD	ENADID	NO-CONSTRUIBLE			SIN-VEREDICTO	Pregunta buscada: serie de estado conyugal (union libre/matrimonio) para 2005 y 2025. Las olas ENADID en corpus son 1992,1997,2009,2014,2018,2023 (esta ultima RESERVADA, E.6); no existe ola 2005 ni 2025 del programa en el corpus -- la serie que cita el report no se puede construir con las olas disponibles. Secciones recorridas: manifiesto/premisas de CALC-ENADID-COLA-2018-0001 Sec0 ('Olas en corpus: 1992, 1997, 2009, 2014, 2018, 2023').
ASTRA5-U0-JUV-019	GENERO	ENDISEG	MEDIDO	CALC-ENDISEG-PISOS-2021-0001	RESULT-ENDISEG-PISOS-2021-LGBT-2021-TOTAL-TODOS-P;RESULT-ENDISEG-PISOS-2021-LGBT-2021-TOTAL-TODOS-IC-LO;RESULT-ENDISEG-PISOS-2021-LGBT-2021-TOTAL-TODOS-IC-HI;RESULT-ENDISEG-PISOS-2021-LGBT-2021-TOTAL-TODOS-N;RESULT-ENDISEG-PISOS-2021-LGBT-2021-EDAD-15-19-P;RESULT-ENDISEG-PISOS-2021-LGBT-2021-EDAD-15-19-IC-LO;RESULT-ENDISEG-PISOS-2021-LGBT-2021-EDAD-15-19-IC-HI;RESULT-ENDISEG-PISOS-2021-LGBT-2021-EDAD-15-19-N	CONFIRMA	TOTAL LGBT P=0.05143 (5.14%) IC[0.0484,0.0543] N=44178, casa con 5.1%/~5 millones del texto_vigente; EDAD 15-19 P=0.15575 (15.57%) IC[0.1416,0.1704] N=3704, casa casi exacto con el ~15.6% (una de cada seis) del texto_vigente y confirma que el mayor porcentaje por edad se da en 15-19.
ASTRA5-U0-GEN-019	MIGRACION	ENADID	MEDIDO	CALC-ENADID-COLA-2018-0001	RESULT-ENADID-COLA-2018-JEFATURA-FEMENINA-CON-MIGRANTE-VARON-2018-TOTAL-TODOS-P;RESULT-ENADID-COLA-2018-JEFATURA-FEMENINA-CON-MIGRANTE-VARON-2018-TOTAL-TODOS-IC-LO;RESULT-ENADID-COLA-2018-JEFATURA-FEMENINA-CON-MIGRANTE-VARON-2018-TOTAL-TODOS-IC-HI;RESULT-ENADID-COLA-2018-JEFATURA-FEMENINA-CON-MIGRANTE-VARON-2018-TOTAL-TODOS-N;RESULT-ENADID-COLA-2018-JEFATURA-FEMENINA-SIN-MIGRANTE-VARON-2018-TOTAL-TODOS-P;RESULT-ENADID-COLA-2018-JEFATURA-FEMENINA-SIN-MIGRANTE-VARON-2018-TOTAL-TODOS-IC-LO;RESULT-ENADID-COLA-2018-JEFATURA-FEMENINA-SIN-MIGRANTE-VARON-2018-TOTAL-TODOS-IC-HI;RESULT-ENADID-COLA-2018-JEFATURA-FEMENINA-SIN-MIGRANTE-VARON-2018-TOTAL-TODOS-N	MATIZA	A nivel NACIONAL, jefatura femenina es mas alta en hogares CON emigrante varon (P=0.4475 IC[0.4103,0.4851] N=1092) que SIN (P=0.2752 IC[0.2715,0.2790] N=108454), confirmando la direccion del texto_vigente (migracion masculina asociada a mas jefatura femenina). Las cifras puntuales del report (mazahuas Edomex, 25.5% Guanajuato) son de estudios regionales/etnograficos, universo distinto (nacional vs Edomex/Guanajuato); este CALC no las mide, solo el patron nacional.
ASTRA5-U0-VEJEZ-038	GENERO	ENASEM	DIFERIDO	CALC-ENASEM-ESCOLARIDAD-2021-0001		SIN-VEREDICTO	ENASEM 2024 es la ola mas reciente de la serie y queda RESERVADA (E.6): no se abre, no se cita. CALC-ENASEM-ESCOLARIDAD-2021-0001 mide SIN-ESCOLARIDAD por SEXO solo para la ola 2021 (guardia PARA si enasem2024_bd_csv_zip entra como input); el texto_vigente cita explicitamente INEGI-ENASEM 2024, ola distinta y reservada -- no medido aqui.
ASTRA5-U0-AUTOR-024	AUTORIDAD	LATINOBAROMETRO	DIFERIDO			SIN-VEREDICTO	No es cifra de una sola ola/instrumento: combina aprobacion AMLO/Sheinbaum de multiples casas encuestadoras 2018-2026; sin ola declarada, sin CALC posible con un unico instrumento Latinobarometro.
ASTRA5-U0-AUTOR-026	AUTORIDAD	LATINOBAROMETRO	MEDIDO	CALC-LATINOBAROMETRO-COLA-2023-0001	RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-P;RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-EE;RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-IC-LO;RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-IC-HI;RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-N	MATIZA	ORO-CONFIA-GOBIERNO 2023 TOTAL-P=0.3812 (38.1%) sostiene solo la pata de confianza institucional (gobierno), no la de confianza interpersonal (variable no leida por este CALC) ni el conjunto OCDE/ENCUCI/WVS citado; direccionalmente consistente con 'baja confianza institucional' pero incompleto.
ASTRA5-U0-TRUST-003	CONFIANZA	WVS	DIFERIDO			SIN-VEREDICTO	Sin CALC de WVS en este acto; la comparacion pedida (multipais, serie 1990-2005-presente) excede lo que hay en corpus/manifiesto (solo WVS7 Mexico 2018, f00013084/f00013146); unidad/universo no casa.
ASTRA5-U0-TRUST-013	AUTORIDAD	LAPOP	DIFERIDO			SIN-VEREDICTO	AmericasBarometer Mexico 2004 SI esta en manifiesto/corpus (642348348mexico_2004_export_version.dta, id 1658622845.sav), pero sin CALC sellado en este acto; el item exacto de corrupcion/confianza usado por Morris & Klesner (2010) no fue identificado en este lote (busqueda residual, no completada).
ASTRA5-U0-TRUST-016	CONFIANZA	LAPOP	DIFERIDO			SIN-VEREDICTO	El propio report no identifica ola ni item exacto de Blanco (2013) LAPOP/ENSI ('cotejo residual', no abierto en su lote); sin ola declarada no hay CALC posible ni pregunta que buscar.
ASTRA5-U0-TRUST-022	CONFIANZA	LATINOBAROMETRO	DIFERIDO			SIN-VEREDICTO	Ola 2024 RESERVADA (E.6, encargo GEN2-COLA-COMPLETA-1); no se abre. El comparable 2023 (ORO-CONFIA-GOBIERNO TOTAL-P=0.3812=38.1%) no sostiene la cifra especifica de 2024 (52%) citada.
ASTRA5-U0-HUM-004	HUMOR	LATINOBAROMETRO	DIFERIDO			SIN-VEREDICTO	Ola 2024 RESERVADA (E.6); ademas el agregado regional publicado (17 paises, 19214 entrevistas) no es reproducible con el payload de Mexico de este acto aunque la ola no estuviera reservada.
ASTRA5-U0-HUM-005	HUMOR	LATINOBAROMETRO	DIFERIDO			SIN-VEREDICTO	Ola 2024 RESERVADA (E.6); analogo 2023 medido por CALC-LATINOBAROMETRO-COLA-2023-0001 (SATISFECHO-CON-LA-VIDA-2023 TOTAL-P=0.7369=73.7%) no sostiene el valor especifico de 2024 (82%) citado.
ASTRA5-U0-HUM-006	HUMOR	LATINOBAROMETRO	MEDIDO	CALC-LATINOBAROMETRO-COLA-2023-0001	RESULT-LATINOBAROMETRO-COLA-2023-SATISFECHO-CON-LA-DEMOCRACIA-2023-TOTAL-TODOS-P;RESULT-LATINOBAROMETRO-COLA-2023-SATISFECHO-CON-LA-DEMOCRACIA-2023-TOTAL-TODOS-EE;RESULT-LATINOBAROMETRO-COLA-2023-SATISFECHO-CON-LA-DEMOCRACIA-2023-TOTAL-TODOS-IC-LO;RESULT-LATINOBAROMETRO-COLA-2023-SATISFECHO-CON-LA-DEMOCRACIA-2023-TOTAL-TODOS-IC-HI;RESULT-LATINOBAROMETRO-COLA-2023-SATISFECHO-CON-LA-DEMOCRACIA-2023-TOTAL-TODOS-N	MATIZA	Texto cita 37% en 2023 vs 50% en 2024; SATISFECHO-CON-LA-DEMOCRACIA-2023 TOTAL-P=0.3774 (37.7%) confirma la parte 2023. El valor 2024 (50%) es ola RESERVADA (E.6), no verificado aqui. [Auditoría de la sesión: la afirmación es un cambio 2023->2024; sólo la mitad 2023 es verificable (37.7% casa con 37%), el término 2024 queda sin verificar por reserva: MATIZA, no CONFIRMA.]
ASTRA5-U0-INTER-032	CONFIANZA	WVS	DIFERIDO			SIN-VEREDICTO	WVS olas 1990 (Wave 2) y 2012 (Wave 6) Mexico NO estan en manifiesto/corpus, solo Wave 7 (2017-2020) lo esta; sin CALC ademas.
ASTRA5-U0-GENOM-029	GENOMICA	PEW	NO-CONSTRUIBLE			SIN-VEREDICTO	No es item de encuesta de opinion sino agregado demografico censal de EEUU; el corpus PEW de este acto es unicamente Global Attitudes Survey Mexico (opinion), sin series de conteo poblacional de EEUU. Ver nocons-g2.tsv.
ASTRA5-U0-EMOC-019	CONFIANZA	LATINOBAROMETRO	MEDIDO	CALC-LATINOBAROMETRO-COLA-2023-0001	RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-P;RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-EE;RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-IC-LO;RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-IC-HI;RESULT-LATINOBAROMETRO-COLA-2023-ORO-CONFIA-GOBIERNO-2023-TOTAL-TODOS-N	CONFIRMA	Texto dice 'confianza en el gobierno rondo 38% en 2023'; ORO-CONFIA-GOBIERNO-2023 TOTAL-P=0.3812 (38.1%) confirma. El repunte a 52% en 2024 citado de pasada es ola RESERVADA (E.6), no verificado aqui.
ASTRA5-U0-POL-029	POLITICA	LATINOBAROMETRO	DIFERIDO			SIN-VEREDICTO	El item citado ('la democracia es preferible a cualquier otra forma de gobierno') es la variable P10STGBS del cuestionario LB 2023 (identificada por texto en Latinobarometro_2023_Esp.pdf), distinta de las 4 variables leidas por CALC-LATINOBAROMETRO-COLA-2023-0001 (P1ST, P11STGBS_A, P15STGBS, P13ST_E); ola 2023 disponible pero sin CALC para esta variable en este acto.
ASTRA5-U0-CONS-012	CONFIANZA	WVS	DIFERIDO			SIN-VEREDICTO	WVS Wave 6 (2012) Mexico no esta en manifiesto/corpus; solo Wave 7 (2018, f00013084/f00013146) lo esta, y no hay CALC sellado para WVS en este acto.
ASTRA5-U0-MIGR-042	MIGRACION	PEW	NO-CONSTRUIBLE			SIN-VEREDICTO	Estimacion demografica de poblacion indocumentada (Pew/MPI), no item de opinion encuestado; el corpus PEW de este acto (GAS Spring2024) es encuesta de opinion en Mexico, no censo/estimacion de indocumentados en EEUU. Ver nocons-g2.tsv.
ASTRA5-U0-RELIG-002	RELIGIOSIDAD	PEW	MEDIDO	CALC-PEW-RELIGION-2024-0001	RESULT-PEW-RELIGION-2024-CATOLICO-2024-TOTAL-TODOS-P;RESULT-PEW-RELIGION-2024-CATOLICO-2024-TOTAL-TODOS-EE;RESULT-PEW-RELIGION-2024-CATOLICO-2024-TOTAL-TODOS-IC-LO;RESULT-PEW-RELIGION-2024-CATOLICO-2024-TOTAL-TODOS-IC-HI;RESULT-PEW-RELIGION-2024-CATOLICO-2024-TOTAL-TODOS-N;RESULT-PEW-RELIGION-2024-CREE-EN-DIOS-2024-TOTAL-TODOS-P;RESULT-PEW-RELIGION-2024-CREE-EN-DIOS-2024-TOTAL-TODOS-EE;RESULT-PEW-RELIGION-2024-CREE-EN-DIOS-2024-TOTAL-TODOS-IC-LO;RESULT-PEW-RELIGION-2024-CREE-EN-DIOS-2024-TOTAL-TODOS-IC-HI;RESULT-PEW-RELIGION-2024-CREE-EN-DIOS-2024-TOTAL-TODOS-N	CONFIRMA	Texto: 67% catolicos vs CATOLICO-2024 TOTAL-P=0.6713 (67.1%), confirma. 'nueve de diez o mas creen en Dios' vs CREE-EN-DIOS-2024 TOTAL-P=0.9502 (95.0%), confirma.
ASTRA5-U0-RELIG-003	RELIGIOSIDAD	PEW	MEDIDO	CALC-PEW-RELIGION-2024-0001	RESULT-PEW-RELIGION-2024-CAMBIO-DE-RELIGION-2024-TOTAL-TODOS-P;RESULT-PEW-RELIGION-2024-CAMBIO-DE-RELIGION-2024-TOTAL-TODOS-EE;RESULT-PEW-RELIGION-2024-CAMBIO-DE-RELIGION-2024-TOTAL-TODOS-IC-LO;RESULT-PEW-RELIGION-2024-CAMBIO-DE-RELIGION-2024-TOTAL-TODOS-IC-HI;RESULT-PEW-RELIGION-2024-CAMBIO-DE-RELIGION-2024-TOTAL-TODOS-N;RESULT-PEW-RELIGION-2024-SIN-RELIGION-2024-TOTAL-TODOS-P;RESULT-PEW-RELIGION-2024-SIN-RELIGION-2024-TOTAL-TODOS-EE;RESULT-PEW-RELIGION-2024-SIN-RELIGION-2024-TOTAL-TODOS-IC-LO;RESULT-PEW-RELIGION-2024-SIN-RELIGION-2024-TOTAL-TODOS-IC-HI;RESULT-PEW-RELIGION-2024-SIN-RELIGION-2024-TOTAL-TODOS-N	MATIZA	CALC mide cambio de religion agregado (CAMBIO-DE-RELIGION-2024 TOTAL-P=0.2140=21.4%) y no-religion total (SIN-RELIGION-2024 TOTAL-P=0.2026=20.3%), no la descomposicion exacta del texto (catolico->sin religion 15%, catolico->protestante 4%); orden de magnitud compatible (15+4=19% vs 21.4% agregado) pero no la misma estadistica.
ASTRA5-U0-RELIG-017	RELIGIOSIDAD	PEW	NO-CONSTRUIBLE			SIN-VEREDICTO	Informe Pew 'Religion in Latin America' (2014) no corresponde a ninguna ola PEW en manifiesto (2013,2015,2017,2018,2023,2024,2025 registradas; ninguna 2014); dataset Spring2024 no trae item retrospectivo de atribucion de exito por escolaridad. Ver nocons-g2.tsv.
ASTRA5-U0-RELIG-023	RELIGIOSIDAD	PEW	NO-CONSTRUIBLE			SIN-VEREDICTO	Mismo informe Pew 2014 fuera de las olas en manifiesto (ver RELIG-017); tasa de 'switching' comparada Mexico/Panama/Paraguay no esta en el dataset Spring2024 de este acto. Ver nocons-g2.tsv.
ASTRA5-U0-RELIG-038	RELIGIOSIDAD	PEW	NO-CONSTRUIBLE			SIN-VEREDICTO	Ano del informe no precisado por el report (2014 o 2026); el dataset Spring2024 (unico PEW abierto en este acto) no trae item de 'su iglesia lo busco a usted' para conversos evangelicos. Ver nocons-g2.tsv.
ASTRA5-U0-CONOC-014	CONFIANZA	LATINOBAROMETRO	DIFERIDO			SIN-VEREDICTO	Ola 2024 RESERVADA (E.6); el 52% maximo historico citado (via prensa, no leido del PDF por el propio report) no puede verificarse aqui.
ASTRA5-U0-SANC-005	CONFIANZA	LATINOBAROMETRO	DIFERIDO			SIN-VEREDICTO	Ola 2024 RESERVADA (E.6); ademas el item citado (confianza interpersonal, P10STGBS o similar) no es de los 4 leidos por CALC-LATINOBAROMETRO-COLA-2023-0001 (P1ST, P11STGBS_A, P15STGBS, P13ST_E).
ASTRA5-U0-TEC-033	TECNOLOGIA	ENDUTIH	DIFERIDO			SIN-VEREDICTO	El report no declara ola; ENDUTIH 2023/2024/2025 (no reservadas) traen P7_16_6 '¿Qué redes sociales utiliza? Whatsapp' (data/inventario-fd-v1_1.tsv) que sí mediría penetración de WhatsApp, pero ningún CALC sellado (CALC-ENDUTIH-PISOS-*/EMPLEO-15MAS-*) construye ese estimando; el 91% citado viene de blogs comerciales, no de INEGI.
ASTRA5-U0-FIN-017	CONFIANZA	ENIF	NO-CONSTRUIBLE			SIN-VEREDICTO	El instrumento real citado es ENAFI-ITAM, no ENIF/INEGI. Pregunta buscada: confianza interpersonal general estilo WVS/'la mayoría de las personas...'. Secciones recorridas: inventario-fd-v1_1.tsv y inventario-reactivos-contexto-v1_1.tsv para enif2012/2015/2018/2021/2024 (bloque P5/P10 de percepción de riesgo); sólo aparecen ítems de desconfianza en instituciones financieras (P5_15_1, P10_2_5, P10_7_5, P10_9_6, P10_16_2, P10_18_3: 'tiene desconfianza'/'son inseguros o le dan desconfianza'), ninguno es el ítem de confianza interpersonal general que sostiene el 22%.
ASTRA5-U0-TRUST-006	CONFIANZA	ENCIG	NO-CONSTRUIBLE			SIN-VEREDICTO	Pregunta buscada: confianza en 'la familia' como institución. Secciones recorridas: batería XI completa de ENCIG 2023 (p11_1_01..p11_1_25, inventario-reactivos-v1_2.tsv, texto_reactivo vacío al 100% para ENCIG -- declarado en spec.yaml de CALC-ENCIG-2023-0001-v1_1); ninguna de las 25 preguntas es 'familia' (la más cercana es p11_1_09 'parientes como tíos, primos, sobrinos'). WVS Q58 tampoco sustenta 87% (Q58 familia da 91.9%, no 87%).
ASTRA5-U0-TRUST-008	CONFIANZA	ENVIPE	DIFERIDO			SIN-VEREDICTO	Ola 2025 no reservada (2026 es la más reciente). El módulo de victimización trae BP1_29 (trato en el MP) y BP1_28 (razón de denuncia), y CALC-ENVIPE-DENUNCIA-SEGURO-0001 (sellado) mide propensión a denunciar según aseguramiento (0.791/0.672), no el desenlace 'resolución positiva'; ningún CALC sellado construye ese estimando de resultado de la denuncia.
ASTRA5-U0-TRUST-025	CONFIANZA	ENCIG	NO-CONSTRUIBLE			SIN-VEREDICTO	Misma razón que TRUST-006: la batería XI de ENCIG 2023 (p11_1_01..25) no trae ítem 'familia'; el ítem más cercano (p11_1_09, 'parientes') no es el objeto de la convergencia 77-87% citada con CESOP/Research Land 2026 (fuentes no INEGI, fuera de corpus).
