llave	dominio	conducta	instrumento_ola	segmento	universo_denominador	unidad_escala	punto	ic95_inf	ic95_sup	naturaleza_ic	estado_adopcion	firma	temporalidad	result_punto	result_inf	result_sup	calc	sha256_resultados	sha256_sello	uso	oferta_compatible	oferta_valor_ic	reserva
RESULT-DFVEJEZ-A-P-RECIBE	familia	recibe_dinero_familiares_para_vejez	VER-SPEC-UNIVERSO	familia.apoyo.recibe_dinero_familiares	FILTRO_S9_1=2 (aplica modulo vejez) y EDAD_V<71 -- 11895 personas.	p ponderado de recibe_dinero_familiares_para_vejez -- releva RES-0033 (esperado 0.457707)	0.4577065669362348			SIN-IC-IDENTIFICADO	CONSUMO-GEN2-ACTIVO	FIRMA DE MESA, mesa, 15 de septiembre de 2026 -- OBJETO: cuenta_gen2 = SI para toda corrida que este acto selle sobre spec congelada del mapa-19; no adopta al motor. (lanzamiento verbatim, forense/encargos/2026-09-15-GEN2-MEDICION-DEMANDA-2.md; fila propia en data/corrida0/decisiones.tsv, precedencia 1 del registro)	REVISAR-ORDEN-DE-SELLOS	RESULT-DFVEJEZ-A-P-RECIBE			CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	d2c89529a84bf5fd0dd14455b93f78bec1b5e20999d3ce138f303724e872158d	b9586ca8e41d042de895ad3258e119a8fedb68a35b2fa616e02ccc89ac8c381b	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez;forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:M	NO-APLICA		Revisar identidad estimando, oferta compatible y alcance de firma.
RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2012-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-P	dinero	tenencia de crédito bancario; ver denominador	ENIF 2012	NACIONAL	Persona elegida de cada ola (18-70 en 2012/2015/2018; 18+ en 2021) con desenlace definido y diseño válido; BANCARIA-ENTRE-TENEDORES sobre K1 = 1	proporción ponderada [0,1]	0.3289673703373918	0.30094160819869215	0.35720161239408454	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	SELLADO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	forense/encargos/2026-09-22-GEN2-DIN-CREDITO-SERIE-LECTURA-1.md	RETROSPECTIVA	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2012-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-P	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2012-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-IC-LO	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2012-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-IC-HI	CALC-DIN-CREDITO-K2-BANCARIA-HISTORIA-0002	d30313f2e7d29fc417332eeb30e332d84efa8bd9f493bcaa776331f332a30426	65b18e9ff1217ff62db320cd10a5af5c089b87d73500d4f27ee25560821104fd	K2-BANCARIA-HISTORIA-LECTURA	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		Entre tenedores y población nacional tienen denominadores distintos; no comparar como una misma serie.
RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2012-BANCARIA-NACIONAL-TODOS-P	dinero	tenencia de crédito bancario; ver denominador	ENIF 2012	NACIONAL	Persona elegida de cada ola (18-70 en 2012/2015/2018; 18+ en 2021) con desenlace definido y diseño válido; BANCARIA-ENTRE-TENEDORES sobre K1 = 1	proporción ponderada [0,1]	0.09034400176328025	0.08132942289110684	0.09949248159392073	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	SELLADO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	forense/encargos/2026-09-22-GEN2-DIN-CREDITO-SERIE-LECTURA-1.md	RETROSPECTIVA	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2012-BANCARIA-NACIONAL-TODOS-P	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2012-BANCARIA-NACIONAL-TODOS-IC-LO	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2012-BANCARIA-NACIONAL-TODOS-IC-HI	CALC-DIN-CREDITO-K2-BANCARIA-HISTORIA-0002	d30313f2e7d29fc417332eeb30e332d84efa8bd9f493bcaa776331f332a30426	65b18e9ff1217ff62db320cd10a5af5c089b87d73500d4f27ee25560821104fd	K2-BANCARIA-HISTORIA-LECTURA	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		Entre tenedores y población nacional tienen denominadores distintos; no comparar como una misma serie.
RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2015-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-P	dinero	tenencia de crédito bancario; ver denominador	ENIF 2015	NACIONAL	Persona elegida de cada ola (18-70 en 2012/2015/2018; 18+ en 2021) con desenlace definido y diseño válido; BANCARIA-ENTRE-TENEDORES sobre K1 = 1	proporción ponderada [0,1]	0.37035420888058596	0.34220203026402646	0.39897294464464567	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	SELLADO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	forense/encargos/2026-09-22-GEN2-DIN-CREDITO-SERIE-LECTURA-1.md	RETROSPECTIVA	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2015-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-P	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2015-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-IC-LO	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2015-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-IC-HI	CALC-DIN-CREDITO-K2-BANCARIA-HISTORIA-0002	d30313f2e7d29fc417332eeb30e332d84efa8bd9f493bcaa776331f332a30426	65b18e9ff1217ff62db320cd10a5af5c089b87d73500d4f27ee25560821104fd	K2-BANCARIA-HISTORIA-LECTURA	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		Entre tenedores y población nacional tienen denominadores distintos; no comparar como una misma serie.
RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2015-BANCARIA-NACIONAL-TODOS-P	dinero	tenencia de crédito bancario; ver denominador	ENIF 2015	NACIONAL	Persona elegida de cada ola (18-70 en 2012/2015/2018; 18+ en 2021) con desenlace definido y diseño válido; BANCARIA-ENTRE-TENEDORES sobre K1 = 1	proporción ponderada [0,1]	0.10758930278426612	0.09782380874712376	0.11803401013602033	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	SELLADO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	forense/encargos/2026-09-22-GEN2-DIN-CREDITO-SERIE-LECTURA-1.md	RETROSPECTIVA	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2015-BANCARIA-NACIONAL-TODOS-P	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2015-BANCARIA-NACIONAL-TODOS-IC-LO	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2015-BANCARIA-NACIONAL-TODOS-IC-HI	CALC-DIN-CREDITO-K2-BANCARIA-HISTORIA-0002	d30313f2e7d29fc417332eeb30e332d84efa8bd9f493bcaa776331f332a30426	65b18e9ff1217ff62db320cd10a5af5c089b87d73500d4f27ee25560821104fd	K2-BANCARIA-HISTORIA-LECTURA	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		Entre tenedores y población nacional tienen denominadores distintos; no comparar como una misma serie.
RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2018-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-P	dinero	tenencia de crédito bancario; ver denominador	ENIF 2018	NACIONAL	Persona elegida de cada ola (18-70 en 2012/2015/2018; 18+ en 2021) con desenlace definido y diseño válido; BANCARIA-ENTRE-TENEDORES sobre K1 = 1	proporción ponderada [0,1]	0.33808911139722214	0.3173927416939839	0.3591402613058448	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	SELLADO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	forense/encargos/2026-09-22-GEN2-DIN-CREDITO-SERIE-LECTURA-1.md	RETROSPECTIVA	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2018-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-P	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2018-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-IC-LO	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2018-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-IC-HI	CALC-DIN-CREDITO-K2-BANCARIA-HISTORIA-0002	d30313f2e7d29fc417332eeb30e332d84efa8bd9f493bcaa776331f332a30426	65b18e9ff1217ff62db320cd10a5af5c089b87d73500d4f27ee25560821104fd	K2-BANCARIA-HISTORIA-LECTURA	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		Entre tenedores y población nacional tienen denominadores distintos; no comparar como una misma serie.
RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2018-BANCARIA-NACIONAL-TODOS-P	dinero	tenencia de crédito bancario; ver denominador	ENIF 2018	NACIONAL	Persona elegida de cada ola (18-70 en 2012/2015/2018; 18+ en 2021) con desenlace definido y diseño válido; BANCARIA-ENTRE-TENEDORES sobre K1 = 1	proporción ponderada [0,1]	0.10531036643615595	0.09774561721897593	0.11309462656714685	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	SELLADO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	forense/encargos/2026-09-22-GEN2-DIN-CREDITO-SERIE-LECTURA-1.md	RETROSPECTIVA	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2018-BANCARIA-NACIONAL-TODOS-P	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2018-BANCARIA-NACIONAL-TODOS-IC-LO	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2018-BANCARIA-NACIONAL-TODOS-IC-HI	CALC-DIN-CREDITO-K2-BANCARIA-HISTORIA-0002	d30313f2e7d29fc417332eeb30e332d84efa8bd9f493bcaa776331f332a30426	65b18e9ff1217ff62db320cd10a5af5c089b87d73500d4f27ee25560821104fd	K2-BANCARIA-HISTORIA-LECTURA	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		Entre tenedores y población nacional tienen denominadores distintos; no comparar como una misma serie.
RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2021-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-P	dinero	tenencia de crédito bancario; ver denominador	ENIF 2021	NACIONAL	Persona elegida de cada ola (18-70 en 2012/2015/2018; 18+ en 2021) con desenlace definido y diseño válido; BANCARIA-ENTRE-TENEDORES sobre K1 = 1	proporción ponderada [0,1]	0.3239386128062082	0.30442918995552015	0.3432526685063119	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	SELLADO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	forense/encargos/2026-09-22-GEN2-DIN-CREDITO-SERIE-LECTURA-1.md	RETROSPECTIVA	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2021-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-P	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2021-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-IC-LO	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2021-BANCARIA-ENTRE-TENEDORES-NACIONAL-TODOS-IC-HI	CALC-DIN-CREDITO-K2-BANCARIA-HISTORIA-0002	d30313f2e7d29fc417332eeb30e332d84efa8bd9f493bcaa776331f332a30426	65b18e9ff1217ff62db320cd10a5af5c089b87d73500d4f27ee25560821104fd	K2-BANCARIA-HISTORIA-LECTURA	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		Entre tenedores y población nacional tienen denominadores distintos; no comparar como una misma serie.
RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2021-BANCARIA-NACIONAL-TODOS-P	dinero	tenencia de crédito bancario; ver denominador	ENIF 2021	NACIONAL	Persona elegida de cada ola (18-70 en 2012/2015/2018; 18+ en 2021) con desenlace definido y diseño válido; BANCARIA-ENTRE-TENEDORES sobre K1 = 1	proporción ponderada [0,1]	0.10122747771684451	0.09393094747062554	0.10854489327645667	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	SELLADO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	forense/encargos/2026-09-22-GEN2-DIN-CREDITO-SERIE-LECTURA-1.md	RETROSPECTIVA	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2021-BANCARIA-NACIONAL-TODOS-P	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2021-BANCARIA-NACIONAL-TODOS-IC-LO	RESULT-DIN-CREDITO-K2-BANCARIA-HISTORIA-2021-BANCARIA-NACIONAL-TODOS-IC-HI	CALC-DIN-CREDITO-K2-BANCARIA-HISTORIA-0002	d30313f2e7d29fc417332eeb30e332d84efa8bd9f493bcaa776331f332a30426	65b18e9ff1217ff62db320cd10a5af5c089b87d73500d4f27ee25560821104fd	K2-BANCARIA-HISTORIA-LECTURA	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		Entre tenedores y población nacional tienen denominadores distintos; no comparar como una misma serie.
RESULT-DIN-CREDITO-PISOS-ENIF2012-K1-CUENTA-CON-CUENTA-P	dinero	Proporciones marginales ponderadas ENIF 2012 de las conductas de crédito comparables por texto, por celda de eje, con IC95 bootstrap, unidad P o PR declarada por conducta: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (mismo marco; población 18-70 declarada)	ENIF 2012	CUENTA:CON-CUENTA	Persona elegida de 18 a 70 años (diseño de ENIF 2012) con desenlace definido y diseño válido; K6-PR sobre productos formales tenidos con variable de atraso; K6-P-TENEDORES sobre tenedores de al menos un producto cubierto; sin eje de formalidad (NO-CONSTRUIBLE por texto). Cada eje conserva su denominador válido.	proporción ponderada [0,1]	0.42381626331034267	0.39954938915144295	0.44802222806894626	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	PISO-HISTORICO-CONTEXTO; NO-ADOPCION-POR-CATALOGO	VER-DECISION-POR-CELDA	RETROSPECTIVA-HISTORICA	RESULT-DIN-CREDITO-PISOS-ENIF2012-K1-CUENTA-CON-CUENTA-P	RESULT-DIN-CREDITO-PISOS-ENIF2012-K1-CUENTA-CON-CUENTA-IC-LO	RESULT-DIN-CREDITO-PISOS-ENIF2012-K1-CUENTA-CON-CUENTA-IC-HI	CALC-DIN-CREDITO-PISOS-ENIF2012-0001	2f7d2204fed33eb6c77cbc4d54da9790b0d4aa9d84a1804e960a8713e5519359	de76b12e591dc00cbd640f3fd59ff2606848316cbf2a3a19f99c9ba307c01cb2	forense/analisis/din-oferta-exclusion/enlace-pisos.tsv	SIN-ENLACE:EJE-FUERA-DE-U1NA		EJE-FUERA-DE-U1NA
