necesidad_id	fuente_canonica	evidencia_id	estado_anterior	estado_propuesto	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana
N10	ENFIH	OE-9b56ce01d359ba88ae40d6b7	CANDIDATA	CANDIDATA	Horizonte temporal coobservado con violencia/justicia en el mismo instrumento.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N10	ENFIH	OE-6612a8e9ebcfd24252267f55	NEGATIVA	NEGATIVA	'9.3 ¿Usted tiene depositos a plazo fijo (solo puede retirar dinero en determinadas fechas)?'	Se preserva la negativa explícita y fuente-específica documentada; no se propaga a otras relaciones.	Escala/diseño/universo: binario Si/No, tenencia de producto; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 6 coincidencias de 'plazo' (una sola bateria: deposito a plazo fijo); futuro/planear/planeacion = 0. Le falta: es tenencia de un producto de ahorro con plazo fijo, no una disposicion de horizonte temporal ni una expectativa; y aunque lo fuera, no hay desenlace de G4 co-observable en este instrumento, 2026-08-08	NO
N10	ENSAFI2023_BD_CSV_ZIP	OE-89a3ea1f1f57946d79377e63	CANDIDATA	CANDIDATA	Horizonte temporal coobservado con violencia/justicia en el mismo instrumento.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N11	ENFIH	OE-c90c4a61a41208f3f31b9b3c	CANDIDATA	CANDIDATA	Sensibilidad de estatus coobservada con desenlace de violencia/justicia.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N12	ENFIH	OE-feb025d87b3cf3747adeb5d3	CANDIDATA	CANDIDATA	Apoyo familiar no circular, coobservado con conducta de seguro/afrontamiento ante ausencia estatal.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N12	ENFIH	OE-ccd36853bad165d40420a98b	NEGATIVA	NEGATIVA	'11.1 Si hoy tuviera una urgencia economica igual a lo que gana o recibe en un mes, ¿usted podria pagarla con un prestamo de amigos o familiares?'	Se preserva la negativa explícita y fuente-específica documentada; no se propaga a otras relaciones.	Escala/diseño/universo: binario Si/No; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 26 coincidencias de 'familiar', 15 de 'apoyo' (838 variables) -- la enorme mayoria son transacciones conductuales (prestamos ya recibidos de familiares, subsidios de gobierno) o P11_1_5 (capacidad percibida de afrontamiento en UN escenario hipotetico). Le falta: no es una disposicion general de apoyo/familismo, es capacidad percibida de coping en un escenario puntual, 2026-08-08	NO
N13	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	OE-8f78c2549f10817cc484275f	CANDIDATA	CANDIDATA	INDEXADO-NO-DESCARGADO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N13	ENASIC2022_FD_XLSX	OE-75c826e0dcde2762375dc60a	CANDIDATA	CONFIRMADA	P7_12_7: 'Se debe enseñar a la mujer (al hombre) que su deber es cuidar a los padres, cónyuge, hijas e hijos'; acuerdo/desacuerdo, n=5,579; coobservable con conducta real de cuidado.	Apertura local autoritativa data/abrir4-variables-2026-08-08.tsv:L20 declara EXISTE-SATISFACE para N13.	La decisión de reemplazar o complementar el proxy ENUT pertenece a la mesa; no afecta la relación fuente-evidencia.	NO
N13	ENFIH	OE-3ac182b073f5f5ffdaae010c	CANDIDATA	CANDIDATA	Obligación familiar explícita coobservada con conducta real de cuidado.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N13	ENFIH	OE-2964c990369bf5a4d703494c	NEGATIVA	NEGATIVA	—	Se preserva la negativa explícita y fuente-específica documentada; no se propaga a otras relaciones.	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 838 variables; terminos obligacion/cuidar/cuidado = 0, 2026-08-08	NO
N14	01-	OE-138ce4f6be7cb2ddb42c982a	CANDIDATA	CANDIDATA	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N14	ENFIH	OE-e5b64d206242e1e5d68b33ad	CANDIDATA	CANDIDATA	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N14	ENFIH	OE-2964c990369bf5a4d703494c	NEGATIVA	NEGATIVA	—	Se preserva la negativa explícita y fuente-específica documentada; no se propaga a otras relaciones.	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 838 variables; terminos confianza/confia = 0 -- ENFIH no trae ningun reactivo de confianza pese a cubrir conducta financiera extensa (ahorro, credito, deuda, seguros, remesas) en 16 tablas, 2026-08-08	NO
N14	ENSAFI2023_BD_CSV_ZIP	OE-f5415c4f1402e7c66987fbd5	CANDIDATA	CANDIDATA	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N15	ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	OE-cdf2629bb15a3bcdec46740a	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L18	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N17	ACLED	OE-fb51f080791a1ff581d30382	NO_ACCESIBLE	NO_ACCESIBLE	NO-ACCESIBLE	Se preserva la inaccesibilidad documentada; no hay base local para forzar adjudicación.	Escala/diseño/universo: 	NO
N17	CSES	OE-a85c21b316ca56fe487c9e96	CANDIDATA	CANDIDATA	INDEXADO-NO-DESCARGADO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N17	ENFIH	OE-fa212ce30e2252b97058dc83	CANDIDATA	CANDIDATA	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N17	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	OE-5b938f5f2dc363679c70c162	CANDIDATA	CANDIDATA	INDEXADO-NO-DESCARGADO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N17	UCDP	OE-36cef4421aa0ef049dcdaea3	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L14	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N17	UCDP	OE-a5da0f60c9d5c1b004733268	NEGATIVA	NEGATIVA	MAPEADO-NO-SATISFACE	Se preserva la negativa explícita y fuente-específica documentada; no se propaga a otras relaciones.	Escala/diseño/universo: 	NO
N18	ENIGH	OE-908664732583bf99e4d0527e	CANDIDATA	CANDIDATA	Evasión por sanción creíble × utilidad percibida, separando subsistencia y cinismo de clase alta.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N19	ENIF	OE-36d56b41c418e28901c021de	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L14	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N20	ENFIH	OE-9ef5332d117f6e0df34c9570	CANDIDATA	CANDIDATA	Denuncia coobservada con tenencia/activación de seguro.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N20	ENIF	OE-771b0085e69c873c2e587abe	CANDIDATA	CANDIDATA	Denuncia coobservada con tenencia/activación de seguro.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N20	ENVIPE	OE-ec4ae2e4df0decfd79367f30	CANDIDATA	CANDIDATA	Denuncia coobservada con tenencia/activación de seguro.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N21	SE	OE-42cf47afdecaf4acbd98ab36	CANDIDATA	CANDIDATA	Compra y prima de marca frente a sustituto en panel de hogares populares.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N22	SE	OE-ba89df5b01f12044531c3a48	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L132	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N24	ENIF	OE-6ef40dafb8aa2ce4de4aab6f	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L14	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N25	CSES	OE-cedf8cc675c79d950d6148cf	CANDIDATA	CANDIDATA	INDEXADO-NO-DESCARGADO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N25	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	OE-8f2afe044e85aa01a5d1887e	CANDIDATA	CANDIDATA	Serie municipal pareada por tipo de elección.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N26	CSES	OE-b68e43b5cbf141f527a529c9	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N26	CSES	OE-8d69579f53b76eab7ab312af	CANDIDATA	CANDIDATA	INDEXADO-NO-DESCARGADO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N26	ENIF	OE-bf0460662dfd327f8155a915	CANDIDATA	CANDIDATA	Efecto electoral alrededor del umbral de elegibilidad, independiente de aprobación presidencial.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N26	MEXICO_PANEL_STUDY_2012	OE-c4924c6957c6dfd37ddc93e0	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L16	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N26	REPOSITORIOS_UNAM_COLMEX_ITAM_DATAVERSE_ICPSR	OE-2b73e90cfd63a421f32db102	CANDIDATA	CANDIDATA	Efecto electoral alrededor del umbral de elegibilidad, independiente de aprobación presidencial.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N27	ACLED	OE-e33de56e4b7fd1b0c81357a2	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L134	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N27	ACLED	OE-003dc708d74f1d4bbd5c1ad5	NO_ACCESIBLE	NO_ACCESIBLE	NO-ACCESIBLE	Se preserva la inaccesibilidad documentada; no hay base local para forzar adjudicación.	Escala/diseño/universo: 	NO
N27	BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	OE-dd233626827fe6c90c301108	CANDIDATA	CANDIDATA	CANDIDATA	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N27	CSES	OE-a56efe10a720cb6696d3271e	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N27	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	OE-0bea3b72312f9c70ef4cd391	CANDIDATA	CANDIDATA	INDEXADO-NO-DESCARGADO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N27	MEXICO_PANEL_STUDY_2012	OE-3074d0aa35a610f7c8e280b5	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L16	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N27	RELLABORALES	OE-ede59336763d11312f8c178e	CANDIDATA	CANDIDATA	Eventos con agravio, actor, respuesta y entorno urbano/rural.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N27	UCDP	OE-12db61ac071539c534e80fed	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L14	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N27	UCDP	OE-731258e4893eb93fe1dc0bb6	NEGATIVA	NEGATIVA	MAPEADO-NO-SATISFACE	Se preserva la negativa explícita y fuente-específica documentada; no se propaga a otras relaciones.	Escala/diseño/universo: 	NO
N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	OE-cf8d6b60756007bb54baf260	CANDIDATA	CANDIDATA	INDEXADO-NO-DESCARGADO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N29	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	OE-63d0732feceeafcbd327963f	CANDIDATA	CANDIDATA	ABIERTO-SIN-MAPEO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N30	OECD	OE-df63ef5db172cb09effde66c	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L11	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N31	CCPV	OE-e3e2c41b1f94b885919e010d	CANDIDATA	CANDIDATA	Replicación fuera de muestra universitaria del hallazgo de Tlaxcala.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N31	ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	OE-04360854956741a50504a5b4	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L18	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N32	SE	OE-d8746552888bcd683139d5bd	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L132	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
