scope	familia_id	familia	encuesta_fuente	olas_en_manifiesto	unidad	celdas_propuestas	pregunta_transferencia	regla_M_que_emite_a_ciegas	material_existente	material_faltante	exposicion_previa	superficie_y_cita	estado	reserva_como_se_preserva	realista_para_piloto	que_falta_adquirir
EXPUESTA	E04-CIV-ENVE	CIV	ENVE (Victimizacion de Empresas)	2024 y anteriores	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	corpus/reports/Sancion_Social_Horizontal_en_Mexico...md cita ENVE 2024 CON su cifra negra (90.3%, 96.7% en un extremo): el corpus de L conoce justamente el estimando que una celda de denuncia mediria	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada. Es el caso de libro: expuesta por el numero, no solo por el nombre
EXPUESTA	E05-ENDUTIH-ENOE-ENSANUT-ENDIREH-EDER-ENUT-ENADID-ENCUP-ENSAFI-ENADIS-LAPOP-WVS-LATINOBAROMETRO-CSES-PEW-ENFIH-ENASIC-MOTRAL-CNGMD	(varias)	bloque expuesto, verificado familia por familia	varias	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	Todas con huella >0 en milpa/ o en el corpus de L. Conteos (milpa/corpusL): ENDUTIH 14/13 · ENOE 15/32 · ENSANUT 17/29 · ENDIREH 19/12 · EDER 21/3 · ENUT 8/12 · ENADID 8/7 · ENCUP 1/1 · ENSAFI 1/7 · ENADIS 1/3 · LAPOP 47/7 · WVS 0/43 · Latinobarometro 2/45 · CSES 4/2 · Pew 1/22 · ENFIH 7/0 · ENASIC 9/0 · MOTRAL 5/0 · CNGMD 1/0	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada
INDETERMINADA	I01-CIV-OECD-TRUST	CIV	OECD Trust Survey (A01 de FP-374)	ninguna en manifiesto	persona	ninguna	Confianza institucional; sin celdas definidas	ninguna regla del motor mide confianza institucional como tasa comparable	Ninguno en el arbol	Acceso, microdato, definicion de celda y consumidor	INDETERMINADA	El corpus de L cita 'OECD' 1 vez, pero como AGREGADO de comparacion (horas trabajadas, promedio OECD de participacion), no el Trust Survey. No alcanza para declararla expuesta ni para declararla limpia	INDETERMINADA	No determinable sin saber que se cito	NO	Acceso al microdato y una auditoria de exposicion que hoy no se puede cerrar. FP-374 ya decia 'sin acceso/celdas/consumidor'; este acto lo confirma y anade la causa
RETENIDA-CANDIDATA	R08-TRA-ENCRIGE-CORRUPCION	TRA	ENCRIGE (Encuesta Nacional de Calidad Regulatoria e Impacto Gubernamental en Empresas, INEGI)	2020 (3 entradas de manifiesto: tabulados csv, cuestionario, diseno muestral). 2016 existe como ola publicada y NO esta adquirida	unidad economica / establecimiento (NO persona)	ENCRIGE 2020, dos celdas por dominio declarado (tamano de unidad economica), con el precedente EMP-01..EMP-04 del marco piloto, que ya construye celdas como razones por dominio sobre tabulados. ENCRIGE 2016 queda intacta como reserva	Tasa de unidades economicas que experimentaron actos de corrupcion al realizar un tramite, pago o solicitud de servicio. Es transferencia de POBLACION Y UNIDAD (persona 18+ -> unidad economica), la MISMA que R02 -- no una segunda pregunta	tramite.mordida.discrecional (traza-motor.tsv: calibrada en ENCIG 2025, personas 18+ con P8_3_1 valido, FAC_P18). ENCRIGE es la hermana de ENCIG por diseno institucional: mismo INEGI, mismo concepto de tramite, otra unidad	"Tabulados 2020 en datos abiertos (zip con 676 filas de inventario en data/inventario-reactivos-descargas-mx-v1_2.tsv, con titulos de cuadro legibles: ""Trámites, pagos o actos de autoridad"", ""Percepción sobre la frecuencia de actos de corrupción"", ""Causas del desinterés: es necesario dar sobornos""), cuestionario 2020 en PDF y diseno muestral 2020 en PDF, los tres con sha256 en manifiesto"	MICRODATO: lo adquirido son TABULADOS (Datos abiertos/conjunto_de_datos/...), no el archivo de respondentes. Y la ola 2016 completa	NINGUNA en las cuatro superficies. Unica marca: el payload se adquirio buscando otra regla (tramite.evasion.norma_inutil_sancion_improbable) y el resultado registrado en manifiesto es NO-ENCONTRADO -- se busco y no se tomo nada; no afino ninguna regla	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · data/corrida0 + prereg-caja + corridas-R/L/M 0 · marcos 0 · crosswalk 0 (grep -ril -F encrige sobre las cuatro superficies, 15/sep/2026)	UNIDAD-DISTINTA-NO-TRANSFERENCIA	Se leen SOLO los titulos de cuadro ya inventariados y el cuestionario/diseno muestral (estructura) hasta que la spec este congelada. La ola 2016 no se toca ni en documentacion hasta la fase confirmatoria	NO -- resuelto por la MISMA firma F-19 que R02 (mesa, 15/sep/2026): el crosswalk persona->establecimiento NO es admisible para F6. Deja de perseguirse como celda de transferencia. Entra como familia DESCRIPTIVA del dominio TRA para el informe (junto con R02), rotulada UNIDAD-DISTINTA-NO-TRANSFERENCIA. F6 no se abre por esto.	N/A -- no se persigue como celda. Ver realista_para_piloto para su rol descriptivo.
RETENIDA-CANDIDATA	R09-FAM-ISSP-APOYO-DINERO	FAM	ISSP Mexico -- ZA6980 (2017 Social Networks and Social Resources) y ZA5900 (2012 Family and Changing Gender Roles IV)	ZA6980 v2.0.0 (dta, sav, cuestionario mx, background vars) y ZA5900 v4.0.0 (dta, sav, por, codebook, cuestionario mx, methodology report, overview, questionnaire development report) = 14 entradas de manifiesto. ZA7600 (2019) NO sirve: Mexico esta ausente de la muestra, declarado en su propia entrada	persona 18+ (muestra nacional Mexico, N=1002 de 44492 del archivo internacional, verificado 2026-08-31 en data/cola-adquisicion-v1_0.tsv)	"ZA6980 2017, dos celdas por dominio declarado (SEX; alternativa URBRURAL), con el precedente TIC-10/TIC-11 del marco piloto, que declara el universo ""por sexo"". ZA5900 2012 queda intacta como reserva de instrumento"	Entre personas adultas, que proporcion nombra a un familiar como primera fuente a la que acudiria para pedir prestada una suma grande de dinero. Es transferencia de CONSTRUCTO (recepcion efectiva de dinero de familiares -> fuente nombrada de apoyo monetario) y de INSTRUMENTO (ENIF -> ISSP)	familia.apoyo.recibe_dinero_familiares (traza-motor.tsv: calibrada en ENIF 2024, FILTRO_S9_1=2 y EDAD_V<71, P9_9_4=Si, tasa ponderada FAC_PER). Emite una tasa de apoyo familiar sin conocer el objetivo	"Microdato .dta y .sav de las dos olas y toda la documentacion, con sha256 en manifiesto. Y -- esto es lo que la distingue de R01 -- el REACTIVO YA ESTA FIJADO SIN ABRIR EL PAYLOAD: data/inventario-reactivos-descargas-mx-v1_2.tsv trae las 357 variables de ZA6980 CON etiqueta. v26 = ""Q8a Whom or where to ask for help: borrow large sum of money?"". Universo y ponderador tambien: c_alphan/country (ISO 3166) para el filtro Mexico, WEIGHT (Weighting factor), SEX, URBRURAL, AGE, CASEID, y MX_* para las variables especificas de pais"	RESUELTO EN ESTE ACTO: codificacion de v26 leida en ZA6980_q_mx.pdf (pagina 3, Pregunta 8, inciso a): "A quien o donde acudiria primero para pedir prestada una gran suma de dinero?" -- 1 Familiares o amigos cercanos / 2 Otras personas / 3 Companias privadas / 4 Servicios publicos / 5 Organizaciones sin fines de lucro o religiosas / 6 Otras organizaciones / 7 Ninguna persona u organizacion / 8 No puedo elegir. sha256 del PDF verificado contra manifiesto: 61bc0c80... (247978 B) COINCIDE. Escrito en data/reactivos-contexto-verificados-v1_0.tsv (fila za6980, v26).	"NINGUNA en las tres superficies de desarrollo. Una sola marca en la cuarta: forense/prereg-caja/S11-CRUCE-spec-v1_0.md cuenta ""ISSP 1"" dentro de una lista de instrumentos minimos cuyo mapeo de apertura empieza por NO-ENCONTRADO -- se nombro en un conteo de busqueda, no se evaluo ni afino regla. Declarada, no escondida"	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · marcos 0 · crosswalk 0 · prereg-caja 1 (S11-CRUCE, conteo de capa4, adjudicado NO ES EXPOSICION) (grep -ril -F issp/za6980/za5900/za7600, 15/sep/2026)	RETENIDA	Se lee SOLO documentacion (cuestionario mx y codebook) hasta que la spec este congelada; el .dta no se abre. ZA5900 2012 no se toca ni en documentacion hasta la fase confirmatoria, y de ZA6980 solo se usa v26: v21-v25 y v27-v30 (las otras nueve situaciones de apoyo del mismo modulo) quedan como reserva dentro de la misma ola	SI -- CONGELABLE. Unica familia del panel con reactivo, universo, ponderador, dominios Y codificacion completos tras este acto. Falta unicamente redactar la spec formal (prereg-caja) y correr -- cero mediciones en este acto (perimetro).	Nada material ni documental. Sucesor de medicion redacta prereg-caja y congela COMMIT-1.
RETENIDA-CANDIDATA	R10-DIN-ENCO-AHORRO	DIN	ENCO (Encuesta Nacional sobre Confianza del Consumidor, INEGI/Banxico)	Una sola ola adquirida: agosto 2026 (dbf) + cuestionario basico c_enco_b_v4.pdf. La ENCO es MENSUAL y continua desde 2001: el universo de olas publicadas es enorme y esta integro	hogar / persona seleccionada (con FACTOR en el archivo)	Dos olas mensuales o dos promedios anuales de la misma bateria (por fijar tras leer el cuestionario), reservando todas las demas	Entre hogares, que proporcion declara tener posibilidad de ahorrar. Es transferencia de CONSTRUCTO (tenencia de ahorro -> posibilidad declarada de ahorrar) y de INSTRUMENTO	dinero.ahorro.tiene_ahorros (traza-motor.tsv: calibrada en ENNViH ola 2 2005-06, panel con pr02/cr27 validos, tasa ponderada fac_3b). Es la UNICA regla del dominio DIN y hoy no tiene ninguna familia limpia ejecutable	DBF de agosto 2026 con 15 items P1-P15 del cuestionario basico y FACTOR, y el cuestionario impreso, ambos con sha256 en manifiesto; inventario con los nombres de variable (encocb_0826.DBF)	PARCIALMENTE RESUELTO EN ESTE ACTO: (a) confirmado -- c_enco_b_v4.pdf, pagina 1, item 10: "ACTUALMENTE USTED tiene posibilidades de AHORRAR alguna parte de sus ingresos?", codigos 1=Si/2=No/3=No sabe/4=No tiene ingresos (EXISTE-SATISFACE sobre el criterio de F6-falta-conseguir-v1_0.tsv). sha256 del PDF verificado contra manifiesto: f7e9d6b9... (170567 B) COINCIDE. Escrito en data/reactivos-contexto-verificados-v1_0.tsv (fila enco, P10). (b) sigue faltando: dos olas de microdato ENCO -- ADQUISICION, fuera de este perimetro (servicio adq, no se toca su cola).	"NINGUNA en las cuatro superficies. El unico hit de corpus fue la frase ""confianza del consumidor"" en prosa sobre marcas (Psicologia_del_Consumidor_Mexicano), adjudicado a mano como FALSO POSITIVO: no es el instrumento"	milpa/ 0 · corpus de L 0 (grep -rnw ENCO sobre milpa+corpus: 0 archivos con coincidencia, de 0 aciertos; el hit por frase se adjudico aparte) · traza-motor.tsv 0 · data/corrida0 + prereg-caja + prereg-duelo-v2 0 · marcos 0 · crosswalk 0 (15/sep/2026)	RETENIDA	Se lee SOLO el cuestionario basico ya adquirido; el DBF de agosto 2026 no se abre y no es ninguna de las dos celdas -- queda como tercera ola de control	NO HOY -- (a) YA CONFIRMADO en este acto (arriba); (b) adquisicion de dos olas sigue pendiente y no es ejecutable desde este acto (perimetro: no se adquiere). Sigue siendo la candidata mas barata del dominio DIN, ahora con un solo bloqueador en vez de dos.	Nada de lectura -- ya resuelto. Adquirir dos olas mensuales/anuales objetivo de ENCO desde INEGI (microdato publico, descarga directa): entregado a servicio adq, no ejecutado aqui.
RETENIDA-PARCIAL	R11-TRA-ENPOL-MORDIDA	TRA/CIV	ENPOL (Encuesta Nacional de Poblacion Privada de la Libertad, INEGI)	2021 (BD csv + FD). La ola 2016 existe publicada y NO esta adquirida. No hay mas olas	persona 18+ privada de la libertad	Ninguna limpia: la unica ola adquirida (2021) YA es la celda CIV-12 del marco congelado piloto, con variable P3_21_1 fijada y prueba del bibliotecario corrida	Entre personas detenidas, que proporcion declara que una autoridad le pidio dinero o algo a cambio. Seria transferencia de POBLACION dentro de la misma unidad persona -- la mas limpia del dominio TRA si hubiera dos olas libres	tramite.mordida.discrecional. Pero el enlace ya existente para ENPOL (CIV-12 / P3_21_1) esta clasificado NO-EMITE en crosswalk-pregunta-regla-v1_1	BD 2021 en csv y FD 2021 en PDF, con sha256 en manifiesto	La ola 2016 completa. Y una celda libre: 2021 ya esta comprometida en el marco piloto	LIMPIA en las tres superficies de desarrollo; COMPROMETIDA en marcos y crosswalk	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · MARCO: marco-congelado-piloto-v1_0.tsv linea CIV-12 (ENPOL 2021, P3_21_1, FAC_PER) · CROSSWALK: crosswalk-pregunta-regla-v1_1.tsv CIV-12 NO-EMITE y enlace-M-v1_0.md idem (15/sep/2026)	RETENIDA	Con una sola ola libre no hay reserva que preservar: adquirir 2016 es condicion previa, no opcional	NO -- una ola adquirida y ya comprometida no da dos celdas con reserva	ENPOL 2016 completa (BD + FD). Con ella la familia pasa a dos olas, una de ellas libre
RETENIDA-NO-EJECUTABLE	R12-CIV-ECOPRED	CIV	ECOPRED 2014 (Encuesta de Cohesion Social para la Prevencion de la Violencia y la Delincuencia, INEGI)	2014 (1 entrada: bd dbf). Instrumento levantado una sola vez	persona de 12 a 29 anios en 47 ciudades	Ninguna: una sola ola	n/a	civico.denuncia.miedo_desconfianza seria la candidata natural por dominio, pero sin segunda ola no hay par	BD 2014 en dbf con sha256 en manifiesto	Una segunda ola, que no existe	LIMPIA en las tres superficies de desarrollo; una mencion en prereg-caja S11-CRUCE, y es una RUTA de inventario (data/raw/ecopred2014/**), no un uso	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · prereg-caja 1 (S11-CRUCE, listado de perimetro de inventario, adjudicado NO ES EXPOSICION) (15/sep/2026)	RETENIDA	No aplica: sin par no hay reserva	NO -- una sola ola, como R07	Nada adquirible: el instrumento no tiene segunda ola
RETENIDA-NO-EJECUTABLE	R13-FAM-ELCOS	FAM	ELCOS 2012 (Encuesta Laboral y de Corresponsabilidad Social, INEGI)	2012 (BD dbf + FD xls). Instrumento levantado una sola vez	persona / hogar	Ninguna: una sola ola	n/a	familia.apoyo.* por dominio, sin par de olas que la sostenga	BD 2012 y FD 2012 con sha256 en manifiesto	Una segunda ola, que no existe	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · evaluacion 0 · marcos 0 · crosswalk 0 (grep -ril -F elcos, 15/sep/2026)	RETENIDA	No aplica	NO -- una sola ola	Nada adquirible: el instrumento no tiene segunda ola
RETENIDA-SIN-REACTIVO	R14-ENH	FAM/DIN	ENH 2017 (Encuesta Nacional de los Hogares, INEGI)	2017 (hogar, persona, vivienda en csv + cuestionario). Las olas 2014/2016 existen y no estan adquiridas	hogar / persona	Ninguna: el instrumento no trae reactivo para ninguna regla de M	n/a	ninguna: la busqueda por inventario no encuentra reactivo elegible	Tres csv 2017 y cuestionario, con sha256 en manifiesto	No es material lo que falta: es el reactivo	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · evaluacion 0 · marcos 0 · crosswalk 0. NEGATIVO DE REACTIVO POR A.15: sobre las 181 filas de ENH en data/inventario-reactivos-descargas-mx-v1_2.tsv, el patron remes|ahorr|transf|apoyo|ingres|dinero|beca|jubil devuelve 4 nombres y los cuatro son becas o jardinero -- EXISTE-NO-SATISFACE, no NO-ENCONTRADO	RETENIDA	No aplica	NO -- sin reactivo no hay celda	Nada: adquirir 2014/2016 no cambia el veredicto de reactivo
EXPUESTA	E06-ENSU	CIV	ENSU (Encuesta Nacional de Seguridad Publica Urbana, INEGI)	2025 (BD csv) + DDI del RNM	persona 18+ urbana	ninguna: expuesta	n/a	n/a	BD 2025	n/a	EXPUESTA EN DESARROLLO -- aparece en milpa y en el corpus de L	milpa/procedencia.yaml, milpa/src/salida.py, milpa/milpa-whitepaper-v0_1.md, milpa/milpa-spec-v0_2.md, milpa/milpa-plan-v0_1.md · corpus de L: 4 documentos (Sancion_Social_Horizontal, El_Mexicano_y_el_Tiempo, El_Efecto_Ambiental_de_la_Violencia_Cronica, La_arquitectura_invisible). grep -rlw ENSU, 15/sep/2026. La primera pasada de este acto la habia dado por limpia usando los tokens ensu20/ensu_ -- se corrigio al buscar la palabra completa	EXPUESTA	n/a	NO	n/a
