id_celda	variante	indice	valor	estado	fragmento_citado
CIV-M-13	L+corpus	8	0.1450	EXTRAIBLE	13–16%
CIV-M-13	L-solo	1	0.9300	EXTRAIBLE	93%
CIV-M-13	L-solo	2	0.6250	EXTRAIBLE	60-65%
CIV-M-13	L-solo	3	0.1750	EXTRAIBLE	15–20 %
CIV-M-13	L-solo	4		NO-EXTRAIBLE	
CIV-M-13	L-solo	5	0.2600	EXTRAIBLE	≈ 26 %
CIV-M-13	L-solo	6	0.2000	EXTRAIBLE	≈ 20 %
CIV-M-13	L-solo	7	0.2700	EXTRAIBLE	27 %
CIV-M-13	L-solo	8	0.1900	EXTRAIBLE	≈ 19 %
FAM-M-01	L+corpus	1	0.2500	EXTRAIBLE	≈ 25 %
FAM-M-01	L+corpus	2	0.2200	EXTRAIBLE	~22 %
FAM-M-01	L+corpus	3	0.1500	EXTRAIBLE	10–20 %
FAM-M-01	L+corpus	4	0.2000	EXTRAIBLE	≈ 20%
FAM-M-01	L+corpus	5	0.2000	EXTRAIBLE	~20 %
FAM-M-01	L+corpus	6	0.3000	EXTRAIBLE	30 %
FAM-M-01	L+corpus	7	0.2000	EXTRAIBLE	20 %
FAM-M-01	L+corpus	8	0.3000	EXTRAIBLE	0.30
FAM-M-01	L-solo	1	0.3000	EXTRAIBLE	≈ 30 %
FAM-M-01	L-solo	2	0.3000	EXTRAIBLE	~30%
FAM-M-01	L-solo	3	0.3000	EXTRAIBLE	~30 %
FAM-M-01	L-solo	4	0.3000	EXTRAIBLE	~30 %
FAM-M-01	L-solo	5	0.2000	EXTRAIBLE	≈ 20 %
FAM-M-01	L-solo	6	0.2000	EXTRAIBLE	~20 %
FAM-M-01	L-solo	7	0.3000	EXTRAIBLE	~30%
FAM-M-01	L-solo	8	0.2500	EXTRAIBLE	~25 %
TRA-M-03	L+corpus	1	0.1200	EXTRAIBLE	~12 %
TRA-M-03	L+corpus	2	0.1200	EXTRAIBLE	≈ 12 %
TRA-M-03	L+corpus	3	0.1250	EXTRAIBLE	12–13 %
TRA-M-03	L+corpus	4	0.1200	EXTRAIBLE	0.12
TRA-M-03	L+corpus	5	0.1200	EXTRAIBLE	≈ 12 %
TRA-M-03	L+corpus	6	0.1200	EXTRAIBLE	≈ 12 %
TRA-M-03	L+corpus	7	0.1200	EXTRAIBLE	~12 %
TRA-M-03	L+corpus	8	0.1250	EXTRAIBLE	~12.5 %
TRA-M-03	L-solo	1	0.1200	EXTRAIBLE	0.12
TRA-M-03	L-solo	2	0.1250	EXTRAIBLE	~12.5 %
TRA-M-03	L-solo	3	0.1200	EXTRAIBLE	~12%
TRA-M-03	L-solo	4	0.1200	EXTRAIBLE	~12%
TRA-M-03	L-solo	5	0.1250	EXTRAIBLE	12–13 %
TRA-M-03	L-solo	6	0.1250	EXTRAIBLE	12–13 %
TRA-M-03	L-solo	7	0.1200	EXTRAIBLE	~12 %
TRA-M-03	L-solo	8	0.1250	EXTRAIBLE	12–13 %
TRA-M-05	L+corpus	1	0.1450	EXTRAIBLE	14–15 %
TRA-M-05	L+corpus	2	0.1460	EXTRAIBLE	~14.6 %
TRA-M-05	L+corpus	3	0.1500	EXTRAIBLE	15 %
TRA-M-05	L+corpus	4	0.1500	EXTRAIBLE	≈ 15 %
TRA-M-05	L+corpus	5	0.1460	EXTRAIBLE	14.6 %
TRA-M-05	L+corpus	6	0.1460	EXTRAIBLE	~14.6 %
TRA-M-05	L+corpus	7	0.1450	EXTRAIBLE	14–15 %
TRA-M-05	L+corpus	8	0.1460	EXTRAIBLE	14.6 %
TRA-M-05	L-solo	1	0.1460	EXTRAIBLE	≈ 14.6 %
TRA-M-05	L-solo	2	0.1460	EXTRAIBLE	~14.6 %
TRA-M-05	L-solo	3	0.1500	EXTRAIBLE	15 %
TRA-M-05	L-solo	4	0.1460	EXTRAIBLE	≈ 14.6 %
TRA-M-05	L-solo	5	0.1450	EXTRAIBLE	14–15 %
TRA-M-05	L-solo	6	0.1460	EXTRAIBLE	≈ 14.6 %
TRA-M-05	L-solo	7	0.1500	EXTRAIBLE	≈ 15 %
TRA-M-05	L-solo	8	0.1450	EXTRAIBLE	14–15 %
TRA-M-07	L+corpus	1	0.1450	EXTRAIBLE	14–15 %
TRA-M-07	L+corpus	2	0.1450	EXTRAIBLE	14–15 %
TRA-M-07	L+corpus	3	0.1500	EXTRAIBLE	~15 %
TRA-M-07	L+corpus	4	0.1450	EXTRAIBLE	14–15 %
TRA-M-07	L+corpus	5	0.1500	EXTRAIBLE	≈ 15 %
TRA-M-07	L+corpus	6	0.1470	EXTRAIBLE	0.147
TRA-M-07	L+corpus	7	0.1470	EXTRAIBLE	14.7 %
TRA-M-07	L+corpus	8	0.1470	EXTRAIBLE	≈ 14.7 %
TRA-M-07	L-solo	1	0.1500	EXTRAIBLE	0.15
TRA-M-07	L-solo	2	0.1400	EXTRAIBLE	≈ 14 %
TRA-M-07	L-solo	3	0.1450	EXTRAIBLE	14–15 %
TRA-M-07	L-solo	4	0.1470	EXTRAIBLE	14.7 %
TRA-M-07	L-solo	5	0.1400	EXTRAIBLE	~14 %
TRA-M-07	L-solo	6	0.1400	EXTRAIBLE	14 %
TRA-M-07	L-solo	7	0.1470	EXTRAIBLE	~14.7 %
TRA-M-07	L-solo	8	0.1450	EXTRAIBLE	14–15 %
