id_afirmacion	instrumento_en_corpus	programas_citados	olas_citadas	olas_en_corpus
ASTRA5-U0-PAREJA-014	INSTRUMENTO-Y-OLA-EN-CORPUS	ENDIREH	2021	ENDIREH_2021
ASTRA5-U0-PAREJA-016	INSTRUMENTO-Y-OLA-EN-CORPUS	CCPV	2020	CCPV_2020
ASTRA5-U0-PAREJA-021	INSTRUMENTO-Y-OLA-EN-CORPUS	EMAT	2022	EMAT_2022
ASTRA5-U0-PAREJA-029	SIN-INSTRUMENTO-EN-CORPUS		2007;2024	
ASTRA5-U0-PAREJA-030	INSTRUMENTO-Y-OLA-EN-CORPUS	EMAT	2013;2022	EMAT_2013;EMAT_2022
ASTRA5-U0-GENBEH-006	SIN-INSTRUMENTO-EN-CORPUS		2014	
ASTRA5-U0-GENBEH-007	SIN-INSTRUMENTO-EN-CORPUS		2014	
ASTRA5-U0-GENBEH-008	SIN-INSTRUMENTO-EN-CORPUS		2014	
ASTRA5-U0-GENBEH-010	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-GENBEH-033	SIN-INSTRUMENTO-EN-CORPUS		2017;2018	
ASTRA5-U0-SALUD-001	SIN-INSTRUMENTO-EN-CORPUS		2019	
ASTRA5-U0-SALUD-004	SIN-INSTRUMENTO-EN-CORPUS		2020;2021	
ASTRA5-U0-SALUD-007	INSTRUMENTO-Y-OLA-EN-CORPUS	ENCODAT	2025	ENCODAT_2025
ASTRA5-U0-SALUD-016	INSTRUMENTO-Y-OLA-EN-CORPUS	ENSANUT	2018;2024	ENSANUT_2018;ENSANUT_2024
ASTRA5-U0-SALUD-025	INSTRUMENTO-Y-OLA-EN-CORPUS	ENSANUT	2018;2022	ENSANUT_2018;ENSANUT_2022
ASTRA5-U0-HUM-001	SIN-INSTRUMENTO-EN-CORPUS		2022;2024;2025	
ASTRA5-U0-HUM-002	SIN-INSTRUMENTO-EN-CORPUS		2021;2023;2024	
ASTRA5-U0-HUM-003	SIN-INSTRUMENTO-EN-CORPUS		2021;2022;2023;2024;2025	
ASTRA5-U0-HUM-004	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	LATINOBAROMETRO	2024	
ASTRA5-U0-HUM-005	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	LATINOBAROMETRO	2024	
ASTRA5-U0-HUM-006	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	LATINOBAROMETRO	2024	
ASTRA5-U0-HUM-007	SIN-INSTRUMENTO-EN-CORPUS		2025	
ASTRA5-U0-INTER-030	SIN-INSTRUMENTO-EN-CORPUS		1967	
ASTRA5-U0-FAM-003	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-FAM-004	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	ENOE		
ASTRA5-U0-FAM-005	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	CCPV;INTERCENSAL		
ASTRA5-U0-FAM-018	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-FAM-019	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-FAM-023	INSTRUMENTO-Y-OLA-EN-CORPUS	EDR	2017;2022	EDR_2017;EDR_2022
ASTRA5-U0-FAM-025	INSTRUMENTO-Y-OLA-EN-CORPUS	CCPV;ENASIC;ENSAFI;INTERCENSAL	2020;2022;2023	CCPV_2020;ENASIC_2022;ENSAFI_2023
ASTRA5-U0-FAM-031	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-FAM-033	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-FAM-035	INSTRUMENTO-Y-OLA-EN-CORPUS	CCPV;ENIGH;INTERCENSAL	2020	CCPV_2020;ENIGH_2020
ASTRA5-U0-FAM-041	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-FAM-042	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-FAM-047	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-GENOM-004	SIN-INSTRUMENTO-EN-CORPUS		2018;2019	
ASTRA5-U0-GENOM-017	SIN-INSTRUMENTO-EN-CORPUS		2026	
ASTRA5-U0-GENOM-020	SIN-INSTRUMENTO-EN-CORPUS		2025	
ASTRA5-U0-GENOM-022	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-GENOM-026	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-EMOC-002	SIN-INSTRUMENTO-EN-CORPUS		2017	
ASTRA5-U0-EMOC-005	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-EMOC-011	SIN-INSTRUMENTO-EN-CORPUS		1960;1990;2020	
ASTRA5-U0-MER-008	SIN-INSTRUMENTO-EN-CORPUS		2025;2026	
ASTRA5-U0-MER-010	SIN-INSTRUMENTO-EN-CORPUS		2024;2025	
ASTRA5-U0-MER-011	SIN-INSTRUMENTO-EN-CORPUS		2024;2025	
ASTRA5-U0-MER-012	SIN-INSTRUMENTO-EN-CORPUS		2024;2025	
ASTRA5-U0-MER-013	SIN-INSTRUMENTO-EN-CORPUS		2023;2025	
ASTRA5-U0-MER-014	SIN-INSTRUMENTO-EN-CORPUS		2023;2025	
ASTRA5-U0-MER-015	SIN-INSTRUMENTO-EN-CORPUS		2023;2025	
ASTRA5-U0-MER-016	SIN-INSTRUMENTO-EN-CORPUS		2023;2025	
ASTRA5-U0-MER-017	SIN-INSTRUMENTO-EN-CORPUS		2023;2025	
ASTRA5-U0-MER-018	SIN-INSTRUMENTO-EN-CORPUS		2023;2025	
ASTRA5-U0-MER-019	SIN-INSTRUMENTO-EN-CORPUS		2017;2021	
ASTRA5-U0-MER-020	SIN-INSTRUMENTO-EN-CORPUS		2017;2021	
ASTRA5-U0-MER-021	SIN-INSTRUMENTO-EN-CORPUS		2017;2021	
ASTRA5-U0-MER-022	SIN-INSTRUMENTO-EN-CORPUS		2017;2021	
ASTRA5-U0-MER-023	SIN-INSTRUMENTO-EN-CORPUS		2025	
ASTRA5-U0-MER-033	INSTRUMENTO-Y-OLA-EN-CORPUS	MMSI	2016	MMSI_2016
ASTRA5-U0-POL-017	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-POL-029	INSTRUMENTO-Y-OLA-EN-CORPUS	LATINOBAROMETRO	2023	LATINOBAROMETRO_2023
ASTRA5-U0-SINT-008	SIN-INSTRUMENTO-EN-CORPUS		2011	
ASTRA5-U0-SINT-009	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-SINT-012	SIN-INSTRUMENTO-EN-CORPUS		2009	
ASTRA5-U0-SINT-017	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-SINT-019	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-SINT-026	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-JUV-013	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-JUV-025	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-CONS-002	SIN-INSTRUMENTO-EN-CORPUS		2011;2012	
ASTRA5-U0-CONS-003	SIN-INSTRUMENTO-EN-CORPUS		2011	
ASTRA5-U0-CONS-025	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-TRAB-004	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-TRAB-020	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-TRAB-041	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-MIGR-001	SIN-INSTRUMENTO-EN-CORPUS		2025	
ASTRA5-U0-MIGR-002	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	MIGRACION		
ASTRA5-U0-MIGR-017	SIN-INSTRUMENTO-EN-CORPUS		2026	
ASTRA5-U0-MIGR-040	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-MIGR-042	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-GEN-006	SIN-INSTRUMENTO-EN-CORPUS		2015;2025	
ASTRA5-U0-GEN-007	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-GEN-013	SIN-INSTRUMENTO-EN-CORPUS		2024	
ASTRA5-U0-GEN-030	SIN-INSTRUMENTO-EN-CORPUS		2012	
ASTRA5-U0-GEN-031	INSTRUMENTO-Y-OLA-EN-CORPUS	ENDIREH	2021	ENDIREH_2021
ASTRA5-U0-RELIG-008	INSTRUMENTO-Y-OLA-EN-CORPUS	CCPV	2020	CCPV_2020
ASTRA5-U0-RELIG-011	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-RELIG-033	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-CONOC-001	INSTRUMENTO-Y-OLA-EN-CORPUS	PISA	2022;2023	PISA_2022
ASTRA5-U0-CONOC-002	INSTRUMENTO-Y-OLA-EN-CORPUS	PISA	2022;2023	PISA_2022
ASTRA5-U0-CONOC-003	INSTRUMENTO-Y-OLA-EN-CORPUS	PISA	2022;2023	PISA_2022
ASTRA5-U0-CONOC-004	INSTRUMENTO-Y-OLA-EN-CORPUS	ENPECYT	2017;2018	ENPECYT_2017
ASTRA5-U0-CONOC-005	INSTRUMENTO-Y-OLA-EN-CORPUS	ENPECYT	2017;2018	ENPECYT_2017
ASTRA5-U0-CONOC-006	SIN-INSTRUMENTO-EN-CORPUS		2018;2019	
ASTRA5-U0-CONOC-010	INSTRUMENTO-Y-OLA-EN-CORPUS	ENSANUT	2021;2022;2023	ENSANUT_2021;ENSANUT_2022;ENSANUT_2023
ASTRA5-U0-SALMEN-001	SIN-INSTRUMENTO-EN-CORPUS		2001;2002	
ASTRA5-U0-SALMEN-006	SIN-INSTRUMENTO-EN-CORPUS		2021	
ASTRA5-U0-SALMEN-013	INSTRUMENTO-Y-OLA-EN-CORPUS	ENSANUT	2022	ENSANUT_2022
ASTRA5-U0-SALMEN-015	INSTRUMENTO-Y-OLA-EN-CORPUS	EDR	2024;2025	EDR_2024
ASTRA5-U0-SALMEN-016	INSTRUMENTO-Y-OLA-EN-CORPUS	EDR	2024	EDR_2024
ASTRA5-U0-SALMEN-018	INSTRUMENTO-Y-OLA-EN-CORPUS	ENCOVID-19	2020	ENCOVID-19_2020
ASTRA5-U0-SALMEN-024	SIN-INSTRUMENTO-EN-CORPUS		2024	
ASTRA5-U0-SALMEN-025	INSTRUMENTO-Y-OLA-EN-CORPUS	DUTIH;ENDUTIH	2024	ENDUTIH_2024
ASTRA5-U0-SALMEN-026	SIN-INSTRUMENTO-EN-CORPUS		2018	
ASTRA5-U0-SANC-001	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-SANC-007	INSTRUMENTO-Y-OLA-EN-CORPUS	ENSU	2024;2025	ENSU_2024;ENSU_2025
ASTRA5-U0-SANC-012	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-VEJEZ-001	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-VEJEZ-002	INSTRUMENTO-Y-OLA-EN-CORPUS	ENADID	2018;2023	ENADID_2018;ENADID_2023
ASTRA5-U0-VEJEZ-005	INSTRUMENTO-Y-OLA-EN-CORPUS	CCPV	2020	CCPV_2020
ASTRA5-U0-VEJEZ-006	INSTRUMENTO-Y-OLA-EN-CORPUS	CCPV	2020	CCPV_2020
ASTRA5-U0-VEJEZ-025	INSTRUMENTO-Y-OLA-EN-CORPUS	ENOE	2024	ENOE_2024
ASTRA5-U0-VEJEZ-026	INSTRUMENTO-Y-OLA-EN-CORPUS	ENOE	2025	ENOE_2025
ASTRA5-U0-VEJEZ-029	SIN-INSTRUMENTO-EN-CORPUS		2022	
