resultado_id	consumidor	tipo_uso	corrida_natural	valor_legacy	estado_relevo	razon_relevo	calc_observado	result_observado	causa_principal	subcausa	grupo_dependencia	disponibilidad_acreditada	siguiente_accion	compuerta	paquete_propuesto	evidencia
RES-0029	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	conducta_p_medido	CORR-0008	0.174804	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DATO-O-DOCUMENTACION-FALTANTE	DISENO-MUESTRAL-ENNVIH-NO-PUBLICADO-O-NO-LOCALIZADO	ENNVIH-DISENO	tres payloads con sha256 están manifestados; falta pesos replicados o servicio oficial de varianza	ampliar el expediente 03-ENNVIH-DIN-S6 para RES-0029/0030 y G3.horizonte_temporal; titular decide y envía	DECISION-REQUERIDA	P02-ENNVIH-DISENO	NC-0156; sonda CORR-0008; expediente 03-ENNVIH-DIN-S6.md
RES-0030	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	conducta_p_medido	CORR-0008	0.825196	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DATO-O-DOCUMENTACION-FALTANTE	DISENO-MUESTRAL-ENNVIH-NO-PUBLICADO-O-NO-LOCALIZADO	ENNVIH-DISENO	tres payloads con sha256 están manifestados; falta pesos replicados o servicio oficial de varianza	ampliar el expediente 03-ENNVIH-DIN-S6 para RES-0029/0030 y G3.horizonte_temporal; titular decide y envía	DECISION-REQUERIDA	P02-ENNVIH-DISENO	NC-0156; sonda CORR-0008; expediente 03-ENNVIH-DIN-S6.md
RES-0067	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.confianza_institucional	coeficiente_ejecutable	CORR-0018	-0.0645	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	FORMALIZACION-DIFERIDA-POR-F11	COEFICIENTES-CORR-0018	las siete fuentes están identificadas y manifestadas; F-11 mantiene D3(b) y ordena no formalizar ahora	esperar demanda material de consumidor; no abrir CALC ni editar milpa en este lote	YA-DECIDIDO	NINGUNO	sonda CORR-0018; FIRMAS-MESA-2 F-11
RES-0068	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.radio_confianza	coeficiente_ejecutable	CORR-0018	-0.06626	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	FORMALIZACION-DIFERIDA-POR-F11	COEFICIENTES-CORR-0018	las siete fuentes están identificadas y manifestadas; F-11 mantiene D3(b) y ordena no formalizar ahora	esperar demanda material de consumidor; no abrir CALC ni editar milpa en este lote	YA-DECIDIDO	NINGUNO	sonda CORR-0018; FIRMAS-MESA-2 F-11
RES-0069	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.familismo_apoyo	coeficiente_ejecutable	CORR-0018	0.0279	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	FORMALIZACION-DIFERIDA-POR-F11	COEFICIENTES-CORR-0018	las siete fuentes están identificadas y manifestadas; F-11 mantiene D3(b) y ordena no formalizar ahora	esperar demanda material de consumidor; no abrir CALC ni editar milpa en este lote	YA-DECIDIDO	NINGUNO	sonda CORR-0018; FIRMAS-MESA-2 F-11
RES-0070	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.exposicion_violencia	coeficiente_ejecutable	CORR-0018	0.16614	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	FORMALIZACION-DIFERIDA-POR-F11	COEFICIENTES-CORR-0018	las siete fuentes están identificadas y manifestadas; F-11 mantiene D3(b) y ordena no formalizar ahora	esperar demanda material de consumidor; no abrir CALC ni editar milpa en este lote	YA-DECIDIDO	NINGUNO	sonda CORR-0018; FIRMAS-MESA-2 F-11
RES-0071	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.confianza_institucional	coeficiente_ejecutable	CORR-0018	-0.166208	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	FORMALIZACION-DIFERIDA-POR-F11	COEFICIENTES-CORR-0018	las siete fuentes están identificadas y manifestadas; F-11 mantiene D3(b) y ordena no formalizar ahora	esperar demanda material de consumidor; no abrir CALC ni editar milpa en este lote	YA-DECIDIDO	NINGUNO	sonda CORR-0018; FIRMAS-MESA-2 F-11
RES-0072	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.horizonte_temporal	coeficiente_ejecutable	CORR-0018	0.0876	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	FORMALIZACION-DIFERIDA-POR-F11	COEFICIENTES-CORR-0018	las siete fuentes están identificadas y manifestadas; F-11 mantiene D3(b) y ordena no formalizar ahora	esperar demanda material de consumidor; no abrir CALC ni editar milpa en este lote	YA-DECIDIDO	NINGUNO	sonda CORR-0018; FIRMAS-MESA-2 F-11
RES-0073	milpa/procedencia.yaml:coeficientes_generador_sellados:G5.familismo_apoyo	coeficiente_ejecutable	CORR-0018	0.004099	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	FORMALIZACION-DIFERIDA-POR-F11	COEFICIENTES-CORR-0018	las siete fuentes están identificadas y manifestadas; F-11 mantiene D3(b) y ordena no formalizar ahora	esperar demanda material de consumidor; no abrir CALC ni editar milpa en este lote	YA-DECIDIDO	NINGUNO	sonda CORR-0018; FIRMAS-MESA-2 F-11
RES-0074	milpa/procedencia.yaml:asignados_coeficiente:G2.aversion_riesgo	coeficiente_asignado	CORR-0019	0.2	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0075	milpa/procedencia.yaml:asignados_coeficiente:G2.sens_estatus	coeficiente_asignado	CORR-0019	0.55	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0076	milpa/procedencia.yaml:asignados_coeficiente:G3.aversion_riesgo	coeficiente_asignado	CORR-0019	0.4	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0077	milpa/procedencia.yaml:asignados_coeficiente:G4.horizonte_temporal	coeficiente_asignado	CORR-0019	-0.2	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0078	milpa/procedencia.yaml:asignados_coeficiente:G4.sens_estatus	coeficiente_asignado	CORR-0019	-0.15	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0079	milpa/procedencia.yaml:asignados_coeficiente:G5.familismo_obligacion	coeficiente_asignado	CORR-0019	'signo negativo o no monotónico — SIN MAGNITUD'	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0080	milpa/procedencia.yaml:asignados_coeficiente:G5.radio_confianza	coeficiente_asignado	CORR-0019	0.15	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0081	milpa/procedencia.yaml:asignados_coeficiente:G6.deferencia	coeficiente_asignado	CORR-0019	0.45	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0082	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.informal_sin_puente	asignado_probabilidad	CORR-0019	[0.74, 0.21, 0.05]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0083	milpa/procedencia.yaml:asignados_probabilidad:dinero.ahorro.con_puente_y_respaldo	asignado_probabilidad	CORR-0019	[0.52, 0.33, 0.15]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0084	milpa/procedencia.yaml:asignados_probabilidad:dinero.planeacion.formal_estable	asignado_probabilidad	CORR-0019	[0.68, 0.32]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
RES-0085	milpa/procedencia.yaml:asignados_probabilidad:dinero.credito.scoring_alternativo	asignado_probabilidad	CORR-0019	[0.71, 0.29]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0086	milpa/procedencia.yaml:asignados_probabilidad:dinero.consumo.estatus_mediado_por_credito	asignado_probabilidad	CORR-0019	[0.58, 0.42]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0087	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.leve_sin_imss	asignado_probabilidad	CORR-0019	[0.66, 0.24, 0.1]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0088	milpa/procedencia.yaml:asignados_probabilidad:salud.atencion.grave	asignado_probabilidad	CORR-0019	[0.74, 0.26]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0089	milpa/procedencia.yaml:asignados_probabilidad:salud.prevencion.hombre_sin_permiso	asignado_probabilidad	CORR-0019	[0.6, 0.4]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0090	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.discrecional	asignado_probabilidad	CORR-0019	[0.62, 0.38]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
RES-0091	milpa/procedencia.yaml:asignados_probabilidad:tramite.mordida.con_registro	asignado_probabilidad	CORR-0019	[0.88, 0.12]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
RES-0092	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.coercitivo	asignado_probabilidad	CORR-0019	[0.91, 0.09]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			DECISION-O-ESTIMANDO-PENDIENTE	PRIOR-ASIGNADO-SIN-MEDICION-DE-LA-MISMA-REGLA	PRIORS-CORR-0019	valor asignado vigente; no hay RESULT sellado de la misma regla que active D2(a)	decidir por consumidor si el prior se conserva, se retira o se convierte en una pregunta de medición delimitada	DECISION-REQUERIDA	NINGUNO	mapa-demanda-19-corr-v1_0.tsv CORR-0019; D2(a)
RES-0093	milpa/procedencia.yaml:asignados_probabilidad:tramite.gobierno_digital.util_sin_coercion	asignado_probabilidad	CORR-0019	[0.71, 0.29]	SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-01	CALC-R-CIV-M-01		RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
RES-0094	milpa/procedencia.yaml:asignados_probabilidad:civico.denuncia.con_seguro	asignado_probabilidad	CORR-0019	[0.78, 0.22]	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
RES-0095	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:R	celda_R	CORR-0020	0.25899878251638075	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	MARCADOR-SIN-OFERTA-GEN2	MARCADOR-CIV-M-01	la celda legacy/computada existe; un CALC homónimo o de otro corte no acredita relevo del slot	esperar CELDA-D-PILOTO-1 y el crosswalk firmado; después decidir la ruta de esta celda exacta	ESPERA-MERGE	NINGUNO	NC-0239/NC-0240; reserva de CELDA-D-PILOTO-1 y crosswalk
RES-0096	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:M	celda_M	CORR-0021	0.294313	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	MARCADOR-SIN-OFERTA-GEN2	MARCADOR-CIV-M-01	la celda legacy/computada existe; un CALC homónimo o de otro corte no acredita relevo del slot	esperar CELDA-D-PILOTO-1 y el crosswalk firmado; después decidir la ruta de esta celda exacta	ESPERA-MERGE	NINGUNO	NC-0239/NC-0240; reserva de CELDA-D-PILOTO-1 y crosswalk
RES-0097	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L-solo	celda_L	CORR-0022	0.24625	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	MARCADOR-SIN-OFERTA-GEN2	MARCADOR-CIV-M-01	la celda legacy/computada existe; un CALC homónimo o de otro corte no acredita relevo del slot	esperar CELDA-D-PILOTO-1 y el crosswalk firmado; después decidir la ruta de esta celda exacta	ESPERA-MERGE	NINGUNO	NC-0239/NC-0240; reserva de CELDA-D-PILOTO-1 y crosswalk
RES-0098	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:L:L+corpus	celda_L	CORR-0022	0.3	SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-02	CALC-R-CIV-M-02		RESERVADO-O-YA-ENCARGADO	MARCADOR-CALC-DE-OTRA-CORRESPONDENCIA-SIN-RESULT-FIJADO	MARCADOR-CIV-M-01	la celda legacy/computada existe; un CALC homónimo o de otro corte no acredita relevo del slot	esperar CELDA-D-PILOTO-1 y el crosswalk firmado; después decidir la ruta de esta celda exacta	ESPERA-MERGE	NINGUNO	NC-0239/NC-0240; reserva de CELDA-D-PILOTO-1 y crosswalk
