calc_id	conducta	dominio	ola	eje	categoria	p	ic_lo	ic_hi	icc_lo	icc_hi	tau2	n	conteo	result_id_p
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	14	0.154583	0.151929	0.157199				50093		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-14-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	15	0.118253	0.116288	0.120498				52348		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-15-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	16	0.156884	0.153023	0.161097				42291		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-16-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	17	0.159338	0.153357	0.165472				11376		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-17-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	18	0.225315	0.215600	0.235788				8340		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-18-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	19	0.146593	0.143961	0.149182				19665		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-19-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	20	0.164519	0.161044	0.167775				136174		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-20-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	21	0.138491	0.135700	0.141448				71637		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-21-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	22	0.145272	0.133457	0.159930				6449		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-22-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	23	0.139900	0.129295	0.148987				2797		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-23-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	24	0.156548	0.151774	0.161419				22472		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-24-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	25	0.157048	0.149721	0.163420				9634		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-25-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	26	0.250937	0.245641	0.256272				20339		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-26-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	27	0.165246	0.156681	0.173340				5995		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-27-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	28	0.190729	0.187476	0.193569				16998		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-28-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	29	0.122883	0.115329	0.130378				16143		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-29-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	30	0.156431	0.152517	0.160337				75553		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-30-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	31	0.163582	0.159958	0.167028				29840		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-31-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	32	0.176364	0.169104	0.183869				18426		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-32-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ESCOLARIDAD-JEFE	BASICA-O-MENOS	0.163070	0.162203	0.163892				796133		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ESCOLARIDAD-JEFE-BASICA-O-MENOS-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ESCOLARIDAD-JEFE	MEDIA-SUPERIOR	0.103106	0.101160	0.105198				23138		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ESCOLARIDAD-JEFE-MEDIA-SUPERIOR-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ESCOLARIDAD-JEFE	SUPERIOR	0.115753	0.114013	0.117706				36420		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ESCOLARIDAD-JEFE-SUPERIOR-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	SEXO-JEFE	HOMBRE	0.099127	0.098320	0.099884				593723		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-SEXO-JEFE-HOMBRE-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	SEXO-JEFE	MUJER	0.264951	0.263387	0.266449				264694		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-SEXO-JEFE-MUJER-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	TLOC	100MIL-MAS	0.148823	0.148349	0.149270				122736		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-TLOC-100MIL-MAS-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	TLOC	15MIL-99MIL	0.148212	0.145052	0.151351				91854		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-TLOC-15MIL-99MIL-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	TLOC	2500-14999	0.153339	0.150900	0.155610				195434		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-TLOC-2500-14999-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	TLOC	MENOS-2500	0.173700	0.171397	0.175875				448393		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-TLOC-MENOS-2500-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	TOTAL	TODOS	0.155658	0.154873	0.156386				858417		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-TOTAL-TODOS-P
CALC-CCPV-FAM-PISOS-0001	HOG-60MAS-Y-MENOR-18	FAMILIA_CUIDADOS	2010	EDAD-JEFE	30-44	0.033357	0.033027	0.033707				983613		RESULT-CCPV-FAM-PISOS-HOG-60MAS-Y-MENOR-18-2010-EDAD-JEFE-30-44-P
CALC-CCPV-FAM-PISOS-0001	HOG-60MAS-Y-MENOR-18	FAMILIA_CUIDADOS	2010	EDAD-JEFE	45-59	0.037301	0.036950	0.037661				803369		RESULT-CCPV-FAM-PISOS-HOG-60MAS-Y-MENOR-18-2010-EDAD-JEFE-45-59-P
CALC-CCPV-FAM-PISOS-0001	HOG-60MAS-Y-MENOR-18	FAMILIA_CUIDADOS	2010	EDAD-JEFE	60-MAS	0.315928	0.314803	0.317170				741213		RESULT-CCPV-FAM-PISOS-HOG-60MAS-Y-MENOR-18-2010-EDAD-JEFE-60-MAS-P
CALC-CCPV-FAM-PISOS-0001	HOG-60MAS-Y-MENOR-18	FAMILIA_CUIDADOS	2010	EDAD-JEFE	HASTA-29	0.014677	0.014304	0.015039				370123		RESULT-CCPV-FAM-PISOS-HOG-60MAS-Y-MENOR-18-2010-EDAD-JEFE-HASTA-29-P
CALC-CCPV-FAM-PISOS-0001	HOG-60MAS-Y-MENOR-18	FAMILIA_CUIDADOS	2010	ENT	01	0.078652	0.075832	0.081539				16553		RESULT-CCPV-FAM-PISOS-HOG-60MAS-Y-MENOR-18-2010-ENT-01-P
