id	raiz_declarada	raiz_resuelta	archivo	estado_A1	clase_P1	tamano_declarado	tamano_real	hallado_en_otra_raiz	tiene_url_origen	estado_reserva	licencia
ennvih1_2002_hogar_cb	SIN-RAIZ	data_raw	ennvih/ehh02cb_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	2195863	2195863		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih1_2002_hogar_q	SIN-RAIZ	data_raw	ennvih/ehh02q_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	3750632	3750632		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih1_2002_ponderador	SIN-RAIZ	data_raw	ennvih/ehh02w_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	755310	755310		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih1_2002_local_dta	SIN-RAIZ	data_raw	ennvih/eloc02dta_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	1591239	1591239		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih1_2002_local_cb	SIN-RAIZ	data_raw	ennvih/eloc02cb_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	901067	901067		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih1_2002_local_q	SIN-RAIZ	data_raw	ennvih/eloc02q_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	5995112	5995112		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih1_2002_guia	SIN-RAIZ	data_raw	ennvih/guiausuariov1.pdf	COINCIDE	ESTÁ-Y-COINCIDE	483275	483275		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_hogar_dta	SIN-RAIZ	data_raw	ennvih/ehh05dta_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	20198874	20198874		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_hogar_cb	SIN-RAIZ	data_raw	ennvih/ehh05cb_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	1184711	1184711		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_hogar_q	SIN-RAIZ	data_raw	ennvih/ehh05q_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	2913036	2913036		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_ponderador_transversal	SIN-RAIZ	data_raw	ennvih/ehh05w_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	759009	759009		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_ponderador_longitudinal	SIN-RAIZ	data_raw	ennvih/ehh05lw_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	698559	698559		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_local_dta	SIN-RAIZ	data_raw	ennvih/eloc05dta_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	417340	417340		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_local_cb	SIN-RAIZ	data_raw	ennvih/eloc05cb_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	166796	166796		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_local_q	SIN-RAIZ	data_raw	ennvih/eloc05q_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	642097	642097		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih2_2005_guia	SIN-RAIZ	data_raw	ennvih/guiausuariov2.pdf	COINCIDE	ESTÁ-Y-COINCIDE	307528	307528		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_hogar_dta	SIN-RAIZ	data_raw	ennvih/ehh09dta_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	26376091	26376091		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_hogar_cb	SIN-RAIZ	data_raw	ennvih/ehh09cb_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	10077598	10077598		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_hogar_q	SIN-RAIZ	data_raw	ennvih/ehh09q_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	6156032	6156032		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_ponderador_transversal	SIN-RAIZ	data_raw	ennvih/ehh09w_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	876722	876722		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_ponderador_longitudinal	SIN-RAIZ	data_raw	ennvih/ehh09lw_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	655349	655349		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_local_dta	SIN-RAIZ	data_raw	ennvih/eloc09dta_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	423878	423878		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_local_cb	SIN-RAIZ	data_raw	ennvih/eloc09cb_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	1796199	1796199		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_local_q	SIN-RAIZ	data_raw	ennvih/eloc09q_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	2618552	2618552		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_guia	SIN-RAIZ	data_raw	ennvih/guia_de_usuario_ennvih-3.pdf	COINCIDE	ESTÁ-Y-COINCIDE	774086	774086		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
ennvih3_2009_factores_exp	SIN-RAIZ	data_raw	ennvih/calculo-de-factores-de-expansion.pdf	COINCIDE	ESTÁ-Y-COINCIDE	337947	337947		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
encuci2020_bd_dbf	SIN-RAIZ	data_raw	BD_ENCUCI2020_dbf.zip	COINCIDE	ESTÁ-Y-COINCIDE	6913684	6913684		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encuci2020_fd_pdf	SIN-RAIZ	data_raw	FD_ENCUCI2020.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1758249	1758249		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
descargamasiva_3072026_105543	descargas_mx	descargas_mx	DescargaMasiva_3072026_105543.zip	COINCIDE	ESTÁ-Y-COINCIDE	602155	602155		SI		
descargamasiva_3072026_10560	descargas_mx	descargas_mx	DescargaMasiva_3072026_10560.zip	COINCIDE	ESTÁ-Y-COINCIDE	602154	602154		SI		
descargamasiva_3072026_105617	descargas_mx	descargas_mx	DescargaMasiva_3072026_105617.zip	COINCIDE	ESTÁ-Y-COINCIDE	602150	602150		SI		
descargamasiva_3072026_105625	descargas_mx	descargas_mx	DescargaMasiva_3072026_105625.zip	COINCIDE	ESTÁ-Y-COINCIDE	602154	602154		SI		
descargamasiva_3072026_10567	descargas_mx	descargas_mx	DescargaMasiva_3072026_10567.zip	COINCIDE	ESTÁ-Y-COINCIDE	602152	602152		SI		
1_vfinal_cuestionario_hogar_ensanut_2024_etiquetas_cuestionarios	descargas_mx	descargas_mx	1 VFINAL Cuestionario Hogar ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	COINCIDE	ESTÁ-Y-COINCIDE	662210	662210		SI		
2_vfinal_cuestionario_nios_0_a_9_ensanut_2024_etiquetas_cuestionarios	descargas_mx	descargas_mx	2 VFINAL Cuestionario nios 0 a 9 ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	COINCIDE	ESTÁ-Y-COINCIDE	518103	518103		SI		
3_vfinal_cuestionario_adolescentes_ensanut_2024_etiquetas_cuestionarios	descargas_mx	descargas_mx	3 VFINAL Cuestionario adolescentes ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	COINCIDE	ESTÁ-Y-COINCIDE	479013	479013		SI		
4_vfinal_cuestionario_adultos_ensanut_2024_etiquetas_cuestionarios	descargas_mx	descargas_mx	4 VFINAL Cuestionario adultos ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	COINCIDE	ESTÁ-Y-COINCIDE	795644	795644		SI		
5_vfinal_cuestionario_utilizadores_ensanut_2024_etiquetas_cuestionarios	descargas_mx	descargas_mx	5 VFINAL Cuestionario utilizadores ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	COINCIDE	ESTÁ-Y-COINCIDE	267996	267996		SI		
indice_de_bienestar_cuestionarios	descargas_mx	descargas_mx	Indice de Bienestar.Cuestionarios.docx	COINCIDE	ESTÁ-Y-COINCIDE	13255	13255		SI		
nse_hogar_ensanut_2024_catlogo	descargas_mx	descargas_mx	NSE_Hogar_ENSANUT_2024.Catlogo.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	137855	137855		SI		
nse_hogar_ensanut_2024_csv_csv	descargas_mx	descargas_mx	NSE_Hogar_ENSANUT_2024.csv.csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	83570	83570		SI		
nse_integrantes_ensanut_2024_catlogo	descargas_mx	descargas_mx	NSE_Integrantes_ENSANUT_2024.Catlogo.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	138387	138387		SI		
nse_integrantes_ensanut_2024_csv_csv	descargas_mx	descargas_mx	NSE_Integrantes_ENSANUT_2024.csv.csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	256745	256745		SI		
adolescentes_ensanut2024_w_csv_csv	descargas_mx	descargas_mx	adolescentes_ensanut2024_w.csv.csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	416868	416868		SI		
adolescentes_ensanut2024_w_stata_stata	descargas_mx	descargas_mx	adolescentes_ensanut2024_w.stata.stata.zip	COINCIDE	ESTÁ-Y-COINCIDE	798929	798929		SI		
adultos_ensanut2024_w_catlogo_csv_csv	descargas_mx	descargas_mx	adultos_ensanut2024_w.Catlogo.csv.csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	234627	234627		SI		
adultos_ensanut2024_w_catlogo	descargas_mx	descargas_mx	adultos_ensanut2024_w.Catlogo.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	247551	247551		SI		
hogar_ensanut2024_w_icb_catlogo	descargas_mx	descargas_mx	hogar_ensanut2024_w_ICB.Catlogo.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	162227	162227		SI		
hogar_ensanut2024_w_icb_csv_csv	descargas_mx	descargas_mx	hogar_ensanut2024_w_ICB.csv.csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	996094	996094		SI		
integrantes_ensanut2024_w_icb_catlogo	descargas_mx	descargas_mx	integrantes_ensanut2024_w_ICB.Catlogo.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	197249	197249		SI		
integrantes_ensanut2024_w_icb_csv_csv	descargas_mx	descargas_mx	integrantes_ensanut2024_w_ICB.csv.csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	1858331	1858331		SI		
menores_ensanut2024_w_catlogo	descargas_mx	descargas_mx	menores_ensanut2024_w.Catlogo.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	197357	197357		SI		
menores_ensanut2024_w_csv_csv	descargas_mx	descargas_mx	menores_ensanut2024_w.csv.csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	617777	617777		SI		
menores_ensanut2024_w_stata_stata	descargas_mx	descargas_mx	menores_ensanut2024_w.stata.stata.zip	COINCIDE	ESTÁ-Y-COINCIDE	1133030	1133030		SI		
utilizadores_ensanut2024_w_catlogo	descargas_mx	descargas_mx	utilizadores_ensanut2024_w.Catlogo.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	153149	153149		SI		
utilizadores_ensanut2024_w_csv_csv	descargas_mx	descargas_mx	utilizadores_ensanut2024_w.csv.csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	284328	284328		SI		
utilizadores_ensanut2024_w_stata_stata	descargas_mx	descargas_mx	utilizadores_ensanut2024_w.stata.stata.zip	COINCIDE	ESTÁ-Y-COINCIDE	424623	424623		SI		
enif2018_fd_xlsx	SIN-RAIZ	data_raw	enif_2018_fd.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	246905	246905		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enif2018_cuestionario_pdf	SIN-RAIZ	data_raw	enif_2018_cuestionario.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1688866	1688866		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enif2021_fd_zip	SIN-RAIZ	data_raw	enif_2021_fd_pdf.zip	COINCIDE	ESTÁ-Y-COINCIDE	1229311	1229311		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enif2021_cuestionario_pdf	SIN-RAIZ	data_raw	enif_2021_cuestionario.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1214633	1214633		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enif2024_fd_xlsx	SIN-RAIZ	data_raw	enif_2024_fd.xlsx	COINCIDE	ESTÁ-Y-COINCIDE	122271	122271		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enif2024_cuestionario_pdf	SIN-RAIZ	data_raw	enif_2024_cuestionario.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1228366	1228366		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2018_fd_pdf	SIN-RAIZ	data_raw	fd_envipe2018.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1901994	1901994		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2018_cuest_principal_pdf	SIN-RAIZ	data_raw	cuest_principal_envipe2018.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1601730	1601730		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2018_cuest_modulo_pdf	SIN-RAIZ	data_raw	cuest_modulo_envipe2018.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1427717	1427717		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2019_fd_pdf	SIN-RAIZ	data_raw	fd_envipe2019.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1918379	1918379		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2019_cuest_principal_pdf	SIN-RAIZ	data_raw	cuest_principal_envipe2019.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1132943	1132943		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2019_cuest_modulo_pdf	SIN-RAIZ	data_raw	cuest_modulo_envipe2019.pdf	COINCIDE	ESTÁ-Y-COINCIDE	936504	936504		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2020_fd_pdf	SIN-RAIZ	data_raw	fd_envipe2020.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1969912	1969912		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2020_cuest_principal_pdf	SIN-RAIZ	data_raw	cuest_principal_envipe2020.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1093270	1093270		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2020_cuest_modulo_pdf	SIN-RAIZ	data_raw	cuest_modulo_envipe2020.pdf	COINCIDE	ESTÁ-Y-COINCIDE	904277	904277		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2021_fd_pdf	SIN-RAIZ	data_raw	fd_envipe2021.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1758289	1758289		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2021_cuest_principal_pdf	SIN-RAIZ	data_raw	cuest_principal_envipe2021.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1121593	1121593		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2021_cuest_modulo_pdf	SIN-RAIZ	data_raw	cuest_modulo_envipe2021.pdf	COINCIDE	ESTÁ-Y-COINCIDE	911976	911976		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2022_fd_pdf	SIN-RAIZ	data_raw	fd_envipe2022.pdf	COINCIDE	ESTÁ-Y-COINCIDE	2910338	2910338		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2022_cuest_principal_pdf	SIN-RAIZ	data_raw	cuest_principal_envipe2022.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1263461	1263461		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2022_cuest_modulo_pdf	SIN-RAIZ	data_raw	cuest_modulo_envipe2022.pdf	COINCIDE	ESTÁ-Y-COINCIDE	948921	948921		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2023_fd_pdf	SIN-RAIZ	data_raw	fd_envipe2023.pdf	COINCIDE	ESTÁ-Y-COINCIDE	2980669	2980669		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2023_cuest_principal_pdf	SIN-RAIZ	data_raw	cuest_principal_envipe2023.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1257728	1257728		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2023_cuest_modulo_pdf	SIN-RAIZ	data_raw	cuest_modulo_envipe2023.pdf	COINCIDE	ESTÁ-Y-COINCIDE	947099	947099		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2024_fd_pdf	SIN-RAIZ	data_raw	fd_envipe2024.pdf	COINCIDE	ESTÁ-Y-COINCIDE	3087144	3087144		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2024_cuest_principal_pdf	SIN-RAIZ	data_raw	cuest_principal_envipe2024.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1308710	1308710		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2024_cuest_modulo_pdf	SIN-RAIZ	data_raw	cuest_modulo_envipe2024.pdf	COINCIDE	ESTÁ-Y-COINCIDE	933605	933605		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2025_fd_pdf	SIN-RAIZ	data_raw	fd_envipe2025.pdf	COINCIDE	ESTÁ-Y-COINCIDE	2284580	2284580		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2025_cuest_principal_pdf	SIN-RAIZ	data_raw	cuest_principal_envipe2025.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1264383	1264383		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2025_cuest_modulo_pdf	SIN-RAIZ	data_raw	cuest_modulo_envipe2025.pdf	COINCIDE	ESTÁ-Y-COINCIDE	930409	930409		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2015_cuestionario_pdf	SIN-RAIZ	data_raw	encig15_cuestionario.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1703035	1703035		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2017_cuestionario_pdf	SIN-RAIZ	data_raw	encig17_cuestionario.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1151457	1151457		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2019_fd_pdf	SIN-RAIZ	data_raw	encig19_estructura_base_datos.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1634670	1634670		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2019_cuestionario_pdf	SIN-RAIZ	data_raw	encig19_cuestionario.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1744074	1744074		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2021_cuestionario_pdf	SIN-RAIZ	data_raw	encig21_cuestionario.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1918370	1918370		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enoe_2019_1t_csv	data_raw	data_raw	conjunto_de_datos_enoe_2019_1t_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	44252554	44252554		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enoe_2019_2t_csv	data_raw	data_raw	conjunto_de_datos_enoe_2019_2t_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	44295173	44295173		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
