result_id	calc	consumidor	regla	tipo_uso	pin_de_mesa	origen_numerico
RESULT-DIN-LXE8-C2-P-L2xE1	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	marcador:CRUCE::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::L2xE1	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	ADOPCION-POR-FIRMA		NUEVO
RESULT-DIN-LXE8-C2-P-L2xE2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	marcador:CRUCE::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::L2xE2	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	ADOPCION-POR-FIRMA		NUEVO
RESULT-DIN-LXE8-C2-P-L2xE3	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	marcador:CRUCE::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::L2xE3	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	ADOPCION-POR-FIRMA		NUEVO
RESULT-DIN-LXE8-C2-P-L2xE4	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	marcador:CRUCE::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::L2xE4	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	ADOPCION-POR-FIRMA		NUEVO
RESULT-EDER-UNION-A-P-DIRECTO	CALC-EDER-0003	milpa/tramite.yaml:familia.union.libre:matrimonio_directo	familia.union.libre	conducta_p_medido		NUEVO
RESULT-EDER-UNION-A-P-LIBRE	CALC-EDER-0003	milpa/tramite.yaml:familia.union.libre:union_libre	familia.union.libre	conducta_p_medido		NUEVO
RESULT-ENCIG-MOR-A-P-SOL1	CALC-ENCIG-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:M	TRA-M-02	celda_M	marco-M::TRA-M-02::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENCIG-MOR-A-P-SOL1	CALC-ENCIG-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:M	TRA-M-03	celda_M	marco-M::TRA-M-03::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENCIG-MOR-A-P-SOL1	CALC-ENCIG-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:M	TRA-M-07	celda_M	marco-M::TRA-M-07::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENCIG-MOR-A-P-SOL1	CALC-ENCIG-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encig2025	tramite.mordida.discrecional	conducta_p_medido		NUEVO
RESULT-ENCIG-MOR-B-P-DIG-SD	CALC-ENCIG-0001	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital_r2	tramite.mordida.con_registro	conducta_p_medido		NUEVO
RESULT-ENCIG-MOR-B-P-PRE-SD	CALC-ENCIG-0001	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial_r2	tramite.mordida.con_registro	conducta_p_medido		NUEVO
RESULT-ENCIG-MOR-C-P-ADOPTA	CALC-ENCIG-0001	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta_encig2025_luz	tramite.gobierno_digital.util_sin_coercion	conducta_p_medido		NUEVO
RESULT-ENCIGDER-A-Q	CALC-ENCIG-0001-COMPLEMENTOS-DERIVADO-0001	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	tramite.mordida.discrecional	conducta_p_medido		NUEVO
RESULT-ENCIGDER-B-DIG-SD-Q	CALC-ENCIG-0001-COMPLEMENTOS-DERIVADO-0001	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital_r2	tramite.mordida.con_registro	conducta_p_derivado		NUEVO
RESULT-ENCIGDER-B-PRE-SD-Q	CALC-ENCIG-0001-COMPLEMENTOS-DERIVADO-0001	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	tramite.mordida.con_registro	conducta_p_derivado		NUEVO
RESULT-ENCIGDER-C-Q	CALC-ENCIG-0001-COMPLEMENTOS-DERIVADO-0001	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio_encig2025_luz	tramite.gobierno_digital.util_sin_coercion	conducta_p_medido		NUEVO
RESULT-ENCUCI-A-P-CUALQUIERA	CALC-ENCUCI-0001	milpa/tramite.yaml:tramite.mordida.discrecional:solicitud_o_entrega_mordida_encuci2020	tramite.mordida.discrecional	conducta_p_medido		NUEVO
RESULT-ENCUCI-B-P-RUR-AGR	CALC-ENCUCI-0001	milpa/tramite.yaml:civico.protesta.agravio_urbano_encuci2020:protesta_alguna_vez_rural_con_agravio_encuci2020	civico.protesta.agravio_urbano_encuci2020	conducta_p_medido		NUEVO
RESULT-ENCUCI-B-P-URB-AGR	CALC-ENCUCI-0001	milpa/tramite.yaml:civico.protesta.agravio_urbano_encuci2020:protesta_alguna_vez_urbano_con_agravio_encuci2020	civico.protesta.agravio_urbano_encuci2020	conducta_p_medido		NUEVO
RESULT-ENCUCIDER-A-Q	CALC-ENCUCI-0001-COMPLEMENTO-DERIVADO-0001	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	tramite.mordida.discrecional	conducta_p_derivado		NUEVO
RESULT-ENFIH-A-P	CALC-ENFIH-0001	milpa/tramite.yaml:dinero.planeacion.formal_estable:tiene_afore	dinero.planeacion.formal_estable	conducta_p_medido		NUEVO
RESULT-ENFIH-A-P-COMPLEMENTO	CALC-ENFIH-0001	milpa/tramite.yaml:dinero.planeacion.formal_estable:no_tiene_afore	dinero.planeacion.formal_estable	conducta_p_medido		NUEVO
RESULT-ENIF-AHO-A-P-CORTO-CON-P	CALC-ENIF-0001	milpa/tramite.yaml:dinero.ahorro.horizonte_no_corto_con_seguridad_social:horizonte_corto	dinero.ahorro.horizonte_no_corto_con_seguridad_social	conducta_p_medido		NUEVO
RESULT-ENIF-AHO-A-P-CORTO-SIN-P	CALC-ENIF-0001	milpa/tramite.yaml:dinero.ahorro.horizonte_corto:horizonte_corto	dinero.ahorro.horizonte_corto	conducta_p_medido		NUEVO
RESULT-ENIF-AHO-A-P-NOCORTO-CON-P	CALC-ENIF-0001	milpa/tramite.yaml:dinero.ahorro.horizonte_no_corto_con_seguridad_social:horizonte_no_corto	dinero.ahorro.horizonte_no_corto_con_seguridad_social	conducta_p_asignado		NUEVO
RESULT-ENIF-AHO-A-P-NOCORTO-SIN-P	CALC-ENIF-0001	milpa/tramite.yaml:dinero.ahorro.horizonte_corto:horizonte_no_corto	dinero.ahorro.horizonte_corto	conducta_p_asignado		NUEVO
RESULT-ENIF-AHO-B-P-FORMAL-P	CALC-ENIF-0001	milpa/tramite.yaml:dinero.ahorro.via_informal:formal_cualquiera	dinero.ahorro.via_informal	conducta_p_medido		NUEVO
RESULT-ENIF-AHO-B-P-INFORMAL-P	CALC-ENIF-0001	milpa/tramite.yaml:dinero.ahorro.via_informal:informal_cualquiera	dinero.ahorro.via_informal	conducta_p_medido		NUEVO
RESULT-ENIF-AHO-C-P-DESCONFIA-CONOCE-P	CALC-ENIF-0001	milpa/tramite.yaml:dinero.ahorro.seguro_deposito_enif2024:desconfianza_o_mal_servicio_como_razon_principal_conoce_proteccion_enif2024	dinero.ahorro.seguro_deposito_enif2024	conducta_p_medido		NUEVO
RESULT-ENIF-AHO-C-P-DESCONFIA-NOCONOCE-P	CALC-ENIF-0001	milpa/tramite.yaml:dinero.ahorro.seguro_deposito_enif2024:desconfianza_o_mal_servicio_como_razon_principal_no_conoce_enif2024	dinero.ahorro.seguro_deposito_enif2024	conducta_p_medido		NUEVO
RESULT-ENIF-POB-P-CORTO-NO-TRABAJA-P	CALC-ENIF-0002	milpa/tramite.yaml:dinero.ahorro.horizonte_no_trabajadores:horizonte_corto	dinero.ahorro.horizonte_no_trabajadores	conducta_p_medido		NUEVO
RESULT-ENIGH-A-P-COMPLEMENTO	CALC-ENIGH-0001	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:no_recibe_remesas	familia.seguro.volatilidad_ausencia_estado	conducta_p_derivado		NUEVO
RESULT-ENSANUT-A-P-LOGISTICA	CALC-ENSANUT-0001	milpa/tramite.yaml:salud.vacunacion.disponible_ensanut2024:razon_no_vacunacion_logistica	salud.vacunacion.disponible_ensanut2024	conducta_p_medido		NUEVO
RESULT-ENSANUT-A-P-NO-LOGISTICA	CALC-ENSANUT-0001	milpa/tramite.yaml:salud.vacunacion.disponible_ensanut2024:razon_no_vacunacion_no_logistica	salud.vacunacion.disponible_ensanut2024	conducta_p_medido		NUEVO
RESULT-ENUT-A-R	CALC-ENUT-0001	milpa/tramite.yaml:familia.cuidado.recae_mujeres_40mas:share_horas_mujeres_40mas	familia.cuidado.recae_mujeres_40mas	conducta_p_medido		NUEVO
RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:M	CIV-M-01	celda_M	marco-M::CIV-M-01::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:M	CIV-M-02	celda_M	marco-M::CIV-M-02::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:M	CIV-M-04	celda_M	marco-M::CIV-M-04::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:M	CIV-M-10	celda_M	marco-M::CIV-M-10::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:M	CIV-M-12	celda_M	marco-M::CIV-M-12::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:M	CIV-M-13	celda_M	marco-M::CIV-M-13::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-ENVIPE-DEN-P-C2-U4	CALC-ENVIPE-0001	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_con_miedo_o_desconfianza	civico.denuncia.miedo_desconfianza	conducta_p_medido		NUEVO
RESULT-ENVIPE-RES0028-Q-C2-U4	CALC-ENVIPE-RES0028-U4-DERIVADO-0001	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	civico.denuncia.miedo_desconfianza	conducta_p_derivado		NUEVO
RESULT-ENVIPE-SEG-CON-P-DENUNCIA	CALC-ENVIPE-DENUNCIA-SEGURO-0001	milpa/tramite.yaml:civico.denuncia.con_seguro:denuncia	civico.denuncia.con_seguro	conducta_p_medido		NUEVO
RESULT-ENVIPE-SEG-CON-P-NO-DENUNCIA	CALC-ENVIPE-DENUNCIA-SEGURO-0001	milpa/tramite.yaml:civico.denuncia.con_seguro:no_denuncia	civico.denuncia.con_seguro	conducta_p_medido		NUEVO
RESULT-ENVIPE-SEG-SIN-P-DENUNCIA	CALC-ENVIPE-DENUNCIA-SEGURO-0001	milpa/tramite.yaml:civico.denuncia.sin_seguro:denuncia	civico.denuncia.sin_seguro	conducta_p_medido		NUEVO
RESULT-ENVIPE-SEG-SIN-P-NO-DENUNCIA	CALC-ENVIPE-DENUNCIA-SEGURO-0001	milpa/tramite.yaml:civico.denuncia.sin_seguro:no_denuncia	civico.denuncia.sin_seguro	conducta_p_medido		NUEVO
RESULT-EVASIONNORMA-A-P-CUMPLE	CALC-EVASION-NORMA-0001-v1_1	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025	tramite.evasion_norma	conducta_p_medido		NUEVO
RESULT-EVASIONNORMA-A-P-EVADE	CALC-EVASION-NORMA-0001-v1_1	milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025	tramite.evasion_norma	conducta_p_medido		NUEVO
RESULT-HVD-A-AMBAS-VIAS	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_ambas_vias	dinero.ahorro.via_informal	conducta_p_asignado		NUEVO
RESULT-HVD-A-HORIZONTE-NO-CORTO-NO-TRABAJA	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	milpa/tramite.yaml:dinero.ahorro.horizonte_no_trabajadores:horizonte_no_corto	dinero.ahorro.horizonte_no_trabajadores	conducta_p_asignado		NUEVO
RESULT-HVD-A-NO-AHORRA	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	milpa/tramite.yaml:dinero.ahorro.via_informal:no_ahorra	dinero.ahorro.via_informal	conducta_p_asignado		NUEVO
RESULT-HVD-A-SOLO-FORMAL	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_formal	dinero.ahorro.via_informal	conducta_p_asignado		NUEVO
RESULT-HVD-A-SOLO-INFORMAL	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_informal	dinero.ahorro.via_informal	conducta_p_asignado		NUEVO
RESULT-R-CIV-M-01-PUNTO	CALC-R-CIV-M-01	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:R	CIV-M-01	celda_R	marco-M::CIV-M-01::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-CIV-M-02-PUNTO	CALC-R-CIV-M-02	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:R	CIV-M-02	celda_R	marco-M::CIV-M-02::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-CIV-M-04-PUNTO	CALC-R-CIV-M-04	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:R	CIV-M-04	celda_R	marco-M::CIV-M-04::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-CIV-M-10-PUNTO	CALC-R-CIV-M-10	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:R	CIV-M-10	celda_R	marco-M::CIV-M-10::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-CIV-M-12-PUNTO	CALC-R-CIV-M-12	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:R	CIV-M-12	celda_R	marco-M::CIV-M-12::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-CIV-M-13-PUNTO	CALC-R-CIV-M-13	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:R	CIV-M-13	celda_R	marco-M::CIV-M-13::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-DIN-M-01-PUNTO	CALC-R-DIN-M-01-v4	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:R	DIN-M-01	celda_R	marco-M::DIN-M-01::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-FAM-M-01-PUNTO	CALC-R-FAM-M-01-v3	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:R	FAM-M-01	celda_R	marco-M::FAM-M-01::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-FAM-M-05-PUNTO	CALC-R-FAM-M-05-v3	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:R	FAM-M-05	celda_R	marco-M::FAM-M-05::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-FAM-M-06-PUNTO	CALC-R-FAM-M-06-v3	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:R	FAM-M-06	celda_R	marco-M::FAM-M-06::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-FAM-M-07-PUNTO	CALC-R-FAM-M-07-v3	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:R	FAM-M-07	celda_R	marco-M::FAM-M-07::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-TRA-M-02-PUNTO	CALC-R-TRA-M-02-v3	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:R	TRA-M-02	celda_R	marco-M::TRA-M-02::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-TRA-M-03-PUNTO	CALC-R-TRA-M-03-v3	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:R	TRA-M-03	celda_R	marco-M::TRA-M-03::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-R-TRA-M-07-PUNTO	CALC-R-TRA-M-07-v3	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:R	TRA-M-07	celda_R	marco-M::TRA-M-07::R · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-TIENEAHORROS-A-P-NO-TIENE	CALC-TIENE-AHORROS-0001-v1_1	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024	dinero.ahorro.tiene_ahorros	conducta_p_medido		NUEVO
RESULT-TIENEAHORROS-A-P-TIENE	CALC-TIENE-AHORROS-0001-v1_1	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024	dinero.ahorro.tiene_ahorros	conducta_p_medido		NUEVO
RESULT-TRA-SXD12-C2-P-S1xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S1xD1	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S1xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S1xD2	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S1xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S1xD3	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S2xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S2xD1	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S2xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S2xD2	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S2xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S2xD3	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S3xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S3xD1	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S3xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S3xD2	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S3xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S3xD3	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S4xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S4xD1	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S4xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S4xD2	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
RESULT-TRA-SXD12-C2-P-S4xD3	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	marcador:CRUCE::TRA.evade_norma.envipe2025.escolaridad_x_dominio::S4xD3	TRA.evade_norma.envipe2025.escolaridad_x_dominio	ADOPCION-POR-FIRMA		NUEVO
