cell_id_R	calc_R	cell_id_piso	calc_piso	instrumento	edicion_R	edicion_piso	consumer	outcome	axis	category	unit	marcador_celda_id	marcador_estado_en_55c8d57c
RESULT-ARBITRO-ENIF2024-D9-LOCALIDAD-MENOR-DE-15-000-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-LOCALIDAD-MENOR-DE-15-000-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	localidad	menor de 15 000	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::localidad::menor de 15 000	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-LOCALIDAD-15-000-Y-MAS-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-LOCALIDAD-15-000-Y-MAS-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	localidad	15 000 y mas	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::localidad::15 000 y mas	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-FORMALIDAD-SIN-SEGURIDAD-SOCIAL-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-FORMALIDAD-D9-FORMALIDAD-SIN-SEGURIDAD-SOCIAL-P	CALC-PISOS-ENIF2021-FORMALIDAD-0001	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	formalidad	sin seguridad social	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::formalidad::sin seguridad social	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-FORMALIDAD-CON-SEGURIDAD-SOCIAL-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-FORMALIDAD-D9-FORMALIDAD-CON-SEGURIDAD-SOCIAL-P	CALC-PISOS-ENIF2021-FORMALIDAD-0001	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	formalidad	con seguridad social	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::formalidad::con seguridad social	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-CUENTA-SIN-CUENTA-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-CUENTA-SIN-CUENTA-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	cuenta	sin cuenta	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::cuenta_formal::sin cuenta	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-CUENTA-CON-CUENTA-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-CUENTA-CON-CUENTA-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	cuenta	con cuenta	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::cuenta_formal::con cuenta	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-SEXO-1-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-SEXO-1-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	sexo	1	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::sexo::1 Hombre	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-SEXO-2-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-SEXO-2-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	sexo	2	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::sexo::2 Mujer	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-EDAD-18-29-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-EDAD-18-29-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	edad	18-29	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::edad::18-29	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-EDAD-30-44-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-EDAD-30-44-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	edad	30-44	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::edad::30-44	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-EDAD-45-59-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-EDAD-45-59-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	edad	45-59	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::edad::45-59	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-EDAD-60-MAS-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-EDAD-60-MAS-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	edad	60+	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::edad::60+	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	escolaridad	hasta_primaria	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::escolaridad::hasta primaria	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-ESCOLARIDAD-SECUNDARIA-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-ESCOLARIDAD-SECUNDARIA-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	escolaridad	secundaria	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::escolaridad::secundaria	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-ESCOLARIDAD-MEDIA-SUPERIOR-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-ESCOLARIDAD-MEDIA-SUPERIOR-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	escolaridad	media_superior	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::escolaridad::media superior	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-ESCOLARIDAD-SUPERIOR-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-ESCOLARIDAD-SUPERIOR-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	escolaridad	superior	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::escolaridad::superior	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-LOCALIDAD-MENOR-DE-15-000-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-LOCALIDAD-MENOR-DE-15-000-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	localidad	menor de 15 000	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::localidad::menor de 15 000	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-LOCALIDAD-15-000-Y-MAS-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-LOCALIDAD-15-000-Y-MAS-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	localidad	15 000 y mas	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::localidad::15 000 y mas	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-FORMALIDAD-SIN-SEGURIDAD-SOCIAL-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-FORMALIDAD-INFORMAL-CUALQUIERA-FORMALIDAD-SIN-SEGURIDAD-SOCIAL-P	CALC-PISOS-ENIF2021-FORMALIDAD-0001	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	formalidad	sin seguridad social	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::formalidad::sin seguridad social	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-FORMALIDAD-CON-SEGURIDAD-SOCIAL-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-FORMALIDAD-INFORMAL-CUALQUIERA-FORMALIDAD-CON-SEGURIDAD-SOCIAL-P	CALC-PISOS-ENIF2021-FORMALIDAD-0001	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	formalidad	con seguridad social	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::formalidad::con seguridad social	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-CUENTA-SIN-CUENTA-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-CUENTA-SIN-CUENTA-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	cuenta	sin cuenta	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::cuenta_formal::sin cuenta	SOLO-PISO
RESULT-ARBITRO-ENIF2024-INFORMAL-CUALQUIERA-CUENTA-CON-CUENTA-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-INFORMAL-CUALQUIERA-CUENTA-CON-CUENTA-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	informal_cualquiera	cuenta	con cuenta	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::informal_cualquiera::cuenta_formal::con cuenta	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-SEXO-1-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-SEXO-1-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	sexo	1	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::sexo::1 Hombre	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-SEXO-2-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-SEXO-2-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	sexo	2	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::sexo::2 Mujer	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-EDAD-18-29-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-18-29-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	edad	18-29	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::edad::18-29	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-EDAD-30-44-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-30-44-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	edad	30-44	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::edad::30-44	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-EDAD-45-59-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-45-59-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	edad	45-59	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::edad::45-59	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-EDAD-60-MAS-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-EDAD-60-MAS-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	edad	60+	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::edad::60+	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	escolaridad	hasta_primaria	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::escolaridad::hasta primaria	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-ESCOLARIDAD-SECUNDARIA-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-SECUNDARIA-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	escolaridad	secundaria	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::escolaridad::secundaria	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-ESCOLARIDAD-MEDIA-SUPERIOR-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-MEDIA-SUPERIOR-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	escolaridad	media_superior	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::escolaridad::media superior	SOLO-PISO
RESULT-ARBITRO-ENCIG2025-DIGITAL-ESCOLARIDAD-SUPERIOR-P	CALC-ARBITRO-MARGINALES-ENCIG2025-0001	RESULT-PISOS-ENCIG2023-V2-DIGITAL-ESCOLARIDAD-SUPERIOR-P	CALC-PISOS-ENCIG2023-EJES-0002	ENCIG	2025	2023	tramite.gobierno_digital.util_sin_coercion.segmentacion_ejes_encig2025	digital	escolaridad	superior	TRAMITE	MARG::tramite.gobierno_digital.util_sin_coercion_ejes_encig2025::escolaridad::superior	SOLO-PISO
RESULT-ARBITRO-ENVIPE2025-EVASION-SEXO-1-P	CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	RESULT-PISOS-ENVIPE2024-V2-EVASION-SEXO-1-P	CALC-PISOS-ENVIPE2024-EJES-0002	ENVIPE	2025	2024	tramite.evasion_norma.segmentacion_ejes_envipe2025	evasion	sexo	1	DELITO	MARG::tramite.evasion_norma_ejes_envipe2025::sexo::1 Hombre	SOLO-PISO
RESULT-ARBITRO-ENVIPE2025-EVASION-SEXO-2-P	CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	RESULT-PISOS-ENVIPE2024-V2-EVASION-SEXO-2-P	CALC-PISOS-ENVIPE2024-EJES-0002	ENVIPE	2025	2024	tramite.evasion_norma.segmentacion_ejes_envipe2025	evasion	sexo	2	DELITO	MARG::tramite.evasion_norma_ejes_envipe2025::sexo::2 Mujer	SOLO-PISO
RESULT-ARBITRO-ENVIPE2025-EVASION-EDAD-18-29-P	CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-18-29-P	CALC-PISOS-ENVIPE2024-EJES-0002	ENVIPE	2025	2024	tramite.evasion_norma.segmentacion_ejes_envipe2025	evasion	edad	18-29	DELITO	MARG::tramite.evasion_norma_ejes_envipe2025::edad::18-29	SOLO-PISO
RESULT-ARBITRO-ENVIPE2025-EVASION-EDAD-30-44-P	CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-30-44-P	CALC-PISOS-ENVIPE2024-EJES-0002	ENVIPE	2025	2024	tramite.evasion_norma.segmentacion_ejes_envipe2025	evasion	edad	30-44	DELITO	MARG::tramite.evasion_norma_ejes_envipe2025::edad::30-44	SOLO-PISO
RESULT-ARBITRO-ENVIPE2025-EVASION-EDAD-45-59-P	CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-45-59-P	CALC-PISOS-ENVIPE2024-EJES-0002	ENVIPE	2025	2024	tramite.evasion_norma.segmentacion_ejes_envipe2025	evasion	edad	45-59	DELITO	MARG::tramite.evasion_norma_ejes_envipe2025::edad::45-59	SOLO-PISO
RESULT-ARBITRO-ENVIPE2025-EVASION-EDAD-60-MAS-P	CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-60-MAS-P	CALC-PISOS-ENVIPE2024-EJES-0002	ENVIPE	2025	2024	tramite.evasion_norma.segmentacion_ejes_envipe2025	evasion	edad	60+	DELITO	MARG::tramite.evasion_norma_ejes_envipe2025::edad::60+	SOLO-PISO
RESULT-ARBITRO-ENVIPE2025-EVASION-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-PISOS-ENVIPE2024-EJES-0002	ENVIPE	2025	2024	tramite.evasion_norma.segmentacion_ejes_envipe2025	evasion	escolaridad	hasta_primaria	DELITO	MARG::tramite.evasion_norma_ejes_envipe2025::escolaridad_proxy::hasta primaria	SOLO-PISO
RESULT-ARBITRO-ENVIPE2025-EVASION-ESCOLARIDAD-SECUNDARIA-P	CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-SECUNDARIA-P	CALC-PISOS-ENVIPE2024-EJES-0002	ENVIPE	2025	2024	tramite.evasion_norma.segmentacion_ejes_envipe2025	evasion	escolaridad	secundaria	DELITO	MARG::tramite.evasion_norma_ejes_envipe2025::escolaridad_proxy::secundaria	SOLO-PISO
