id_regla	encuesta_dominio	payload_manifiesto_id	estado_manifiesto	destino	evidencia
civico.clientelismo.turnout_no_vote_choice_lapop2019	LAPOP2019	mexico_lapop_americasbarometer_2019_v1_0_w	COINCIDE	RE-MEDIDA (P2, nueva en este acto — 6a pieza LAPOP autorizada por mesa 21/sep)	Sin CALC previo (sin carpeta CALC-LAPOP*; búsqueda por valor 0.832714/clien1na/vb2 sin match verdadero). Pieza COMMIT-1/2 de este acto.
civico.protesta.agravio_urbano_lapop2019	LAPOP2019	mexico_lapop_americasbarometer_2019_v1_0_w	COINCIDE	RE-MEDIDA (P2, nueva en este acto — 6a pieza LAPOP)	Sin CALC previo. Pieza COMMIT-1/2 de este acto.
civico.voto.agencia_lapop2023	LAPOP2023	mex_2023_lapop_americasbarometer_v1_0_w	COINCIDE	RE-MEDIDA (P2, nueva en este acto — 6a pieza LAPOP)	Sin CALC previo. Pieza COMMIT-1/2 de este acto.
civico.participacion.contingente	Electoral (Coahuila/Edomex)	4 ids .xlsx electorales	COINCIDE (no verificado, no aplica)	FUERA-DE-ALCANCE	OBJETIVO explícito: computos por municipio no son marginal de encuesta. situacion=REFUTADA-COMO-CAUSAL (ya dictaminada en otro acto, MAESTRA34-L4)
civico.participacion.contingente_escalonado_2016_2024	Electoral (Coahuila/Nayarit/Zacatecas/Durango)	12 ids .xlsx/.xls electorales	N/A	FUERA-DE-ALCANCE	No es marginal de encuesta (electorales, OBJETIVO explícito). Ya SELLADA-SIN-CARGA en MAESTRA35-L6
civico.participacion.tipo_boleta_federal_2016_2024	Electoral (BC/Chihuahua/Coahuila/Nayarit/Zacatecas/Durango)	23 ids electorales	N/A	FUERA-DE-ALCANCE	No es marginal de encuesta (electorales, OBJETIVO explícito). Ya SELLADA-SIN-CARGA en MAESTRA35-L3
civico.participacion.concurrencia_presidencial_conversion	Electoral (panel L8, conversión de convención de medida)	ninguno (derivado de L8, no de una encuesta)	N/A	FUERA-DE-ALCANCE	No mide una encuesta: es un factor de conversión electoral ya sellado (forense/notas/2026-09-02-MAESTRA35-L8-spec.md); mismo rationale que las 3 electorales
tramite.gobierno_digital.coercitivo_tabla_de_universos	ENOE+SAT (datos administrativos)	(sin id en YAML)	EXISTE (JSON propio, data/l14-coercitivo-universos-v1_0.json)	FUERA-DE-ALCANCE	No es marginal de encuesta de los 6 nombrados por el acto; datos administrativos SAT/ENOE combinados, ya medidos en ACTO MAESTRA36-L14 (mide y no adjudica)
tramite.gobierno_digital.coercitivo_efirma_sat	SAT (padrón de contribuyentes, administrativo)	(sin id en YAML)	N/A	FUERA-DE-ALCANCE	No es marginal de encuesta; dato administrativo SAT, ya medido en ACTO MAESTRA36-L13
civico.clientelismo.vote_change_mps2012	ICPSR MPS2012 (panel)	icpsr35024_ds1_w2_crosstabs_derivado_v0;icpsr35024_ds1_w2_crosstabs_derivadas	COINCIDE	FUERA-DE-ALCANCE	No nombrado en el universo del acto (ENCUCI/EDER/LAPOP/ENIGH/ENFIH/ENNViH/electorales); payload disponible, ya SELLADA-SIN-CARGA en ACTO MAESTRA36-L12; sucesor: acto dedicado a MPS2012
civico.clientelismo.prevalencia_lista_mps2012	ICPSR MPS2012 (panel)	icpsr35024_ds1_w2_crosstabs_derivadas	COINCIDE	FUERA-DE-ALCANCE	Idem anterior: no nombrado en el universo del acto; sucesor: acto dedicado a MPS2012
civico.clientelismo.prevalencia_lista_listcran_mps2012	list::mexico (experimento de listas, paquete R)	list_cran_mexico_tab;list_cran_mexico_rd	COINCIDE	FUERA-DE-ALCANCE	No nombrado en el universo del acto; ya SELLADA-SIN-CARGA en ACTO MAESTRA38-L2-LISTA; sucesor: acto dedicado a list::mexico
tramite.gobierno_digital.uso_general_endutih2025	ENDUTIH2025	endutih_2025_endutih2025_bd_dbf	COINCIDE	FUERA-DE-ALCANCE	ENDUTIH no está en el universo nombrado por este acto (ENCUCI/EDER/LAPOP/ENIGH/ENFIH/ENNViH/electorales); payload disponible tier FUERTE; sucesor: acto dedicado a ENDUTIH2025
familia.apoyo.recibe_dinero_familiares	ENIF2024 (módulo vejez, TMODULO)	NO-LOCALIZADO en el YAML propio; en la práctica se usó data/raw/enif_2024_bd_csv.zip (enif_2024_enif_2024_bd_csv COINCIDE)	COINCIDE (payload de la familia enif_2024_enif_2024_bd_csv)	FUERA-DE-ALCANCE	ENIF2024 ya cerrado por #971 (13 reglas); esta regla no es una de esas 13 y ENIF2024 no está en el universo nombrado de este acto; sucesor: lote dedicado a ENIF2024 remanente
dinero.ahorro.respaldo_enif2024	ENIF2024 (crédito formal con/sin respaldo)	None en el YAML (dominio enif_2024_enif_2024_bd_csv COINCIDE)	COINCIDE	FUERA-DE-ALCANCE	PARO (b) del propio encargo: prohíbe abrir crédito de ENIF 2024; las conductas de esta regla son tiene_credito_formal_con/sin_respaldo — PARO explícito, no se toca
familia.cuidado.reparto_mujeres40_ejes_enut2024	ENUT2024	enut2024_bd_csv	COINCIDE	SUSTITUIDO-POR: GEN2-ENUT-PISOS-Y-SERIE-1 (#976)	Encargo §3 [EJECUTADO: marcador]: '#976 mide un núcleo común: no es este acto — mesa decide el rótulo'
tramite.evasion.norma_inutil_sancion_improbable	(hipótesis sin instrumento)	None	AUSENTE (0/42536 reactivos)	SIN-PAYLOAD	Ya buscado y documentado: forense/notas/2026-09-04-MAESTRA38-N5-diseno-9-reglas.md §2.1, patrones 'evasion/evade'+'sancion/multa'+'pagar impuestos/evadir impuestos' → 0/42536; sin fila de adquisición posible (ningún instrumento nombrado que preguntarlo)
civico.transferencia.atribucion_lider	(hipótesis sin instrumento)	None	AUSENTE (0/42536 reactivos)	SIN-PAYLOAD	forense/notas/2026-09-04-MAESTRA38-N5-diseno-9-reglas.md §2.7, patrones 'aprobacion presidencial'+'pension del bienestar' → 0/42536
familia.cortejo.urbano_joven_apps	(hipótesis sin instrumento)	None	AUSENTE (0/42536 reactivos)	SIN-PAYLOAD	forense/notas/2026-09-04-MAESTRA38-N5-diseno-9-reglas.md §2.9, patrones 'app de citas'+'cortejo/noviazgo' → 0/42536
