necesidad_id	fuente_canonica	objeto_evidencia_id	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	traza_revision	siguiente_accion
N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-8ea8d18a90b95bcb481273e3	INDICE_SIN_PAYLOAD	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Base no descargada.	evento	NO_DETERMINADO	México	NO_DETERMINADO	Protesta potencial	Actor, agravio, respuesta y geografía	NO_APLICA	NO_DETERMINADO	Alta	Índice revisado	Obtener archivo/codebook.
N27	RELLABORALESPRUEBA	OE-8ca059261693f4c587a99e97	IDENTIDAD_NO_RESUELTA	MAIN:canon/gobernanza-v1_15.md	agravio	NO_DETERMINADO	Solo demanda conceptual; payload no identificado.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Demanda	Fuente real y datos	NO_APLICA	NO_DETERMINADO	Alta	Referencias revisadas	Resolver si es dataset o artefacto.
N27	UCDP	OE-12db61ac071539c534e80fed	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L14	UCDP	NO_DETERMINADO	GED sin codebook abierto para esta clave.	evento	NO_DETERMINADO	México	NO_DETERMINADO	Actor/ubicación potencial	Agravio y respuesta colectiva	Contexto de conflicto potencial	Mapear campos	Alta	Mapa revisado	Abrir GED codebook.
N28	ISSP	OE-c8c9d84103b02bcbc47c2aff	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	NO_DETERMINADO	Sin reactivo N28 abierto.	persona	2017	México	NO_DETERMINADO	Fuente plausible	Constructo y outcome N28	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir módulo exacto.
N30	BIARE	OE-e16378a2a79da5a6d4246280	IDENTIDAD_AMBIGUA	MAIN:canon/modelo-decision-v4_0.md	confianza	NO_DETERMINADO	No hay evidencia abierta del instrumento BIARE.	persona	NO_DETERMINADO	México	NO_DETERMINADO	Demanda definida	Transacción y enforcement	NO_APLICA	NO_DETERMINADO	Alta	Referencias revisadas	Resolver BIARE/ENBIARE.
N30	ISSP	OE-e3bde63fce778e1bc8333717	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	NO_DETERMINADO	Social Networks sin apertura.	persona	2017	México	NO_DETERMINADO	Confianza/redes potencial	Transacción y enforcement	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir codebook.
N30	ISSP	OE-c8d1b5e40a5c3a561eac0183	INDICE_SIN_PAYLOAD	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L10	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Recurso sin descarga.	persona	2017	México	NO_DETERMINADO	NO_DETERMINADO	Reactivo y outcome	NO_APLICA	NO_DETERMINADO	Alta	Índice revisado	Obtener documentación.
N30	LAPOP	OE-dd987fd1f12b5504ad657782	ACCESO_ESTRUCTURAL	MAIN:forense/notas/2026-08-05-p-lapop-microdato.md:L186	LAPOP	NO_DETERMINADO	Base y buscador existen; contenido pertinente no local.	persona	NO_DETERMINADO	México	NO_DETERMINADO	Fuente de confianza plausible	Microdato y conducta conjunta	NO_APLICA	NO_DETERMINADO	Alta	Nota de acceso revisada	Identificar reactivos antes de solicitar datos.
N30	OECD	OE-df63ef5db172cb09effde66c	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L11	OECD	NO_DETERMINADO	Drivers of Trust sin apertura para México.	persona	NO_DETERMINADO	México	NO_DETERMINADO	Confianza institucional potencial	Transacción con desconocidos/enforcement	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir cuestionario/tabla.
N32	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-f29d6cfa226a9514442785e3	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L13	World Bank Enterprise Survey Mexico 2023	NO_DETERMINADO	Sin variable N32 abierta.	empresa	2023	México	NO_DETERMINADO	Unidad empresarial	Constructo N32	NO_APLICA	NO_DETERMINADO	Alta	Mapa y contexto revisados	Abrir codebook.
N33	SIN_CANDIDATO_IDENTIFICADO	OE-ed59a4b92278706a6e55eff4	HUECO_UNIVERSO	MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	SIN_CANDIDATO_IDENTIFICADO	NO_DETERMINADO	No hay fuente identificada para antes/después de protección.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Demanda definida	Fuente, evidencia y diseño	NO_APLICA	NO_DETERMINADO	Alta	Universo existente revisado	Requiere futura búsqueda dirigida autorizada.
