procedencia_id	relacion_id	necesidad_id	fuente_canonica_normalizada	objeto_evidencia_id_canonico	procedencia_necesidad_id	procedencia_fuente	procedencia_objeto_evidencia_id	accion_normalizacion	clasificacion_relacion	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	siguiente_accion	objeto_modelo_origen	objeto_modelo_origen_ref
PROV-ea1bd851adcace7bec7fe7ba	REL-0ccb1f487408f4999004b321	N24	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	OE-eddca7ca14da62ef97c9048e	N24	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	OE-eddca7ca14da62ef97c9048e	SIN_CAMBIO	CANDIDATA	INDEXADO_NO_DESCARGADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	L4	NO_DETERMINADO	El reporte está indexado pero no descargado; no existe tabla local verificable para la relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	INDEXADO-NO-DESCARGADO	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Recuperar el reporte canónico y localizar tabla, pregunta, muestra, periodo y codificación de confianza/uso.	NO_DETERMINADO	NO_DETERMINADO
PROV-ed65830845f1536b5413d47b	REL-0d9c76a2adedc9b9f59984cc	N17	GDELT	OE-7895b99728673e79c14c8870	N17	GDELT	OE-7895b99728673e79c14c8870	SIN_CAMBIO	CANDIDATA	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	N17|GDELT|OE-7895b99728673e79c14c8870	NO_DETERMINADO	CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	La ficha local confirma campos de evento y geografía, no una extracción México depurada ni la construcción específica de esta necesidad.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	NO_DETERMINADO	NO_DETERMINADO
PROV-09ea957f2d773cad90c37a52	REL-0e3c2a3a6afd1dae2297740e	N21	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	OE-3f3621b9740c3f71eda9405e	N21	PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND	OE-3f3621b9740c3f71eda9405e	SIN_CAMBIO	CANDIDATA	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L19	N21|PRICE_AND_INFORMATION_TYPE_IN_LIFE_MICROINSURANCE_DEMAND|OE-3f3621b9740c3f71eda9405e	NO_DETERMINADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	La ficha confirma experimento de precio/información y compra, pero los datos/codebook no están localizados y no identifica el comparador exacto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Localizar anexos o codebook y verificar brazos, codificación de precio/información y compra efectiva.	NO_DETERMINADO	NO_DETERMINADO
PROV-0b80760cf594672b55ccf656	REL-0fc632a7b102c3b39b2f540c	N27	GDELT	OE-85252fcf9e78c194cb0179e1	N27	GDELT	OE-85252fcf9e78c194cb0179e1	SIN_CAMBIO	CANDIDATA	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	N27|GDELT|OE-85252fcf9e78c194cb0179e1	NO_DETERMINADO	CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	La ficha local confirma campos de evento y geografía, no una extracción México depurada ni la construcción específica de esta necesidad.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	NO_DETERMINADO	NO_DETERMINADO
PROV-488b15cd36ec5d68804b3453	REL-107500c8d4873fe4d05bb8e3	N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-8ea8d18a90b95bcb481273e3	N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-8ea8d18a90b95bcb481273e3	SIN_CAMBIO	CANDIDATA	INDICE_SIN_PAYLOAD	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Base no descargada.	evento	NO_DETERMINADO	México	NO_DETERMINADO	Protesta potencial	Actor, agravio, respuesta y geografía	NO_APLICA	NO_DETERMINADO	Alta	Obtener archivo/codebook.	NO_DETERMINADO	NO_DETERMINADO
PROV-c3bf7e472396fc275695b490	REL-10b7203dd243231cb3602e47	N17	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-cc29c4ba6e48f5510aee5877	N17	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-cc29c4ba6e48f5510aee5877	SIN_CAMBIO	CANDIDATA	DOCUMENTO_INDEXADO_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L15	NO_DETERMINADO	El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	SATISFACE-UMBRAL-DOCUMENTAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.	NO_DETERMINADO	NO_DETERMINADO
PROV-8d17d29f6be44b5b6212089d	REL-12b348704acbcdd4b811185b	N11	ENSAFI	OE-7e0c0905485bec2d765c6f6d	N11	ENSAFI	OE-7e0c0905485bec2d765c6f6d	SIN_CAMBIO	CANDIDATA	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/abrir4-variables-2026-08-08.tsv	N11|ENSAFI|OE-7e0c0905485bec2d765c6f6d	NO_DETERMINADO	Sensibilidad de estatus coobservada con desenlace de violencia/justicia.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El registro local describe una hipótesis de variable, pero no aporta diccionario ni texto literal del reactivo para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	NO_DETERMINADO	NO_DETERMINADO
PROV-0f07d261e8c995d62825b54b	REL-12f0d41801fa7f161510f61e	N26	ENIF	OE-bf0460662dfd327f8155a915	N26	ENIF	OE-bf0460662dfd327f8155a915	SIN_CAMBIO	CANDIDATA	INSTRUMENTO_LOCAL_PARCIAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	NO_DETERMINADO	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Efecto electoral alrededor del umbral de elegibilidad, independiente de aprobación presidencial.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	NO_DETERMINADO	NO_DETERMINADO
PROV-6e984bdb3ca91d858e49ecde	REL-1615b74be40e6ab0847b8997	N19	FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	OE-b46de44944aa4c2843879525	N19	FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	OE-b46de44944aa4c2843879525	SIN_CAMBIO	NO_ACCESIBLE	EVIDENCIA_ACEPTADA_PREVIA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L32	NO_DETERMINADO	NO_DETERMINADO	NO-ACCESIBLE	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Escala/diseño/universo:	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO
PROV-0b280091e5d48c6aa668b5b8	REL-162b116abdb2212886430f08	N25	CSES	OE-cedf8cc675c79d950d6148cf	N25	CSES	OE-cedf8cc675c79d950d6148cf	SIN_CAMBIO	CANDIDATA	INDICE_O_DOCUMENTACION_INSUFICIENTE	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Existencia o pertinencia temática preliminar de la fuente.	Solo hay documentación de diseño/contenido electoral; falta codebook México y la variable exacta exigida por la necesidad.	NO_DETERMINADO hasta abrir evidencia concreta.	Mapeo explícito de variables y llave de análisis.	Solo hay documentación de diseño/contenido electoral; falta codebook México y la variable exacta exigida por la necesidad.	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	NO_DETERMINADO	NO_DETERMINADO
PROV-b45ce34885062142f8c3f096	REL-1677b0003626a1bd5bf971cb	N18	ENIGH	OE-908664732583bf99e4d0527e	N18	ENIGH	OE-908664732583bf99e4d0527e	SIN_CAMBIO	CANDIDATA	MAPA_PAYLOAD	MAIN:data/mapa-fuentes-2026-08-06.tsv:L3	EN-DISCO-NO-CUBRE	NO_DETERMINADO	ENIGH en disco, sin mapeo de sanción×utilidad.	hogar/persona	varias olas	México	NO_DETERMINADO	Contexto económico	Evasión, sanción y utilidad	NO_APLICA	NO_DETERMINADO	Media-alta	Búsqueda dirigida en diccionarios.	NO_DETERMINADO	NO_DETERMINADO
