relacion_id	necesidad_id	fuente_canonica_normalizada	grupo_payload	capa2_actual	capa4_actual	id_manifiesto_anclado_en_relaciones	id_manifiesto_que_provee	representacion_id	sha256_12	wave_initial	veredicto_fisico	registros_indice	registros_excepcion	prohibicion_18_8
REL-894b3c5025557df7ef942f2a	N13	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	G3	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mex_2012_2014_ecepie_v01_m_v01_a_puf	REP-3393734fd46d7ddff863ce5189b3a86aaf232d1bb90b8de5cb54d338ab4d7ec8	714056e1f36d	W1	OBSERVADO-E2	34307	0	INFRINGE-18.8
REL-894b3c5025557df7ef942f2a	N13	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	G3	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mex_2012_2014_ecepie_v01_m_v01_a_puf_spss	REP-70392a10979e42275c1880e2d54e88718c9b3335a384482a687fc8acf42ed5d8	2e6cf60b874b	W3	OBSERVADO-CON-EXCEPCION	688	8	INFRINGE-18.8
REL-894b3c5025557df7ef942f2a	N13	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	G3	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	wb2661_asq_questionnaires	REP-dc0351362a6aa09ee1c961fbc056af1a90b8542d375afe4dba4cb69667c459b9	3ea807864522	W3	OBSERVADO-CON-EXCEPCION	3653	1	INFRINGE-18.8
REL-08af2a451bfb04d90902eec4	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	G4	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mex_2010_iepep_v01_m_v01_a_puf	REP-e4fef125a3dc2f5ced6792d830bd07a0b541912063972716f354231bad0b3c57	1be395437445	W1	OBSERVADO-E2	50307	0	INFRINGE-18.8
REL-08af2a451bfb04d90902eec4	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	G4	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mex_2010_iepep_v01_m_v01_a_puf_spss	REP-7f8cdcb2ee07892a92b9aebf01bce845b5432304069518570f4be562e6db3a5e	567e024217b6	W3	OBSERVADO-CON-EXCEPCION	1547	16	INFRINGE-18.8
REL-08af2a451bfb04d90902eec4	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	G4	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mexico_synthesisreport	REP-193d4e4d4b19c2016eff01a92c6f7043beff56f8b6adb433d728c5d21f67cee9	e00f981f5f15	W2	OBSERVADO-E2	40	0	INFRINGE-18.8
REL-d630dc1ea394364e53631401	N13	ISSP	G5	SI	INDEXADO-NO-DESCARGADO	za5900_q_mx	za5900_cdb	REP-d0f0c0c2ffece25db16fc10822a97220e71c23bee0826729c022fac6f17a0f61	5c288f3c0872	W2	OBSERVADO-E2	40852	0	INFRINGE-18.8
REL-d630dc1ea394364e53631401	N13	ISSP	G5	SI	INDEXADO-NO-DESCARGADO	za5900_q_mx	za5900_v4_0_0_dta	REP-3e62b92e669699c5668f4d7cf8bd9a5c13e4bbb3ff3ebe60fb2253ad8a660869	ed7d7781f9cc	W3	OBSERVADO-E2	424	0	INFRINGE-18.8
REL-d630dc1ea394364e53631401	N13	ISSP	G5	SI	INDEXADO-NO-DESCARGADO	za5900_q_mx	za5900_v4_0_0_sav	REP-4beae7730fe8fd3e5742aebb087d28392892b427bc21e93cfaa97268b51fc0c8	21a1e85603e1	W3	OBSERVADO-CON-EXCEPCION	845	7	INFRINGE-18.8
REL-f219eb1a0e1b71beb5a36f6f	N30	ISSP	G5	SI	INDEXADO-NO-DESCARGADO	za5900_q_mx	za5900_cdb	REP-d0f0c0c2ffece25db16fc10822a97220e71c23bee0826729c022fac6f17a0f61	5c288f3c0872	W2	OBSERVADO-E2	40852	0	INFRINGE-18.8
REL-f219eb1a0e1b71beb5a36f6f	N30	ISSP	G5	SI	INDEXADO-NO-DESCARGADO	za5900_q_mx	za5900_v4_0_0_dta	REP-3e62b92e669699c5668f4d7cf8bd9a5c13e4bbb3ff3ebe60fb2253ad8a660869	ed7d7781f9cc	W3	OBSERVADO-E2	424	0	INFRINGE-18.8
REL-f219eb1a0e1b71beb5a36f6f	N30	ISSP	G5	SI	INDEXADO-NO-DESCARGADO	za5900_q_mx	za5900_v4_0_0_sav	REP-4beae7730fe8fd3e5742aebb087d28392892b427bc21e93cfaa97268b51fc0c8	21a1e85603e1	W3	OBSERVADO-CON-EXCEPCION	845	7	INFRINGE-18.8
REL-9dfab617c356df5594575a3c	N12	ISSP	G6	SI	INDEXADO-NO-DESCARGADO	za6980_q_mx	za6980_backgroundvar_mx	REP-43ec56a6014f8bb6a5b8015784c6a97d694c07871cde30957655c7f6426aba31	6004c300ca13	W2	OBSERVADO-E2	905	0	INFRINGE-18.8
REL-9dfab617c356df5594575a3c	N12	ISSP	G6	SI	INDEXADO-NO-DESCARGADO	za6980_q_mx	za6980_v2_0_0_dta	REP-35dbe73dee4089ea575a15a639ce6e44597f286ceffc1d6cb5350674d529f482	aa3bfcbcc1dc	W3	OBSERVADO-E2	360	0	INFRINGE-18.8
REL-9dfab617c356df5594575a3c	N12	ISSP	G6	SI	INDEXADO-NO-DESCARGADO	za6980_q_mx	za6980_v2_0_0_sav	REP-36041e8c34dcac1d81c3e828d120c133905ee04f469ccfa71074e235040edae9	20a1420f4aa8	W3	OBSERVADO-CON-EXCEPCION	717	7	INFRINGE-18.8
REL-72ff714a3ba6d0bab952e05f	N2	ISSP	G6	SI	INDEXADO-NO-DESCARGADO	za6980_q_mx	za6980_backgroundvar_mx	REP-43ec56a6014f8bb6a5b8015784c6a97d694c07871cde30957655c7f6426aba31	6004c300ca13	W2	OBSERVADO-E2	905	0	INFRINGE-18.8
REL-72ff714a3ba6d0bab952e05f	N2	ISSP	G6	SI	INDEXADO-NO-DESCARGADO	za6980_q_mx	za6980_v2_0_0_dta	REP-35dbe73dee4089ea575a15a639ce6e44597f286ceffc1d6cb5350674d529f482	aa3bfcbcc1dc	W3	OBSERVADO-E2	360	0	INFRINGE-18.8
REL-72ff714a3ba6d0bab952e05f	N2	ISSP	G6	SI	INDEXADO-NO-DESCARGADO	za6980_q_mx	za6980_v2_0_0_sav	REP-36041e8c34dcac1d81c3e828d120c133905ee04f469ccfa71074e235040edae9	20a1420f4aa8	W3	OBSERVADO-CON-EXCEPCION	717	7	INFRINGE-18.8
REL-2230c5027c1ce5589c32d9b0	N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	G7	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mex_2011_lfepie_v01_m	REP-815ac8c6bf4390eb29293378793023720c41a0b78154b89704489922276a649e	c7ae3180b897	W1	OBSERVADO-E2	8432	0	INFRINGE-18.8
REL-2230c5027c1ce5589c32d9b0	N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	G7	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mex_2011_lfepie_v01_m_stata8	REP-eea738cbbd2827df7aa35798db8aa1f4e23296fa7cf292bfd8a2f08dfda71bea	765dc43b7d55	W3	OBSERVADO-E2	178	0	INFRINGE-18.8
REL-2230c5027c1ce5589c32d9b0	N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	G7	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mex_2011_lfepie_v01_m_spss	REP-57a2b9c9a38fe94c5afe0768966db9f1a5236266a8eb1373d7b2afbb0ae91592	cbebbf0faf13	W3	OBSERVADO-CON-EXCEPCION	227	8	INFRINGE-18.8
REL-1d9d402e2e1aa77c9c01cb5f	N17	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	G8	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aa	W3	OBSERVADO-E2	87	0	INFRINGE-18.8
REL-1d9d402e2e1aa77c9c01cb5f	N17	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	G8	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mm_users_manual_0515	REP-26b9e9e1caa2dbdf486ab36199ae29a40d25efea2fe59947cb62321976ab3f66	03541007078e	W2	OBSERVADO-E2	20	0	INFRINGE-18.8
REL-e247f2d5250d822fb74a0638	N17	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	G8	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aa	W3	OBSERVADO-E2	87	0	INFRINGE-18.8
REL-e247f2d5250d822fb74a0638	N17	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	G8	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mm_users_manual_0515	REP-26b9e9e1caa2dbdf486ab36199ae29a40d25efea2fe59947cb62321976ab3f66	03541007078e	W2	OBSERVADO-E2	20	0	INFRINGE-18.8
REL-107500c8d4873fe4d05bb8e3	N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	G8	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aa	W3	OBSERVADO-E2	87	0	INFRINGE-18.8
REL-107500c8d4873fe4d05bb8e3	N27	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	G8	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mm_users_manual_0515	REP-26b9e9e1caa2dbdf486ab36199ae29a40d25efea2fe59947cb62321976ab3f66	03541007078e	W2	OBSERVADO-E2	20	0	INFRINGE-18.8
REL-32d05d4dc466d048e2961f7b	N27	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	G8	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aa	W3	OBSERVADO-E2	87	0	INFRINGE-18.8
REL-32d05d4dc466d048e2961f7b	N27	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	G8	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	mm_users_manual_0515	REP-26b9e9e1caa2dbdf486ab36199ae29a40d25efea2fe59947cb62321976ab3f66	03541007078e	W2	OBSERVADO-E2	20	0	INFRINGE-18.8
