relacion_id	tipo_trabajo	siguiente_accion	siguiente_accion_original	evidencia_ref_accion_original	evidencia_ref_evidencia_original	input_requerido	input_requerido_original	reserva	reserva_original	siguiente_accion_tipificada	input_requerido_clasificacion	criterio_cierre	prioridad_operativa	regla_clasificacion_id	reserva_clasificacion
REL-0ccb1f487408f4999004b321	BUSQUEDA_DIRIGIDA	Recuperar el reporte canónico y localizar tabla, pregunta, muestra, periodo y codificación de confianza/uso.	Recuperar el reporte canónico y localizar tabla, pregunta, muestra, periodo y codificación de confianza/uso.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L4	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-0ccb1f487408f4999004b321 con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-0d9c76a2adedc9b9f59984cc	BUSQUEDA_DIRIGIDA	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-0d9c76a2adedc9b9f59984cc con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-0e3c2a3a6afd1dae2297740e	BUSQUEDA_DIRIGIDA	Localizar anexos o codebook y verificar brazos, codificación de precio/información y compra efectiva.	Localizar anexos o codebook y verificar brazos, codificación de precio/información y compra efectiva.	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L19	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L19	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-0e3c2a3a6afd1dae2297740e con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-0fc632a7b102c3b39b2f540c	BUSQUEDA_DIRIGIDA	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	Extraer un universo México acotado, aplicar deduplicación documentada y mapear CAMEO/actores/respuesta al objeto.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L35	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-0fc632a7b102c3b39b2f540c con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-107500c8d4873fe4d05bb8e3	BUSQUEDA_DIRIGIDA	Obtener archivo/codebook.	Obtener archivo/codebook.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-107500c8d4873fe4d05bb8e3 con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-10b7203dd243231cb3602e47	BUSQUEDA_DIRIGIDA	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L15	MAIN:data/mapa-ext-academico-2026-08-06.tsv	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-10b7203dd243231cb3602e47 con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-12b348704acbcdd4b811185b	CURADURIA_FUENTE	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L2;MAIN:forense/encargos/2026-08-07-abrir-4.md;MAIN:forense/hitoE-campana-medicion-v2_0.md	MAIN:data/abrir4-variables-2026-08-08.tsv	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Contrastar procedencia estructurada de REL-12b348704acbcdd4b811185b con sus objetos de modelo permitidos y emitir propuesta o reserva.	Evidencia previa exacta, mapeo necesidad→objeto y reportes neutrales disponibles.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	P4_CURADURIA	RW-06-DEFAULT	No propagar estado por fuente ni por necesidad.
REL-12f0d41801fa7f161510f61e	CURADURIA_FUENTE	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	MAIN:canon/glosario-v5_6.md;MAIN:corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md;MAIN:data/censo-raices-2026-08-06.tsv;MAIN:data/cola-aperturas-externas-2026-08-06.tsv	MAIN:forense/hitoE-campana-medicion-v2_0.md	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Contrastar procedencia estructurada de REL-12f0d41801fa7f161510f61e con sus objetos de modelo permitidos y emitir propuesta o reserva.	Evidencia previa exacta, mapeo necesidad→objeto y reportes neutrales disponibles.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	P4_CURADURIA	RW-06-DEFAULT	No propagar estado por fuente ni por necesidad.
REL-162b116abdb2212886430f08	BUSQUEDA_DIRIGIDA	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-162b116abdb2212886430f08 con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-1677b0003626a1bd5bf971cb	CURADURIA_FUENTE	Búsqueda dirigida en diccionarios.	Búsqueda dirigida en diccionarios.	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/cobertura-motor.md	MAIN:data/mapa-fuentes-2026-08-06.tsv:L3	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Contrastar procedencia estructurada de REL-1677b0003626a1bd5bf971cb con sus objetos de modelo permitidos y emitir propuesta o reserva.	Evidencia previa exacta, mapeo necesidad→objeto y reportes neutrales disponibles.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	P4_CURADURIA	RW-06-DEFAULT	No propagar estado por fuente ni por necesidad.
REL-16d3c66af7fc856df2130139	CURADURIA_FUENTE	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L11;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	MAIN:data/abrir4-variables-2026-08-08.tsv	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Contrastar procedencia estructurada de REL-16d3c66af7fc856df2130139 con sus objetos de modelo permitidos y emitir propuesta o reserva.	Evidencia previa exacta, mapeo necesidad→objeto y reportes neutrales disponibles.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	P4_CURADURIA	RW-06-DEFAULT	No propagar estado por fuente ni por necesidad.
REL-1867600f55b362380e728c4a	BUSQUEDA_DIRIGIDA	Abrir Informe Anual o catálogo SIE, registrar idSerie/idCuadro y extraer series comparables CoDi/SPEI.	Abrir Informe Anual o catálogo SIE, registrar idSerie/idCuadro y extraer series comparables CoDi/SPEI.	MAIN:data/mapa-fuentes-2026-08-06.tsv:L135	MAIN:data/mapa-fuentes-2026-08-06.tsv:L135	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-1867600f55b362380e728c4a con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-18976f4767e5da3c5e572877	CURADURIA_FUENTE	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Contrastar procedencia estructurada de REL-18976f4767e5da3c5e572877 con sus objetos de modelo permitidos y emitir propuesta o reserva.	Evidencia previa exacta, mapeo necesidad→objeto y reportes neutrales disponibles.	Propuesta semántica trazable o NO_DETERMINADO con supuesto faltante concreto.	P4_CURADURIA	RW-06-DEFAULT	No propagar estado por fuente ni por necesidad.
REL-1d4ea097a836307f28dd2f49	ANALISIS_MEDICION	Abrir cuestionario y diccionario ENCOAP; localizar el reactivo y el desenlace exactos exigidos por la necesidad.	Abrir cuestionario y diccionario ENCOAP; localizar el reactivo y el desenlace exactos exigidos por la necesidad.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L15	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L15	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Definir especificación completa antes de calcular sobre la evidencia abierta de REL-1d4ea097a836307f28dd2f49.	Población, unidad, variables, codificación, faltantes, ponderación, diseño, transformación e incertidumbre.	Resultado reproducible o NO_DETERMINADO por campo material faltante.	P2_ADQUIRIDO_ABIERTO	RW-03-ABIERTO	No redefinir el estimando para producir resultado.
REL-1d9d402e2e1aa77c9c01cb5f	BUSQUEDA_DIRIGIDA	Obtener archivo y codebook del proyecto; verificar evento, actor, demanda, respuesta, geografía y cobertura temporal para México.	Obtener archivo y codebook del proyecto; verificar evento, actor, demanda, respuesta, geografía y cobertura temporal para México.	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L11	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L11	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-1d9d402e2e1aa77c9c01cb5f con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
REL-20c9e9445e7c52770b6c3b10	BUSQUEDA_DIRIGIDA	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L6	MAIN:data/mapa-ext-academico-2026-08-06.tsv	Revisión de equivalencia y codificación antes de parametrizar.	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	Escala/diseño/universo:	Verificar el localizador exacto ya declarado de REL-20c9e9445e7c52770b6c3b10 con máximo dos intentos y sin discovery panorámico.	Localizador declarado, dato requerido, beneficio informativo y criterio de parada.	EVIDENCIA_LOCALIZADA, NO_ACCESIBLE, NO_DETERMINADO o SIN_RUTA_VIABLE_ACTUAL tras máximo dos intentos.	P3_INDEXADO	RW-05-INDEXADO	No descargar sin decisión supervisora de adquisición.
