necesidad_id	objeto_modelo_origen	fuentes_verificacion	reserva
N29	R8.2	forense/notas/2026-08-08-barrido1.md;forense/hitoD-preregistro-v2_0.md	NINGUNA
N30	R8.3	forense/notas/2026-08-08-barrido1.md;forense/hitoD-preregistro-v2_0.md	NINGUNA
N31	R10.1	forense/notas/2026-08-08-barrido1.md;forense/hitoD-preregistro-v2_0.md	NINGUNA
N32	R10.2	forense/notas/2026-08-08-barrido1.md;forense/hitoD-preregistro-v2_0.md	NINGUNA
N33	R10.3	forense/notas/2026-08-08-barrido1.md;forense/hitoD-preregistro-v2_0.md	Riesgo ético: solo dato secundario
N34	dinero.credito.baja_friccion_usura_dano_downstream	forense/registro-llaves-identificacion-v1_0.md fila EXP-COMPARTAMOS-1;forense/notas/2026-08-25-eval-compartamos.md;forense/firmas-pendientes.tsv FP-132/FP-147	Necesidad propia, NO reutiliza confianza_institucional ni radio_confianza (firma de mesa L8/FP-132 corregida, opcion b). Reclama la evidencia experimental EXP-COMPARTAMOS-1 (expansion aleatorizada de credito grupal, Compartamos Banco, Nogales); segundo objeto de credito del modelo, ausente de la terna del curador segun el hallazgo de FP-132. Aun SIN CONSUMIDOR ejercido: falta la spec B-bis que la llave necesita, acto futuro fuera de este pack.
N35	trabajo.prestaciones.formalidad_pesa_mas_que_salario	forense/registro-llaves-identificacion-v1_0.md fila LLAVE2-DECRETO;forense/notas/2026-08-25-llave2-decreto-cierre.md;forense/firmas-pendientes.tsv FP-136/FP-148	Necesidad de formalidad/ingreso abierta por firma de mesa L12/FP-136 opcion b. La alimentaria el experimento natural de LLAVE2-DECRETO sobre ENOE (decreto de estimulos fiscales, Region Fronteriza Norte); hoy ningun generador cita ENOE para esta regla -- el resultado EJERCIDA_REFUTA de la llave queda PROPUESTO, sin comparacion contra ningun asignado.
N36	R4.3	canon/modelo-decision-v4_0.md:529 (§3.4, id salud.adherencia.desabasto_vs_cuidadora);forense/hitoD-preregistro-v2_0.md:149;forense/firmas-pendientes.tsv FP-230	Necesidad abierta por ACTO MAESTRA34-N6 · CURADOR-Y-SUITE (1/sep/2026), firma de mesa DN-a, ejecutando FP-230: R4.3 estaba en el perimetro de 27 reglas del Hito D y NO tenia necesidad N asignada en esta tabla -- hueco del mapa de necesidades que ACTO MAESTRA34-A1 midio y reporto sin poder reparar (necesidad-objeto-modelo.tsv era de solo lectura en su perimetro). Regla verbatim de canon/modelo-decision-v4_0.md:529: «SI hay desabasto + gasto de bolsillo alto ENTONCES abandono o intermitencia del tratamiento cronico; SI hay familia cuidadora + medicamento surtido ENTONCES mayor adherencia -- PORQUE estructura + G5 -- [FUERTE / MEDIA].» Compuesta: dos falsadores, uno por mitad; ambas mitades archivadas con veredicto D el 4/ago/2026 (ADR-56), por adherencia solo disponible auto-reportada en el catalogo entero. OBJETO DE EVIDENCIA: registro individual de desabasto + urgencias -- base historica de Cero Desabasto (11036 filas reporte x insumo, 7914 reportes distintos, 2019-02-18 a 2024-09-03, con fecha, institucion, entidad y medicamento) y Base de Datos de Urgencias de DGIS (descriptores 2008-2017/2018/2019/2023-2025, catalogos y microdato anual). Riesgo declarado por la propia ficha (hitoD-preregistro §374): la mitad B confunde estructura con cultura si no lleva control socioeconomico obligatorio. Ninguna estimacion en esta fila.
N37	civico.participacion.tipo_boleta_federal_2016_2024	forense/notas/2026-09-02-MAESTRA35-L3-spec.md;milpa/tramite-ola5-propuesta-v0.yaml	NINGUNA
N38	R4.1	forense/firmas-pendientes.tsv FP-284;forense/encargos/2026-09-03-MAESTRA37-L3-BIS-SALUD-A4-SOBRE-V2.md;canon/modelo-decision-v4_0.md:410 (salud.atencion.leve_sin_imss)	Alta D1 (firma de mesa 3/sep/2026, propagada por ACTO MAESTRA37-N8), ejecutando FP-284 punto (1), redaccion propuesta verbatim: "Resolver un padecimiento leve o moderado sin derechohabiencia: a donde acude y por que ese lugar"; objeto medible = institucion de atencion del ultimo episodio (u0201/u0202b1) condicionada a gravedad autoevaluada del episodio, que HOY NO EXISTE en el instrumento (reserva verbatim de L3-BIS punto (1)). Ninguna estimacion en esta fila.
N39	R4.2	forense/firmas-pendientes.tsv FP-284;forense/encargos/2026-09-03-MAESTRA37-L3-BIS-SALUD-A4-SOBRE-V2.md;canon/modelo-decision-v4_0.md:746-747 area §3.4 (salud.prevencion.hombre_sin_permiso)	Alta D1 (firma de mesa 3/sep/2026, propagada por ACTO MAESTRA37-N8), ejecutando FP-284 punto (2), redaccion propuesta verbatim: "Realizarse una deteccion preventiva teniendo empleo: si se hace, y si no, por que no"; objeto medible = bateria A1001 (deteccion en 12 meses) x motivo A1001*b, condicionada a disponibilidad de permiso o prestacion laboral, que HOY NO EXISTE (reserva verbatim de L3-BIS punto (2)). Ninguna estimacion en esta fila.
N40	R4.4	forense/firmas-pendientes.tsv FP-284;forense/encargos/2026-09-03-MAESTRA37-L3-BIS-SALUD-A4-SOBRE-V2.md;canon/modelo-decision-v4_0.md:747 (salud.atencion.grave, "Grave/cronico complejo -> sistema publico pese a la espera")	Alta D1 (firma de mesa 3/sep/2026, propagada por ACTO MAESTRA37-N8), ejecutando FP-284 punto (3), redaccion propuesta verbatim: "Elegir sistema publico o privado ante un episodio que requiere internamiento o urgencias"; objeto medible = u0201 x H0409 x u0205 (espera). Es la unica de las cuatro cuyo objeto YA esta medido: el alta seria inmediata (FP-284 verbatim). Ninguna estimacion en esta fila.
N41	R4.5	forense/firmas-pendientes.tsv FP-284;forense/encargos/2026-09-03-MAESTRA37-L3-BIS-SALUD-A4-SOBRE-V2.md;canon/modelo-decision-v4_0.md:411 (salud.consumo.sellos_precio_similar)	Alta D1 (firma de mesa 3/sep/2026, propagada por ACTO MAESTRA37-N8), ejecutando FP-284 punto (4), redaccion propuesta verbatim: "Decidir la compra de un alimento empacado que trae sello de advertencia, habiendo sustituto"; objeto medible = eti27 x eti28 x ETI32A del componente etiquetado, condicionado a precio del sustituto, que HOY NO EXISTE (reserva verbatim de L3-BIS punto (4)). Re-asienta bajo esta N el alta de A1 §5.1 de etiquetado ENSANUT Continua 2024 (relaciones.tsv REL-54b26887b70cada846e1207c, antes bajo N36): componente de etiquetado frontal, payload adquirido y verificado, ninguna variable leida en este acto. Ninguna estimacion en esta fila.
