fila_origen	fuente_canonica	fuente_canonica_normalizada	discordancia_alias	estado_A4A5	prioridad	url_conocida	ids_manifiesto	origen	nota
forense/encargos/2026-09-03-MAESTRA38-A1-SONDA-Y-DESCARGA-UNIVERSO-1.md	INTERCENSAL_2015	INTERCENSAL_2015	SIN_ALIAS	OBTENIDO	sin-prioridad-asignada	https://www.inegi.org.mx/programas/intercensal/2015/	eic2015_nacional_csv;eic2015_fd	ACTO MAESTRA38-A1	Encuesta Intercensal 2015 (INEGI), muestra nacional (TR_PERSONA15 514MB, TR_VIVIENDA15 120MB descomprimidos) + FD (.xls). Doble descarga hash-verificada, testzip OK. Exploratoria, sin cita previa de regla -- n grande y desagregacion municipal potencial para actos futuros. Deposito descargas_mx/UNIVERSO-2026-09/INTERCENSAL2015/.
forense/encargos/2026-09-03-MAESTRA38-A1-SONDA-Y-DESCARGA-UNIVERSO-1.md	CSES	CSES	SIN_ALIAS	SUPERADA-POR	sin-prioridad-asignada	https://cses.org/data-download/		forense/notas/2026-09-03-MAESTRA38-A1-PAQUETE-RECETAS-4.md	Comparative Study of Electoral Systems. Mexico en Module 3 (2006, 2009) y posiblemente Module 5. Verificado: cses.org/data-download exige registro gratuito ("Register"), sin enlace directo en el HTML servido. Receta de <=1 min en PAQUETE-RECETAS-4.md. FP-291. DEDUP 2026-09-04 (restauración post-#527, FP-292): SUPERADA-POR cola-adquisicion-v1_0.tsv:8 (misma fuente CSES, estado OBTENIDO) -- la sonda lateral del mismo acto (enmienda post-cierre, 3/sep/2026) resolvió CSES vía Wayback Machine + CIDE sin cuenta, después de que esta fila se registrara como PENDIENTE con receta de cuenta; la receta de FP-291 quedó superada por ese hallazgo y no se ejecuta. Se conserva esta fila para no perder la traza de la receta original; la fila fila_origen=cola-adquisicion-v1_0.tsv:8 es la autoritativa.
forense/encargos/2026-09-03-MAESTRA38-A1-SONDA-Y-DESCARGA-UNIVERSO-1.md	REUTERS_DNR	REUTERS_DNR	SIN_ALIAS	OBTENIDO-PARCIAL	sin-prioridad-asignada	https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2025	dnr2025_weekly_reach_online;dnr2025_trust_score;dnr2025_devices_for_news;dnr2025_social_messaging_video;dnr2025_brand_trust;dnr2025_weekly_reach_offline;dnr2025_sources_of_news;dnr2025_markets_and_samples;dnr2024_social_messaging_video;dnr2025_report;dnr2025_questionnaire	ACTO MAESTRA38-A1 (sonda lateral, workflow de agentes)	El microdato individual (respuesta por persona) sigue "on request" -- SIN CAMBIO real en eso. Lo que si se resolvio: cada grafica del sitio (incluidas las 7 de la pagina Mexico 2025 y la tabla de "Markets and samples" de metodologia) es un iframe Datawrapper, y todo grafico Datawrapper publicado expone su tabla exacta sin login en datawrapper.dwcdn.net/<chart_id>/<version>/dataset.csv (version leida del JSON __DW_SVELTE_PROPS__ embebido en la pagina). 9 tablas topline Mexico obtenidas (alcance semanal online/offline por marca, confianza global y por marca, dispositivos, redes sociales/mensajeria, fuentes de noticias, tamano de muestra) + el reporte narrativo completo 2025 (48 mercados) + el cuestionario aplicado por YouGov -- todos reales, verificados, PUBLICOS SIN CUENTA. Son datos agregados/topline, no microdato individual -- la fila sigue OBTENIDO-PARCIAL, no OBTENIDO, honestamente. Descubierto por workflow de 4 agentes en paralelo. ACTO MAESTRA38-A4 (6/sep/2026): sin cambio. El microdato individual sigue NO-OBTENIDO-POR-ESTE-AGENTE EN 3 INTENTOS por 3 depositos distintos: UK Data Service (busqueda 200, sin deposito del DNR), ORA Oxford (404 a la busqueda), y el propio Reuters Institute, que solo ofrece formulario de contacto. Razon: EXIGE-SOLICITUD-ESCRITA. Receta en PAQUETE-RECETAS-10. Los 9 topline Datawrapper ya obtenidos no cambian. || ACTO GEN2-EXPEDIENTES-ACCESO-21 (2026-09-11): cuestionario cruzado con consumidores actuales; ninguno fija ano/reactivo/uso. Solicitud individual diferida con alcance minimo y criterio de reapertura en forense/expedientes-acceso/2026-09-11-GEN2-EXPEDIENTES-ACCESO-21/06-REUTERS-DNR-DIFERIDO.md; no enviada y toplines publicos existentes conservan OBTENIDO-PARCIAL.
forense/encargos/2026-09-03-MAESTRA38-A1-SONDA-Y-DESCARGA-UNIVERSO-1.md	PEW_GLOBAL_ATTITUDES_MEXICO	PEW	SIN_ALIAS	OBTENIDO	sin-prioridad-asignada	https://www.pewresearch.org/wp-json/wp/v2/dataset	pew_gas2025_social_trust_topline;pew_gas2025_social_trust_shortread;pew_gas_spring2013;pew_gas_spring2015;pew_gas_spring2017;pew_gas_spring2018;pew_gas_spring2023;pew_gas_spring2024;pew_gas_spring2025	ACTO MAESTRA38-A1 (sonda lateral, workflow de agentes)	El microdato completo (no solo el topline ya obtenido via FP-29) se resolvio via un bypass del muro de cuenta: pewresearch.org/dataset/... exige login en el frontend, pero el archivo real es un adjunto normal de WordPress sin verificacion de autenticacion en el servidor, descubierto via la REST API publica del propio sitio (wp-json/wp/v2/dataset?slug=<slug> -> meta._download_attachment_id -> wp/v2/media/<id> -> source_url). 7 olas descargadas con Mexico confirmado presente (grep binario "Mexico" en el .sav real, cruzado contra el topline PDF donde aplica): 2013, 2015, 2017, 2018, 2023, 2024, 2025 (esta ultima es la misma ola cuyo topline ya estaba OBTENIDO por FP-29 -- ahora el microdato individual la completa). La ola 2022 (18 paises) se probo y NO incluye Mexico -- verificado y excluida, no registrada. Doble descarga hash-verificada (muestra), testzip OK. Descubierto por workflow de 4 agentes en paralelo.
forense/encargos/2026-09-04-MAESTRA38-N6-PROPAGA-FP298-TESTS-Y-A3.md	CNBV_PORTAFOLIO_INFORMACION_IMOR_CONSUMO	CNBV_PORTAFOLIO_INFORMACION_IMOR_CONSUMO		OBTENIDO-PARCIAL	3	https://portafolioinfdoctos.cnbv.gob.mx/Documentacion/minfo/XLS/40/040_1a_R16.xls	gen2_cnbv_040_1a_r16_imor_tipo_cartera;gen2_banxico_imor_consumo_producto_mensual_2026t1_html	MAESTRA38-N6 (propaga FP-298, disena MAESTRA38-N5 #3 dinero.credito.scoring_alternativo)	Ficha de MAESTRA38-N5 S2.3 (forense/notas/2026-09-04-MAESTRA38-N5-diseno-9-reglas.md#2.3): serie IMOR (indice de morosidad) desagregada por tipo de cartera de consumo (no garantizada/tarjeta vs. garantizada, idealmente tambien por segmento popular), Portafolio de Informacion / Boletin Estadistico de Banca Multiple, cnbv.gob.mx, periodicidad mensual, sin cuenta para consulta publica. Objeto administrativo/regulatorio -- invisible por diseno a busca_reactivos.py (indexa solo reactivo de hogar). Pendiente: identificar URL exacta del boletin vigente y dar de alta en data/manifiesto.yaml -- fuera del perimetro de N5 y de N6 (NO toca data/manifiesto.yaml). ACTO MAESTRA38-A6 (6/sep/2026): Sin cambio de estado, pero la premisa de la ficha se corrige: el Portafolio de Informacion NO es inalcanzable. El fallo era TLS (falta el intermedio GlobalSign; curl exit 60), no cuenta ni muro. Con la cadena completa: portafolioinfo.cnbv.gob.mx 200/139844 B, navegable, con /PUBLICACIONES/Cartera/Paginas/default.aspx (IMOR) y Reporte.aspx?s=40&t=26 (Banca Multiple) localizados. La serie IMOR por tipo de cartera de consumo se sirve por postback ASP.NET, sin enlace estatico: no baja con curl simple. URL exacta identificada, adquisicion pendiente -- receta en PAQUETE-RECETAS-11. ACTO GEN2-CNBV-CONDUSEF-FUENTES-Y-SERIES (11/sep/2026): OBTENIDO-PARCIAL. El flujo vigente ReportViwer/Agrupados entrega el XLS oficial 040-1A-R16, verificado curl+wget, pero sólo con la foto cacheada 202112. La macro lee su conexión desde \\sector5\DGAIN\MINFO\dgaex.txt y ejecuta sp_obtiene_reporte, ruta interna no alcanzable públicamente: la serie histórica sigue como barrera externa demostrada; queda utilizable el corte y el extractor, no un parámetro del motor. ACTO GEN2-FUENTES-FINANCIERAS-CONTINUACION-EFECTIVA (11/sep/2026): la fuente CNBV R16 conserva OBTENIDO-PARCIAL, pero su necesidad científica de historia mensual queda cubierta por la publicación oficial equivalente de Banxico, 2016-01..2026-03, cinco productos. No es R16: banca comercial con Sofomes ER subsidiarias, CI Banco excluido y ruptura IFRS9 desde 2022-01.
forense/encargos/2026-09-04-MAESTRA38-N6-PROPAGA-FP298-TESTS-Y-A3.md	ENCRIGE_2020_FD_COMPLETO_MAS_CONDUSEF	ENCRIGE_2020_FD_COMPLETO_MAS_CONDUSEF		OBTENIDO	3	https://www.inegi.org.mx/programas/encrige/2020/	conjunto_de_datos_encrige_2020_csv;encrige2020_cuestionario;gen2_encrige2020_diseno_muestral;a6_condusef_01_anuario_actividades_condusef_institucion;a6_condusef_02_anuario_estadistico_actividades_condusef;a6_condusef_05_registros_instituciones_financieras_usua;a6_condusef_06_registros_instituciones_financieras_usua;a6_condusef_07_supervision_financiera_calificaciones_pr;a6_condusef_08_supervision_financiera_clausulas_abusiva;a6_condusef_09_supervision_financiera_observaciones_pro;a6_condusef_anuario_actividades_condusef_acciones_defensa__02_acciones;a6_condusef_anuario_actividades_condusef_acciones_defensa__acciones_de;a6_condusef_anuario_actividades_condusef_indice_reclamaciones__03_indi;a6_condusef_anuario_actividades_condusef_indice_reclamaciones__indice_;a6_condusef_anuario_actividades_condusef_instituciones_mas_reclamadas_;a6_condusef_anuario_actividades_condusef_sanciones__05_sanciones_firme;a6_condusef_anuario_actividades_condusef_sanciones__sanciones_firmes_;a6_condusef_anuario_estadistico_actividades_condusef_herramientas_web_;a6_condusef_educacion_financiera_comportamiento_general__b1_comportami;a6_condusef_educacion_financiera_comportamiento_general__comportamient;a6_condusef_educacion_financiera_evaluacion_producto__b2_evaluacion_pr;a6_condusef_educacion_financiera_evaluacion_producto__evaluacion_produ;a6_condusef_plan_apertura_datos_condusef__condusef_2026_;a6_condusef_registros_instituciones_financieras_usuarios_productos_ser;a6_condusef_registros_instituciones_financieras_usuarios_seguro_vida__;a6_condusef_supervision_financiera_calificaciones_producto_financiero_;a6_condusef_supervision_financiera_clausulas_abusivas_producto_financi;a6_condusef_supervision_financiera_observaciones_producto_financiero_i;a6_condusef_unidades_especializadas__unidades_especializadas_30sept202;despachos_cobranza_30_09_25;redeco_datosabiertos1ertrim_2026;reune_unidades_especializadas_datosabiertos_310326	MAESTRA38-N6 (propaga FP-298, disena MAESTRA38-N5 #4 dinero.credito.baja_friccion_usura_dano_downstream / N34)	Ficha de MAESTRA38-N5 S2.4 (forense/notas/2026-09-04-MAESTRA38-N5-diseno-9-reglas.md#2.4): (i) FD completo de ENCRIGE 2020 (ya parcialmente en corpus via el inventario) -- lectura completa pendiente para descartar o confirmar el lado acreedor (I_Cumplimiento_de_contratos_2020, senal de MAESTRA38-A1, 16 candidatas del lado empresa-acreedora, no del consumidor-deudor); (ii) CONDUSEF, informes de quejas por institucion/producto financiero (condusef.gob.mx, Buro de Entidades Financieras) -- fuente nombrada, no indexada en el inventario de reactivos por ser reporte administrativo, no microdato de hogar; cubriria quejas de cobranza y BNPL del lado consumidor. Ambas pendientes de adquisicion, fuera del perimetro de N5 y de N6 (NO toca data/manifiesto.yaml). ACTO MAESTRA38-A6 (6/sep/2026): OBTENIDO-PARCIAL (etiqueta vieja: PENDIENTE-DE-MESA). La mitad CONDUSEF de la fila esta CERRADA: 29 CSV publicos por CKAN (quejas, clausulas abusivas, despachos de cobranza, unidades especializadas) -- cubre el lado consumidor que N34 pide. La mitad ENCRIGE 2020 FD NO: 4 rutas, todas negativas. (i) tres URL de convencion bajo /contenidos/programas/encrige/2020/ -> 200 con 2263 B, que es la firma exacta del soft-404 de INEGI (control: /programas/<inexistente>/2020/ -> 200/13370 B; ENCRIGE real -> 200/2855 B); (ii) la pagina de programa es shell JS de 2855 B sin JSON-LD ni contentUrl; (iii) RNM catalog?sk=encrige -> 200/41100 B, devuelve catalogos 264/601/691, ninguno ENCRIGE 2020 verificado; (iv) CKAN q=encrige -> 0 paquetes. Receta en PAQUETE-RECETAS-11. ACTO GEN2-CNBV-CONDUSEF-FUENTES-Y-SERIES (11/sep/2026): OBTENIDO en la capa de adquisición. La ola ENCRIGE 2020 existe: paquete tabulado, cuestionario y diseño muestral oficiales quedaron verificados; se leyeron 29/29 CSV CONDUSEF ya manifestados. ENCRIGE observa a la empresa frente a contrapartes privadas y CONDUSEF no trae denominador de clientes ni causa/BNPL: la demanda científica N34 no queda satisfecha ni se adopta parámetro por este estado. ACTO GEN2-FUENTES-FINANCIERAS-CONTINUACION-EFECTIVA (11/sep/2026): esta fuente conserva su alcance empresa/administrativo; el residual consumidor-deudor se atiende por una identidad separada ENSAFI_2023_N34_CONSUMIDOR_DEUDOR, sin reinterpretar ENCRIGE ni quejas.
forense/encargos/2026-09-05-MAESTRA38-N11-PRE-REGISTRO-OLA6-MEDIBLES-Y-FICHAS.md#R4.3	salud.adherencia.desabasto_vs_cuidadora	salud.adherencia.desabasto_vs_cuidadora		SUPERADA-POR REL-2fa1c0ddb0bd7c2776e43ea8			cero_desabasto_reportes_entidad_cuatrimestre_csv;cero_desabasto_exportacion_publica_insumos_y_reportes_xlsx;inmujeres_macu_indicadores_territoriales_xlsx	MAESTRA38-N11 (ficha de MAESTRA38-N10 S2.2, CON-CANDIDATA; necesidad N36 ya registrada)	Ficha de MAESTRA38-N10 S2.2 (resumen verbatim): Cero Desabasto (7914 reportes distintos, 2019-02-18 a 2024-09-03, fecha/padecimiento/institucion/entidad/CLUES) y MACU/Observatorio de Cuidados (indicador territorial de familia cuidadora, nivel municipio) ya OBTENIDOS en la cola; falta el desenlace -- nadie sigue al paciente para saber si abandono el tratamiento. Ya registrada como candidata desde ADR-279 (1/sep/2026), necesidad N36 (data/curacion-registro/necesidad-objeto-modelo.tsv:41). v1_1 (N10, no re-buscado por este acto): dejo/abandono/interrumpio tratamiento 0/42536, surtio receta 0/42536, farmacia 0/42536 -- sin novedad, la ruta sigue siendo N36. SIN-FETCH: HEAD sobre cerodesabasto.org y mapadecuidados.inmujeres.gob.mx desde NUBE, 5/sep/2026 -> 000 en ambas (proxy de egreso rechaza la conexion, politica de organizacion) -- 2 URLs examinadas, 0 alcanzables, declarado por A.13. ACTO MAESTRA38-A6 (6/sep/2026): SIN-FETCH RETIRADO. El 000 del 5/sep era el proxy de egreso de la NUBE, no los hosts. Re-sondeado desde CAJA hoy: cerodesabasto.org -> 200/515075 B; mapadecuidados.inmujeres.gob.mx -> 200/115800 B. 2 URLs examinadas, 2 alcanzables (A.13). El estado sigue PENDIENTE porque es ficha de medicion, no de adquisicion. || ACTO MAESTRA38-C1 (7/sep/2026), pieza (b): esta fila nunca fue una fila de cola. Su columna de fuente trae un id de REGLA (R4.3), no una fuente, y sus payloads ya estan OBTENIDOS en corpus (--verifica COINCIDE en esta sesion). Ejecuta la firma de la revision del 5/sep/2026, verbatim: «una necesidad sobre una fuente que ya esta en corpus es una relacion CANDIDATA, no una fila de cola». Sustituida por REL-2fa1c0ddb0bd7c2776e43ea8 bajo N36. La fila NO se borra: es el registro de que se pidio como adquisicion y de por que dejo de serlo.
forense/encargos/2026-09-05-MAESTRA38-N11-PRE-REGISTRO-OLA6-MEDIBLES-Y-FICHAS.md#R8.1	cooperacion.comite.monitoreo_sancion_visible	cooperacion.comite.monitoreo_sancion_visible		SUPERADA-POR REL-fbda9054154ac31de9be4eff			cngmd2023_m2_participa_ciudadana_csv;cngmd2023_m2_ctrl_inter_anticorr_csv	MAESTRA38-N11 (ficha de MAESTRA38-N10 S2.4, CON-CANDIDATA; necesidad N28 ya registrada)	Ficha de MAESTRA38-N10 S2.4 (resumen verbatim): CNGMD (ya OBTENIDO en la cola, fila CNGMD) trae a nivel municipio la existencia de mecanismos de participacion ciudadana y control interno/anticorrupcion (m2_participa_ciudadana/m2_ctrl_inter_anticorr) -- driver institucional medido, pero el desenlace (contribucion individual bajo monitoreo) sigue sin registro y las dos unidades de analisis no coinciden (persona vs municipio). Pendiente CAND-2 (MAESTRA36-N6): si el CNGMD codifica monitoreo y sancion como atributos del comite, o solo su existencia -- decide si hay driver institucional para un diseno multinivel. Necesidad N28 (data/curacion-registro/necesidad-objeto-modelo.tsv:33) ya registrada desde el barrido original (8/ago/2026). Sucesor sugerido por N6: L15, ABRE-ADMINISTRATIVAS-SALUD/COOPERACION, caja. SIN-FETCH: HEAD sobre inegi.org.mx/rnm/index.php/catalog/977 desde NUBE, 5/sep/2026 -> 000 (proxy de egreso rechaza la conexion, politica de organizacion) -- 1 URL examinada, 0 alcanzable, declarado por A.13; el payload ya esta OBTENIDO, no se necesita descarga nueva, solo abrir bytes en CAJA. ACTO MAESTRA38-A6 (6/sep/2026): SIN-FETCH RETIRADO. Re-sondeado desde CAJA: inegi.org.mx/rnm/index.php/catalog/977 -> 200/190760 B (era 000 desde NUBE, proxy de egreso). 1 URL examinada, 1 alcanzable (A.13). Estado sigue PENDIENTE: el payload CNGMD ya estaba OBTENIDO, lo que faltaba era abrir bytes. || ACTO MAESTRA38-C1 (7/sep/2026), pieza (b): esta fila nunca fue una fila de cola. Su columna de fuente trae un id de REGLA (R8.1), no una fuente, y sus payloads ya estan OBTENIDOS en corpus (--verifica COINCIDE en esta sesion). Ejecuta la firma de la revision del 5/sep/2026, verbatim: «una necesidad sobre una fuente que ya esta en corpus es una relacion CANDIDATA, no una fila de cola». Sustituida por REL-fbda9054154ac31de9be4eff bajo N28. La fila NO se borra: es el registro de que se pidio como adquisicion y de por que dejo de serlo.
forense/encargos/2026-09-05-MAESTRA38-N11-PRE-REGISTRO-OLA6-MEDIBLES-Y-FICHAS.md#R8.4	cooperacion.faena.sancion_social_pueblo_mestizo	cooperacion.faena.sancion_social_pueblo_mestizo		SUPERADA-POR REL-ec408a0b6399f198bcdb5776			cngmd2023_m2_marco_regulatorio_csv	MAESTRA38-N11 (ficha de MAESTRA38-N10 S2.4, CON-CANDIDATA; cooperacion no tiene N para esta regla, se propone N42 en esta nota)	Ficha de MAESTRA38-N10 S2.4 (resumen verbatim): si el CNGMD codifica cooperacion vecinal normada u obligacion de faena en m2_marco_regulatorio, el driver quedaria medido a nivel municipio; el desenlace (participa o no esta persona) no existe administrativamente, no se puede confirmar por usado_para sin abrir bytes (CAND-3, MAESTRA36-N6). A diferencia de R8.1/R8.2/R8.3 (N28/N29/N30 ya registradas), esta regla NO tiene necesidad N asignada en data/curacion-registro/necesidad-objeto-modelo.tsv -- verificado, 0 filas para R8.4 en las 41 de la tabla -- hueco del mapa de necesidades, mismo patron que N36 corrigio para R4.3. Se PROPONE aqui N42 (maximo real 41, contiguo, comando de la casa) para que un acto futuro con permiso sobre data/curacion-registro/ lo asiente; esta pieza NO edita necesidad-objeto-modelo.tsv, fuera de perimetro (NO toca data/**). SIN-FETCH: HEAD sobre inegi.org.mx/rnm/index.php/catalog/977 desde NUBE, 5/sep/2026 -> 000, mismo resultado que la fila de R8.1 (mismo payload CNGMD ya OBTENIDO) -- declarado por A.13. ACTO MAESTRA38-A6 (6/sep/2026): SIN-FETCH RETIRADO. Misma URL y mismo resultado que la fila de R8.1: catalog/977 -> 200/190760 B desde CAJA. 1 URL examinada, 1 alcanzable (A.13). || ACTO MAESTRA38-C1 (7/sep/2026), pieza (b): esta fila nunca fue una fila de cola. Su columna de fuente trae un id de REGLA (R8.4), no una fuente, y sus payloads ya estan OBTENIDOS en corpus (--verifica COINCIDE en esta sesion). Ejecuta la firma de la revision del 5/sep/2026, verbatim: «una necesidad sobre una fuente que ya esta en corpus es una relacion CANDIDATA, no una fila de cola». Sustituida por REL-ec408a0b6399f198bcdb5776 bajo N42. La fila NO se borra: es el registro de que se pidio como adquisicion y de por que dejo de serlo.
forense/encargos/2026-09-05-MAESTRA38-N12-SONDA-INSTRUMENTOS-DE-PERCEPCION.md#LOS_MEXICANOS_VISTOS_POR_SI_MISMOS	LOS_MEXICANOS_VISTOS_POR_SI_MISMOS_UNAM_IIJ_2015	LOS_MEXICANOS_VISTOS_POR_SI_MISMOS_UNAM_IIJ_2015	SIN_ALIAS	OBTENIDO		https://losmexicanos.unam.mx/ (landing del proyecto; portal exacto de las 25 encuestas no confirmado -- ver nota)		MAESTRA38-N12 (candidata de percepcion, SONDA-INSTRUMENTOS-DE-PERCEPCION; lista cerrada de spec.md S2.1)	Coleccion de 25 encuestas de autopercepcion, Area de Investigacion Aplicada y Opinion del IIJ-UNAM, 2015. Catalogo local solo confirma su modulo de migracion (data/inventarios/inventario-fuentes-migracion-mexico.md:283-290, NO-EN-ESTE-APARTADO); las otras >=24 encuestas nunca se habian evaluado para Ola 6 antes de este acto. SIN-FETCH: losmexicanos.unam.mx bloqueado desde NUBE por politica de egreso, 5/sep/2026 -- tres sondas independientes, mismo veredicto (curl -> 000; estado del proxy -> 403 a CONNECT, policy denial; WebFetch -> EGRESS_BLOCKED) -- 1 host examinado, 0 alcanzable, declarado por A.13. Acceso (publico/registro gratuito/solicitud) no verificado. Receta propuesta, NO verificada por ejecucion (red bloqueada): abrir el portal, localizar indice de las 25 encuestas, nombrar cada una una por una (SPEC (b) del encargo), evaluar contra los 19 instrumentos minimos de spec.md S1. Detalle completo en forense/notas/2026-09-05-MAESTRA38-N12-{spec,sonda,PAQUETE-RECETAS-8}.md. ACTO MAESTRA38-A4 (6/sep/2026): OBTENIDO, 113 archivos de 24 modulos tematicos (microdato csv/dta/sav + tabulados xlsx + descripciones de base), 138 MB. A.7 doble descarga por archivo, 113/113 sha256 identico, 0 fallidos, 0 por espejo. HALLAZGO que corrige el cierre del 5/sep ('SIN-FETCH: bloqueado por politica de egreso'): el host NO esta caido. https://losmexicanos.unam.mx resetea la conexion (3 intentos espaciados, mismo veredicto), pero http://www.losmexicanos.unam.mx responde 200 y sirve todo. El negativo anterior media el esquema y el hostname, no la existencia del dato.
forense/encargos/2026-09-05-MAESTRA38-N12-SONDA-INSTRUMENTOS-DE-PERCEPCION.md#ECOPRED_2014_INEGI	ECOPRED_2014_INEGI	ECOPRED_2014_INEGI	SIN_ALIAS	OBTENIDO		https://www.inegi.org.mx/ (host general de INEGI; sin URL de programa ECOPRED confirmada -- ver nota)		MAESTRA38-N12 (candidata de percepcion, SONDA-INSTRUMENTOS-DE-PERCEPCION; lista cerrada de spec.md S2.1)	Encuesta de Cohesion Social para la Prevencion de la Violencia y la Delincuencia (ECOPRED), INEGI, ano 2014 (con signo de interrogacion en el catalogo local -- no confirmado). Catalogado antes de este acto solo como pista (data/inventarios/inventario_fuentes_seguridad_justicia_mexico.md:243: nombre, institucion, ano incierto, sin URL, sin muestra, sin confirmacion de microdatos), nunca cruzado contra ninguna regla del motor ni contra ningun instrumento minimo hasta este acto. SIN-FETCH: www.inegi.org.mx bloqueado desde NUBE por politica de egreso, 5/sep/2026 -- tres sondas independientes, mismo veredicto (curl -> 000; estado del proxy -> 403 a CONNECT, policy denial; WebFetch -> EGRESS_BLOCKED) -- 1 host examinado, 0 alcanzable, declarado por A.13. Acceso (publico/registro gratuito/solicitud) no verificado -- probable publico sin registro por patron de otras encuestas INEGI de esta familia (ENADIS, ENVIPE), no confirmado para ECOPRED especificamente. Receta propuesta, NO verificada por ejecucion (red bloqueada): buscar 'ECOPRED' en el catalogo de programas de inegi.org.mx, confirmar ano(s) y ciudades cubiertas, localizar cuestionario y evaluar contra spec.md S1. Detalle completo en forense/notas/2026-09-05-MAESTRA38-N12-{spec,sonda,PAQUETE-RECETAS-8}.md. ACTO MAESTRA38-A4 (6/sep/2026): OBTENIDO. ecopred14_bd_dbf.zip, 22296331 B, testzip OK, 10 entradas -- 8 tablas DBF (tjefehogar 72 MB, tjovenes I-VIII, tsdem, tviviendas) mas ecopred14_base_datos.pdf (el descriptor) y ecopred14_cuestionarios.zip DENTRO del propio zip. A.7 doble descarga, sha256 identico. La ficha decia 'ano incierto, sin URL, sin confirmacion de microdatos': el programa existe (2014) y el microdato es publico. El FD NO existe como descarga separada -- todas las rutas doc/ dan el soft-404 de 2263 B y la API SPA de INEGI esta en mantenimiento; viene dentro del zip.
forense/encargos/2026-09-05-MAESTRA38-N12-SONDA-INSTRUMENTOS-DE-PERCEPCION.md#CULTURA_CONSTITUCIONAL_UNAM_IIJ	CULTURA_CONSTITUCIONAL_UNAM_IIJ	CULTURA_CONSTITUCIONAL_UNAM_IIJ	SIN_ALIAS	OBTENIDO				MAESTRA38-N12 (candidata de percepcion, SONDA-INSTRUMENTOS-DE-PERCEPCION; lista cerrada de spec.md S2.1)	Nombrada solo por el propio encargo de MAESTRA38-N12 -- cero catalogacion previa en cualquier forma, en cualquier archivo del repositorio (verificado: grep -rIn 'onstituc' sobre todo el repo, 27 archivos con coincidencia, los 27 ruido de Controversia Constitucional/pension constitucional/Constitucion de 1917, ninguno la encuesta -- A.13). Ni siquiera la existencia de un portal esta confirmada; el nombre podria no ser el titulo exacto de publicacion (candidato de nombre completo: encuesta de cultura de la legalidad/constitucional del IIJ-UNAM, sin confirmar edicion ni institucion exacta en esta sesion). SIN-FETCH: no se identifico host que sondear (sin URL conocida); si se asume UNAM como institucion responsable, losmexicanos.unam.mx (dominio hermano) esta bloqueado desde NUBE por politica de egreso, 5/sep/2026 -- tres sondas independientes sobre ese host, mismo veredicto (curl -> 000; estado del proxy -> 403 a CONNECT, policy denial; WebFetch -> EGRESS_BLOCKED) -- declarado por A.13, sin extrapolar a un host no confirmado. Acceso no verificado. Receta propuesta, NO verificada por ejecucion: buscar 'Cultura de la Constitucion' + 'IIJ UNAM' o 'Departamento de Estudios de Opinion IIJ', confirmar titulo/institucion/ano exactos, localizar cuestionario y evaluar contra spec.md S1. De las 3 fuentes de este acto, la que menos se puede fichar con precision. Detalle completo en forense/notas/2026-09-05-MAESTRA38-N12-{spec,sonda,PAQUETE-RECETAS-8}.md. ACTO MAESTRA38-A4 (6/sep/2026): OBTENIDO, 6 archivos. Tercera Encuesta Nacional de Cultura Constitucional (IIJ-UNAM): microdato en csv (829304 B), dta (3036033 B) y sav (603168 B), mas cuestionario (668885 B), metodologia (394273 B) y libro (1400864 B). A.7 doble descarga, sha256 identico. CORRIGE la propia ficha ('ni siquiera la existencia de un portal esta confirmada'): existe, vive en el mismo host de LOS_MEXICANOS y el microdato es publico. El listado del directorio base_datos/ da 403 pero los archivos responden 200 -- un 403 de directorio no es ausencia de archivo. La 1a (2003) y 2a encuesta siguen sin confirmar.
